Symbol,priceChange,priceChange%,priceAvg,variance,volatility,previousCloseChange,previousCloseChange%,openChange,openChange%,highChange,highChange%,lowChange,lowChange%,yearHighChange,yearHighChange%,yearLowChange,yearLowChange%,matchedYearHigh,matchedYearLow,bidAvg,bidVar,bidVolatility,bidChange,bidChange%,askAvg,askVar,askVolatility,askChange,askChange%,tradeSizeAvg,tradeSizeAvg$,bidSizeAvg,bidSizeAvg$,askSizeAvg,askSizeAvg$,maxTradeSize,maxAskSize,maxBidSize,maxTradeSize$,maxAskSize$,maxBidSize$,Consumer_Discretionary,Consumer_Staples,Energy,Financials,Health_Care,Industrials,Information Technology,Materials,Real_Estate,Telecommunications_Services,Utilities,matchedDayHigh,matchedDayLow,sampleTo20DaysVolume,sampleToYearVolume,sharesOutstanding,maxTradeSizeToSharesOutstanding,dividendYieldAnnual,dividendRateAnnual
MMM,-0.11000000000001364,-0.0004822023496405999,228.01820000000004,0.0021847600000003079,0.046741416324286834,0.5600000000000023,0.002462079577929225,1.4299999999999784,0.006311236649306992,-0.3900000000000148,-0.0017075306479860542,1.6299999999999955,0.007200282710486772,-10.890000000000015,-0.04558392632900801,57.28999999999999,0.33557872539831296,0,0,227.98840000000004,0.0017994400000001796,0.042419806694516886,-0.060000000000002274,-0.0002630886608787261,228.0539,0.001747790000000111,0.041806578429717384,-0.0700000000000216,-0.0003068694927886616,52.729999999999997,12023.399686000001,10864.0,2476865.9776000003,13136.0,2995716.0304,100.0,50000.0,90000.0,22801.820000000003,11402695.0,20518956.000000004,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0025003271810648464,0.0028698894551019865,595610.0,0.00016789509914205605,2.06,4.7
ABT,0.060000000000002274,0.0010857763300760456,55.297700000000006,0.00088570999999999941,0.029760880363322577,0.5200000000000031,0.009489051094890568,0.6499999999999986,0.011889518931772427,-0.04999999999999716,-0.0009030160736860604,0.7100000000000009,0.013001281816517137,-1.3699999999999974,-0.024166519668371803,17.939999999999998,0.47993579454253604,0,0,55.293199999999999,0.00089176000000000923,0.029862350878656709,0.07000000000000028,0.0012669683257918603,55.306000000000004,0.00088199999999998436,0.029698484809834731,0.07000000000000028,0.0012667390517553435,85.620000000000005,4734.5890740000004,46250.0,2557310.5,31443.0,1738986.5580000002,462.0,90000.0,140000.0,25547.537400000001,4977540.0,7741048.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0015657998014678505,0.0012821772273823458,1740600.0,0.00026542571527059635,1.91,1.06
ABBV,0.09000000000000341,0.0009481668773704532,94.920099999999991,0.0094369899999999576,0.097144171209599381,-0.4200000000000017,-0.004401131719585054,-0.25,-0.0026243963888305686,-0.3999999999999915,-0.004192432659050325,0.960000000000008,0.010207336523126082,-3.25,-0.03307551394260126,36.410000000000004,0.6213310580204778,0,0,94.897199999999998,0.010104160000000079,0.10051945085405152,0.0899999999999892,0.0009483667017912454,94.954099999999983,0.0098501900000000867,0.099248123407952082,0.07000000000000739,0.0007373077733306024,93.510000000000005,8875.9785510000002,18845.0,1788337.7339999999,14395.0,1366864.2694999997,200.0,110000.0,150000.0,18984.019999999997,10444950.999999998,14234580.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0013730027515850246,0.0014990886195271082,1596430.0,0.0001252795299512036,2.67,2.56
ACN,0.020000000000010232,0.000138937130948317,143.97629999999995,0.0021533100000001915,0.046403771398456306,0.0800000000000125,0.0005559802627007611,0.4000000000000057,0.002786097374103265,-0.3100000000000023,-0.002148599944552275,0.8199999999999932,0.005728257073000302,-1.0300000000000011,-0.007103448275862077,31.659999999999997,0.28189831715786656,0,0,143.96200000000002,0.0023380000000000119,0.048352869614946455,0.0,0.0,143.98979999999997,0.0029339600000001,0.054166041022028738,0.0,0.0,78.409999999999997,11289.181682999995,16840.0,2424320.0800000001,13068.0,1881658.7063999996,200.0,30000.0,50000.0,28795.259999999991,4319693.9999999991,7198100.0000000009,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00495052317957311,0.003664588929024937,614720.0,0.00032535137948984903,1.85,2.66
ATVI,0.10000000000000142,0.0015740594994491015,63.656699999999994,0.0023761099999999981,0.048745358753423881,0.6300000000000026,0.01000000000000004,0.9000000000000057,0.014347202295552459,-0.3399999999999963,-0.005314991402219733,0.9400000000000048,0.01499441697240397,-3.3999999999999986,-0.05072355661644038,28.510000000000005,0.8117881548974946,0,0,63.643999999999984,0.0024199999999999795,0.049193495504995167,0.10999999999999943,0.0017317380352644745,63.670100000000005,0.0023809900000000116,0.048795389126432956,0.11999999999999744,0.0018888713993388548,79.590000000000003,5066.436753,14703.0,935757.73199999973,15134.0,963583.29340000008,157.0,55700.0,50000.0,9994.1018999999997,3546424.5700000003,3182199.9999999991,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0011958733579279463,0.0011634928995356993,756100.0,0.00020764449146938235,0.47,0.3
AYI,0.12999999999999545,0.0007975460122699108,163.12090000000001,0.035786189999999586,0.18917238170515163,2.9499999999999886,0.018416781121238533,3.829999999999984,0.02404268675455106,-0.5999999999999943,-0.0036645697184388587,4.019999999999982,0.025265539563823654,-98.30000000000001,-0.37600887426844665,9.849999999999994,0.06426148225469724,0,0,162.8603,0.13112890999999965,0.36211726001393479,0.09000000000000341,0.0005521472392638246,163.30269999999999,0.042863710000000416,0.20703552835202083,-0.17000000000001592,-0.0010403916768666824,42.82,6984.8369380000004,8716.0,1419490.3747999999,9219.0,1505487.5913,100.0,20000.0,20000.0,16312.09,3266053.9999999995,3257206.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.007024105377984466,0.005846476071364692,42080.0,0.002376425855513308,0.32,0.52
ADBE,-0.030000000000001137,-0.0001649439190675233,181.84699999999998,0.0041229999999999843,0.064210591026714461,0.12999999999999545,0.0007153863086066226,1.1399999999999864,0.006308450002766788,-0.46999999999999886,-0.002577885037297054,2.049999999999983,0.011401557285873097,-2.5900000000000034,-0.014042507048362629,83.85,0.8556122448979592,0,0,181.81689999999998,0.0054813900000001917,0.074036409961587085,-0.040000000000020464,-0.00021998570092955213,181.91710000000006,0.0068865899999999971,0.082985480657763247,-0.20999999999997954,-0.0011534025374854702,77.859999999999999,14158.607419999998,18355.0,3337249.1994999996,17310.0,3148985.0010000011,247.0,50000.0,120000.0,44916.208999999995,9095855.0000000037,21818027.999999996,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0023649271522856964,0.0032105919018530385,492940.0,0.0005010751815636792,0.0,0.0
AAP,0.8299999999999983,0.010191552062868349,82.164900000000003,0.14659099000000003,0.38287202822875432,1.0499999999999972,0.012927850283181448,1.269999999999996,0.015679012345678964,-0.5,-0.006040836051709557,1.759999999999991,0.02186063843000858,-95.56000000000002,-0.5373671484001575,3.4599999999999937,0.04390305798756495,0,0,82.135700000000014,0.14801851000000021,0.38473173770823771,0.8299999999999983,0.010191552062868349,82.221300000000014,0.15247530999999898,0.39048087021005135,0.8900000000000006,0.010922925871379486,80.459999999999994,6610.987854,15014.0,1233185.3998000002,10912.0,897198.8256000001,200.0,32300.0,50000.0,16432.98,2655747.9900000002,4106785.0000000009,1,0,0,0,0,0,0,0,0,0,0,1,0,0.004165230112656895,0.004911380289530935,73860.0,0.0027078256160303275,0.3,0.24
AES,0.040000000000000924,0.0037105751391466536,10.800199999999995,0.00023196000000001273,0.015230233090797157,0.5899999999999999,0.057673509286412496,0.16999999999999993,0.015962441314553984,-0.009999999999999787,-0.0009233610341643386,0.35999999999999943,0.034416826003824036,-1.6500000000000004,-0.132317562149158,0.8200000000000003,0.08200000000000003,0,0,10.796399999999998,0.00022304000000001448,0.01493452376207606,0.040000000000000924,0.0037105751391466536,10.806399999999996,0.00022304000000001155,0.014934523762075963,0.040000000000000924,0.003707136237256805,110.5,1193.4220999999995,306415.0,3308178.9059999995,370457.0,4003306.5247999988,600.0,1170000.0,720000.0,6480.1199999999972,12643487.999999996,7773407.9999999991,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0017562117447812698,0.002088055077790917,660390.0,0.000908554036251306,4.66,0.48
AET,-0.5,-0.002890841813135985,172.69399999999999,0.21021399999999918,0.45849100318326769,-2.6599999999999966,-0.015189584285061652,-1.8499999999999943,-0.010613275199357433,-1.9599999999999795,-0.011237243435385734,0.3900000000000148,0.0022665194397629733,-12.519999999999982,-0.06768299275597352,56.42,0.4862116511547742,0,0,172.6259,0.18084418999999963,0.42525779240361911,-0.5500000000000114,-0.003181029496819036,172.77829999999997,0.20570410999999977,0.45354614980175917,-0.6200000000000045,-0.00358215853940377,86.040000000000006,14858.591759999999,12530.0,2163002.5270000002,10708.0,1850110.0363999996,300.0,40000.0,40000.0,51808.199999999997,6911131.9999999991,6905036.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0027693172268332808,0.0035231164593908008,326100.0,0.0009199632014719411,1.16,2.0
