twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,4813288,48.88,,49.52,,2017-09-12,,-0.37,48.8,2,2017-09-28T19:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T19:14:13-05:00,,-22.02,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4832430,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813288,48.88,,49.52,,2017-09-12,,-0.37,48.8,2,2017-09-29T00:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T00:00:00-05:00,,-22.02,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4832430,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813288,48.88,,49.52,,2017-09-12,,-0.37,48.8,2,2017-09-28T19:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T19:14:13-05:00,,-22.02,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4832430,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813288,48.88,,49.52,,2017-09-12,,-0.37,48.8,2,2017-09-29T00:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T00:00:00-05:00,,-22.02,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4832430,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813288,48.88,,49.52,,2017-09-12,,-0.37,48.8,2,2017-09-29T00:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T00:00:00-05:00,,-22.02,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4832430,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813288,48.88,,49.52,,2017-09-12,,-0.37,48.8,2,2017-09-29T00:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T00:00:00-05:00,,-22.02,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4832430,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813288,48.88,,49.52,,2017-09-12,,-0.37,48.8,2,2017-09-28T19:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T19:14:13-05:00,,-22.02,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4832430,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813288,48.88,,49.52,,2017-09-12,,-0.37,48.8,2,2017-09-29T00:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T00:00:00-05:00,,-22.02,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4832430,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813288,48.88,,49.52,,2017-09-12,,-0.37,48.8,2,2017-09-29T00:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T00:00:00-05:00,,-22.02,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4832430,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813288,48.88,,49.52,,2017-09-12,,-0.37,48.8,2,2017-09-29T00:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T00:00:00-05:00,,-22.02,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4832430,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813288,48.88,,49.52,,2017-09-12,,-0.37,48.8,2,2017-09-28T19:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T19:14:13-05:00,,-22.02,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4832430,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813288,48.88,,49.52,,2017-09-12,,-0.37,48.8,2,2017-09-28T19:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T19:14:13-05:00,,-22.02,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4832430,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813288,48.88,,49.52,,2017-09-12,,-0.37,48.8,2,2017-09-28T19:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T19:14:13-05:00,,-22.02,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4832430,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813288,48.88,,49.52,,2017-09-12,,-0.37,48.8,2,2017-09-29T00:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T00:00:00-05:00,,-22.02,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4832430,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813288,48.88,,49.52,,2017-09-12,,-0.37,48.8,2,2017-09-29T00:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T00:00:00-05:00,,-22.02,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4832430,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813288,48.88,,49.52,,2017-09-12,,-0.37,48.8,2,2017-09-29T00:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T00:00:00-05:00,,-22.02,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4832430,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813288,48.88,,49.52,,2017-09-12,,-0.37,48.8,2,2017-09-28T19:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T19:14:13-05:00,,-22.02,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4832430,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813523,48.88,,49.52,,2017-09-12,,-0.37,48.46,2,2017-09-28T19:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T19:14:13-05:00,,-22.57,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4834641,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813523,48.88,,49.52,,2017-09-12,,-0.37,48.46,2,2017-09-28T19:29:13-05:00,,49.15,0.4,2017-08-29,2017-09-28T19:14:13-05:00,,-22.57,73.33,48.62,0.2,,APC,,48.88,NYSE,2016-12-12,,,2017-09-28,39.96,s,560330,,,,,4337400,4834641,Anadarko Petroleum Corp,,d,R,48.88,-0.18
2016-09-29,4813523,48.88,,48.52,,2017-09-12,,-0.74,0,2,2017-09-29T08:45:32-05:00,0,48.52,0.4,2017-08-29,2017-09-29T09:30:30-05:00,20000,-22.57,73.33,48.52,0.2,,APC,,48.52,BATS,2016-12-12,48.52,0,2017-09-28,39.96,,560330,48.61,10000,.,0,100,4834641,Anadarko Petroleum Corp,,i,S,48.88,-0.36
2016-09-29,4813523,48.88,,48.52,,2017-09-12,,-0.74,0,2,2017-09-29T08:46:05-05:00,0,48.52,0.4,2017-08-29,2017-09-29T09:30:30-05:00,20000,-22.57,73.33,48.52,0.2,,APC,,48.52,BATS,2016-12-12,48.44,0,2017-09-28,39.96,,560330,48.56,20000,.,0,100,4834641,Anadarko Petroleum Corp,,i,S,48.88,-0.36
2016-09-29,4813523,48.88,,48.52,,2017-09-12,,-0.74,0,2,2017-09-29T08:46:46-05:00,0,48.52,0.4,2017-08-29,2017-09-29T09:30:30-05:00,20000,-22.57,73.33,48.52,0.2,,APC,,48.52,BATS,2016-12-12,48.45,0,2017-09-28,39.96,,560330,48.55,7500,.,0,100,4834641,Anadarko Petroleum Corp,,i,S,48.88,-0.36
2016-09-29,4813523,48.88,,48.52,,2017-09-12,,-0.96,0,2,2017-09-29T08:47:38-05:00,0,48.52,0.4,2017-08-29,2017-09-29T09:32:33-05:00,10000,-22.57,73.33,48.41,0.2,,APC,,48.41,BATS,2016-12-12,48.39,0,2017-09-28,39.96,,560330,48.45,10000,.,100,700,4834641,Anadarko Petroleum Corp,,i,S,48.88,-0.47
2016-09-29,4813523,48.88,,48.52,,2017-09-12,,-0.9,0,2,2017-09-29T08:48:35-05:00,0,48.52,0.4,2017-08-29,2017-09-29T09:33:00-05:00,20000,-22.57,73.33,48.41,0.2,,APC,,48.44,BATS,2016-12-12,48.4,0,2017-09-28,39.96,,560330,48.51,10000,.,100,1000,4834641,Anadarko Petroleum Corp,,i,S,48.88,-0.44
2016-09-29,4813523,48.88,,48.52,,2017-09-12,,-0.76,0,2,2017-09-29T08:49:34-05:00,0,48.52,0.4,2017-08-29,2017-09-29T09:34:00-05:00,20000,-22.57,73.33,48.41,0.2,,APC,,48.51,BATS,2016-12-12,48.43,0,2017-09-28,39.96,,560330,48.49,10000,+,100,1200,4834641,Anadarko Petroleum Corp,,i,S,48.88,-0.37
2016-09-29,4813523,48.88,,48.56,,2017-09-12,,-0.65,0,2,2017-09-29T08:50:06-05:00,0,48.52,0.4,2017-08-29,2017-09-29T09:35:05-05:00,10000,-22.57,73.33,48.41,0.2,,APC,,48.56,BATS,2016-12-12,48.51,0,2017-09-28,39.96,,560330,48.58,10000,.,100,1300,4834641,Anadarko Petroleum Corp,,i,S,48.88,-0.32
2016-09-29,4813523,48.88,,48.58,,2017-09-12,,-0.61,0,2,2017-09-29T08:50:35-05:00,0,48.52,0.4,2017-08-29,2017-09-29T09:35:14-05:00,10000,-22.57,73.33,48.41,0.2,,APC,,48.58,BATS,2016-12-12,48.53,0,2017-09-28,39.96,,560330,48.61,10000,.,100,1700,4834641,Anadarko Petroleum Corp,,i,S,48.88,-0.3
2016-09-29,4813523,48.88,,48.58,,2017-09-12,,-0.88,0,2,2017-09-29T08:51:17-05:00,0,48.52,0.4,2017-08-29,2017-09-29T09:36:00-05:00,20000,-22.57,73.33,48.41,0.2,,APC,,48.45,BATS,2016-12-12,48.42,0,2017-09-28,39.96,,560330,48.47,50000,-,500,2300,4834641,Anadarko Petroleum Corp,,i,S,48.88,-0.43
2016-09-29,4813523,48.88,,48.58,,2017-09-12,,-0.94,0,2,2017-09-29T08:52:10-05:00,0,48.52,0.4,2017-08-29,2017-09-29T09:36:54-05:00,20000,-22.57,73.33,48.41,0.2,,APC,,48.42,BATS,2016-12-12,48.37,0,2017-09-28,39.96,,560330,48.42,20000,.,40,2800,4834641,Anadarko Petroleum Corp,,i,S,48.88,-0.46
2016-09-29,4813523,48.88,,48.58,,2017-09-12,,-1.15,0,2,2017-09-29T08:53:09-05:00,0,48.52,0.4,2017-08-29,2017-09-29T09:37:59-05:00,40000,-22.57,73.33,48.32,0.2,,APC,,48.32,BATS,2016-12-12,48.23,0,2017-09-28,39.96,,560330,48.33,20000,.,84,3739,4834641,Anadarko Petroleum Corp,,i,S,48.88,-0.56
2016-09-29,4813523,48.88,,48.58,,2017-09-12,,-1.25,0,2,2017-09-29T08:54:00-05:00,0,48.52,0.4,2017-08-29,2017-09-29T09:38:36-05:00,20000,-22.57,73.33,48.27,0.2,,APC,,48.27,BATS,2016-12-12,48.11,0,2017-09-28,39.96,,560330,48.25,20000,.,200,3939,4834641,Anadarko Petroleum Corp,,i,S,48.88,-0.61
2016-09-29,4813523,48.88,,48.58,,2017-09-12,,-1.13,0,2,2017-09-29T08:55:12-05:00,0,48.52,0.4,2017-08-29,2017-09-29T09:40:04-05:00,10000,-22.57,73.33,48.22,0.2,,APC,,48.33,BATS,2016-12-12,48.3,0,2017-09-28,39.96,,560330,48.37,20000,+,4,5943,4834641,Anadarko Petroleum Corp,,i,S,48.88,-0.55
2016-09-29,4813523,48.88,,48.58,,2017-09-12,,-0.8,0,2,2017-09-29T08:56:15-05:00,0,48.52,0.4,2017-08-29,2017-09-29T09:41:15-05:00,20000,-22.57,73.33,48.22,0.2,,APC,,48.49,BATS,2016-12-12,48.45,0,2017-09-28,39.96,,560330,48.52,10000,+,100,6953,4834641,Anadarko Petroleum Corp,,i,S,48.88,-0.39
2016-09-29,4813523,48.88,,48.58,,2017-09-12,,-0.88,0,2,2017-09-29T08:56:45-05:00,0,48.52,0.4,2017-08-29,2017-09-29T09:41:24-05:00,10000,-22.57,73.33,48.22,0.2,,APC,,48.45,BATS,2016-12-12,48.4,0,2017-09-28,39.96,,560330,48.48,70000,.,100,7153,4834641,Anadarko Petroleum Corp,,i,S,48.88,-0.43
