twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,8051005,48.31,,48.72,,2017-08-21,,1.24,48.35,2,2017-09-29T00:29:29-05:00,,47.46,2.52,2016-10-13,2017-09-28T00:00:00-05:00,,23.88,55.75,47.46,1.22,,DAL,,48.31,NYSE,2017-07-10,,,2017-09-28,37.91,s,724030,,,,,8308800,7959425,Delta Air Lines Inc,,d,R,48.31,0.59
2016-09-29,8051005,48.31,,48.72,,2017-08-21,,1.24,48.35,2,2017-09-29T00:29:29-05:00,,47.46,2.52,2016-10-13,2017-09-28T00:00:00-05:00,,23.88,55.75,47.46,1.22,,DAL,,48.31,NYSE,2017-07-10,,,2017-09-28,37.91,s,724030,,,,,8308800,7959425,Delta Air Lines Inc,,d,R,48.31,0.59
2016-09-29,8051005,48.31,,48.72,,2017-08-21,,1.24,48.35,2,2017-09-29T00:29:29-05:00,,47.46,2.52,2016-10-13,2017-09-28T00:00:00-05:00,,23.88,55.75,47.46,1.22,,DAL,,48.31,NYSE,2017-07-10,,,2017-09-28,37.91,s,724030,,,,,8308800,7959426,Delta Air Lines Inc,,d,R,48.31,0.59
2016-09-29,8051005,48.31,,48.72,,2017-08-21,,1.24,48.35,2,2017-09-28T19:29:29-05:00,,47.46,2.52,2016-10-13,2017-09-28T19:14:29-05:00,,23.88,55.75,47.46,1.22,,DAL,,48.31,NYSE,2017-07-10,,,2017-09-28,37.91,s,724030,,,,,8308800,7959426,Delta Air Lines Inc,,d,R,48.31,0.59
2016-09-29,8051005,48.31,,48.72,,2017-08-21,,1.24,48.35,2,2017-09-28T19:29:29-05:00,,47.46,2.52,2016-10-13,2017-09-28T19:14:29-05:00,,23.88,55.75,47.46,1.22,,DAL,,48.31,NYSE,2017-07-10,,,2017-09-28,37.91,s,724030,,,,,8308800,7959426,Delta Air Lines Inc,,d,R,48.31,0.59
2016-09-29,8051005,48.31,,48.72,,2017-08-21,,1.24,48.35,2,2017-09-28T19:29:29-05:00,,47.46,2.52,2016-10-13,2017-09-28T19:14:29-05:00,,23.88,55.75,47.46,1.22,,DAL,,48.31,NYSE,2017-07-10,,,2017-09-28,37.91,s,724030,,,,,8308800,7959426,Delta Air Lines Inc,,d,R,48.31,0.59
2016-09-29,8051005,48.31,,48.72,,2017-08-21,,1.24,48.35,2,2017-09-29T00:29:29-05:00,,47.46,2.52,2016-10-13,2017-09-28T00:00:00-05:00,,23.88,55.75,47.46,1.22,,DAL,,48.31,NYSE,2017-07-10,,,2017-09-28,37.91,s,724030,,,,,8308800,7959426,Delta Air Lines Inc,,d,R,48.31,0.59
2016-09-29,8051005,48.31,,48.72,,2017-08-21,,1.24,48.35,2,2017-09-29T00:29:29-05:00,,47.46,2.52,2016-10-13,2017-09-28T00:00:00-05:00,,23.88,55.75,47.46,1.22,,DAL,,48.31,NYSE,2017-07-10,,,2017-09-28,37.91,s,724030,,,,,8308800,7959426,Delta Air Lines Inc,,d,R,48.31,0.59
2016-09-29,8051005,48.31,,48.72,,2017-08-21,,1.24,48.35,2,2017-09-28T19:29:29-05:00,,47.46,2.52,2016-10-13,2017-09-28T19:14:29-05:00,,23.88,55.75,47.46,1.22,,DAL,,48.31,NYSE,2017-07-10,,,2017-09-28,37.91,s,724030,,,,,8308800,7959426,Delta Air Lines Inc,,d,R,48.31,0.59
2016-09-29,8051005,48.31,,48.72,,2017-08-21,,1.24,48.35,2,2017-09-28T19:29:29-05:00,,47.46,2.52,2016-10-13,2017-09-28T19:14:29-05:00,,23.88,55.75,47.46,1.22,,DAL,,48.31,NYSE,2017-07-10,,,2017-09-28,37.91,s,724030,,,,,8308800,7959426,Delta Air Lines Inc,,d,R,48.31,0.59
