twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,8923291,45.83,,46.08,,2017-09-01,,0.55,45.32,2,2017-09-29T00:29:30-05:00,,45.7,1.61,2017-08-18,2017-09-28T00:00:00-05:00,,2.58,58.78,45.55,0.72,,HAL,,45.83,NYSE,2017-01-26,,,2017-09-28,38.18,s,871590,,,,,12198101,9274363,Halliburton Company,,d,R,45.83,0.25
2016-09-29,8923291,45.83,,46.08,,2017-09-01,,0.55,45.32,2,2017-09-28T19:29:30-05:00,,45.7,1.61,2017-08-18,2017-09-28T19:14:30-05:00,,2.58,58.78,45.55,0.72,,HAL,,45.83,NYSE,2017-01-26,,,2017-09-28,38.18,s,871590,,,,,12198101,9274363,Halliburton Company,,d,R,45.83,0.25
2016-09-29,8923291,45.83,,46.08,,2017-09-01,,0.55,45.32,2,2017-09-28T19:29:30-05:00,,45.7,1.61,2017-08-18,2017-09-28T19:14:30-05:00,,2.58,58.78,45.55,0.72,,HAL,,45.83,NYSE,2017-01-26,,,2017-09-28,38.18,s,871590,,,,,12198101,9274363,Halliburton Company,,d,R,45.83,0.25
2016-09-29,8923291,45.83,,46.08,,2017-09-01,,0.55,45.32,2,2017-09-28T19:29:30-05:00,,45.7,1.61,2017-08-18,2017-09-28T19:14:30-05:00,,2.58,58.78,45.55,0.72,,HAL,,45.83,NYSE,2017-01-26,,,2017-09-28,38.18,s,871590,,,,,12198101,9274363,Halliburton Company,,d,R,45.83,0.25
2016-09-29,8923291,45.83,,46.08,,2017-09-01,,0.55,45.32,2,2017-09-28T19:29:30-05:00,,45.7,1.61,2017-08-18,2017-09-28T19:14:30-05:00,,2.58,58.78,45.55,0.72,,HAL,,45.83,NYSE,2017-01-26,,,2017-09-28,38.18,s,871590,,,,,12198101,9274363,Halliburton Company,,d,R,45.83,0.25
2016-09-29,8923291,45.83,,46.08,,2017-09-01,,0.55,45.32,2,2017-09-29T00:29:30-05:00,,45.7,1.61,2017-08-18,2017-09-28T00:00:00-05:00,,2.58,58.78,45.55,0.72,,HAL,,45.83,NYSE,2017-01-26,,,2017-09-28,38.18,s,871590,,,,,12198101,9274363,Halliburton Company,,d,R,45.83,0.25
2016-09-29,8923291,45.83,,46.08,,2017-09-01,,0.55,45.32,2,2017-09-29T00:29:30-05:00,,45.7,1.61,2017-08-18,2017-09-28T00:00:00-05:00,,2.58,58.78,45.55,0.72,,HAL,,45.83,NYSE,2017-01-26,,,2017-09-28,38.18,s,871590,,,,,12198101,9274363,Halliburton Company,,d,R,45.83,0.25
2016-09-29,8923291,45.83,,46.08,,2017-09-01,,0.55,45.32,2,2017-09-28T19:29:30-05:00,,45.7,1.61,2017-08-18,2017-09-28T19:14:30-05:00,,2.58,58.78,45.55,0.72,,HAL,,45.83,NYSE,2017-01-26,,,2017-09-28,38.18,s,871590,,,,,12198101,9274363,Halliburton Company,,d,R,45.83,0.25
2016-09-29,8923291,45.83,,46.08,,2017-09-01,,0.55,45.32,2,2017-09-29T00:29:30-05:00,,45.7,1.61,2017-08-18,2017-09-28T00:00:00-05:00,,2.58,58.78,45.55,0.72,,HAL,,45.83,NYSE,2017-01-26,,,2017-09-28,38.18,s,871590,,,,,12198101,9274363,Halliburton Company,,d,R,45.83,0.25
2016-09-29,8923291,45.83,,46.08,,2017-09-01,,0.55,45.32,2,2017-09-28T19:29:30-05:00,,45.7,1.61,2017-08-18,2017-09-28T19:14:30-05:00,,2.58,58.78,45.55,0.72,,HAL,,45.83,NYSE,2017-01-26,,,2017-09-28,38.18,s,871590,,,,,12198101,9274363,Halliburton Company,,d,R,45.83,0.25
2016-09-29,8923291,45.83,,46.08,,2017-09-01,,0.55,45.32,2,2017-09-29T00:29:30-05:00,,45.7,1.61,2017-08-18,2017-09-28T00:00:00-05:00,,2.58,58.78,45.55,0.72,,HAL,,45.83,NYSE,2017-01-26,,,2017-09-28,38.18,s,871590,,,,,12198101,9274363,Halliburton Company,,d,R,45.83,0.25
2016-09-29,8923291,45.83,,46.08,,2017-09-01,,0.55,45.32,2,2017-09-28T19:29:30-05:00,,45.7,1.61,2017-08-18,2017-09-28T19:14:30-05:00,,2.58,58.78,45.55,0.72,,HAL,,45.83,NYSE,2017-01-26,,,2017-09-28,38.18,s,871590,,,,,12198101,9274363,Halliburton Company,,d,R,45.83,0.25
2016-09-29,8923291,45.83,,46.08,,2017-09-01,,0.55,45.32,2,2017-09-29T00:29:30-05:00,,45.7,1.61,2017-08-18,2017-09-28T00:00:00-05:00,,2.58,58.78,45.55,0.72,,HAL,,45.83,NYSE,2017-01-26,,,2017-09-28,38.18,s,871590,,,,,12198101,9274363,Halliburton Company,,d,R,45.83,0.25
2016-09-29,8923291,45.83,,46.08,,2017-09-01,,0.55,45.32,2,2017-09-29T00:29:30-05:00,,45.7,1.61,2017-08-18,2017-09-28T00:00:00-05:00,,2.58,58.78,45.55,0.72,,HAL,,45.83,NYSE,2017-01-26,,,2017-09-28,38.18,s,871590,,,,,12198101,9274363,Halliburton Company,,d,R,45.83,0.25
2016-09-29,8923291,45.83,,46.08,,2017-09-01,,0.55,45.32,2,2017-09-28T19:29:30-05:00,,45.7,1.61,2017-08-18,2017-09-28T19:14:30-05:00,,2.58,58.78,45.55,0.72,,HAL,,45.83,NYSE,2017-01-26,,,2017-09-28,38.18,s,871590,,,,,12198101,9274363,Halliburton Company,,d,R,45.83,0.25
2016-09-29,8923291,45.83,,46.08,,2017-09-01,,0.55,45.32,2,2017-09-28T19:29:30-05:00,,45.7,1.61,2017-08-18,2017-09-28T19:14:30-05:00,,2.58,58.78,45.55,0.72,,HAL,,45.83,NYSE,2017-01-26,,,2017-09-28,38.18,s,871590,,,,,12198101,9274363,Halliburton Company,,d,R,45.83,0.25
2016-09-29,8923291,45.83,,46.08,,2017-09-01,,0.55,45.32,2,2017-09-28T19:29:30-05:00,,45.7,1.61,2017-08-18,2017-09-28T19:14:30-05:00,,2.58,58.78,45.55,0.72,,HAL,,45.83,NYSE,2017-01-26,,,2017-09-28,38.18,s,871590,,,,,12198101,9274363,Halliburton Company,,d,R,45.83,0.25
2016-09-29,8924135,45.83,,46.08,,2017-09-01,,0.55,45.57,2,2017-09-29T00:29:30-05:00,,45.7,1.61,2017-08-18,2017-09-28T00:00:00-05:00,,3.15,58.78,45.55,0.72,,HAL,,45.83,NYSE,2017-01-26,,,2017-09-28,38.18,s,871590,,,,,12198101,9282294,Halliburton Company,,d,R,45.83,0.25
2016-09-29,8924135,45.83,,0,,2017-09-01,,0,0,2,2017-09-29T08:45:00-05:00,0,0,1.61,2017-08-18,2017-09-27T00:00:00-05:00,10000,3.15,58.78,0,0.72,0,HAL,,45.83,BATS,2017-01-26,45.61,,2017-09-28,38.18,,871590,45.67,10000,,,0,9282294,Halliburton Company,,i,Q,45.83,45.83
2016-09-29,8924135,45.83,,45.6,,2017-09-01,,-0.5,0,2,2017-09-29T08:45:37-05:00,0,45.6,1.61,2017-08-18,2017-09-29T09:30:30-05:00,10000,3.15,58.78,45.6,0.72,,HAL,,45.6,BATS,2017-01-26,45.56,0,2017-09-28,38.18,,871590,45.62,30000,.,100,200,9282294,Halliburton Company,,i,S,45.83,-0.23
2016-09-29,8924135,45.83,,45.65,,2017-09-01,,-0.41,0,2,2017-09-29T08:46:20-05:00,0,45.6,1.61,2017-08-18,2017-09-29T09:31:19-05:00,20000,3.15,58.78,45.6,0.72,,HAL,,45.64,BATS,2017-01-26,45.63,0,2017-09-28,38.18,,871590,45.67,10000,-,100,1000,9282294,Halliburton Company,,i,S,45.83,-0.19
2016-09-29,8924135,45.83,,45.7,,2017-09-01,,-0.5,0,2,2017-09-29T08:46:57-05:00,0,45.6,1.61,2017-08-18,2017-09-29T09:31:55-05:00,20000,3.15,58.78,45.6,0.72,,HAL,,45.6,BATS,2017-01-26,45.55,0,2017-09-28,38.18,,871590,45.6,10000,-,200,2000,9282294,Halliburton Company,,i,S,45.83,-0.23
