twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-28,1286594,108.22,,108.44,,2017-09-08,,-0.03,108.19,2,2017-09-29T00:28:31-05:00,108.19,108.09,1.34,2017-01-04,2017-09-28T18:42:00-05:00,0,17.05,109.13,107.9,1.44,,KSU,,108.19,NYSE,2017-08-16,0,108.22,2017-09-27,79.05,s,105420,0,0,,0,692400,739785,Kansas City Southern,,d,R,108.22,-0.03
2016-09-28,1286594,108.22,,108.44,,2017-09-08,,-0.03,108.19,2,2017-09-28T00:00:00-05:00,108.19,108.09,1.34,2017-01-04,2017-09-28T00:00:00-05:00,0,17.05,109.13,107.9,1.44,,KSU,,108.19,NYSE,2017-08-16,0,108.22,2017-09-27,79.05,s,105420,0,0,,0,692400,739785,Kansas City Southern,,d,R,108.22,-0.03
2016-09-28,1286594,108.22,,108.44,,2017-09-08,,-0.03,108.19,2,2017-09-28T00:00:00-05:00,108.19,108.09,1.34,2017-01-04,2017-09-28T00:00:00-05:00,0,17.05,109.13,107.9,1.44,,KSU,,108.19,NYSE,2017-08-16,0,108.22,2017-09-27,79.05,s,105420,0,0,,0,692400,739785,Kansas City Southern,,d,R,108.22,-0.03
2016-09-28,1286594,108.22,,108.44,,2017-09-08,,-0.03,108.19,2,2017-09-29T00:28:31-05:00,108.19,108.09,1.34,2017-01-04,2017-09-28T18:42:00-05:00,0,17.05,109.13,107.9,1.44,,KSU,,108.19,NYSE,2017-08-16,0,108.22,2017-09-27,79.05,s,105420,0,0,,0,692400,739785,Kansas City Southern,,d,R,108.22,-0.03
2016-09-28,1286594,108.22,,108.44,,2017-09-08,,-0.03,108.19,2,2017-09-28T00:00:00-05:00,108.19,108.09,1.34,2017-01-04,2017-09-28T00:00:00-05:00,0,17.05,109.13,107.9,1.44,,KSU,,108.19,NYSE,2017-08-16,0,108.22,2017-09-27,79.05,s,105420,0,0,,0,692400,739785,Kansas City Southern,,d,R,108.22,-0.03
2016-09-28,1286594,108.22,,108.44,,2017-09-08,,-0.03,108.19,2,2017-09-28T00:00:00-05:00,108.19,108.09,1.34,2017-01-04,2017-09-28T00:00:00-05:00,0,17.05,109.13,107.9,1.44,,KSU,,108.19,NYSE,2017-08-16,0,108.22,2017-09-27,79.05,s,105420,0,0,,0,692400,739785,Kansas City Southern,,d,R,108.22,-0.03
2016-09-28,1286594,108.22,,108.44,,2017-09-08,,-0.03,108.19,2,2017-09-29T00:28:31-05:00,108.19,108.09,1.34,2017-01-04,2017-09-28T18:42:00-05:00,0,17.05,109.13,107.9,1.44,,KSU,,108.19,NYSE,2017-08-16,0,108.22,2017-09-27,79.05,s,105420,0,0,,0,692400,739785,Kansas City Southern,,d,R,108.22,-0.03
2016-09-28,1286594,108.22,,108.44,,2017-09-08,,-0.03,108.19,2,2017-09-28T00:00:00-05:00,108.19,108.09,1.34,2017-01-04,2017-09-28T00:00:00-05:00,0,17.05,109.13,107.9,1.44,,KSU,,108.19,NYSE,2017-08-16,0,108.22,2017-09-27,79.05,s,105420,0,0,,0,692400,739785,Kansas City Southern,,d,R,108.22,-0.03
2016-09-28,1286594,108.22,,108.44,,2017-09-08,,-0.03,108.19,2,2017-09-29T00:28:31-05:00,108.19,108.09,1.34,2017-01-04,2017-09-28T18:42:00-05:00,0,17.05,109.13,107.9,1.44,,KSU,,108.19,NYSE,2017-08-16,0,108.22,2017-09-27,79.05,s,105420,0,0,,0,692400,739785,Kansas City Southern,,d,R,108.22,-0.03
2016-09-28,1286594,108.22,,108.44,,2017-09-08,,-0.03,108.19,2,2017-09-28T00:00:00-05:00,108.19,108.09,1.34,2017-01-04,2017-09-28T00:00:00-05:00,0,17.05,109.13,107.9,1.44,,KSU,,108.19,NYSE,2017-08-16,0,108.22,2017-09-27,79.05,s,105420,0,0,,0,692400,739785,Kansas City Southern,,d,R,108.22,-0.03
