twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-28,2440266,108.36,,110.06,,2017-08-22,,1.51,110,2,2017-09-29T00:28:31-05:00,110,108.15,1.21,2016-10-26,2017-09-28T18:55:00-05:00,0,63.25,110.51,107.96,1.32,,MAR,,110,NASDAQ,2017-06-02,0,108.36,2017-09-27,65.91,s,372420,0,0,,0,1821500,2255305,Marriot Int Class A,,d,R,108.36,1.64
2016-09-28,2440266,108.36,,110.06,,2017-08-22,,1.51,110,2,2017-09-28T00:00:00-05:00,110,108.15,1.21,2016-10-26,2017-09-28T00:00:00-05:00,0,63.25,110.51,107.96,1.32,,MAR,,110,NASDAQ,2017-06-02,0,108.36,2017-09-27,65.91,s,372420,0,0,,0,1821600,2255305,Marriot Int Class A,,d,R,108.36,1.64
2016-09-28,2440266,108.36,,110.06,,2017-08-22,,1.51,110,2,2017-09-28T00:00:00-05:00,110,108.15,1.21,2016-10-26,2017-09-28T00:00:00-05:00,0,63.25,110.51,107.96,1.32,,MAR,,110,NASDAQ,2017-06-02,0,108.36,2017-09-27,65.91,s,372420,0,0,,0,1821600,2255305,Marriot Int Class A,,d,R,108.36,1.64
2016-09-28,2440266,108.36,,110.06,,2017-08-22,,1.51,110,2,2017-09-29T00:28:31-05:00,110,108.15,1.21,2016-10-26,2017-09-28T18:55:00-05:00,0,63.25,110.51,107.96,1.32,,MAR,,110,NASDAQ,2017-06-02,0,108.36,2017-09-27,65.91,s,372420,0,0,,0,1821500,2255305,Marriot Int Class A,,d,R,108.36,1.64
2016-09-28,2440266,108.36,,110.06,,2017-08-22,,1.51,110,2,2017-09-28T00:00:00-05:00,110,108.15,1.21,2016-10-26,2017-09-28T00:00:00-05:00,0,63.25,110.51,107.96,1.32,,MAR,,110,NASDAQ,2017-06-02,0,108.36,2017-09-27,65.91,s,372420,0,0,,0,1821600,2255305,Marriot Int Class A,,d,R,108.36,1.64
2016-09-28,2440266,108.36,,110.06,,2017-08-22,,1.51,110,2,2017-09-28T00:00:00-05:00,110,108.15,1.21,2016-10-26,2017-09-28T00:00:00-05:00,0,63.25,110.51,107.96,1.32,,MAR,,110,NASDAQ,2017-06-02,0,108.36,2017-09-27,65.91,s,372420,0,0,,0,1821600,2255305,Marriot Int Class A,,d,R,108.36,1.64
2016-09-28,2440266,108.36,,110.06,,2017-08-22,,1.51,110,2,2017-09-29T00:28:31-05:00,110,108.15,1.21,2016-10-26,2017-09-28T18:55:00-05:00,0,63.25,110.51,107.96,1.32,,MAR,,110,NASDAQ,2017-06-02,0,108.36,2017-09-27,65.91,s,372420,0,0,,0,1821500,2255305,Marriot Int Class A,,d,R,108.36,1.64
2016-09-28,2440266,108.36,,110.06,,2017-08-22,,1.51,110,2,2017-09-28T00:00:00-05:00,110,108.15,1.21,2016-10-26,2017-09-28T00:00:00-05:00,0,63.25,110.51,107.96,1.32,,MAR,,110,NASDAQ,2017-06-02,0,108.36,2017-09-27,65.91,s,372420,0,0,,0,1821600,2255305,Marriot Int Class A,,d,R,108.36,1.64
2016-09-28,2440266,108.36,,110.06,,2017-08-22,,1.51,110,2,2017-09-29T00:28:31-05:00,110,108.15,1.21,2016-10-26,2017-09-28T18:55:00-05:00,0,63.25,110.51,107.96,1.32,,MAR,,110,NASDAQ,2017-06-02,0,108.36,2017-09-27,65.91,s,372420,0,0,,0,1821500,2255305,Marriot Int Class A,,d,R,108.36,1.64
2016-09-28,2440266,108.36,,110.06,,2017-08-22,,1.51,110,2,2017-09-28T00:00:00-05:00,110,108.15,1.21,2016-10-26,2017-09-28T00:00:00-05:00,0,63.25,110.51,107.96,1.32,,MAR,,110,NASDAQ,2017-06-02,0,108.36,2017-09-27,65.91,s,372420,0,0,,0,1821600,2255305,Marriot Int Class A,,d,R,108.36,1.64
2016-09-28,2440266,108.36,,110.06,,2017-08-22,,1.51,110,2,2017-09-28T00:00:00-05:00,110,108.15,1.21,2016-10-26,2017-09-28T00:00:00-05:00,0,63.25,110.51,107.96,1.32,,MAR,,110,NASDAQ,2017-06-02,0,108.36,2017-09-27,65.91,s,372420,0,0,,0,1821600,2255305,Marriot Int Class A,,d,R,108.36,1.64
