twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-28,4137578,74.16,,74.23,,2017-08-08,,-0.28,73.95,2,2017-09-29T00:28:45-05:00,73.95,74.05,1.69,2017-07-24,2017-09-28T18:42:00-05:00,0,-0.59,80.92,73.52,1.25,,TJX,,73.95,NYSE,2017-05-10,0,74.16,2017-09-27,66.65,s,636270,0,0,,0,2458600,3342875,TJX Companies,,d,R,74.16,-0.21
2016-09-28,4137578,74.16,,74.23,,2017-08-08,,-0.28,73.95,2,2017-09-28T00:00:00-05:00,73.95,74.05,1.69,2017-07-24,2017-09-28T00:00:00-05:00,0,-0.59,80.92,73.52,1.25,,TJX,,73.95,NYSE,2017-05-10,0,74.16,2017-09-27,66.65,s,636270,0,0,,0,2458600,3342875,TJX Companies,,d,R,74.16,-0.21
2016-09-28,4137578,74.16,,74.23,,2017-08-08,,-0.28,73.95,2,2017-09-29T00:28:45-05:00,73.95,74.05,1.69,2017-07-24,2017-09-28T18:42:00-05:00,0,-0.59,80.92,73.52,1.25,,TJX,,73.95,NYSE,2017-05-10,0,74.16,2017-09-27,66.65,s,636270,0,0,,0,2458600,3342875,TJX Companies,,d,R,74.16,-0.21
2016-09-28,4137578,74.16,,74.23,,2017-08-08,,-0.28,73.95,2,2017-09-28T00:00:00-05:00,73.95,74.05,1.69,2017-07-24,2017-09-28T00:00:00-05:00,0,-0.59,80.92,73.52,1.25,,TJX,,73.95,NYSE,2017-05-10,0,74.16,2017-09-27,66.65,s,636270,0,0,,0,2458600,3342875,TJX Companies,,d,R,74.16,-0.21
2016-09-28,4137578,74.16,,74.23,,2017-08-08,,-0.28,73.95,2,2017-09-29T00:28:45-05:00,73.95,74.05,1.69,2017-07-24,2017-09-28T18:42:00-05:00,0,-0.59,80.92,73.52,1.25,,TJX,,73.95,NYSE,2017-05-10,0,74.16,2017-09-27,66.65,s,636270,0,0,,0,2458600,3342875,TJX Companies,,d,R,74.16,-0.21
2016-09-28,4137578,74.16,,74.23,,2017-08-08,,-0.28,73.95,2,2017-09-28T00:00:00-05:00,73.95,74.05,1.69,2017-07-24,2017-09-28T00:00:00-05:00,0,-0.59,80.92,73.52,1.25,,TJX,,73.95,NYSE,2017-05-10,0,74.16,2017-09-27,66.65,s,636270,0,0,,0,2458600,3342875,TJX Companies,,d,R,74.16,-0.21
2016-09-28,4137578,74.16,,74.23,,2017-08-08,,-0.28,73.95,2,2017-09-29T00:28:45-05:00,73.95,74.05,1.69,2017-07-24,2017-09-28T18:42:00-05:00,0,-0.59,80.92,73.52,1.25,,TJX,,73.95,NYSE,2017-05-10,0,74.16,2017-09-27,66.65,s,636270,0,0,,0,2458600,3342875,TJX Companies,,d,R,74.16,-0.21
2016-09-28,4137578,74.16,,74.23,,2017-08-08,,-0.28,73.95,2,2017-09-29T00:28:45-05:00,73.95,74.05,1.69,2017-07-24,2017-09-28T18:42:00-05:00,0,-0.59,80.92,73.52,1.25,,TJX,,73.95,NYSE,2017-05-10,0,74.16,2017-09-27,66.65,s,636270,0,0,,0,2458600,3342875,TJX Companies,,d,R,74.16,-0.21
2016-09-28,4137578,74.16,,74.23,,2017-08-08,,-0.28,73.95,2,2017-09-28T00:00:00-05:00,73.95,74.05,1.69,2017-07-24,2017-09-28T00:00:00-05:00,0,-0.59,80.92,73.52,1.25,,TJX,,73.95,NYSE,2017-05-10,0,74.16,2017-09-27,66.65,s,636270,0,0,,0,2458600,3342875,TJX Companies,,d,R,74.16,-0.21
2016-09-28,4137578,74.16,,74.23,,2017-08-08,,-0.28,73.95,2,2017-09-28T00:00:00-05:00,73.95,74.05,1.69,2017-07-24,2017-09-28T00:00:00-05:00,0,-0.59,80.92,73.52,1.25,,TJX,,73.95,NYSE,2017-05-10,0,74.16,2017-09-27,66.65,s,636270,0,0,,0,2458600,3342875,TJX Companies,,d,R,74.16,-0.21
2016-09-28,4137578,74.16,,74.23,,2017-08-08,,-0.28,73.95,2,2017-09-29T00:28:45-05:00,73.95,74.05,1.69,2017-07-24,2017-09-28T18:42:00-05:00,0,-0.59,80.92,73.52,1.25,,TJX,,73.95,NYSE,2017-05-10,0,74.16,2017-09-27,66.65,s,636270,0,0,,0,2458600,3342875,TJX Companies,,d,R,74.16,-0.21
2016-09-28,4137578,74.16,,74.23,,2017-08-08,,-0.28,73.95,2,2017-09-29T00:28:45-05:00,73.95,74.05,1.69,2017-07-24,2017-09-28T18:42:00-05:00,0,-0.59,80.92,73.52,1.25,,TJX,,73.95,NYSE,2017-05-10,0,74.16,2017-09-27,66.65,s,636270,0,0,,0,2458600,3342875,TJX Companies,,d,R,74.16,-0.21
2016-09-28,4137578,74.16,,74.23,,2017-08-08,,-0.28,73.95,2,2017-09-28T00:00:00-05:00,73.95,74.05,1.69,2017-07-24,2017-09-28T00:00:00-05:00,0,-0.59,80.92,73.52,1.25,,TJX,,73.95,NYSE,2017-05-10,0,74.16,2017-09-27,66.65,s,636270,0,0,,0,2458600,3342875,TJX Companies,,d,R,74.16,-0.21
2016-09-28,4137578,74.16,,74.23,,2017-08-08,,-0.28,73.95,2,2017-09-28T00:00:00-05:00,73.95,74.05,1.69,2017-07-24,2017-09-28T00:00:00-05:00,0,-0.59,80.92,73.52,1.25,,TJX,,73.95,NYSE,2017-05-10,0,74.16,2017-09-27,66.65,s,636270,0,0,,0,2458600,3342875,TJX Companies,,d,R,74.16,-0.21
2016-09-28,4137578,74.16,,74.23,,2017-08-08,,-0.28,73.95,2,2017-09-28T00:00:00-05:00,73.95,74.05,1.69,2017-07-24,2017-09-28T00:00:00-05:00,0,-0.59,80.92,73.52,1.25,,TJX,,73.95,NYSE,2017-05-10,0,74.16,2017-09-27,66.65,s,636270,0,0,,0,2458600,3342875,TJX Companies,,d,R,74.16,-0.21
2016-09-28,4137578,74.16,,74.23,,2017-08-08,,-0.28,73.95,2,2017-09-28T00:00:00-05:00,73.95,74.05,1.69,2017-07-24,2017-09-28T00:00:00-05:00,0,-0.59,80.92,73.52,1.25,,TJX,,73.95,NYSE,2017-05-10,0,74.16,2017-09-27,66.65,s,636270,0,0,,0,2458600,3342875,TJX Companies,,d,R,74.16,-0.21
2016-09-28,4137578,74.16,,74.23,,2017-08-08,,-0.28,73.95,2,2017-09-28T00:00:00-05:00,73.95,74.05,1.69,2017-07-24,2017-09-28T00:00:00-05:00,0,-0.59,80.92,73.52,1.25,,TJX,,73.95,NYSE,2017-05-10,0,74.16,2017-09-27,66.65,s,636270,0,0,,0,2458600,3342875,TJX Companies,,d,R,74.16,-0.21
2016-09-29,4115777,73.95,,74.23,,2017-08-08,,-0.28,74.33,2,2017-09-28T19:30:11-05:00,,74.05,1.69,2017-07-24,2017-09-28T19:15:11-05:00,,0.62,80.92,73.52,1.25,,TJX,,73.95,NYSE,2017-05-10,,,2017-09-28,66.65,s,636270,,,,,2458600,3118197,TJX Companies,,d,R,73.95,-0.21
2016-09-29,4115777,73.95,,74.29,,2017-08-08,,0.14,0,2,2017-09-29T08:45:33-05:00,0,74.29,1.69,2017-07-24,2017-09-29T09:30:00-05:00,0,0.62,80.92,74.05,1.25,,TJX,,74.05,BATS,2017-05-10,0,0,2017-09-28,66.65,,636270,0,0,,0,110,3118197,TJX Companies,,i,S,73.95,0.1
