twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-28,1161025,76.85,,77.57,,2017-08-03,,0.59,77.3,2,2017-09-29T00:28:46-05:00,77.3,76.83,3.15,2016-11-04,2017-09-28T18:42:00-05:00,0,-6.36,89.38,76.67,2.4,,VNO,,77.3,NYSE,2017-02-22,0,76.85,2017-09-27,69.08,s,189460,0,0,,0,1266900,1215215,Vornado Realty Trust,,d,R,76.85,0.45
2016-09-28,1161025,76.85,,77.57,,2017-08-03,,0.59,77.3,2,2017-09-28T00:00:00-05:00,77.3,76.83,3.15,2016-11-04,2017-09-28T00:00:00-05:00,0,-6.36,89.38,76.67,2.4,,VNO,,77.3,NYSE,2017-02-22,0,76.85,2017-09-27,69.08,s,189460,0,0,,0,1266900,1215215,Vornado Realty Trust,,d,R,76.85,0.45
2016-09-28,1161025,76.85,,77.57,,2017-08-03,,0.59,77.3,2,2017-09-29T00:28:46-05:00,77.3,76.83,3.15,2016-11-04,2017-09-28T18:42:00-05:00,0,-6.36,89.38,76.67,2.4,,VNO,,77.3,NYSE,2017-02-22,0,76.85,2017-09-27,69.08,s,189460,0,0,,0,1266900,1215215,Vornado Realty Trust,,d,R,76.85,0.45
2016-09-28,1161025,76.85,,77.57,,2017-08-03,,0.59,77.3,2,2017-09-28T00:00:00-05:00,77.3,76.83,3.15,2016-11-04,2017-09-28T00:00:00-05:00,0,-6.36,89.38,76.67,2.4,,VNO,,77.3,NYSE,2017-02-22,0,76.85,2017-09-27,69.08,s,189460,0,0,,0,1266900,1215215,Vornado Realty Trust,,d,R,76.85,0.45
2016-09-28,1161025,76.85,,77.57,,2017-08-03,,0.59,77.3,2,2017-09-29T00:28:46-05:00,77.3,76.83,3.15,2016-11-04,2017-09-28T18:42:00-05:00,0,-6.36,89.38,76.67,2.4,,VNO,,77.3,NYSE,2017-02-22,0,76.85,2017-09-27,69.08,s,189460,0,0,,0,1266900,1215215,Vornado Realty Trust,,d,R,76.85,0.45
2016-09-28,1161025,76.85,,77.57,,2017-08-03,,0.59,77.3,2,2017-09-28T00:00:00-05:00,77.3,76.83,3.15,2016-11-04,2017-09-28T00:00:00-05:00,0,-6.36,89.38,76.67,2.4,,VNO,,77.3,NYSE,2017-02-22,0,76.85,2017-09-27,69.08,s,189460,0,0,,0,1266900,1215215,Vornado Realty Trust,,d,R,76.85,0.45
2016-09-28,1161025,76.85,,77.57,,2017-08-03,,0.59,77.3,2,2017-09-29T00:28:46-05:00,77.3,76.83,3.15,2016-11-04,2017-09-28T18:42:00-05:00,0,-6.36,89.38,76.67,2.4,,VNO,,77.3,NYSE,2017-02-22,0,76.85,2017-09-27,69.08,s,189460,0,0,,0,1266900,1215215,Vornado Realty Trust,,d,R,76.85,0.45
2016-09-28,1161025,76.85,,77.57,,2017-08-03,,0.59,77.3,2,2017-09-29T00:28:46-05:00,77.3,76.83,3.15,2016-11-04,2017-09-28T18:42:00-05:00,0,-6.36,89.38,76.67,2.4,,VNO,,77.3,NYSE,2017-02-22,0,76.85,2017-09-27,69.08,s,189460,0,0,,0,1266900,1215215,Vornado Realty Trust,,d,R,76.85,0.45
2016-09-28,1161025,76.85,,77.57,,2017-08-03,,0.59,77.3,2,2017-09-28T00:00:00-05:00,77.3,76.83,3.15,2016-11-04,2017-09-28T00:00:00-05:00,0,-6.36,89.38,76.67,2.4,,VNO,,77.3,NYSE,2017-02-22,0,76.85,2017-09-27,69.08,s,189460,0,0,,0,1266900,1215215,Vornado Realty Trust,,d,R,76.85,0.45
2016-09-28,1161025,76.85,,77.57,,2017-08-03,,0.59,77.3,2,2017-09-28T00:00:00-05:00,77.3,76.83,3.15,2016-11-04,2017-09-28T00:00:00-05:00,0,-6.36,89.38,76.67,2.4,,VNO,,77.3,NYSE,2017-02-22,0,76.85,2017-09-27,69.08,s,189460,0,0,,0,1266900,1215215,Vornado Realty Trust,,d,R,76.85,0.45
