twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,1586776,99.5,,99.99,,2017-09-21,,-0.65,0,2,2017-09-29T10:09:10-05:00,0,99.99,0.25,2017-08-15,2017-09-29T10:53:13-05:00,10000,-32.7,177.83,98.29,0.24,,AAP,,98.85,BATS,2016-12-08,98.76,0,2017-09-28,82.21,,73860,99.15,10000,-,100,20576,1748483,Advance Auto Parts Inc,,i,S,99.5,-0.65
2016-09-29,1586776,99.5,,99.99,,2017-09-21,,-0.59,0,2,2017-09-29T10:10:06-05:00,0,99.99,0.25,2017-08-15,2017-09-29T10:55:05-05:00,20000,-32.7,177.83,98.29,0.24,,AAP,,98.91,BATS,2016-12-08,98.89,0,2017-09-28,82.21,,73860,99.07,10000,.,5,20876,1748483,Advance Auto Parts Inc,,i,S,99.5,-0.59
2016-09-29,1586776,99.5,,99.99,,2017-09-21,,-0.59,0,2,2017-09-29T10:10:09-05:00,0,99.99,0.25,2017-08-15,2017-09-29T10:55:05-05:00,20000,-32.7,177.83,98.29,0.24,,AAP,,98.91,BATS,2016-12-08,98.89,0,2017-09-28,82.21,,73860,99.29,20000,.,5,20876,1748483,Advance Auto Parts Inc,,i,S,99.5,-0.59
2016-09-29,1586776,99.5,,99.99,,2017-09-21,,-0.61,0,2,2017-09-29T10:11:10-05:00,0,99.99,0.25,2017-08-15,2017-09-29T10:55:48-05:00,10000,-32.7,177.83,98.29,0.24,,AAP,,98.89,BATS,2016-12-08,98.86,0,2017-09-28,82.21,,73860,99.28,10000,.,50,21076,1748483,Advance Auto Parts Inc,,i,S,99.5,-0.61
2016-09-29,1586776,99.5,,99.99,,2017-09-21,,-0.61,0,2,2017-09-29T10:11:50-05:00,0,99.99,0.25,2017-08-15,2017-09-29T10:55:48-05:00,10000,-32.7,177.83,98.29,0.24,,AAP,,98.89,BATS,2016-12-08,98.86,0,2017-09-28,82.21,,73860,99.03,10000,.,50,21076,1748483,Advance Auto Parts Inc,,i,S,99.5,-0.61
2016-09-29,1586776,99.5,,99.99,,2017-09-21,,-0.61,0,2,2017-09-29T10:12:21-05:00,0,99.99,0.25,2017-08-15,2017-09-29T10:55:48-05:00,20000,-32.71,177.83,98.29,0.24,,AAP,,98.89,BATS,2016-12-08,98.86,0,2017-09-28,82.21,,73860,99.05,10000,.,50,21076,1748483,Advance Auto Parts Inc,,i,S,99.5,-0.61
2016-09-29,1586864,99.5,,99.99,,2017-09-21,,-0.64,0,2,2017-09-29T10:12:49-05:00,0,99.99,0.25,2017-08-15,2017-09-29T10:57:30-05:00,5800,-32.71,177.83,98.29,0.24,,AAP,,98.86,BATS,2016-12-08,98.79,0,2017-09-28,82.21,,73860,98.9,10000,-,100,21176,1749313,Advance Auto Parts Inc,,i,S,99.5,-0.64
2016-09-29,1586864,99.5,,99.99,,2017-09-21,,-0.64,0,2,2017-09-29T10:13:24-05:00,0,99.99,0.25,2017-08-15,2017-09-29T10:57:30-05:00,10000,-32.71,177.83,98.29,0.24,,AAP,,98.86,BATS,2016-12-08,98.8,0,2017-09-28,82.21,,73860,98.87,10000,-,100,21176,1749313,Advance Auto Parts Inc,,i,S,99.5,-0.64
2016-09-29,1586864,99.5,,99.99,,2017-09-21,,-0.71,0,2,2017-09-29T10:13:50-05:00,0,99.99,0.25,2017-08-15,2017-09-29T10:58:46-05:00,10000,-32.71,177.83,98.29,0.24,,AAP,,98.79,BATS,2016-12-08,98.78,0,2017-09-28,82.21,,73860,98.85,20000,.,50,21376,1749313,Advance Auto Parts Inc,,i,S,99.5,-0.71
2016-09-29,1586864,99.5,,99.99,,2017-09-21,,-0.77,0,2,2017-09-29T10:14:43-05:00,0,99.99,0.25,2017-08-15,2017-09-29T10:59:37-05:00,10000,-32.71,177.83,98.29,0.24,,AAP,,98.73,BATS,2016-12-08,98.39,0,2017-09-28,82.21,,73860,98.77,10000,-,100,21776,1749313,Advance Auto Parts Inc,,i,S,99.5,-0.77
