twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,6234052,88.96,,89.11,,2017-07-12,,0.07,0,2,2017-09-29T10:09:09-05:00,0,88.73,2.96,2016-10-28,2017-09-29T10:54:06-05:00,10000,41.48,90.95,87.83,2.56,,ABBV,,89.02,BATS,2017-09-28,88.98,0,2017-09-28,55.06,,1594090,89.03,10000,+,100,125444,9345215,Abbvie Inc,,i,S,88.96,0.06
2016-09-29,6234052,88.96,,89.11,,2017-07-12,,-0.03,0,2,2017-09-29T10:10:05-05:00,0,88.73,2.96,2016-10-28,2017-09-29T10:55:05-05:00,10000,41.48,90.95,87.83,2.56,,ABBV,,88.93,BATS,2017-09-28,88.89,0,2017-09-28,55.06,,1594090,89.06,20000,+,100,126449,9345215,Abbvie Inc,,i,S,88.96,-0.03
2016-09-29,6234052,88.96,,89.11,,2017-07-12,,-0.08,0,2,2017-09-29T10:10:38-05:00,0,88.73,2.96,2016-10-28,2017-09-29T10:55:14-05:00,20000,41.48,90.95,87.83,2.56,,ABBV,,88.89,BATS,2017-09-28,88.88,0,2017-09-28,55.06,,1594090,89.06,10000,-,45,126594,9345215,Abbvie Inc,,i,S,88.96,-0.07
2016-09-29,6234052,88.96,,89.11,,2017-07-12,,-0.04,0,2,2017-09-29T10:11:10-05:00,0,88.73,2.96,2016-10-28,2017-09-29T10:56:10-05:00,10000,41.48,90.95,87.83,2.56,,ABBV,,88.92,BATS,2017-09-28,88.76,0,2017-09-28,55.06,,1594090,88.95,12500,+,100,127394,9345215,Abbvie Inc,,i,S,88.96,-0.04
2016-09-29,6234052,88.96,,89.11,,2017-07-12,,0.07,0,2,2017-09-29T10:11:45-05:00,0,88.73,2.96,2016-10-28,2017-09-29T10:56:45-05:00,10000,41.48,90.95,87.83,2.56,,ABBV,,89.02,BATS,2017-09-28,89,0,2017-09-28,55.06,,1594090,89.04,10000,-,100,129419,9345215,Abbvie Inc,,i,S,88.96,0.06
2016-09-29,6234052,88.96,,89.11,,2017-07-12,,0.07,0,2,2017-09-29T10:12:21-05:00,0,88.73,2.96,2016-10-28,2017-09-29T10:57:05-05:00,10000,41.64,90.95,87.83,2.56,,ABBV,,89.02,BATS,2017-09-28,88.95,0,2017-09-28,55.06,,1594090,89.03,30000,.,100,129619,9345215,Abbvie Inc,,i,S,88.96,0.06
2016-09-29,6234628,88.96,,89.11,,2017-07-12,,0.06,0,2,2017-09-29T10:12:58-05:00,0,88.73,2.96,2016-10-28,2017-09-29T10:57:50-05:00,10000,41.64,90.95,87.83,2.56,,ABBV,,89.01,BATS,2017-09-28,89,0,2017-09-28,55.06,,1594090,89.06,10000,.,70,129919,9350637,Abbvie Inc,,i,S,88.96,0.05
2016-09-29,6234628,88.96,,89.11,,2017-07-12,,0.08,0,2,2017-09-29T10:13:31-05:00,0,88.73,2.96,2016-10-28,2017-09-29T10:58:31-05:00,10000,41.64,90.95,87.83,2.56,,ABBV,,89.03,BATS,2017-09-28,89,0,2017-09-28,55.06,,1594090,89.06,10000,.,100,130319,9350637,Abbvie Inc,,i,S,88.96,0.07
2016-09-29,6234628,88.96,,89.11,,2017-07-12,,0.02,0,2,2017-09-29T10:14:03-05:00,0,88.73,2.96,2016-10-28,2017-09-29T10:58:58-05:00,10000,41.64,90.95,87.83,2.56,,ABBV,,88.98,BATS,2017-09-28,88.96,0,2017-09-28,55.06,,1594090,88.99,10000,-,100,131044,9350637,Abbvie Inc,,i,S,88.96,0.02
2016-09-29,6234628,88.96,,89.11,,2017-07-12,,0.08,0,2,2017-09-29T10:14:44-05:00,0,88.73,2.96,2016-10-28,2017-09-29T10:59:28-05:00,30300,41.64,90.95,87.83,2.56,,ABBV,,89.03,BATS,2017-09-28,88.99,0,2017-09-28,55.06,,1594090,89.04,10000,+,100,131664,9350637,Abbvie Inc,,i,S,88.96,0.07
