twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,5299583,11.08,,11.09,,2017-08-01,,0,0,2,2017-09-29T10:09:12-05:00,0,11.08,4.28,2017-07-06,2017-09-29T10:54:12-05:00,450000,-14.03,13.01,11.03,0.48,,AES,,11.08,BATS,2016-09-30,11.08,0,2017-09-28,10.6,,660260,11.09,70000,.,300,35281,3997374,The Aes Corp,,i,S,11.08,0
2016-09-29,5299583,11.08,,11.09,,2017-08-01,,0,0,2,2017-09-29T10:10:00-05:00,0,11.08,4.28,2017-07-06,2017-09-29T10:54:30-05:00,450000,-14.03,13.01,11.03,0.48,,AES,,11.08,BATS,2016-09-30,11.08,0,2017-09-28,10.6,,660260,11.09,70000,+,100,35381,3997374,The Aes Corp,,i,S,11.08,0
2016-09-29,5299583,11.08,,11.09,,2017-08-01,,0.09,0,2,2017-09-29T10:10:38-05:00,0,11.08,4.28,2017-07-06,2017-09-29T10:55:16-05:00,260000,-14.03,13.01,11.03,0.48,,AES,,11.09,BATS,2016-09-30,11.09,0,2017-09-28,10.6,,660260,11.1,247300,+,15,38696,3997374,The Aes Corp,,i,S,11.08,0.01
2016-09-29,5299583,11.08,,11.09,,2017-08-01,,0.09,0,2,2017-09-29T10:11:09-05:00,0,11.08,4.28,2017-07-06,2017-09-29T10:56:01-05:00,230000,-14.03,13.01,11.03,0.48,,AES,,11.09,BATS,2016-09-30,11.09,0,2017-09-28,10.6,,660260,11.1,257300,.,3,38699,3997374,The Aes Corp,,i,S,11.08,0.01
2016-09-29,5299583,11.08,,11.09,,2017-08-01,,0.09,0,2,2017-09-29T10:11:38-05:00,0,11.08,4.28,2017-07-06,2017-09-29T10:56:29-05:00,320000,-14.03,13.01,11.03,0.48,,AES,,11.09,BATS,2016-09-30,11.08,0,2017-09-28,10.6,,660260,11.09,200000,.,200,41472,3997374,The Aes Corp,,i,S,11.08,0.01
2016-09-29,5299583,11.08,,11.09,,2017-08-01,,0.09,0,2,2017-09-29T10:12:22-05:00,0,11.08,4.28,2017-07-06,2017-09-29T10:57:22-05:00,210000,-14.11,13.01,11.03,0.48,,AES,,11.09,BATS,2016-09-30,11.08,0,2017-09-28,10.6,,660260,11.09,340000,.,802,44272,3997374,The Aes Corp,,i,S,11.08,0.01
2016-09-29,5300076,11.08,,11.09,,2017-08-01,,0,0,2,2017-09-29T10:12:42-05:00,0,11.08,4.28,2017-07-06,2017-09-29T10:57:30-05:00,240000,-14.11,13.01,11.03,0.48,,AES,,11.08,BATS,2016-09-30,11.08,0,2017-09-28,10.6,,660260,11.09,230000,.,100,44872,4002005,The Aes Corp,,i,S,11.08,0
2016-09-29,5300076,11.08,,11.09,,2017-08-01,,0,0,2,2017-09-29T10:13:28-05:00,0,11.08,4.28,2017-07-06,2017-09-29T10:57:30-05:00,260000,-14.11,13.01,11.03,0.48,,AES,,11.08,BATS,2016-09-30,11.08,0,2017-09-28,10.6,,660260,11.09,220000,.,100,44872,4002005,The Aes Corp,,i,S,11.08,0
2016-09-29,5300076,11.08,,11.09,,2017-08-01,,0,0,2,2017-09-29T10:14:05-05:00,0,11.08,4.28,2017-07-06,2017-09-29T10:57:30-05:00,250000,-14.11,13.01,11.03,0.48,,AES,,11.08,BATS,2016-09-30,11.08,0,2017-09-28,10.6,,660260,11.09,230000,.,100,44872,4002005,The Aes Corp,,i,S,11.08,0
2016-09-29,5300076,11.08,,11.09,,2017-08-01,,0,0,2,2017-09-29T10:14:17-05:00,0,11.08,4.28,2017-07-06,2017-09-29T10:57:30-05:00,260000,-14.11,13.01,11.03,0.48,,AES,,11.08,BATS,2016-09-30,11.08,0,2017-09-28,10.6,,660260,11.09,200000,.,100,44872,4002005,The Aes Corp,,i,S,11.08,0
