twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,5738394,117.62,,117.2,,2017-08-16,,-0.59,0,2,2017-09-29T10:09:11-05:00,0,117.2,3.66,2016-10-13,2017-09-29T10:53:28-05:00,30000,15.36,119,116.74,4.32,,CVX,,116.93,BATS,2017-01-03,116.95,0,2017-09-28,99.61,,1895000,117,50000,+,10,46889,5284019,Chevron Corp,,i,S,117.62,-0.69
2016-09-29,5738394,117.62,,117.2,,2017-08-16,,-0.5,0,2,2017-09-29T10:10:06-05:00,0,117.2,3.66,2016-10-13,2017-09-29T10:55:03-05:00,10000,15.36,119,116.74,4.32,,CVX,,117.03,BATS,2017-01-03,117,0,2017-09-28,99.61,,1895000,117.05,20000,.,74,47605,5284019,Chevron Corp,,i,S,117.62,-0.59
2016-09-29,5738394,117.62,,117.2,,2017-08-16,,-0.51,0,2,2017-09-29T10:10:34-05:00,0,117.2,3.66,2016-10-13,2017-09-29T10:55:23-05:00,20000,15.36,119,116.74,4.32,,CVX,,117.02,BATS,2017-01-03,117.01,0,2017-09-28,99.61,,1895000,117.05,10000,-,25,47730,5284019,Chevron Corp,,i,S,117.62,-0.6
2016-09-29,5738394,117.62,,117.2,,2017-08-16,,-0.51,0,2,2017-09-29T10:11:08-05:00,0,117.2,3.66,2016-10-13,2017-09-29T10:55:23-05:00,10000,15.36,119,116.74,4.32,,CVX,,117.02,BATS,2017-01-03,117.02,0,2017-09-28,99.61,,1895000,117.03,10000,-,25,47730,5284019,Chevron Corp,,i,S,117.62,-0.6
2016-09-29,5738394,117.62,,117.2,,2017-08-16,,-0.54,0,2,2017-09-29T10:11:50-05:00,0,117.2,3.66,2016-10-13,2017-09-29T10:56:44-05:00,30000,15.36,119,116.74,4.32,,CVX,,116.99,BATS,2017-01-03,116.94,0,2017-09-28,99.61,,1895000,116.99,20000,-,25,48255,5284019,Chevron Corp,,i,S,117.62,-0.63
2016-09-29,5738394,117.62,,117.2,,2017-08-16,,-0.54,0,2,2017-09-29T10:12:22-05:00,0,117.2,3.66,2016-10-13,2017-09-29T10:57:22-05:00,20000,15.36,119,116.74,4.32,,CVX,,116.98,BATS,2017-01-03,116.95,0,2017-09-28,99.61,,1895000,117.01,40000,+,100,48460,5284019,Chevron Corp,,i,S,117.62,-0.64
2016-09-29,5738811,117.62,,117.2,,2017-08-16,,-0.51,0,2,2017-09-29T10:12:58-05:00,0,117.2,3.66,2016-10-13,2017-09-29T10:57:46-05:00,110000,15.7,119,116.74,4.32,,CVX,,117.02,BATS,2017-01-03,117,0,2017-09-28,99.61,,1895000,117.05,30000,.,89,48649,5287938,Chevron Corp,,i,S,117.62,-0.6
2016-09-29,5738811,117.62,,117.2,,2017-08-16,,-0.52,0,2,2017-09-29T10:13:32-05:00,0,117.2,3.66,2016-10-13,2017-09-29T10:58:20-05:00,2500,15.7,119,116.74,4.32,,CVX,,117.01,BATS,2017-01-03,117.02,0,2017-09-28,99.61,,1895000,117.04,20000,.,100,49149,5287938,Chevron Corp,,i,S,117.62,-0.61
2016-09-29,5738811,117.62,,117.2,,2017-08-16,,-0.52,0,2,2017-09-29T10:14:02-05:00,0,117.2,3.66,2016-10-13,2017-09-29T10:58:48-05:00,40000,15.7,119,116.74,4.32,,CVX,,117.01,BATS,2017-01-03,117.05,0,2017-09-28,99.61,,1895000,117.09,10000,-,100,49549,5287938,Chevron Corp,,i,S,117.62,-0.61
2016-09-29,5738811,117.62,,117.2,,2017-08-16,,-0.45,0,2,2017-09-29T10:14:45-05:00,0,117.2,3.66,2016-10-13,2017-09-29T10:59:37-05:00,20000,15.7,119,116.74,4.32,,CVX,,117.09,BATS,2017-01-03,117.09,0,2017-09-28,99.61,,1895000,117.13,20000,+,100,49749,5287938,Chevron Corp,,i,S,117.62,-0.53
2016-09-29,5738811,117.62,,117.2,,2017-08-16,,-0.41,0,2,2017-09-29T10:15:23-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:00:10-05:00,10000,15.7,119,116.74,4.32,,CVX,,117.14,BATS,2017-01-03,117.13,0,2017-09-28,99.61,,1895000,117.19,20000,+,1,49850,5287938,Chevron Corp,,i,S,117.62,-0.48
2016-09-29,5738811,117.62,,117.2,,2017-08-16,,-0.41,0,2,2017-09-29T10:15:54-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:00:52-05:00,20000,15.7,119,116.74,4.32,,CVX,,117.14,BATS,2017-01-03,117.11,0,2017-09-28,99.61,,1895000,117.17,20000,-,100,50050,5287938,Chevron Corp,,i,S,117.62,-0.48
2016-09-29,5738811,117.62,,117.2,,2017-08-16,,-0.41,0,2,2017-09-29T10:16:25-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:01:15-05:00,20000,15.7,119,116.74,4.32,,CVX,,117.14,BATS,2017-01-03,117.14,0,2017-09-28,99.61,,1895000,117.17,10000,-,100,50250,5287938,Chevron Corp,,i,S,117.62,-0.48
2016-09-29,5738811,117.62,,117.2,,2017-08-16,,-0.36,0,2,2017-09-29T10:16:59-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:01:58-05:00,10000,15.7,119,116.74,4.32,,CVX,,117.2,BATS,2017-01-03,117.2,0,2017-09-28,99.61,,1895000,117.23,10000,+,100,50350,5287938,Chevron Corp,,i,S,117.62,-0.42
2016-09-29,5738811,117.62,,117.2,,2017-08-16,,-0.36,0,2,2017-09-29T10:17:29-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:02:25-05:00,10000,15.7,119,116.74,4.32,,CVX,,117.2,BATS,2017-01-03,117.2,0,2017-09-28,99.61,,1895000,117.22,20000,.,100,50550,5287938,Chevron Corp,,i,S,117.62,-0.42
2016-09-29,5738811,117.62,,117.23,,2017-08-16,,-0.34,0,2,2017-09-29T10:18:00-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:02:59-05:00,40000,15.7,119,116.74,4.32,,CVX,,117.22,BATS,2017-01-03,117.17,0,2017-09-28,99.61,,1895000,117.22,30000,-,10,51113,5287938,Chevron Corp,,i,S,117.62,-0.4
2016-09-29,5738811,117.62,,117.23,,2017-08-16,,-0.38,0,2,2017-09-29T10:18:36-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:03:35-05:00,30000,15.7,119,116.74,4.32,,CVX,,117.17,BATS,2017-01-03,117.15,0,2017-09-28,99.61,,1895000,117.17,25000,.,79,51513,5287938,Chevron Corp,,i,S,117.62,-0.45
2016-09-29,5738811,117.62,,117.23,,2017-08-16,,-0.38,0,2,2017-09-29T10:19:06-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:04:05-05:00,10000,15.7,119,116.74,4.32,,CVX,,117.17,BATS,2017-01-03,117.15,0,2017-09-28,99.61,,1895000,117.2,25000,.,100,51713,5287938,Chevron Corp,,i,S,117.62,-0.45
2016-09-29,5738811,117.62,,117.23,,2017-08-16,,-0.38,0,2,2017-09-29T10:19:36-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:04:36-05:00,10000,15.7,119,116.74,4.32,,CVX,,117.17,BATS,2017-01-03,117.16,0,2017-09-28,99.61,,1895000,117.19,10000,+,47,51910,5287938,Chevron Corp,,i,S,117.62,-0.45
2016-09-29,5738811,117.62,,117.23,,2017-08-16,,-0.39,0,2,2017-09-29T10:20:09-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:04:49-05:00,10000,15.7,119,116.74,4.32,,CVX,,117.16,BATS,2017-01-03,117.16,0,2017-09-28,99.61,,1895000,117.17,20000,+,100,52110,5287938,Chevron Corp,,i,S,117.62,-0.46
2016-09-29,5738811,117.62,,117.23,,2017-08-16,,-0.38,0,2,2017-09-29T10:20:34-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:05:33-05:00,10000,15.7,119,116.74,4.32,,CVX,,117.17,BATS,2017-01-03,117.17,0,2017-09-28,99.61,,1895000,117.2,11000,.,3,52347,5287938,Chevron Corp,,i,S,117.62,-0.45
2016-09-29,5738811,117.62,,117.23,,2017-08-16,,-0.37,0,2,2017-09-29T10:21:25-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:06:14-05:00,10000,15.7,119,116.74,4.32,,CVX,,117.19,BATS,2017-01-03,117.19,0,2017-09-28,99.61,,1895000,117.2,2500,.,32,52952,5287938,Chevron Corp,,i,S,117.62,-0.43
2016-09-29,5738811,117.62,,117.23,,2017-08-16,,-0.37,0,2,2017-09-29T10:21:55-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:06:14-05:00,10000,15.7,119,116.74,4.32,,CVX,,117.19,BATS,2017-01-03,117.2,0,2017-09-28,99.61,,1895000,117.21,30000,.,32,52952,5287938,Chevron Corp,,i,S,117.62,-0.43
2016-09-29,5738811,117.62,,117.23,,2017-08-16,,-0.38,0,2,2017-09-29T10:22:41-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:07:41-05:00,30000,15.7,119,116.74,4.32,,CVX,,117.17,BATS,2017-01-03,117.17,0,2017-09-28,99.61,,1895000,117.2,10000,.,14,53716,5287938,Chevron Corp,,i,S,117.62,-0.45
2016-09-29,5738811,117.62,,117.23,,2017-08-16,,-0.38,0,2,2017-09-29T10:23:34-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:08:00-05:00,10000,15.7,119,116.74,4.32,,CVX,,117.17,BATS,2017-01-03,117.17,0,2017-09-28,99.61,,1895000,117.18,20000,.,25,53841,5287938,Chevron Corp,,i,S,117.62,-0.45
2016-09-29,5738811,117.62,,117.23,,2017-08-16,,-0.37,0,2,2017-09-29T10:24:00-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:08:42-05:00,30000,15.7,119,116.74,4.32,,CVX,,117.18,BATS,2017-01-03,117.2,0,2017-09-28,99.61,,1895000,117.23,20000,+,50,53891,5287938,Chevron Corp,,i,S,117.62,-0.44
2016-09-29,5738811,117.62,,117.23,,2017-08-16,,-0.38,0,2,2017-09-29T10:24:34-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:09:26-05:00,50000,15.7,119,116.74,4.32,,CVX,,117.17,BATS,2017-01-03,117.16,0,2017-09-28,99.61,,1895000,117.19,10000,+,6,54396,5287938,Chevron Corp,,i,S,117.62,-0.45
2016-09-29,5738811,117.62,,117.23,,2017-08-16,,-0.38,0,2,2017-09-29T10:25:06-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:09:26-05:00,25000,15.7,119,116.74,4.32,,CVX,,117.17,BATS,2017-01-03,117.2,0,2017-09-28,99.61,,1895000,117.21,10000,+,6,54396,5287938,Chevron Corp,,i,S,117.62,-0.45
2016-09-29,5738811,117.62,,117.23,,2017-08-16,,-0.36,0,2,2017-09-29T10:25:57-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:10:31-05:00,14000,15.7,119,116.74,4.32,,CVX,,117.2,BATS,2017-01-03,117.17,0,2017-09-28,99.61,,1895000,117.21,30000,-,100,54716,5287938,Chevron Corp,,i,S,117.62,-0.42
2016-09-29,5738811,117.62,,117.23,,2017-08-16,,-0.35,0,2,2017-09-29T10:26:40-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:11:40-05:00,10000,15.7,119,116.74,4.32,,CVX,,117.21,BATS,2017-01-03,117.19,0,2017-09-28,99.61,,1895000,117.22,10000,.,25,55333,5287938,Chevron Corp,,i,S,117.62,-0.41
2016-09-29,5738811,117.62,,117.23,,2017-08-16,,-0.34,0,2,2017-09-29T10:27:09-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:11:58-05:00,10000,15.7,119,116.74,4.32,,CVX,,117.22,BATS,2017-01-03,117.2,0,2017-09-28,99.61,,1895000,117.23,10000,+,100,55433,5287938,Chevron Corp,,i,S,117.62,-0.4
2016-09-29,5738811,117.62,,117.23,,2017-08-16,,-0.33,0,2,2017-09-29T10:27:49-05:00,0,117.2,3.66,2016-10-13,2017-09-29T11:12:49-05:00,20000,15.7,119,116.74,4.32,,CVX,,117.23,BATS,2017-01-03,117.22,0,2017-09-28,99.61,,1895000,117.26,40000,.,50,56588,5287938,Chevron Corp,,i,S,117.62,-0.39
