twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,2701815,64.36,,64.73,,2017-08-22,,-0.42,0,2,2017-09-29T10:09:16-05:00,0,64.51,2.26,2016-10-13,2017-09-29T10:54:13-05:00,1100,14.69,74.33,64.09,1.4,,DFS,,64.09,BATS,2017-01-04,64.09,0,2017-09-28,53.91,,372350,64.18,200,.,100,44334,2355429,Discover Financial Services,,i,S,64.36,-0.27
2016-09-29,2701815,64.36,,64.73,,2017-08-22,,-0.4,0,2,2017-09-29T10:10:11-05:00,0,64.51,2.26,2016-10-13,2017-09-29T10:55:10-05:00,10000,14.69,74.33,64.09,1.4,,DFS,,64.1,BATS,2017-01-04,64.1,0,2017-09-28,53.91,,372350,64.24,40000,.,100,45534,2355429,Discover Financial Services,,i,S,64.36,-0.26
2016-09-29,2701815,64.36,,64.73,,2017-08-22,,-0.33,0,2,2017-09-29T10:10:42-05:00,0,64.51,2.26,2016-10-13,2017-09-29T10:55:29-05:00,10000,14.69,74.33,64.09,1.4,,DFS,,64.15,BATS,2017-01-04,64.16,0,2017-09-28,53.91,,372350,64.19,20000,.,99,45634,2355429,Discover Financial Services,,i,S,64.36,-0.21
2016-09-29,2701815,64.36,,64.73,,2017-08-22,,-0.33,0,2,2017-09-29T10:11:13-05:00,0,64.51,2.26,2016-10-13,2017-09-29T10:56:13-05:00,10000,14.69,74.33,64.09,1.4,,DFS,,64.15,BATS,2017-01-04,64.14,0,2017-09-28,53.91,,372350,64.17,10000,.,50,45684,2355429,Discover Financial Services,,i,S,64.36,-0.21
2016-09-29,2701815,64.36,,64.73,,2017-08-22,,-0.26,0,2,2017-09-29T10:11:50-05:00,0,64.51,2.26,2016-10-13,2017-09-29T10:56:37-05:00,5600,14.69,74.33,64.09,1.4,,DFS,,64.19,BATS,2017-01-04,64.18,0,2017-09-28,53.91,,372350,64.29,10000,.,5,45789,2355429,Discover Financial Services,,i,S,64.36,-0.17
2016-09-29,2701815,64.36,,64.73,,2017-08-22,,-0.14,0,2,2017-09-29T10:12:29-05:00,0,64.51,2.26,2016-10-13,2017-09-29T10:57:29-05:00,5600,14.69,74.33,64.09,1.4,,DFS,,64.27,BATS,2017-01-04,64.26,0,2017-09-28,53.91,,372350,64.29,10000,+,1,46189,2355429,Discover Financial Services,,i,S,64.36,-0.09
2016-09-29,2702208,64.36,,64.73,,2017-08-22,,-0.17,0,2,2017-09-29T10:13:05-05:00,0,64.51,2.26,2016-10-13,2017-09-29T10:57:53-05:00,10000,14.37,74.33,64.09,1.4,,DFS,,64.25,BATS,2017-01-04,64,0,2017-09-28,53.91,,372350,64.27,72500,-,100,46339,2359117,Discover Financial Services,,i,S,64.36,-0.11
2016-09-29,2702208,64.36,,64.73,,2017-08-22,,-0.17,0,2,2017-09-29T10:13:36-05:00,0,64.51,2.26,2016-10-13,2017-09-29T10:57:53-05:00,10000,14.37,74.33,64.09,1.4,,DFS,,64.25,BATS,2017-01-04,64.17,0,2017-09-28,53.91,,372350,64.27,10000,-,100,46339,2359117,Discover Financial Services,,i,S,64.36,-0.11
2016-09-29,2702208,64.36,,64.73,,2017-08-22,,-0.23,0,2,2017-09-29T10:14:21-05:00,0,64.51,2.26,2016-10-13,2017-09-29T10:59:07-05:00,20000,14.37,74.33,64.09,1.4,,DFS,,64.21,BATS,2017-01-04,64.18,0,2017-09-28,53.91,,372350,64.21,17500,-,100,46439,2359117,Discover Financial Services,,i,S,64.36,-0.15
2016-09-29,2702208,64.36,,64.73,,2017-08-22,,-0.23,0,2,2017-09-29T10:14:37-05:00,0,64.51,2.26,2016-10-13,2017-09-29T10:59:07-05:00,10000,14.37,74.33,64.09,1.4,,DFS,,64.21,BATS,2017-01-04,64.03,0,2017-09-28,53.91,,372350,64.18,42500,-,100,46439,2359117,Discover Financial Services,,i,S,64.36,-0.15
