twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,3368192,62.86,,63.06,,2017-08-09,,0.24,0,2,2017-09-29T10:09:19-05:00,0,62.73,3.02,2016-10-13,2017-09-29T10:54:19-05:00,10000,18.79,64.36,62.56,1.92,,EMR,,63.01,BATS,2017-02-14,63,0,2017-09-28,49.22,,640020,63.01,20000,.,100,57288,2614843,Emerson Electric Company,,i,S,62.86,0.15
2016-09-29,3368192,62.86,,63.06,,2017-08-09,,0.3,0,2,2017-09-29T10:10:09-05:00,0,62.73,3.02,2016-10-13,2017-09-29T10:55:04-05:00,10000,18.79,64.36,62.56,1.92,,EMR,,63.05,BATS,2017-02-14,63.04,0,2017-09-28,49.22,,640020,63.05,29600,.,100,64210,2614843,Emerson Electric Company,,i,S,62.86,0.19
2016-09-29,3368192,62.86,,63.06,,2017-08-09,,0.25,0,2,2017-09-29T10:10:39-05:00,0,62.73,3.02,2016-10-13,2017-09-29T10:55:37-05:00,20000,18.79,64.36,62.56,1.92,,EMR,,63.02,BATS,2017-02-14,63.01,0,2017-09-28,49.22,,640020,63.03,30000,.,55,67361,2614843,Emerson Electric Company,,i,S,62.86,0.16
2016-09-29,3368192,62.86,,63.06,,2017-08-09,,0.27,0,2,2017-09-29T10:11:15-05:00,0,62.73,3.02,2016-10-13,2017-09-29T10:56:05-05:00,10000,18.79,64.36,62.56,1.92,,EMR,,63.03,BATS,2017-02-14,63.03,0,2017-09-28,49.22,,640020,63.04,20000,.,100,69361,2614843,Emerson Electric Company,,i,S,62.86,0.17
2016-09-29,3368192,62.86,,63.06,,2017-08-09,,0.29,0,2,2017-09-29T10:11:52-05:00,0,62.73,3.02,2016-10-13,2017-09-29T10:56:52-05:00,10000,18.79,64.36,62.56,1.92,,EMR,,63.04,BATS,2017-02-14,63.03,0,2017-09-28,49.22,,640020,63.05,30000,-,11,69772,2614843,Emerson Electric Company,,i,S,62.86,0.18
2016-09-29,3368192,62.86,,63.06,,2017-08-09,,0.3,0,2,2017-09-29T10:12:31-05:00,0,62.73,3.02,2016-10-13,2017-09-29T10:57:31-05:00,10000,18.79,64.36,62.56,1.92,,EMR,,63.05,BATS,2017-02-14,63.05,0,2017-09-28,49.22,,640020,63.06,20000,+,100,70072,2614843,Emerson Electric Company,,i,S,62.86,0.19
2016-09-29,3368485,62.86,,63.06,,2017-08-09,,0.32,0,2,2017-09-29T10:13:04-05:00,0,62.73,3.02,2016-10-13,2017-09-29T10:57:38-05:00,10000,18.79,64.36,62.56,1.92,,EMR,,63.06,BATS,2017-02-14,63.06,0,2017-09-28,49.22,,640020,63.07,20000,.,95,70372,2617601,Emerson Electric Company,,i,S,62.86,0.2
2016-09-29,3368485,62.86,,63.06,,2017-08-09,,0.3,0,2,2017-09-29T10:13:36-05:00,0,62.73,3.02,2016-10-13,2017-09-29T10:58:30-05:00,10000,18.79,64.36,62.56,1.92,,EMR,,63.05,BATS,2017-02-14,63.04,0,2017-09-28,49.22,,640020,63.05,10000,.,100,70972,2617601,Emerson Electric Company,,i,S,62.86,0.19
2016-09-29,3368485,62.86,,63.06,,2017-08-09,,0.3,0,2,2017-09-29T10:14:07-05:00,0,62.73,3.02,2016-10-13,2017-09-29T10:59:03-05:00,20000,18.79,64.36,62.56,1.92,,EMR,,63.05,BATS,2017-02-14,63.03,0,2017-09-28,49.22,,640020,63.05,30000,.,10,71282,2617601,Emerson Electric Company,,i,S,62.86,0.19
2016-09-29,3368485,62.86,,63.06,,2017-08-09,,0.27,0,2,2017-09-29T10:14:50-05:00,0,62.73,3.02,2016-10-13,2017-09-29T10:59:44-05:00,20000,18.79,64.36,62.56,1.92,,EMR,,63.03,BATS,2017-02-14,63.02,0,2017-09-28,49.22,,640020,63.03,10000,.,50,72182,2617601,Emerson Electric Company,,i,S,62.86,0.17
2016-09-29,3368485,62.86,,63.06,,2017-08-09,,0.27,0,2,2017-09-29T10:15:21-05:00,0,62.73,3.02,2016-10-13,2017-09-29T10:59:44-05:00,20000,18.79,64.36,62.56,1.92,,EMR,,63.03,BATS,2017-02-14,63.02,0,2017-09-28,49.22,,640020,63.03,20000,.,50,72182,2617601,Emerson Electric Company,,i,S,62.86,0.17
2016-09-29,3368485,62.86,,63.06,,2017-08-09,,0.27,0,2,2017-09-29T10:16:04-05:00,0,62.73,3.02,2016-10-13,2017-09-29T10:59:44-05:00,20000,18.79,64.36,62.56,1.92,,EMR,,63.03,BATS,2017-02-14,63.02,0,2017-09-28,49.22,,640020,63.03,20000,.,50,72182,2617601,Emerson Electric Company,,i,S,62.86,0.17
2016-09-29,3368485,62.86,,63.06,,2017-08-09,,0.24,0,2,2017-09-29T10:16:35-05:00,0,62.73,3.02,2016-10-13,2017-09-29T11:01:34-05:00,40000,18.79,64.36,62.56,1.92,,EMR,,63.01,BATS,2017-02-14,63,0,2017-09-28,49.22,,640020,63.01,130000,-,100,72582,2617601,Emerson Electric Company,,i,S,62.86,0.15
2016-09-29,3368485,62.86,,63.06,,2017-08-09,,0.24,0,2,2017-09-29T10:17:05-05:00,0,62.73,3.02,2016-10-13,2017-09-29T11:01:54-05:00,33300,18.79,64.36,62.56,1.92,,EMR,,63.01,BATS,2017-02-14,63,0,2017-09-28,49.22,,640020,63.01,380000,.,67,72649,2617601,Emerson Electric Company,,i,S,62.86,0.15
2016-09-29,3368485,62.86,,63.06,,2017-08-09,,0.21,0,2,2017-09-29T10:17:39-05:00,0,62.73,3.02,2016-10-13,2017-09-29T11:02:37-05:00,10000,18.79,64.36,62.56,1.92,,EMR,,62.99,BATS,2017-02-14,62.98,0,2017-09-28,49.22,,640020,63,10000,.,33,76982,2617601,Emerson Electric Company,,i,S,62.86,0.13
