twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,3427750,235.47,,237.31,,2017-08-29,,0.28,0,2,2017-09-29T10:09:20-05:00,0,234.94,1.3,2016-09-30,2017-09-29T10:54:19-05:00,10000,48.53,255.15,234.57,3,,GS,,236.12,BATS,2017-03-01,236.06,0,2017-09-28,157.8,,386880,236.22,10000,-,100,40736,2698935,Goldman Sachs Group,,i,S,235.47,0.65
2016-09-29,3427750,235.47,,237.31,,2017-08-29,,0.27,0,2,2017-09-29T10:10:16-05:00,0,234.94,1.3,2016-09-30,2017-09-29T10:54:34-05:00,10000,48.53,255.15,234.57,3,,GS,,236.11,BATS,2017-03-01,236.1,0,2017-09-28,157.8,,386880,236.26,30000,-,2,40938,2698935,Goldman Sachs Group,,i,S,235.47,0.64
2016-09-29,3427750,235.47,,237.31,,2017-08-29,,0.32,0,2,2017-09-29T10:10:48-05:00,0,234.94,1.3,2016-09-30,2017-09-29T10:55:48-05:00,10000,48.53,255.15,234.57,3,,GS,,236.22,BATS,2017-03-01,236.2,0,2017-09-28,157.8,,386880,236.3,20000,-,25,41102,2698935,Goldman Sachs Group,,i,S,235.47,0.75
2016-09-29,3427750,235.47,,237.31,,2017-08-29,,0.27,0,2,2017-09-29T10:11:15-05:00,0,234.94,1.3,2016-09-30,2017-09-29T10:56:15-05:00,10000,48.53,255.15,234.57,3,,GS,,236.1,BATS,2017-03-01,236.06,0,2017-09-28,157.8,,386880,236.22,10000,-,25,41427,2698935,Goldman Sachs Group,,i,S,235.47,0.63
2016-09-29,3427750,235.47,,237.31,,2017-08-29,,0.26,0,2,2017-09-29T10:11:50-05:00,0,234.94,1.3,2016-09-30,2017-09-29T10:56:48-05:00,10000,48.53,255.15,234.57,3,,GS,,236.09,BATS,2017-03-01,235.98,0,2017-09-28,157.8,,386880,236.14,30000,-,1,41453,2698935,Goldman Sachs Group,,i,S,235.47,0.62
2016-09-29,3427750,235.47,,237.31,,2017-08-29,,0.24,0,2,2017-09-29T10:12:36-05:00,0,234.94,1.3,2016-09-30,2017-09-29T10:57:36-05:00,10000,48.7,255.15,234.57,3,,GS,,236.04,BATS,2017-03-01,235.98,0,2017-09-28,157.8,,386880,236.14,10000,-,25,41478,2698935,Goldman Sachs Group,,i,S,235.47,0.57
2016-09-29,3427874,235.47,,237.31,,2017-08-29,,0.33,0,2,2017-09-29T10:13:10-05:00,0,234.94,1.3,2016-09-30,2017-09-29T10:57:42-05:00,20000,48.7,255.15,234.57,3,,GS,,236.25,BATS,2017-03-01,236.06,0,2017-09-28,157.8,,386880,236.18,10000,+,100,41678,2700091,Goldman Sachs Group,,i,S,235.47,0.78
2016-09-29,3427874,235.47,,237.31,,2017-08-29,,0.24,0,2,2017-09-29T10:13:44-05:00,0,234.94,1.3,2016-09-30,2017-09-29T10:58:18-05:00,10000,48.7,255.15,234.57,3,,GS,,236.04,BATS,2017-03-01,236.14,0,2017-09-28,157.8,,386880,236.26,10500,-,100,41778,2700091,Goldman Sachs Group,,i,S,235.47,0.57
2016-09-29,3427874,235.47,,237.31,,2017-08-29,,0.3,0,2,2017-09-29T10:14:14-05:00,0,234.94,1.3,2016-09-30,2017-09-29T10:59:14-05:00,10000,48.7,255.15,234.57,3,,GS,,236.18,BATS,2017-03-01,236.16,0,2017-09-28,157.8,,386880,236.26,10000,-,41,41920,2700091,Goldman Sachs Group,,i,S,235.47,0.71
2016-09-29,3427874,235.47,,237.31,,2017-08-29,,0.29,0,2,2017-09-29T10:14:56-05:00,0,234.94,1.3,2016-09-30,2017-09-29T10:59:44-05:00,10000,48.7,255.15,234.57,3,,GS,,236.16,BATS,2017-03-01,236.1,0,2017-09-28,157.8,,386880,236.22,100,-,100,42220,2700091,Goldman Sachs Group,,i,S,235.47,0.69
2016-09-29,3427874,235.47,,237.31,,2017-08-29,,0.29,0,2,2017-09-29T10:15:29-05:00,0,234.94,1.3,2016-09-30,2017-09-29T10:59:44-05:00,10000,48.7,255.15,234.57,3,,GS,,236.16,BATS,2017-03-01,236.1,0,2017-09-28,157.8,,386880,236.18,100,-,100,42220,2700091,Goldman Sachs Group,,i,S,235.47,0.69
2016-09-29,3427874,235.47,,237.31,,2017-08-29,,0.31,0,2,2017-09-29T10:16:09-05:00,0,234.94,1.3,2016-09-30,2017-09-29T11:01:06-05:00,10000,48.7,255.15,234.57,3,,GS,,236.2,BATS,2017-03-01,236.14,0,2017-09-28,157.8,,386880,236.3,30000,-,2,42800,2700091,Goldman Sachs Group,,i,S,235.47,0.73
2016-09-29,3427874,235.47,,237.31,,2017-08-29,,0.31,0,2,2017-09-29T10:16:34-05:00,0,234.94,1.3,2016-09-30,2017-09-29T11:01:06-05:00,10000,48.7,255.15,234.57,3,,GS,,236.2,BATS,2017-03-01,236.21,0,2017-09-28,157.8,,386880,236.3,100,-,2,42800,2700091,Goldman Sachs Group,,i,S,235.47,0.73
2016-09-29,3427874,235.47,,237.31,,2017-08-29,,0.32,0,2,2017-09-29T10:17:02-05:00,0,234.94,1.3,2016-09-30,2017-09-29T11:01:44-05:00,10000,48.7,255.15,234.57,3,,GS,,236.23,BATS,2017-03-01,236.27,0,2017-09-28,157.8,,386880,236.38,100,+,1,42801,2700091,Goldman Sachs Group,,i,S,235.47,0.76
