twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,4940688,24.49,,24.87,,2017-08-11,,1.51,0,2,2017-09-29T10:09:20-05:00,0,24.54,2.48,2017-02-03,2017-09-29T10:53:27-05:00,71500,-1.37,27.07,24.54,0.6,,HBI,,24.86,BATS,2016-10-28,24.86,0,2017-09-28,18.91,,364480,24.87,99000,.,100,60934,3870283,Hanesbrands Inc,,i,S,24.49,0.37
2016-09-29,4940688,24.49,,24.87,,2017-08-11,,1.51,0,2,2017-09-29T10:10:04-05:00,0,24.54,2.48,2017-02-03,2017-09-29T10:55:02-05:00,50000,-1.37,27.07,24.54,0.6,,HBI,,24.86,BATS,2016-10-28,24.86,0,2017-09-28,18.91,,364480,24.87,40000,.,100,62251,3870283,Hanesbrands Inc,,i,S,24.49,0.37
2016-09-29,4940688,24.49,,24.87,,2017-08-11,,1.55,0,2,2017-09-29T10:10:48-05:00,0,24.54,2.48,2017-02-03,2017-09-29T10:55:36-05:00,100000,-1.37,27.07,24.54,0.6,,HBI,,24.87,BATS,2016-10-28,24.86,0,2017-09-28,18.91,,364480,24.87,40000,+,100,62551,3870283,Hanesbrands Inc,,i,S,24.49,0.38
2016-09-29,4940688,24.49,,24.87,,2017-08-11,,1.55,0,2,2017-09-29T10:11:18-05:00,0,24.54,2.48,2017-02-03,2017-09-29T10:55:36-05:00,70000,-1.37,27.07,24.54,0.6,,HBI,,24.87,BATS,2016-10-28,24.86,0,2017-09-28,18.91,,364480,24.88,50000,+,100,62551,3870283,Hanesbrands Inc,,i,S,24.49,0.38
2016-09-29,4940688,24.49,,24.87,,2017-08-11,,1.51,0,2,2017-09-29T10:12:02-05:00,0,24.54,2.48,2017-02-03,2017-09-29T10:56:54-05:00,60000,-1.37,27.07,24.54,0.6,,HBI,,24.86,BATS,2016-10-28,24.85,0,2017-09-28,18.91,,364480,24.86,70000,.,100,63251,3870283,Hanesbrands Inc,,i,S,24.49,0.37
2016-09-29,4940688,24.49,,24.87,,2017-08-11,,1.43,0,2,2017-09-29T10:12:37-05:00,0,24.54,2.48,2017-02-03,2017-09-29T10:57:36-05:00,190000,-1.31,27.07,24.54,0.6,,HBI,,24.84,BATS,2016-10-28,24.84,0,2017-09-28,18.91,,364480,24.85,10000,-,100,64851,3870283,Hanesbrands Inc,,i,S,24.49,0.35
2016-09-29,4941051,24.49,,24.87,,2017-08-11,,1.43,0,2,2017-09-29T10:13:10-05:00,0,24.54,2.48,2017-02-03,2017-09-29T10:58:10-05:00,40000,-1.31,27.07,24.54,0.6,,HBI,,24.84,BATS,2016-10-28,24.84,0,2017-09-28,18.91,,364480,24.85,51700,.,100,65651,3873698,Hanesbrands Inc,,i,S,24.49,0.35
2016-09-29,4941051,24.49,,24.87,,2017-08-11,,1.47,0,2,2017-09-29T10:13:43-05:00,0,24.54,2.48,2017-02-03,2017-09-29T10:58:42-05:00,40000,-1.31,27.07,24.54,0.6,,HBI,,24.85,BATS,2016-10-28,24.84,0,2017-09-28,18.91,,364480,24.85,30000,.,10,66351,3873698,Hanesbrands Inc,,i,S,24.49,0.36
2016-09-29,4941051,24.49,,24.87,,2017-08-11,,1.43,0,2,2017-09-29T10:14:26-05:00,0,24.54,2.48,2017-02-03,2017-09-29T10:59:10-05:00,50000,-1.31,27.07,24.54,0.6,,HBI,,24.84,BATS,2016-10-28,24.84,0,2017-09-28,18.91,,364480,24.85,36000,.,140,66591,3873698,Hanesbrands Inc,,i,S,24.49,0.35
2016-09-29,4941051,24.49,,24.87,,2017-08-11,,1.43,0,2,2017-09-29T10:14:53-05:00,0,24.54,2.48,2017-02-03,2017-09-29T10:59:10-05:00,50000,-1.31,27.07,24.54,0.6,,HBI,,24.84,BATS,2016-10-28,24.84,0,2017-09-28,18.91,,364480,24.85,26000,.,140,66591,3873698,Hanesbrands Inc,,i,S,24.49,0.35
2016-09-29,4941051,24.49,,24.87,,2017-08-11,,1.43,0,2,2017-09-29T10:15:35-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:00:32-05:00,71500,-1.31,27.07,24.54,0.6,,HBI,,24.84,BATS,2016-10-28,24.83,0,2017-09-28,18.91,,364480,24.84,40000,.,100,67091,3873698,Hanesbrands Inc,,i,S,24.49,0.35
2016-09-29,4941051,24.49,,24.87,,2017-08-11,,1.39,0,2,2017-09-29T10:16:09-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:01:06-05:00,40000,-1.31,27.07,24.54,0.6,,HBI,,24.83,BATS,2016-10-28,24.82,0,2017-09-28,18.91,,364480,24.83,40000,.,100,67491,3873698,Hanesbrands Inc,,i,S,24.49,0.34
2016-09-29,4941051,24.49,,24.87,,2017-08-11,,1.39,0,2,2017-09-29T10:16:42-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:01:22-05:00,70000,-1.31,27.07,24.54,0.6,,HBI,,24.83,BATS,2016-10-28,24.82,0,2017-09-28,18.91,,364480,24.84,70000,.,100,67591,3873698,Hanesbrands Inc,,i,S,24.49,0.34
2016-09-29,4941051,24.49,,24.87,,2017-08-11,,1.35,0,2,2017-09-29T10:17:11-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:01:58-05:00,70000,-1.31,27.07,24.54,0.6,,HBI,,24.82,BATS,2016-10-28,24.82,0,2017-09-28,18.91,,364480,24.84,70000,-,100,67791,3873698,Hanesbrands Inc,,i,S,24.49,0.33
2016-09-29,4941051,24.49,,24.87,,2017-08-11,,1.39,0,2,2017-09-29T10:17:45-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:02:18-05:00,50000,-1.31,27.07,24.54,0.6,,HBI,,24.83,BATS,2016-10-28,24.83,0,2017-09-28,18.91,,364480,24.84,30000,+,100,67891,3873698,Hanesbrands Inc,,i,S,24.49,0.34
2016-09-29,4941051,24.49,,24.87,,2017-08-11,,1.39,0,2,2017-09-29T10:18:16-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:02:18-05:00,60000,-1.31,27.07,24.54,0.6,,HBI,,24.83,BATS,2016-10-28,24.83,0,2017-09-28,18.91,,364480,24.84,20000,+,100,67891,3873698,Hanesbrands Inc,,i,S,24.49,0.34
2016-09-29,4941051,24.49,,24.87,,2017-08-11,,1.39,0,2,2017-09-29T10:18:30-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:02:18-05:00,50000,-1.31,27.07,24.54,0.6,,HBI,,24.83,BATS,2016-10-28,24.83,0,2017-09-28,18.91,,364480,24.84,40000,+,100,67891,3873698,Hanesbrands Inc,,i,S,24.49,0.34
2016-09-29,4941051,24.49,,24.87,,2017-08-11,,1.39,0,2,2017-09-29T10:19:11-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:02:18-05:00,50000,-1.31,27.07,24.54,0.6,,HBI,,24.83,BATS,2016-10-28,24.83,0,2017-09-28,18.91,,364480,24.84,30000,+,100,67891,3873698,Hanesbrands Inc,,i,S,24.49,0.34
2016-09-29,4941051,24.49,,24.87,,2017-08-11,,1.39,0,2,2017-09-29T10:19:46-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:02:18-05:00,50000,-1.31,27.07,24.54,0.6,,HBI,,24.83,BATS,2016-10-28,24.83,0,2017-09-28,18.91,,364480,24.84,70000,+,100,67891,3873698,Hanesbrands Inc,,i,S,24.49,0.34
2016-09-29,4941051,24.49,,24.87,,2017-08-11,,1.43,0,2,2017-09-29T10:20:20-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:05:20-05:00,60000,-1.31,27.07,24.54,0.6,,HBI,,24.84,BATS,2016-10-28,24.83,0,2017-09-28,18.91,,364480,24.85,100000,.,100,68391,3873698,Hanesbrands Inc,,i,S,24.49,0.35
2016-09-29,4941051,24.49,,24.87,,2017-08-11,,1.47,0,2,2017-09-29T10:21:05-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:05:36-05:00,30000,-1.31,27.07,24.54,0.6,,HBI,,24.85,BATS,2016-10-28,24.85,0,2017-09-28,18.91,,364480,24.86,110000,.,99,68591,3873698,Hanesbrands Inc,,i,S,24.49,0.36
2016-09-29,4941051,24.49,,24.87,,2017-08-11,,1.51,0,2,2017-09-29T10:21:35-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:06:16-05:00,88200,-1.31,27.07,24.54,0.6,,HBI,,24.86,BATS,2016-10-28,24.85,0,2017-09-28,18.91,,364480,24.86,50000,+,100,68691,3873698,Hanesbrands Inc,,i,S,24.49,0.37
2016-09-29,4941051,24.49,,24.87,,2017-08-11,,1.51,0,2,2017-09-29T10:22:05-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:06:16-05:00,30000,-1.31,27.07,24.54,0.6,,HBI,,24.86,BATS,2016-10-28,24.85,0,2017-09-28,18.91,,364480,24.86,90000,+,100,68691,3873698,Hanesbrands Inc,,i,S,24.49,0.37
2016-09-29,4941051,24.49,,24.87,,2017-08-11,,1.51,0,2,2017-09-29T10:22:51-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:07:50-05:00,40000,-1.31,27.07,24.54,0.6,,HBI,,24.86,BATS,2016-10-28,24.86,0,2017-09-28,18.91,,364480,24.87,42000,.,6,68997,3873698,Hanesbrands Inc,,i,S,24.49,0.37
2016-09-29,4941051,24.49,,24.88,,2017-08-11,,1.59,0,2,2017-09-29T10:23:24-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:08:21-05:00,52100,-1.31,27.07,24.54,0.6,,HBI,,24.88,BATS,2016-10-28,24.88,0,2017-09-28,18.91,,364480,24.89,60000,.,100,69773,3873698,Hanesbrands Inc,,i,S,24.49,0.39
2016-09-29,4941051,24.49,,24.88,,2017-08-11,,1.59,0,2,2017-09-29T10:24:16-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:09:09-05:00,71700,-1.31,27.07,24.54,0.6,,HBI,,24.88,BATS,2016-10-28,24.87,0,2017-09-28,18.91,,364480,24.88,50000,.,185,70673,3873698,Hanesbrands Inc,,i,S,24.49,0.39
2016-09-29,4941051,24.49,,24.88,,2017-08-11,,1.59,0,2,2017-09-29T10:24:34-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:09:25-05:00,32100,-1.31,27.07,24.54,0.6,,HBI,,24.88,BATS,2016-10-28,24.88,0,2017-09-28,18.91,,364480,24.89,70000,.,72,71234,3873698,Hanesbrands Inc,,i,S,24.49,0.39
2016-09-29,4941051,24.49,,24.88,,2017-08-11,,1.59,0,2,2017-09-29T10:25:09-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:09:25-05:00,32100,-1.31,27.07,24.54,0.6,,HBI,,24.88,BATS,2016-10-28,24.88,0,2017-09-28,18.91,,364480,24.89,110000,.,72,71234,3873698,Hanesbrands Inc,,i,S,24.49,0.39
2016-09-29,4941051,24.49,,24.88,,2017-08-11,,1.59,0,2,2017-09-29T10:26:06-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:09:25-05:00,42100,-1.31,27.07,24.54,0.6,,HBI,,24.88,BATS,2016-10-28,24.88,0,2017-09-28,18.91,,364480,24.89,100000,.,72,71234,3873698,Hanesbrands Inc,,i,S,24.49,0.39
2016-09-29,4941051,24.49,,24.88,,2017-08-11,,1.59,0,2,2017-09-29T10:26:49-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:09:25-05:00,52100,-1.31,27.07,24.54,0.6,,HBI,,24.88,BATS,2016-10-28,24.88,0,2017-09-28,18.91,,364480,24.89,80000,.,72,71234,3873698,Hanesbrands Inc,,i,S,24.49,0.39
2016-09-29,4941051,24.49,,24.88,,2017-08-11,,1.59,0,2,2017-09-29T10:27:21-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:09:25-05:00,42100,-1.31,27.07,24.54,0.6,,HBI,,24.88,BATS,2016-10-28,24.88,0,2017-09-28,18.91,,364480,24.89,100000,.,72,71234,3873698,Hanesbrands Inc,,i,S,24.49,0.39
2016-09-29,4941051,24.49,,24.88,,2017-08-11,,1.59,0,2,2017-09-29T10:27:53-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:09:25-05:00,62100,-1.31,27.07,24.54,0.6,,HBI,,24.88,BATS,2016-10-28,24.88,0,2017-09-28,18.91,,364480,24.89,80000,.,72,71234,3873698,Hanesbrands Inc,,i,S,24.49,0.39
2016-09-29,4941496,24.49,,24.89,,2017-08-11,,1.63,0,2,2017-09-29T10:28:31-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:13:30-05:00,102100,-0.91,27.07,24.54,0.6,,HBI,,24.89,BATS,2016-10-28,24.89,0,2017-09-28,18.91,,364480,24.9,80000,.,100,73234,3877885,Hanesbrands Inc,,i,S,24.49,0.4
2016-09-29,4941496,24.49,,24.91,,2017-08-11,,1.71,0,2,2017-09-29T10:29:01-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:14:00-05:00,50000,-0.91,27.07,24.54,0.6,,HBI,,24.91,BATS,2016-10-28,24.91,0,2017-09-28,18.91,,364480,24.92,11000,.,50,75605,3877885,Hanesbrands Inc,,i,S,24.49,0.42
2016-09-29,4941496,24.49,,24.91,,2017-08-11,,1.71,0,2,2017-09-29T10:29:32-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:14:00-05:00,30000,-0.91,27.07,24.54,0.6,,HBI,,24.91,BATS,2016-10-28,24.92,0,2017-09-28,18.91,,364480,24.93,40000,.,50,75605,3877885,Hanesbrands Inc,,i,S,24.49,0.42
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.71,0,2,2017-09-29T10:30:25-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:15:10-05:00,37700,-0.91,27.07,24.54,0.6,,HBI,,24.91,BATS,2016-10-28,24.9,0,2017-09-28,18.91,,364480,24.91,30000,.,23,77238,3877885,Hanesbrands Inc,,i,S,24.49,0.42
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.71,0,2,2017-09-29T10:30:58-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:15:10-05:00,37700,-0.91,27.07,24.54,0.6,,HBI,,24.91,BATS,2016-10-28,24.9,0,2017-09-28,18.91,,364480,24.91,60000,.,23,77238,3877885,Hanesbrands Inc,,i,S,24.49,0.42
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.76,0,2,2017-09-29T10:31:45-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:16:39-05:00,50000,-0.91,27.07,24.54,0.6,,HBI,,24.92,BATS,2016-10-28,24.92,0,2017-09-28,18.91,,364480,24.93,20000,.,100,78015,3877885,Hanesbrands Inc,,i,S,24.49,0.43
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.8,0,2,2017-09-29T10:32:19-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:17:14-05:00,28300,-0.91,27.07,24.54,0.6,,HBI,,24.93,BATS,2016-10-28,24.92,0,2017-09-28,18.91,,364480,24.93,60000,.,37,78352,3877885,Hanesbrands Inc,,i,S,24.49,0.44
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.8,0,2,2017-09-29T10:32:57-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:17:14-05:00,48300,-0.91,27.07,24.54,0.6,,HBI,,24.93,BATS,2016-10-28,24.92,0,2017-09-28,18.91,,364480,24.93,50000,.,37,78352,3877885,Hanesbrands Inc,,i,S,24.49,0.44
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.8,0,2,2017-09-29T10:33:38-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:18:12-05:00,30000,-0.91,27.07,24.54,0.6,,HBI,,24.93,BATS,2016-10-28,24.92,0,2017-09-28,18.91,,364480,24.93,70000,+,5,78557,3877885,Hanesbrands Inc,,i,S,24.49,0.44
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.8,0,2,2017-09-29T10:34:21-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:18:12-05:00,50000,-0.91,27.07,24.54,0.6,,HBI,,24.93,BATS,2016-10-28,24.92,0,2017-09-28,18.91,,364480,24.93,70000,+,5,78557,3877885,Hanesbrands Inc,,i,S,24.49,0.44
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.8,0,2,2017-09-29T10:34:42-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:18:12-05:00,50000,-0.91,27.07,24.54,0.6,,HBI,,24.93,BATS,2016-10-28,24.92,0,2017-09-28,18.91,,364480,24.93,70000,+,5,78557,3877885,Hanesbrands Inc,,i,S,24.49,0.44
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.76,0,2,2017-09-29T10:35:01-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:20:01-05:00,40000,-0.91,27.07,24.54,0.6,,HBI,,24.92,BATS,2016-10-28,24.92,0,2017-09-28,18.91,,364480,24.93,80000,-,13,78570,3877885,Hanesbrands Inc,,i,S,24.49,0.43
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.76,0,2,2017-09-29T10:35:48-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:20:01-05:00,40000,-0.91,27.07,24.54,0.6,,HBI,,24.92,BATS,2016-10-28,24.92,0,2017-09-28,18.91,,364480,24.93,80000,-,13,78570,3877885,Hanesbrands Inc,,i,S,24.49,0.43
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.76,0,2,2017-09-29T10:36:31-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:20:01-05:00,50000,-0.91,27.07,24.54,0.6,,HBI,,24.92,BATS,2016-10-28,24.92,0,2017-09-28,18.91,,364480,24.93,100000,-,13,78570,3877885,Hanesbrands Inc,,i,S,24.49,0.43
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.76,0,2,2017-09-29T10:36:50-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:20:01-05:00,50000,-0.91,27.07,24.54,0.6,,HBI,,24.92,BATS,2016-10-28,24.92,0,2017-09-28,18.91,,364480,24.93,94800,-,13,78570,3877885,Hanesbrands Inc,,i,S,24.49,0.43
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.8,0,2,2017-09-29T10:37:22-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:22:21-05:00,4800,-0.91,27.07,24.54,0.6,,HBI,,24.93,BATS,2016-10-28,24.92,0,2017-09-28,18.91,,364480,24.93,64800,.,2,79133,3877885,Hanesbrands Inc,,i,S,24.49,0.44
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.8,0,2,2017-09-29T10:38:02-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:22:21-05:00,24800,-0.91,27.07,24.54,0.6,,HBI,,24.93,BATS,2016-10-28,24.92,0,2017-09-28,18.91,,364480,24.93,104800,.,2,79133,3877885,Hanesbrands Inc,,i,S,24.49,0.44
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.8,0,2,2017-09-29T10:38:38-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:22:21-05:00,20000,-0.91,27.07,24.54,0.6,,HBI,,24.93,BATS,2016-10-28,24.92,0,2017-09-28,18.91,,364480,24.93,94000,.,2,79133,3877885,Hanesbrands Inc,,i,S,24.49,0.44
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.8,0,2,2017-09-29T10:39:22-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:22:21-05:00,60000,-0.91,27.07,24.54,0.6,,HBI,,24.93,BATS,2016-10-28,24.92,0,2017-09-28,18.91,,364480,24.93,90000,.,2,79133,3877885,Hanesbrands Inc,,i,S,24.49,0.44
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.71,0,2,2017-09-29T10:39:52-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:24:41-05:00,124900,-0.91,27.07,24.54,0.6,,HBI,,24.91,BATS,2016-10-28,24.9,0,2017-09-28,18.91,,364480,24.92,90000,+,100,80533,3877885,Hanesbrands Inc,,i,S,24.49,0.42
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.63,0,2,2017-09-29T10:40:51-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:25:48-05:00,110000,-0.91,27.07,24.54,0.6,,HBI,,24.89,BATS,2016-10-28,24.89,0,2017-09-28,18.91,,364480,24.9,40000,.,3,81280,3877885,Hanesbrands Inc,,i,S,24.49,0.4
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.67,0,2,2017-09-29T10:41:28-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:26:02-05:00,20000,-0.91,27.07,24.54,0.6,,HBI,,24.9,BATS,2016-10-28,24.92,0,2017-09-28,18.91,,364480,24.93,71000,.,58,81406,3877885,Hanesbrands Inc,,i,S,24.49,0.41
2016-09-29,4941496,24.49,,24.93,,2017-08-11,,1.67,0,2,2017-09-29T10:41:56-05:00,0,24.54,2.48,2017-02-03,2017-09-29T11:26:02-05:00,30000,-0.91,27.07,24.54,0.6,,HBI,,24.9,BATS,2016-10-28,24.92,0,2017-09-28,18.91,,364480,24.93,51000,.,58,81406,3877885,Hanesbrands Inc,,i,S,24.49,0.41
