twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,4131325,46.54,,46.59,,2017-09-15,,0.09,0,2,2017-09-29T10:09:23-05:00,0,46.35,2.17,2017-08-30,2017-09-29T10:54:05-05:00,30500,-10.95,65.56,46.09,1,,HES,,46.58,BATS,2016-12-13,46.62,0,2017-09-28,37.25,,317840,46.66,10000,+,100,30945,3972667,Hess Corp,,i,S,46.54,0.04
2016-09-29,4131325,46.54,,46.73,,2017-09-15,,0.3,0,2,2017-09-29T10:10:16-05:00,0,46.35,2.17,2017-08-30,2017-09-29T10:55:03-05:00,32500,-10.95,65.56,46.09,1,,HES,,46.68,BATS,2016-12-13,46.62,0,2017-09-28,37.25,,317840,46.67,10000,-,6,31467,3972667,Hess Corp,,i,S,46.54,0.14
2016-09-29,4131325,46.54,,46.73,,2017-09-15,,0.28,0,2,2017-09-29T10:10:50-05:00,0,46.35,2.17,2017-08-30,2017-09-29T10:55:49-05:00,22500,-10.95,65.56,46.09,1,,HES,,46.67,BATS,2016-12-13,46.66,0,2017-09-28,37.25,,317840,46.67,10000,.,100,31702,3972667,Hess Corp,,i,S,46.54,0.13
2016-09-29,4131325,46.54,,46.73,,2017-09-15,,0.26,0,2,2017-09-29T10:11:14-05:00,0,46.35,2.17,2017-08-30,2017-09-29T10:56:14-05:00,10000,-10.95,65.56,46.09,1,,HES,,46.66,BATS,2016-12-13,46.62,0,2017-09-28,37.25,,317840,46.68,10000,-,10,31812,3972667,Hess Corp,,i,S,46.54,0.12
2016-09-29,4131325,46.54,,46.73,,2017-09-15,,0.21,0,2,2017-09-29T10:11:59-05:00,0,46.35,2.17,2017-08-30,2017-09-29T10:56:56-05:00,10000,-10.95,65.56,46.09,1,,HES,,46.64,BATS,2016-12-13,46.62,0,2017-09-28,37.25,,317840,46.66,10000,.,3,32248,3972667,Hess Corp,,i,S,46.54,0.1
2016-09-29,4131325,46.54,,46.73,,2017-09-15,,0.21,0,2,2017-09-29T10:12:38-05:00,0,46.35,2.17,2017-08-30,2017-09-29T10:56:56-05:00,20000,-10.12,65.56,46.09,1,,HES,,46.64,BATS,2016-12-13,46.68,0,2017-09-28,37.25,,317840,46.72,10000,.,3,32248,3972667,Hess Corp,,i,S,46.54,0.1
2016-09-29,4131688,46.54,,46.74,,2017-09-15,,0.43,0,2,2017-09-29T10:12:59-05:00,0,46.35,2.17,2017-08-30,2017-09-29T10:57:51-05:00,40500,-10.12,65.56,46.09,1,,HES,,46.74,BATS,2016-12-13,46.76,0,2017-09-28,37.25,,317840,46.83,20000,.,100,32948,3976079,Hess Corp,,i,S,46.54,0.2
2016-09-29,4131688,46.54,,46.78,,2017-09-15,,0.52,0,2,2017-09-29T10:13:43-05:00,0,46.35,2.17,2017-08-30,2017-09-29T10:58:20-05:00,30000,-10.12,65.56,46.09,1,,HES,,46.78,BATS,2016-12-13,46.7,0,2017-09-28,37.25,,317840,46.77,10000,.,100,33048,3976079,Hess Corp,,i,S,46.54,0.24
2016-09-29,4131688,46.54,,46.78,,2017-09-15,,0.45,0,2,2017-09-29T10:14:17-05:00,0,46.35,2.17,2017-08-30,2017-09-29T10:58:58-05:00,20000,-10.12,65.56,46.09,1,,HES,,46.75,BATS,2016-12-13,46.75,0,2017-09-28,37.25,,317840,46.77,20000,+,96,33594,3976079,Hess Corp,,i,S,46.54,0.21
2016-09-29,4131688,46.54,,46.83,,2017-09-15,,0.58,0,2,2017-09-29T10:14:54-05:00,0,46.35,2.17,2017-08-30,2017-09-29T10:59:40-05:00,10000,-10.12,65.56,46.09,1,,HES,,46.81,BATS,2016-12-13,46.81,0,2017-09-28,37.25,,317840,46.82,10000,-,100,34085,3976079,Hess Corp,,i,S,46.54,0.27
2016-09-29,4131688,46.54,,46.83,,2017-09-15,,0.62,0,2,2017-09-29T10:15:33-05:00,0,46.35,2.17,2017-08-30,2017-09-29T11:00:31-05:00,10000,-10.12,65.56,46.09,1,,HES,,46.83,BATS,2016-12-13,46.82,0,2017-09-28,37.25,,317840,46.84,3600,+,100,34495,3976079,Hess Corp,,i,S,46.54,0.29
2016-09-29,4131688,46.54,,46.83,,2017-09-15,,0.58,0,2,2017-09-29T10:16:05-05:00,0,46.35,2.17,2017-08-30,2017-09-29T11:00:44-05:00,30000,-10.12,65.56,46.09,1,,HES,,46.81,BATS,2016-12-13,46.8,0,2017-09-28,37.25,,317840,46.83,20000,-,100,34631,3976079,Hess Corp,,i,S,46.54,0.27
2016-09-29,4131688,46.54,,46.83,,2017-09-15,,0.58,0,2,2017-09-29T10:16:21-05:00,0,46.35,2.17,2017-08-30,2017-09-29T11:00:44-05:00,10000,-10.12,65.56,46.09,1,,HES,,46.81,BATS,2016-12-13,46.8,0,2017-09-28,37.25,,317840,46.83,20000,-,100,34631,3976079,Hess Corp,,i,S,46.54,0.27
2016-09-29,4131688,46.54,,46.83,,2017-09-15,,0.58,0,2,2017-09-29T10:17:00-05:00,0,46.35,2.17,2017-08-30,2017-09-29T11:00:44-05:00,20000,-10.12,65.56,46.09,1,,HES,,46.81,BATS,2016-12-13,46.81,0,2017-09-28,37.25,,317840,46.83,10000,-,100,34631,3976079,Hess Corp,,i,S,46.54,0.27
2016-09-29,4131688,46.54,,46.86,,2017-09-15,,0.69,0,2,2017-09-29T10:17:39-05:00,0,46.35,2.17,2017-08-30,2017-09-29T11:02:39-05:00,10000,-10.12,65.56,46.09,1,,HES,,46.86,BATS,2016-12-13,46.85,0,2017-09-28,37.25,,317840,46.88,30000,.,70,35439,3976079,Hess Corp,,i,S,46.54,0.32
2016-09-29,4131688,46.54,,46.88,,2017-09-15,,0.73,0,2,2017-09-29T10:18:15-05:00,0,46.35,2.17,2017-08-30,2017-09-29T11:03:11-05:00,10000,-10.12,65.56,46.09,1,,HES,,46.88,BATS,2016-12-13,46.85,0,2017-09-28,37.25,,317840,46.91,30000,.,75,35624,3976079,Hess Corp,,i,S,46.54,0.34
2016-09-29,4131688,46.54,,46.88,,2017-09-15,,0.67,0,2,2017-09-29T10:18:47-05:00,0,46.35,2.17,2017-08-30,2017-09-29T11:03:47-05:00,17500,-10.12,65.56,46.09,1,,HES,,46.85,BATS,2016-12-13,46.8,0,2017-09-28,37.25,,317840,46.87,10000,.,300,36224,3976079,Hess Corp,,i,S,46.54,0.31
2016-09-29,4131688,46.54,,46.88,,2017-09-15,,0.67,0,2,2017-09-29T10:19:12-05:00,0,46.35,2.17,2017-08-30,2017-09-29T11:03:47-05:00,10000,-10.12,65.56,46.09,1,,HES,,46.85,BATS,2016-12-13,46.82,0,2017-09-28,37.25,,317840,46.87,10000,.,300,36224,3976079,Hess Corp,,i,S,46.54,0.31
2016-09-29,4131688,46.54,,46.88,,2017-09-15,,0.67,0,2,2017-09-29T10:19:44-05:00,0,46.35,2.17,2017-08-30,2017-09-29T11:04:41-05:00,10000,-10.12,65.56,46.09,1,,HES,,46.85,BATS,2016-12-13,46.85,0,2017-09-28,37.25,,317840,46.88,60000,-,100,37724,3976079,Hess Corp,,i,S,46.54,0.31
2016-09-29,4131688,46.54,,46.88,,2017-09-15,,0.67,0,2,2017-09-29T10:19:44-05:00,0,46.35,2.17,2017-08-30,2017-09-29T11:04:41-05:00,10000,-10.12,65.56,46.09,1,,HES,,46.85,BATS,2016-12-13,46.85,0,2017-09-28,37.25,,317840,46.88,60000,-,100,37724,3976079,Hess Corp,,i,S,46.54,0.31
2016-09-29,4131688,46.54,,46.88,,2017-09-15,,0.73,0,2,2017-09-29T10:21:04-05:00,0,46.35,2.17,2017-08-30,2017-09-29T11:05:28-05:00,30000,-10.12,65.56,46.09,1,,HES,,46.88,BATS,2016-12-13,46.88,0,2017-09-28,37.25,,317840,46.9,10000,+,100,37824,3976079,Hess Corp,,i,S,46.54,0.34
2016-09-29,4131688,46.54,,46.93,,2017-09-15,,0.84,0,2,2017-09-29T10:21:35-05:00,0,46.35,2.17,2017-08-30,2017-09-29T11:06:34-05:00,600,-10.12,65.56,46.09,1,,HES,,46.93,BATS,2016-12-13,46.88,0,2017-09-28,37.25,,317840,46.93,10000,.,100,38324,3976079,Hess Corp,,i,S,46.54,0.39
