twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,1004961,199,,199.83,,,,-0.27,0,2,2017-09-29T10:09:16-05:00,0,199.18,0,2016-12-07,2017-09-29T10:50:51-05:00,10000,12.49,214.34,198.05,0,,ILMN,,198.47,BATS,2017-09-13,198.48,0,2017-09-28,119.37,,146000,199.2,10000,-,38,4561,740482,Illumina Inc,,i,S,199,-0.53
2016-09-29,1004961,199,,199.83,,,,-0.27,0,2,2017-09-29T10:09:53-05:00,0,199.18,0,2016-12-07,2017-09-29T10:54:49-05:00,20000,12.49,214.34,198.05,0,,ILMN,,198.46,BATS,2017-09-13,198.3,0,2017-09-28,119.37,,146000,199.2,10000,.,85,4728,740482,Illumina Inc,,i,S,199,-0.54
2016-09-29,1004961,199,,199.83,,,,-0.27,0,2,2017-09-29T10:10:49-05:00,0,199.18,0,2016-12-07,2017-09-29T10:54:49-05:00,10000,12.49,214.34,198.05,0,,ILMN,,198.46,BATS,2017-09-13,198.3,0,2017-09-28,119.37,,146000,198.56,10000,.,85,4728,740482,Illumina Inc,,i,S,199,-0.54
2016-09-29,1004961,199,,199.83,,,,-0.27,0,2,2017-09-29T10:11:14-05:00,0,199.18,0,2016-12-07,2017-09-29T10:54:49-05:00,10000,12.49,214.34,198.05,0,,ILMN,,198.46,BATS,2017-09-13,198.3,0,2017-09-28,119.37,,146000,198.5,10000,.,85,4728,740482,Illumina Inc,,i,S,199,-0.54
2016-09-29,1004961,199,,199.83,,,,-0.27,0,2,2017-09-29T10:11:14-05:00,0,199.18,0,2016-12-07,2017-09-29T10:54:49-05:00,10000,12.49,214.34,198.05,0,,ILMN,,198.46,BATS,2017-09-13,198.3,0,2017-09-28,119.37,,146000,198.5,10000,.,85,4728,740482,Illumina Inc,,i,S,199,-0.54
2016-09-29,1004961,199,,199.83,,,,-0.27,0,2,2017-09-29T10:12:26-05:00,0,199.18,0,2016-12-07,2017-09-29T10:54:49-05:00,10000,12.43,214.34,198.05,0,,ILMN,,198.46,BATS,2017-09-13,198.3,0,2017-09-28,119.37,,146000,198.49,10000,.,85,4728,740482,Illumina Inc,,i,S,199,-0.54
2016-09-29,1004970,199,,199.83,,,,-0.3,0,2,2017-09-29T10:12:52-05:00,0,199.18,0,2016-12-07,2017-09-29T10:57:50-05:00,10000,12.43,214.34,198.05,0,,ILMN,,198.4,BATS,2017-09-13,198.39,0,2017-09-28,119.37,,146000,198.5,10000,-,7,5035,740570,Illumina Inc,,i,S,199,-0.6
2016-09-29,1004970,199,,199.83,,,,-0.25,0,2,2017-09-29T10:13:43-05:00,0,199.18,0,2016-12-07,2017-09-29T10:58:33-05:00,10000,12.43,214.34,198.05,0,,ILMN,,198.5,BATS,2017-09-13,198.43,0,2017-09-28,119.37,,146000,198.5,12000,+,100,5190,740570,Illumina Inc,,i,S,199,-0.5
2016-09-29,1004970,199,,199.83,,,,-0.25,0,2,2017-09-29T10:14:16-05:00,0,199.18,0,2016-12-07,2017-09-29T10:58:33-05:00,10000,12.43,214.34,198.05,0,,ILMN,,198.5,BATS,2017-09-13,197.7,0,2017-09-28,119.37,,146000,198.5,20000,+,100,5190,740570,Illumina Inc,,i,S,199,-0.5
2016-09-29,1004970,199,,199.83,,,,-0.25,0,2,2017-09-29T10:14:51-05:00,0,199.18,0,2016-12-07,2017-09-29T10:58:33-05:00,10000,12.43,214.34,198.05,0,,ILMN,,198.5,BATS,2017-09-13,198.34,0,2017-09-28,119.37,,146000,198.5,20000,+,100,5190,740570,Illumina Inc,,i,S,199,-0.5
