twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,5290875,56.17,,56.64,,2017-08-22,,0.05,0,2,2017-09-29T10:09:30-05:00,0,56.21,0.91,2016-10-26,2017-09-29T10:54:08-05:00,10000,47.37,64.39,56.02,0.5,,LUV,,56.2,BATS,2017-07-07,56.2,0,2017-09-28,36.91,,598570,56.22,40000,.,100,113054,5664329,Southwest Airlines Company,,i,S,56.17,0.03
2016-09-29,5290875,56.17,,56.64,,2017-08-22,,0.12,0,2,2017-09-29T10:10:26-05:00,0,56.21,0.91,2016-10-26,2017-09-29T10:55:16-05:00,40000,47.37,64.39,56.02,0.5,,LUV,,56.24,BATS,2017-07-07,56.24,0,2017-09-28,36.91,,598570,56.26,20000,.,100,113554,5664329,Southwest Airlines Company,,i,S,56.17,0.07
2016-09-29,5290875,56.17,,56.64,,2017-08-22,,0.12,0,2,2017-09-29T10:11:00-05:00,0,56.21,0.91,2016-10-26,2017-09-29T10:55:16-05:00,10000,47.37,64.39,56.02,0.5,,LUV,,56.24,BATS,2017-07-07,56.24,0,2017-09-28,36.91,,598570,56.25,20000,.,100,113554,5664329,Southwest Airlines Company,,i,S,56.17,0.07
2016-09-29,5290875,56.17,,56.64,,2017-08-22,,0.07,0,2,2017-09-29T10:11:37-05:00,0,56.21,0.91,2016-10-26,2017-09-29T10:56:34-05:00,10000,47.37,64.39,56.02,0.5,,LUV,,56.21,BATS,2017-07-07,56.2,0,2017-09-28,36.91,,598570,56.21,20000,-,100,114354,5664329,Southwest Airlines Company,,i,S,56.17,0.04
2016-09-29,5290875,56.17,,56.64,,2017-08-22,,0.04,0,2,2017-09-29T10:12:12-05:00,0,56.21,0.91,2016-10-26,2017-09-29T10:57:11-05:00,10000,47.37,64.39,56.02,0.5,,LUV,,56.19,BATS,2017-07-07,56.19,0,2017-09-28,36.91,,598570,56.2,20000,+,100,115054,5664329,Southwest Airlines Company,,i,S,56.17,0.02
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.02,0,2,2017-09-29T10:12:49-05:00,0,56.21,0.91,2016-10-26,2017-09-29T10:57:45-05:00,10000,47.44,64.39,56.02,0.5,,LUV,,56.18,BATS,2017-07-07,56.19,0,2017-09-28,36.91,,598570,56.21,30000,.,100,115354,5667211,Southwest Airlines Company,,i,S,56.17,0.01
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.02,0,2,2017-09-29T10:13:20-05:00,0,56.21,0.91,2016-10-26,2017-09-29T10:57:45-05:00,30000,47.44,64.39,56.02,0.5,,LUV,,56.18,BATS,2017-07-07,56.19,0,2017-09-28,36.91,,598570,56.2,20000,.,100,115354,5667211,Southwest Airlines Company,,i,S,56.17,0.01
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0,0,2,2017-09-29T10:13:53-05:00,0,56.21,0.91,2016-10-26,2017-09-29T10:58:39-05:00,50000,47.44,64.39,56.02,0.5,,LUV,,56.17,BATS,2017-07-07,56.17,0,2017-09-28,36.91,,598570,56.18,10000,-,100,115854,5667211,Southwest Airlines Company,,i,S,56.17,0
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.02,0,2,2017-09-29T10:14:38-05:00,0,56.21,0.91,2016-10-26,2017-09-29T10:59:19-05:00,30000,47.44,64.39,56.02,0.5,,LUV,,56.18,BATS,2017-07-07,56.16,0,2017-09-28,36.91,,598570,56.18,20000,.,50,116404,5667211,Southwest Airlines Company,,i,S,56.17,0.01
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.02,0,2,2017-09-29T10:15:11-05:00,0,56.21,0.91,2016-10-26,2017-09-29T10:59:19-05:00,5000,47.44,64.39,56.02,0.5,,LUV,,56.18,BATS,2017-07-07,56.21,0,2017-09-28,36.91,,598570,56.22,10000,.,50,116404,5667211,Southwest Airlines Company,,i,S,56.17,0.01
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.02,0,2,2017-09-29T10:15:47-05:00,0,56.21,0.91,2016-10-26,2017-09-29T10:59:19-05:00,27500,47.44,64.39,56.02,0.5,,LUV,,56.18,BATS,2017-07-07,56.2,0,2017-09-28,36.91,,598570,56.22,40000,.,50,116404,5667211,Southwest Airlines Company,,i,S,56.17,0.01
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.07,0,2,2017-09-29T10:16:10-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:01:07-05:00,10000,47.44,64.39,56.02,0.5,,LUV,,56.21,BATS,2017-07-07,56.2,0,2017-09-28,36.91,,598570,56.22,30000,.,56,116604,5667211,Southwest Airlines Company,,i,S,56.17,0.04
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.07,0,2,2017-09-29T10:16:44-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:01:07-05:00,20000,47.44,64.39,56.02,0.5,,LUV,,56.21,BATS,2017-07-07,56.2,0,2017-09-28,36.91,,598570,56.21,20000,.,56,116604,5667211,Southwest Airlines Company,,i,S,56.17,0.04
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.12,0,2,2017-09-29T10:17:16-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:02:02-05:00,10000,47.44,64.39,56.02,0.5,,LUV,,56.24,BATS,2017-07-07,56.23,0,2017-09-28,36.91,,598570,56.25,70000,.,100,117279,5667211,Southwest Airlines Company,,i,S,56.17,0.07
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.16,0,2,2017-09-29T10:17:55-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:02:54-05:00,30000,47.44,64.39,56.02,0.5,,LUV,,56.26,BATS,2017-07-07,56.26,0,2017-09-28,36.91,,598570,56.27,10000,.,25,117754,5667211,Southwest Airlines Company,,i,S,56.17,0.09
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.16,0,2,2017-09-29T10:18:27-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:03:09-05:00,20000,47.44,64.39,56.02,0.5,,LUV,,56.26,BATS,2017-07-07,56.25,0,2017-09-28,36.91,,598570,56.26,20000,.,3,117957,5667211,Southwest Airlines Company,,i,S,56.17,0.09
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.14,0,2,2017-09-29T10:18:47-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:03:43-05:00,20000,47.44,64.39,56.02,0.5,,LUV,,56.25,BATS,2017-07-07,56.25,0,2017-09-28,36.91,,598570,56.26,10000,.,60,118257,5667211,Southwest Airlines Company,,i,S,56.17,0.08
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.14,0,2,2017-09-29T10:19:19-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:03:59-05:00,20000,47.44,64.39,56.02,0.5,,LUV,,56.25,BATS,2017-07-07,56.25,0,2017-09-28,36.91,,598570,56.26,20000,.,100,118357,5667211,Southwest Airlines Company,,i,S,56.17,0.08
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.07,0,2,2017-09-29T10:19:59-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:04:55-05:00,30000,47.44,64.39,56.02,0.5,,LUV,,56.21,BATS,2017-07-07,56.2,0,2017-09-28,36.91,,598570,56.21,10000,-,100,119332,5667211,Southwest Airlines Company,,i,S,56.17,0.04
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.04,0,2,2017-09-29T10:20:32-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:05:32-05:00,10600,47.44,64.39,56.02,0.5,,LUV,,56.19,BATS,2017-07-07,56.18,0,2017-09-28,36.91,,598570,56.19,60000,.,94,119489,5667211,Southwest Airlines Company,,i,S,56.17,0.02
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.02,0,2,2017-09-29T10:21:01-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:05:42-05:00,30000,47.44,64.39,56.02,0.5,,LUV,,56.18,BATS,2017-07-07,56.18,0,2017-09-28,36.91,,598570,56.19,30000,.,100,119689,5667211,Southwest Airlines Company,,i,S,56.17,0.01
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0,0,2,2017-09-29T10:21:48-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:06:27-05:00,20000,47.44,64.39,56.02,0.5,,LUV,,56.17,BATS,2017-07-07,56.16,0,2017-09-28,36.91,,598570,56.18,40000,.,100,119889,5667211,Southwest Airlines Company,,i,S,56.17,0
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.05,0,2,2017-09-29T10:22:20-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:07:17-05:00,20000,47.44,64.39,56.02,0.5,,LUV,,56.2,BATS,2017-07-07,56.2,0,2017-09-28,36.91,,598570,56.21,10000,+,100,120489,5667211,Southwest Airlines Company,,i,S,56.17,0.03
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.11,0,2,2017-09-29T10:23:18-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:07:49-05:00,20000,47.44,64.39,56.02,0.5,,LUV,,56.23,BATS,2017-07-07,56.23,0,2017-09-28,36.91,,598570,56.24,10000,.,20,120815,5667211,Southwest Airlines Company,,i,S,56.17,0.06
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.11,0,2,2017-09-29T10:23:53-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:07:49-05:00,40000,47.44,64.39,56.02,0.5,,LUV,,56.23,BATS,2017-07-07,56.23,0,2017-09-28,36.91,,598570,56.24,30000,.,20,120815,5667211,Southwest Airlines Company,,i,S,56.17,0.06
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.07,0,2,2017-09-29T10:24:27-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:09:21-05:00,40000,47.44,64.39,56.02,0.5,,LUV,,56.21,BATS,2017-07-07,56.19,0,2017-09-28,36.91,,598570,56.21,30000,+,100,121615,5667211,Southwest Airlines Company,,i,S,56.17,0.04
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.07,0,2,2017-09-29T10:24:57-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:09:21-05:00,20000,47.44,64.39,56.02,0.5,,LUV,,56.21,BATS,2017-07-07,56.2,0,2017-09-28,36.91,,598570,56.21,10000,+,100,121615,5667211,Southwest Airlines Company,,i,S,56.17,0.04
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.07,0,2,2017-09-29T10:25:28-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:10:03-05:00,10000,47.44,64.39,56.02,0.5,,LUV,,56.21,BATS,2017-07-07,56.21,0,2017-09-28,36.91,,598570,56.22,10000,+,100,121815,5667211,Southwest Airlines Company,,i,S,56.17,0.04
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0.07,0,2,2017-09-29T10:26:14-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:10:52-05:00,10000,47.44,64.39,56.02,0.5,,LUV,,56.21,BATS,2017-07-07,56.2,0,2017-09-28,36.91,,598570,56.21,30000,.,100,122415,5667211,Southwest Airlines Company,,i,S,56.17,0.04
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0,0,2,2017-09-29T10:27:02-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:11:59-05:00,9300,47.44,64.39,56.02,0.5,,LUV,,56.17,BATS,2017-07-07,56.17,0,2017-09-28,36.91,,598570,56.18,20000,.,100,122915,5667211,Southwest Airlines Company,,i,S,56.17,0
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,0,0,2,2017-09-29T10:27:38-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:12:26-05:00,10000,47.44,64.39,56.02,0.5,,LUV,,56.17,BATS,2017-07-07,56.16,0,2017-09-28,36.91,,598570,56.18,30000,.,56,123708,5667211,Southwest Airlines Company,,i,S,56.17,0
2016-09-29,5291181,56.17,,56.64,,2017-08-22,,-0.02,0,2,2017-09-29T10:28:08-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:12:59-05:00,30000,47.44,64.39,56.02,0.5,,LUV,,56.16,BATS,2017-07-07,56.15,0,2017-09-28,36.91,,598570,56.17,20000,-,100,123908,5667211,Southwest Airlines Company,,i,S,56.17,-0.01
2016-09-29,5291592,56.17,,56.64,,2017-08-22,,-0.04,0,2,2017-09-29T10:28:39-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:13:20-05:00,20000,47.27,64.39,56.02,0.5,,LUV,,56.15,BATS,2017-07-07,56.13,0,2017-09-28,36.91,,598570,56.14,10000,-,100,124008,5671073,Southwest Airlines Company,,i,S,56.17,-0.02
2016-09-29,5291592,56.17,,56.64,,2017-08-22,,-0.02,0,2,2017-09-29T10:29:12-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:13:44-05:00,40000,47.27,64.39,56.02,0.5,,LUV,,56.16,BATS,2017-07-07,56.16,0,2017-09-28,36.91,,598570,56.18,50000,.,100,124318,5671073,Southwest Airlines Company,,i,S,56.17,-0.01
2016-09-29,5291592,56.17,,56.64,,2017-08-22,,0.02,0,2,2017-09-29T10:29:43-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:14:18-05:00,10000,47.27,64.39,56.02,0.5,,LUV,,56.18,BATS,2017-07-07,56.19,0,2017-09-28,36.91,,598570,56.21,30000,.,100,124618,5671073,Southwest Airlines Company,,i,S,56.17,0.01
2016-09-29,5291592,56.17,,56.64,,2017-08-22,,0.04,0,2,2017-09-29T10:30:39-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:15:35-05:00,20000,47.27,64.39,56.02,0.5,,LUV,,56.19,BATS,2017-07-07,56.18,0,2017-09-28,36.91,,598570,56.2,50000,-,100,125418,5671073,Southwest Airlines Company,,i,S,56.17,0.02
2016-09-29,5291592,56.17,,56.64,,2017-08-22,,0.05,0,2,2017-09-29T10:31:12-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:16:11-05:00,20000,47.27,64.39,56.02,0.5,,LUV,,56.2,BATS,2017-07-07,56.2,0,2017-09-28,36.91,,598570,56.22,40000,.,100,125618,5671073,Southwest Airlines Company,,i,S,56.17,0.03
2016-09-29,5291592,56.17,,56.64,,2017-08-22,,0.09,0,2,2017-09-29T10:31:57-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:16:55-05:00,20000,47.27,64.39,56.02,0.5,,LUV,,56.22,BATS,2017-07-07,56.22,0,2017-09-28,36.91,,598570,56.24,20000,.,100,126143,5671073,Southwest Airlines Company,,i,S,56.17,0.05
2016-09-29,5291592,56.17,,56.64,,2017-08-22,,0.05,0,2,2017-09-29T10:32:38-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:17:36-05:00,10000,47.27,64.39,56.02,0.5,,LUV,,56.2,BATS,2017-07-07,56.2,0,2017-09-28,36.91,,598570,56.22,20000,-,100,126943,5671073,Southwest Airlines Company,,i,S,56.17,0.03
2016-09-29,5291592,56.17,,56.64,,2017-08-22,,0.11,0,2,2017-09-29T10:33:10-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:18:09-05:00,17500,47.27,64.39,56.02,0.5,,LUV,,56.23,BATS,2017-07-07,56.22,0,2017-09-28,36.91,,598570,56.23,20000,+,99,127142,5671073,Southwest Airlines Company,,i,S,56.17,0.06
2016-09-29,5291592,56.17,,56.64,,2017-08-22,,0.02,0,2,2017-09-29T10:34:05-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:18:54-05:00,30000,47.27,64.39,56.02,0.5,,LUV,,56.18,BATS,2017-07-07,56.17,0,2017-09-28,36.91,,598570,56.19,40000,-,100,127444,5671073,Southwest Airlines Company,,i,S,56.17,0.01
2016-09-29,5291592,56.17,,56.64,,2017-08-22,,0.02,0,2,2017-09-29T10:34:31-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:18:54-05:00,10000,47.27,64.39,56.02,0.5,,LUV,,56.18,BATS,2017-07-07,56.18,0,2017-09-28,36.91,,598570,56.19,20000,-,100,127444,5671073,Southwest Airlines Company,,i,S,56.17,0.01
2016-09-29,5291592,56.17,,56.64,,2017-08-22,,0,0,2,2017-09-29T10:34:53-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:19:50-05:00,40000,47.27,64.39,56.02,0.5,,LUV,,56.17,BATS,2017-07-07,56.16,0,2017-09-28,36.91,,598570,56.18,40000,-,100,127744,5671073,Southwest Airlines Company,,i,S,56.17,0
2016-09-29,5291592,56.17,,56.64,,2017-08-22,,-0.02,0,2,2017-09-29T10:35:38-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:20:34-05:00,30000,47.27,64.39,56.02,0.5,,LUV,,56.16,BATS,2017-07-07,56.13,0,2017-09-28,36.91,,598570,56.15,10000,.,43,127844,5671073,Southwest Airlines Company,,i,S,56.17,-0.01
2016-09-29,5291592,56.17,,56.64,,2017-08-22,,-0.04,0,2,2017-09-29T10:36:12-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:21:00-05:00,20000,47.27,64.39,56.02,0.5,,LUV,,56.15,BATS,2017-07-07,56.13,0,2017-09-28,36.91,,598570,56.14,20000,.,100,128344,5671073,Southwest Airlines Company,,i,S,56.17,-0.02
2016-09-29,5291592,56.17,,56.64,,2017-08-22,,-0.05,0,2,2017-09-29T10:36:32-05:00,0,56.21,0.91,2016-10-26,2017-09-29T11:21:22-05:00,10000,47.27,64.39,56.02,0.5,,LUV,,56.14,BATS,2017-07-07,56.14,0,2017-09-28,36.91,,598570,56.16,20000,-,100,128444,5671073,Southwest Airlines Company,,i,S,56.17,-0.03
