twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,2646334,99.78,,99.83,,2017-09-01,,-0.43,0,2,2017-09-29T10:09:24-05:00,0,99.81,3.68,2016-11-02,2017-09-29T10:54:23-05:00,10000,23.6,100.69,99.14,3.6,,LYB,,99.35,BATS,2017-09-27,99.34,0,2017-09-28,76.71,,395800,99.35,20000,.,99,33618,2512220,Lyondellbasell Industries Nv,,i,S,99.78,-0.43
2016-09-29,2646334,99.78,,99.83,,2017-09-01,,-0.44,0,2,2017-09-29T10:10:15-05:00,0,99.81,3.68,2016-11-02,2017-09-29T10:54:29-05:00,10100,23.6,100.69,99.14,3.6,,LYB,,99.34,BATS,2017-09-27,99.35,0,2017-09-28,76.71,,395800,99.37,10000,.,100,33918,2512220,Lyondellbasell Industries Nv,,i,S,99.78,-0.44
2016-09-29,2646334,99.78,,99.83,,2017-09-01,,-0.46,0,2,2017-09-29T10:10:49-05:00,0,99.81,3.68,2016-11-02,2017-09-29T10:55:48-05:00,12600,23.6,100.69,99.14,3.6,,LYB,,99.32,BATS,2017-09-27,99.29,0,2017-09-28,76.71,,395800,99.34,20000,-,100,34318,2512220,Lyondellbasell Industries Nv,,i,S,99.78,-0.46
2016-09-29,2646334,99.78,,99.83,,2017-09-01,,-0.44,0,2,2017-09-29T10:11:15-05:00,0,99.81,3.68,2016-11-02,2017-09-29T10:56:12-05:00,10000,23.6,100.69,99.14,3.6,,LYB,,99.34,BATS,2017-09-27,99.32,0,2017-09-28,76.71,,395800,99.37,10000,.,24,34344,2512220,Lyondellbasell Industries Nv,,i,S,99.78,-0.44
2016-09-29,2646334,99.78,,99.83,,2017-09-01,,-0.46,0,2,2017-09-29T10:11:59-05:00,0,99.81,3.68,2016-11-02,2017-09-29T10:56:48-05:00,20000,23.6,100.69,99.14,3.6,,LYB,,99.32,BATS,2017-09-27,99.29,0,2017-09-28,76.71,,395800,99.33,20000,.,4,34544,2512220,Lyondellbasell Industries Nv,,i,S,99.78,-0.46
2016-09-29,2646334,99.78,,99.83,,2017-09-01,,-0.42,0,2,2017-09-29T10:12:35-05:00,0,99.81,3.68,2016-11-02,2017-09-29T10:57:35-05:00,200,23.6,100.69,99.14,3.6,,LYB,,99.36,BATS,2017-09-27,99.32,0,2017-09-28,76.71,,395800,99.37,10000,.,1,34946,2512220,Lyondellbasell Industries Nv,,i,S,99.78,-0.42
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.41,0,2,2017-09-29T10:13:07-05:00,0,99.81,3.68,2016-11-02,2017-09-29T10:57:39-05:00,100,23.58,100.69,99.14,3.6,,LYB,,99.37,BATS,2017-09-27,99.37,0,2017-09-28,76.71,,395800,99.42,10000,+,1,34948,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.41
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.41,0,2,2017-09-29T10:13:33-05:00,0,99.81,3.68,2016-11-02,2017-09-29T10:57:39-05:00,10100,23.58,100.69,99.14,3.6,,LYB,,99.37,BATS,2017-09-27,99.38,0,2017-09-28,76.71,,395800,99.42,10000,+,1,34948,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.41
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.4,0,2,2017-09-29T10:14:27-05:00,0,99.81,3.68,2016-11-02,2017-09-29T10:59:27-05:00,10000,23.58,100.69,99.14,3.6,,LYB,,99.38,BATS,2017-09-27,99.36,0,2017-09-28,76.71,,395800,99.4,10000,.,1,35449,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.4
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.4,0,2,2017-09-29T10:14:35-05:00,0,99.81,3.68,2016-11-02,2017-09-29T10:59:27-05:00,10000,23.58,100.69,99.14,3.6,,LYB,,99.38,BATS,2017-09-27,99.38,0,2017-09-28,76.71,,395800,99.4,10000,.,1,35449,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.4
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.35,0,2,2017-09-29T10:15:33-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:00:33-05:00,100,23.58,100.69,99.14,3.6,,LYB,,99.43,BATS,2017-09-27,99.43,0,2017-09-28,76.71,,395800,99.45,10000,.,1,35952,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.35
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.35,0,2,2017-09-29T10:16:06-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:00:45-05:00,10100,23.58,100.69,99.14,3.6,,LYB,,99.43,BATS,2017-09-27,99.4,0,2017-09-28,76.71,,395800,99.43,4400,.,25,36352,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.35
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.4,0,2,2017-09-29T10:16:31-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:01:16-05:00,100,23.58,100.69,99.14,3.6,,LYB,,99.38,BATS,2017-09-27,99.34,0,2017-09-28,76.71,,395800,99.38,10000,.,100,36596,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.4
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.42,0,2,2017-09-29T10:17:06-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:01:55-05:00,100,23.58,100.69,99.14,3.6,,LYB,,99.36,BATS,2017-09-27,99.36,0,2017-09-28,76.71,,395800,99.38,10000,-,100,36696,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.42
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.38,0,2,2017-09-29T10:17:44-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:02:35-05:00,20000,23.58,100.69,99.14,3.6,,LYB,,99.4,BATS,2017-09-27,99.4,0,2017-09-28,76.71,,395800,99.75,20000,+,1,36898,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.38
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.34,0,2,2017-09-29T10:17:58-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:02:56-05:00,10000,23.58,100.69,99.14,3.6,,LYB,,99.44,BATS,2017-09-27,99.42,0,2017-09-28,76.71,,395800,99.44,10000,.,100,37298,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.34
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.34,0,2,2017-09-29T10:18:43-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:03:42-05:00,10100,23.58,100.69,99.14,3.6,,LYB,,99.44,BATS,2017-09-27,99.42,0,2017-09-28,76.71,,395800,99.46,10000,.,50,37748,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.34
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.34,0,2,2017-09-29T10:19:14-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:03:42-05:00,10100,23.58,100.69,99.14,3.6,,LYB,,99.44,BATS,2017-09-27,99.42,0,2017-09-28,76.71,,395800,99.46,20000,.,50,37748,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.34
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.36,0,2,2017-09-29T10:19:46-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:04:29-05:00,20100,23.58,100.69,99.14,3.6,,LYB,,99.42,BATS,2017-09-27,99.38,0,2017-09-28,76.71,,395800,99.44,20000,.,50,37948,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.36
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.36,0,2,2017-09-29T10:20:17-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:04:29-05:00,20100,23.58,100.69,99.14,3.6,,LYB,,99.42,BATS,2017-09-27,99.38,0,2017-09-28,76.71,,395800,99.41,10000,.,50,37948,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.36
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.37,0,2,2017-09-29T10:20:55-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:05:49-05:00,10000,23.58,100.69,99.14,3.6,,LYB,,99.41,BATS,2017-09-27,99.38,0,2017-09-28,76.71,,395800,99.45,20000,.,1,38450,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.37
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.37,0,2,2017-09-29T10:21:21-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:05:49-05:00,10000,23.58,100.69,99.14,3.6,,LYB,,99.41,BATS,2017-09-27,99.38,0,2017-09-28,76.71,,395800,99.42,20000,.,1,38450,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.37
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.37,0,2,2017-09-29T10:22:04-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:07:04-05:00,1100,23.58,100.69,99.14,3.6,,LYB,,99.41,BATS,2017-09-27,99.39,0,2017-09-28,76.71,,395800,99.42,10000,.,100,38839,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.37
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.36,0,2,2017-09-29T10:22:48-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:07:45-05:00,10000,23.58,100.69,99.14,3.6,,LYB,,99.42,BATS,2017-09-27,99.41,0,2017-09-28,76.71,,395800,99.43,20000,+,100,39441,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.36
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.38,0,2,2017-09-29T10:23:41-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:08:35-05:00,10000,23.58,100.69,99.14,3.6,,LYB,,99.4,BATS,2017-09-27,99.39,0,2017-09-28,76.71,,395800,99.41,13300,.,100,40041,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.38
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.4,0,2,2017-09-29T10:24:12-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:08:58-05:00,20100,23.58,100.69,99.14,3.6,,LYB,,99.38,BATS,2017-09-27,99.29,0,2017-09-28,76.71,,395800,99.36,20000,.,58,40540,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.4
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.4,0,2,2017-09-29T10:24:46-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:08:58-05:00,40100,23.58,100.69,99.14,3.6,,LYB,,99.38,BATS,2017-09-27,99.29,0,2017-09-28,76.71,,395800,99.35,20000,.,58,40540,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.4
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.4,0,2,2017-09-29T10:25:11-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:08:58-05:00,40100,23.58,100.69,99.14,3.6,,LYB,,99.38,BATS,2017-09-27,99.33,0,2017-09-28,76.71,,395800,99.35,20000,.,58,40540,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.4
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.46,0,2,2017-09-29T10:26:09-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:10:57-05:00,20000,23.58,100.69,99.14,3.6,,LYB,,99.32,BATS,2017-09-27,99.3,0,2017-09-28,76.71,,395800,99.34,10000,-,100,41542,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.46
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.55,0,2,2017-09-29T10:26:49-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:11:48-05:00,10100,23.58,100.69,99.14,3.6,,LYB,,99.23,BATS,2017-09-27,99.22,0,2017-09-28,76.71,,395800,99.25,40000,.,100,42871,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.55
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.54,0,2,2017-09-29T10:27:22-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:12:22-05:00,10000,23.58,100.69,99.14,3.6,,LYB,,99.24,BATS,2017-09-27,99.2,0,2017-09-28,76.71,,395800,99.25,10100,.,10,43297,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.54
2016-09-29,2646489,99.78,,99.83,,2017-09-01,,-0.56,0,2,2017-09-29T10:27:53-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:12:52-05:00,10000,23.58,100.69,99.14,3.6,,LYB,,99.22,BATS,2017-09-27,99.21,0,2017-09-28,76.71,,395800,99.23,10000,+,100,43798,2513671,Lyondellbasell Industries Nv,,i,S,99.78,-0.56
2016-09-29,2646950,99.78,,99.83,,2017-09-01,,-0.55,0,2,2017-09-29T10:28:22-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:12:59-05:00,20100,23.44,100.69,99.14,3.6,,LYB,,99.23,BATS,2017-09-27,99.21,0,2017-09-28,76.71,,395800,99.25,20000,+,100,43898,2518012,Lyondellbasell Industries Nv,,i,S,99.78,-0.55
2016-09-29,2646950,99.78,,99.83,,2017-09-01,,-0.57,0,2,2017-09-29T10:28:54-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:13:54-05:00,100,23.44,100.69,99.14,3.6,,LYB,,99.21,BATS,2017-09-27,99.18,0,2017-09-28,76.71,,395800,99.23,10000,.,100,44412,2518012,Lyondellbasell Industries Nv,,i,S,99.78,-0.57
2016-09-29,2646950,99.78,,99.83,,2017-09-01,,-0.55,0,2,2017-09-29T10:29:31-05:00,0,99.81,3.68,2016-11-02,2017-09-29T11:14:29-05:00,10000,23.44,100.69,99.14,3.6,,LYB,,99.23,BATS,2017-09-27,99.22,0,2017-09-28,76.71,,395800,99.25,10000,+,100,44513,2518012,Lyondellbasell Industries Nv,,i,S,99.78,-0.55
