twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,2977813,29.55,,29.31,,,,-0.81,0,2,2017-09-29T10:09:29-05:00,0,29.26,0,2017-08-21,2017-09-29T10:54:07-05:00,30000,-31.56,50,29.09,0,,NFX,,29.31,BATS,2016-12-12,29.32,0,2017-09-28,24.41,,199320,29.35,30000,.,100,12844,2677651,Newfield Exploration Company,,i,S,29.55,-0.24
2016-09-29,2977813,29.55,,29.36,,,,-0.64,0,2,2017-09-29T10:10:15-05:00,0,29.26,0,2017-08-21,2017-09-29T10:55:04-05:00,40000,-31.56,50,29.09,0,,NFX,,29.36,BATS,2016-12-12,29.34,0,2017-09-28,24.41,,199320,29.38,40000,.,100,12945,2677651,Newfield Exploration Company,,i,S,29.55,-0.19
2016-09-29,2977813,29.55,,29.36,,,,-0.64,0,2,2017-09-29T10:10:54-05:00,0,29.26,0,2017-08-21,2017-09-29T10:55:04-05:00,1000,-31.56,50,29.09,0,,NFX,,29.36,BATS,2016-12-12,29.35,0,2017-09-28,24.41,,199320,29.36,10000,.,100,12945,2677651,Newfield Exploration Company,,i,S,29.55,-0.19
2016-09-29,2977813,29.55,,29.38,,,,-0.64,0,2,2017-09-29T10:11:35-05:00,0,29.26,0,2017-08-21,2017-09-29T10:56:35-05:00,5000,-31.56,50,29.09,0,,NFX,,29.36,BATS,2016-12-12,29.35,0,2017-09-28,24.41,,199320,29.38,30000,-,100,15645,2677651,Newfield Exploration Company,,i,S,29.55,-0.19
2016-09-29,2977813,29.55,,29.38,,,,-0.64,0,2,2017-09-29T10:12:00-05:00,0,29.26,0,2017-08-21,2017-09-29T10:56:54-05:00,1000,-31.56,50,29.09,0,,NFX,,29.36,BATS,2016-12-12,29.33,0,2017-09-28,24.41,,199320,29.35,30000,-,100,15945,2677651,Newfield Exploration Company,,i,S,29.55,-0.19
2016-09-29,2977813,29.55,,29.41,,,,-0.47,0,2,2017-09-29T10:12:41-05:00,0,29.26,0,2017-08-21,2017-09-29T10:57:37-05:00,10000,-31.56,50,29.09,0,,NFX,,29.41,BATS,2016-12-12,29.41,0,2017-09-28,24.41,,199320,29.45,10000,.,100,16055,2677651,Newfield Exploration Company,,i,S,29.55,-0.14
2016-09-29,2978575,29.55,,29.46,,,,-0.3,0,2,2017-09-29T10:13:07-05:00,0,29.26,0,2017-08-21,2017-09-29T10:57:53-05:00,20000,-31.37,50,29.09,0,,NFX,,29.46,BATS,2016-12-12,29.44,0,2017-09-28,24.41,,199320,29.47,10000,+,100,16836,2684815,Newfield Exploration Company,,i,S,29.55,-0.09
2016-09-29,2978575,29.55,,29.46,,,,-0.37,0,2,2017-09-29T10:13:44-05:00,0,29.26,0,2017-08-21,2017-09-29T10:58:35-05:00,20000,-31.37,50,29.09,0,,NFX,,29.44,BATS,2016-12-12,29.4,0,2017-09-28,24.41,,199320,29.43,20000,-,100,16936,2684815,Newfield Exploration Company,,i,S,29.55,-0.11
2016-09-29,2978575,29.55,,29.46,,,,-0.51,0,2,2017-09-29T10:14:26-05:00,0,29.26,0,2017-08-21,2017-09-29T10:58:51-05:00,10000,-31.37,50,29.09,0,,NFX,,29.4,BATS,2016-12-12,29.38,0,2017-09-28,24.41,,199320,29.41,10000,-,100,17136,2684815,Newfield Exploration Company,,i,S,29.55,-0.15
2016-09-29,2978575,29.55,,29.46,,,,-0.47,0,2,2017-09-29T10:15:03-05:00,0,29.26,0,2017-08-21,2017-09-29T10:59:33-05:00,20000,-31.37,50,29.09,0,,NFX,,29.41,BATS,2016-12-12,29.4,0,2017-09-28,24.41,,199320,29.44,20000,+,100,17236,2684815,Newfield Exploration Company,,i,S,29.55,-0.14
