twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,3144667,38.18,,38.26,,2017-09-07,,-0.03,0,2,2017-09-29T10:09:22-05:00,0,38.26,4.09,2016-10-07,2017-09-29T10:54:12-05:00,40000,9.59,40.2,38.02,1.58,,PPL,,38.17,BATS,2017-06-06,38.16,0,2017-09-28,32.08,,685860,38.18,50000,.,17,26016,3074145,PPL Corp,,i,S,38.18,-0.01
2016-09-29,3144667,38.18,,38.26,,2017-09-07,,-0.03,0,2,2017-09-29T10:10:10-05:00,0,38.26,4.09,2016-10-07,2017-09-29T10:54:12-05:00,40000,9.59,40.2,38.02,1.58,,PPL,,38.17,BATS,2017-06-06,38.16,0,2017-09-28,32.08,,685860,38.18,50000,.,17,26016,3074145,PPL Corp,,i,S,38.18,-0.01
2016-09-29,3144667,38.18,,38.26,,2017-09-07,,-0.03,0,2,2017-09-29T10:10:52-05:00,0,38.26,4.09,2016-10-07,2017-09-29T10:55:47-05:00,60000,9.59,40.2,38.02,1.58,,PPL,,38.17,BATS,2017-06-06,38.17,0,2017-09-28,32.08,,685860,38.19,60000,.,100,26416,3074145,PPL Corp,,i,S,38.18,-0.01
2016-09-29,3144667,38.18,,38.26,,2017-09-07,,0.03,0,2,2017-09-29T10:11:35-05:00,0,38.26,4.09,2016-10-07,2017-09-29T10:56:35-05:00,77500,9.59,40.2,38.02,1.58,,PPL,,38.19,BATS,2017-06-06,38.18,0,2017-09-28,32.08,,685860,38.19,17700,.,100,26616,3074145,PPL Corp,,i,S,38.18,0.01
2016-09-29,3144667,38.18,,38.26,,2017-09-07,,0.03,0,2,2017-09-29T10:12:02-05:00,0,38.26,4.09,2016-10-07,2017-09-29T10:56:55-05:00,15800,9.59,40.2,38.02,1.58,,PPL,,38.19,BATS,2017-06-06,38.19,0,2017-09-28,32.08,,685860,38.2,27700,+,100,27016,3074145,PPL Corp,,i,S,38.18,0.01
2016-09-29,3144667,38.18,,38.26,,2017-09-07,,0.08,0,2,2017-09-29T10:12:43-05:00,0,38.26,4.09,2016-10-07,2017-09-29T10:57:42-05:00,3500,9.59,40.2,38.02,1.58,,PPL,,38.21,BATS,2017-06-06,38.2,0,2017-09-28,32.08,,685860,38.21,58800,+,65,27339,3074145,PPL Corp,,i,S,38.18,0.03
2016-09-29,3144817,38.18,,38.26,,2017-09-07,,0.03,0,2,2017-09-29T10:13:14-05:00,0,38.26,4.09,2016-10-07,2017-09-29T10:57:57-05:00,10000,9.62,40.2,38.02,1.58,,PPL,,38.19,BATS,2017-06-06,38.18,0,2017-09-28,32.08,,685860,38.19,31800,-,18,27534,3075558,PPL Corp,,i,S,38.18,0.01
2016-09-29,3144817,38.18,,38.26,,2017-09-07,,0.03,0,2,2017-09-29T10:13:43-05:00,0,38.26,4.09,2016-10-07,2017-09-29T10:57:57-05:00,10000,9.62,40.2,38.02,1.58,,PPL,,38.19,BATS,2017-06-06,38.18,0,2017-09-28,32.08,,685860,38.19,21800,.,18,27534,3075558,PPL Corp,,i,S,38.18,0.01
2016-09-29,3144817,38.18,,38.26,,2017-09-07,,0.05,0,2,2017-09-29T10:14:33-05:00,0,38.26,4.09,2016-10-07,2017-09-29T10:59:29-05:00,32500,9.62,40.2,38.02,1.58,,PPL,,38.2,BATS,2017-06-06,38.19,0,2017-09-28,32.08,,685860,38.2,20000,.,65,28405,3075558,PPL Corp,,i,S,38.18,0.02
2016-09-29,3144817,38.18,,38.26,,2017-09-07,,0.05,0,2,2017-09-29T10:15:04-05:00,0,38.26,4.09,2016-10-07,2017-09-29T10:59:44-05:00,33500,9.62,40.2,38.02,1.58,,PPL,,38.2,BATS,2017-06-06,38.2,0,2017-09-28,32.08,,685860,38.21,10000,.,100,28505,3075558,PPL Corp,,i,S,38.18,0.02
2016-09-29,3144817,38.18,,38.26,,2017-09-07,,0.03,0,2,2017-09-29T10:15:37-05:00,0,38.26,4.09,2016-10-07,2017-09-29T11:00:24-05:00,41100,9.62,40.2,38.02,1.58,,PPL,,38.19,BATS,2017-06-06,38.18,0,2017-09-28,32.08,,685860,38.19,21800,.,99,28705,3075558,PPL Corp,,i,S,38.18,0.01
2016-09-29,3144817,38.18,,38.26,,2017-09-07,,0,0,2,2017-09-29T10:16:12-05:00,0,38.26,4.09,2016-10-07,2017-09-29T11:00:43-05:00,50000,9.62,40.2,38.02,1.58,,PPL,,38.18,BATS,2017-06-06,38.17,0,2017-09-28,32.08,,685860,38.18,50000,-,18,28723,3075558,PPL Corp,,i,S,38.18,0
2016-09-29,3144817,38.18,,38.26,,2017-09-07,,0,0,2,2017-09-29T10:16:28-05:00,0,38.26,4.09,2016-10-07,2017-09-29T11:00:43-05:00,180000,9.62,40.2,38.02,1.58,,PPL,,38.18,BATS,2017-06-06,38.16,0,2017-09-28,32.08,,685860,38.17,20000,-,18,28723,3075558,PPL Corp,,i,S,38.18,0
2016-09-29,3144817,38.18,,38.26,,2017-09-07,,-0.05,0,2,2017-09-29T10:17:10-05:00,0,38.26,4.09,2016-10-07,2017-09-29T11:02:02-05:00,10000,9.62,40.2,38.02,1.58,,PPL,,38.16,BATS,2017-06-06,38.15,0,2017-09-28,32.08,,685860,38.16,40000,.,100,28923,3075558,PPL Corp,,i,S,38.18,-0.02
2016-09-29,3144817,38.18,,38.26,,2017-09-07,,-0.05,0,2,2017-09-29T10:17:31-05:00,0,38.26,4.09,2016-10-07,2017-09-29T11:02:25-05:00,170000,9.62,40.2,38.02,1.58,,PPL,,38.16,BATS,2017-06-06,38.16,0,2017-09-28,32.08,,685860,38.17,40000,+,14,29037,3075558,PPL Corp,,i,S,38.18,-0.02
