twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,1902640,106,,106.47,,2017-08-18,,0.17,0,2,2017-09-29T10:08:48-05:00,0,105.98,2.85,2016-09-30,2017-09-29T10:53:48-05:00,10000,32.63,115.26,105.76,3,,PRU,,106.18,BATS,2017-08-02,106.16,0,2017-09-28,80.44,,427000,106.2,10000,+,50,18033,1886199,Prudential Financial Inflation Retail,,i,S,106,0.18
2016-09-29,1902640,106,,106.47,,2017-08-18,,0.22,0,2,2017-09-29T10:10:20-05:00,0,105.98,2.85,2016-09-30,2017-09-29T10:54:53-05:00,10000,32.63,115.26,105.76,3,,PRU,,106.23,BATS,2017-08-02,106.19,0,2017-09-28,80.44,,427000,106.25,10000,+,1,18236,1886199,Prudential Financial Inflation Retail,,i,S,106,0.23
2016-09-29,1902640,106,,106.47,,2017-08-18,,0.22,0,2,2017-09-29T10:10:47-05:00,0,105.98,2.85,2016-09-30,2017-09-29T10:54:53-05:00,20000,32.63,115.26,105.76,3,,PRU,,106.23,BATS,2017-08-02,106.19,0,2017-09-28,80.44,,427000,106.25,10000,+,1,18236,1886199,Prudential Financial Inflation Retail,,i,S,106,0.23
2016-09-29,1902640,106,,106.47,,2017-08-18,,0.18,0,2,2017-09-29T10:11:32-05:00,0,105.98,2.85,2016-09-30,2017-09-29T10:56:20-05:00,10000,32.63,115.26,105.76,3,,PRU,,106.19,BATS,2017-08-02,106.2,0,2017-09-28,80.44,,427000,106.24,27600,.,2,18260,1886199,Prudential Financial Inflation Retail,,i,S,106,0.19
2016-09-29,1902640,106,,106.47,,2017-08-18,,0.19,0,2,2017-09-29T10:12:06-05:00,0,105.98,2.85,2016-09-30,2017-09-29T10:56:39-05:00,10000,32.63,115.26,105.76,3,,PRU,,106.2,BATS,2017-08-02,106.11,0,2017-09-28,80.44,,427000,106.16,10000,.,76,18436,1886199,Prudential Financial Inflation Retail,,i,S,106,0.2
2016-09-29,1902640,106,,106.47,,2017-08-18,,0.13,0,2,2017-09-29T10:12:22-05:00,0,105.98,2.85,2016-09-30,2017-09-29T10:57:21-05:00,10000,32.63,115.26,105.76,3,,PRU,,106.14,BATS,2017-08-02,106.12,0,2017-09-28,80.44,,427000,106.18,10000,-,100,18536,1886199,Prudential Financial Inflation Retail,,i,S,106,0.14
2016-09-29,1902709,106,,106.47,,2017-08-18,,0.08,0,2,2017-09-29T10:13:16-05:00,0,105.98,2.85,2016-09-30,2017-09-29T10:58:13-05:00,10000,32.78,115.26,105.76,3,,PRU,,106.09,BATS,2017-08-02,106.09,0,2017-09-28,80.44,,427000,106.14,4800,.,5,18662,1886847,Prudential Financial Inflation Retail,,i,S,106,0.09
2016-09-29,1902709,106,,106.47,,2017-08-18,,0.08,0,2,2017-09-29T10:13:49-05:00,0,105.98,2.85,2016-09-30,2017-09-29T10:58:31-05:00,10000,32.78,115.26,105.76,3,,PRU,,106.08,BATS,2017-08-02,106.11,0,2017-09-28,80.44,,427000,106.16,21700,.,1,18712,1886847,Prudential Financial Inflation Retail,,i,S,106,0.08
2016-09-29,1902709,106,,106.47,,2017-08-18,,0.13,0,2,2017-09-29T10:14:08-05:00,0,105.98,2.85,2016-09-30,2017-09-29T10:59:07-05:00,10000,32.78,115.26,105.76,3,,PRU,,106.14,BATS,2017-08-02,106.1,0,2017-09-28,80.44,,427000,106.17,10000,.,99,18816,1886847,Prudential Financial Inflation Retail,,i,S,106,0.14
2016-09-29,1902709,106,,106.47,,2017-08-18,,0.13,0,2,2017-09-29T10:15:00-05:00,0,105.98,2.85,2016-09-30,2017-09-29T10:59:07-05:00,20000,32.78,115.26,105.76,3,,PRU,,106.14,BATS,2017-08-02,106.1,0,2017-09-28,80.44,,427000,106.16,10000,.,99,18816,1886847,Prudential Financial Inflation Retail,,i,S,106,0.14
2016-09-29,1902709,106,,106.47,,2017-08-18,,0.13,0,2,2017-09-29T10:15:35-05:00,0,105.98,2.85,2016-09-30,2017-09-29T10:59:07-05:00,10000,32.78,115.26,105.76,3,,PRU,,106.14,BATS,2017-08-02,106.08,0,2017-09-28,80.44,,427000,106.13,10000,.,99,18816,1886847,Prudential Financial Inflation Retail,,i,S,106,0.14
2016-09-29,1902709,106,,106.47,,2017-08-18,,0.12,0,2,2017-09-29T10:16:08-05:00,0,105.98,2.85,2016-09-30,2017-09-29T11:01:04-05:00,1400,32.78,115.26,105.76,3,,PRU,,106.13,BATS,2017-08-02,106.09,0,2017-09-28,80.44,,427000,106.12,10000,.,13,19116,1886847,Prudential Financial Inflation Retail,,i,S,106,0.13
