twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-09-29,2016431,95.81,,95.77,,2017-06-29,,-0.49,0,2,2017-09-29T10:09:33-05:00,0,95.34,1.61,2016-10-13,2017-09-29T10:54:18-05:00,10000,39.19,96.39,95.31,1.52,,STT,,95.34,BATS,2017-09-21,95.25,0,2017-09-28,68.16,,373950,95.41,10000,-,100,12269,1830556,State Street Corp,,i,S,95.81,-0.47
2016-09-29,2016431,95.81,,95.77,,2017-06-29,,-0.49,0,2,2017-09-29T10:10:26-05:00,0,95.34,1.61,2016-10-13,2017-09-29T10:54:18-05:00,10000,39.19,96.39,95.31,1.52,,STT,,95.34,BATS,2017-09-21,95.41,0,2017-09-28,68.16,,373950,95.67,9100,-,100,12269,1830556,State Street Corp,,i,S,95.81,-0.47
2016-09-29,2016431,95.81,,95.77,,2017-06-29,,-0.45,0,2,2017-09-29T10:10:59-05:00,0,95.34,1.61,2016-10-13,2017-09-29T10:55:39-05:00,1000,39.19,96.39,95.31,1.52,,STT,,95.38,BATS,2017-09-21,95.25,0,2017-09-28,68.16,,373950,95.43,13100,-,12,12472,1830556,State Street Corp,,i,S,95.81,-0.43
2016-09-29,2016431,95.81,,95.77,,2017-06-29,,-0.35,0,2,2017-09-29T10:11:37-05:00,0,95.34,1.61,2016-10-13,2017-09-29T10:56:34-05:00,10000,39.19,96.39,95.31,1.52,,STT,,95.47,BATS,2017-09-21,95.42,0,2017-09-28,68.16,,373950,95.67,10000,+,100,12622,1830556,State Street Corp,,i,S,95.81,-0.34
2016-09-29,2016431,95.81,,95.77,,2017-06-29,,-0.42,0,2,2017-09-29T10:12:06-05:00,0,95.34,1.61,2016-10-13,2017-09-29T10:57:06-05:00,10000,39.19,96.39,95.31,1.52,,STT,,95.41,BATS,2017-09-21,95.42,0,2017-09-28,68.16,,373950,95.52,10000,-,8,14034,1830556,State Street Corp,,i,S,95.81,-0.4
2016-09-29,2016431,95.81,,95.77,,2017-06-29,,-0.42,0,2,2017-09-29T10:12:46-05:00,0,95.34,1.61,2016-10-13,2017-09-29T10:57:06-05:00,10000,39.19,96.39,95.31,1.52,,STT,,95.41,BATS,2017-09-21,95.43,0,2017-09-28,68.16,,373950,95.52,9200,-,8,14034,1830556,State Street Corp,,i,S,95.81,-0.4
2016-09-29,2016603,95.81,,95.77,,2017-06-29,,-0.35,0,2,2017-09-29T10:13:18-05:00,0,95.34,1.61,2016-10-13,2017-09-29T10:58:13-05:00,10000,39.12,96.39,95.31,1.52,,STT,,95.47,BATS,2017-09-21,95.48,0,2017-09-28,68.16,,373950,95.52,10000,.,65,14204,1832176,State Street Corp,,i,S,95.81,-0.34
2016-09-29,2016603,95.81,,95.77,,2017-06-29,,-0.34,0,2,2017-09-29T10:13:51-05:00,0,95.34,1.61,2016-10-13,2017-09-29T10:58:50-05:00,10000,39.12,96.39,95.31,1.52,,STT,,95.48,BATS,2017-09-21,95.45,0,2017-09-28,68.16,,373950,95.67,13100,+,50,14454,1832176,State Street Corp,,i,S,95.81,-0.33
2016-09-29,2016603,95.81,,95.77,,2017-06-29,,-0.44,0,2,2017-09-29T10:14:37-05:00,0,95.34,1.61,2016-10-13,2017-09-29T10:59:28-05:00,1900,39.12,96.39,95.31,1.52,,STT,,95.39,BATS,2017-09-21,95.35,0,2017-09-28,68.16,,373950,95.4,10000,-,50,14685,1832176,State Street Corp,,i,S,95.81,-0.42
2016-09-29,2016603,95.81,,95.77,,2017-06-29,,-0.47,0,2,2017-09-29T10:15:11-05:00,0,95.34,1.61,2016-10-13,2017-09-29T10:59:51-05:00,8200,39.12,96.39,95.31,1.52,,STT,,95.36,BATS,2017-09-21,95.32,0,2017-09-28,68.16,,373950,95.37,12500,+,19,15054,1832176,State Street Corp,,i,S,95.81,-0.45
2016-09-29,2016603,95.81,,95.77,,2017-06-29,,-0.46,0,2,2017-09-29T10:15:45-05:00,0,95.34,1.61,2016-10-13,2017-09-29T11:00:31-05:00,10000,39.12,96.39,95.31,1.52,,STT,,95.37,BATS,2017-09-21,95.36,0,2017-09-28,68.16,,373950,95.67,1200,.,50,15286,1832176,State Street Corp,,i,S,95.81,-0.44
2016-09-29,2016603,95.81,,95.77,,2017-06-29,,-0.46,0,2,2017-09-29T10:16:17-05:00,0,95.34,1.61,2016-10-13,2017-09-29T11:00:31-05:00,10000,39.12,96.39,95.31,1.52,,STT,,95.37,BATS,2017-09-21,95.39,0,2017-09-28,68.16,,373950,95.67,1200,.,50,15286,1832176,State Street Corp,,i,S,95.81,-0.44
