twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-10-17,2984296,43.7,,43.78,,2017-08-15,,-0.07,0,2,2017-10-17T13:41:52-05:00,0,43.55,2.91,2017-07-11,2017-10-17T14:26:52-05:00,10000,4.34,47.88,43.42,1.28,,ADM,,43.67,BATS,2016-11-08,43.66,0,2017-10-16,40.22,,562530,43.67,1000,.,11,40303,2243114,Archer Daniels Midland Company,,i,G,43.7,-0.03
2016-10-17,2984296,43.7,,43.78,,2017-08-15,,-0.09,0,2,2017-10-17T13:43:15-05:00,0,43.55,2.91,2017-07-11,2017-10-17T14:28:15-05:00,20000,4.34,47.88,43.42,1.28,,ADM,,43.66,BATS,2016-11-08,43.66,0,2017-10-16,40.22,,562530,43.67,50000,.,100,40413,2243114,Archer Daniels Midland Company,,i,G,43.7,-0.04
2016-10-17,2984296,43.7,,43.78,,2017-08-15,,-0.07,0,2,2017-10-17T13:44:07-05:00,0,43.55,2.91,2017-07-11,2017-10-17T14:28:28-05:00,10000,4.34,47.88,43.42,1.28,,ADM,,43.67,BATS,2016-11-08,43.67,0,2017-10-16,40.22,,562530,43.69,50000,+,100,40513,2243114,Archer Daniels Midland Company,,i,G,43.7,-0.03
2016-10-17,2984296,43.7,,43.78,,2017-08-15,,-0.07,0,2,2017-10-17T13:44:42-05:00,0,43.55,2.91,2017-07-11,2017-10-17T14:28:28-05:00,10000,4.34,47.88,43.42,1.28,,ADM,,43.67,BATS,2016-11-08,43.67,0,2017-10-16,40.22,,562530,43.68,40000,+,100,40513,2243114,Archer Daniels Midland Company,,i,G,43.7,-0.03
2016-10-17,2984296,43.7,,43.78,,2017-08-15,,-0.07,0,2,2017-10-17T13:45:25-05:00,0,43.55,2.91,2017-07-11,2017-10-17T14:28:28-05:00,10000,4.34,47.88,43.42,1.28,,ADM,,43.67,BATS,2016-11-08,43.67,0,2017-10-16,40.22,,562530,43.68,40000,+,100,40513,2243114,Archer Daniels Midland Company,,i,G,43.7,-0.03
2016-10-17,2984296,43.7,,43.78,,2017-08-15,,-0.07,0,2,2017-10-17T13:46:16-05:00,0,43.55,2.91,2017-07-11,2017-10-17T14:28:28-05:00,10000,4.34,47.88,43.42,1.28,,ADM,,43.67,BATS,2016-11-08,43.67,0,2017-10-16,40.22,,562530,43.68,50000,+,100,40513,2243114,Archer Daniels Midland Company,,i,G,43.7,-0.03
2016-10-17,2984296,43.7,,43.78,,2017-08-15,,-0.02,0,2,2017-10-17T13:47:00-05:00,0,43.55,2.91,2017-07-11,2017-10-17T14:31:48-05:00,20000,4.34,47.88,43.42,1.28,,ADM,,43.69,BATS,2016-11-08,43.69,0,2017-10-16,40.22,,562530,43.7,10000,.,100,40668,2243114,Archer Daniels Midland Company,,i,G,43.7,-0.01
2016-10-17,2984296,43.7,,43.78,,2017-08-15,,-0.02,0,2,2017-10-17T13:47:31-05:00,0,43.55,2.91,2017-07-11,2017-10-17T14:31:48-05:00,10000,4.34,47.88,43.42,1.28,,ADM,,43.69,BATS,2016-11-08,43.69,0,2017-10-16,40.22,,562530,43.7,10000,.,100,40668,2243114,Archer Daniels Midland Company,,i,G,43.7,-0.01
2016-10-17,2984296,43.7,,43.78,,2017-08-15,,0,0,2,2017-10-17T13:48:22-05:00,0,43.55,2.91,2017-07-11,2017-10-17T14:33:19-05:00,70000,4.34,47.88,43.42,1.28,,ADM,,43.7,BATS,2016-11-08,43.7,0,2017-10-16,40.22,,562530,43.71,60000,+,100,40768,2243114,Archer Daniels Midland Company,,i,G,43.7,0
2016-10-17,2984296,43.7,,43.78,,2017-08-15,,0,0,2,2017-10-17T13:48:44-05:00,0,43.55,2.91,2017-07-11,2017-10-17T14:33:28-05:00,30000,4.34,47.88,43.42,1.28,,ADM,,43.7,BATS,2016-11-08,43.69,0,2017-10-16,40.22,,562530,43.71,30400,.,100,41368,2243114,Archer Daniels Midland Company,,i,G,43.7,0
