twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-10-17,3266981,181.9,,185.58,,2017-08-15,,1.95,0,2,2017-10-17T13:42:13-05:00,0,182.03,2.51,2016-11-04,2017-10-17T14:27:08-05:00,10000,14.09,191.1,181.19,4.6,,AMGN,,185.45,BATS,2017-09-14,185.46,0,2017-10-16,133.64,,729670,185.5,10000,.,70,94372,2384681,Amgen,,i,G,181.9,3.55
2016-10-17,3266981,181.9,,185.58,,2017-08-15,,1.96,0,2,2017-10-17T13:43:19-05:00,0,182.03,2.51,2016-11-04,2017-10-17T14:28:18-05:00,10000,14.09,191.1,181.19,4.6,,AMGN,,185.47,BATS,2017-09-14,185.41,0,2017-10-16,133.64,,729670,185.65,10000,+,100,96482,2384681,Amgen,,i,G,181.9,3.57
2016-10-17,3266981,181.9,,185.58,,2017-08-15,,1.92,0,2,2017-10-17T13:44:07-05:00,0,182.03,2.51,2016-11-04,2017-10-17T14:28:46-05:00,10000,14.09,191.1,181.19,4.6,,AMGN,,185.39,BATS,2017-09-14,185.31,0,2017-10-16,133.64,,729670,185.55,40000,+,100,97382,2384681,Amgen,,i,G,181.9,3.49
2016-10-17,3266981,181.9,,185.58,,2017-08-15,,1.92,0,2,2017-10-17T13:44:52-05:00,0,182.03,2.51,2016-11-04,2017-10-17T14:28:46-05:00,10100,14.09,191.1,181.19,4.6,,AMGN,,185.39,BATS,2017-09-14,185.4,0,2017-10-16,133.64,,729670,185.54,10000,+,100,97382,2384681,Amgen,,i,G,181.9,3.49
2016-10-17,3266981,181.9,,185.63,,2017-08-15,,2.03,0,2,2017-10-17T13:45:26-05:00,0,182.03,2.51,2016-11-04,2017-10-17T14:30:26-05:00,20000,14.09,191.1,181.19,4.6,,AMGN,,185.6,BATS,2017-09-14,185.54,0,2017-10-16,133.64,,729670,185.69,10000,+,83,98432,2384681,Amgen,,i,G,181.9,3.7
2016-10-17,3266981,181.9,,185.68,,2017-08-15,,2.08,0,2,2017-10-17T13:46:31-05:00,0,182.03,2.51,2016-11-04,2017-10-17T14:31:23-05:00,15200,14.09,191.1,181.19,4.6,,AMGN,,185.68,BATS,2017-09-14,185.62,0,2017-10-16,133.64,,729670,186,20000,.,100,99212,2384681,Amgen,,i,G,181.9,3.78
2016-10-17,3266981,181.9,,185.73,,2017-08-15,,2.11,0,2,2017-10-17T13:47:15-05:00,0,182.03,2.51,2016-11-04,2017-10-17T14:32:12-05:00,10000,14.09,191.1,181.19,4.6,,AMGN,,185.73,BATS,2017-09-14,185.72,0,2017-10-16,133.64,,729670,185.94,20000,.,5,99217,2384681,Amgen,,i,G,181.9,3.83
2016-10-17,3266981,181.9,,185.74,,2017-08-15,,2.1,0,2,2017-10-17T13:47:55-05:00,0,182.03,2.51,2016-11-04,2017-10-17T14:32:36-05:00,10000,14.09,191.1,181.19,4.6,,AMGN,,185.72,BATS,2017-09-14,185.65,0,2017-10-16,133.64,,729670,185.92,10000,.,100,99717,2384681,Amgen,,i,G,181.9,3.82
2016-10-17,3266981,181.9,,185.74,,2017-08-15,,2.1,0,2,2017-10-17T13:47:55-05:00,0,182.03,2.51,2016-11-04,2017-10-17T14:32:36-05:00,10000,14.09,191.1,181.19,4.6,,AMGN,,185.72,BATS,2017-09-14,185.65,0,2017-10-16,133.64,,729670,185.92,10000,.,100,99717,2384681,Amgen,,i,G,181.9,3.82
2016-10-17,3266981,181.9,,185.74,,2017-08-15,,2.03,0,2,2017-10-17T13:48:51-05:00,0,182.03,2.51,2016-11-04,2017-10-17T14:33:42-05:00,38000,14.09,191.1,181.19,4.6,,AMGN,,185.6,BATS,2017-09-14,185.56,0,2017-10-16,133.64,,729670,185.63,10000,-,100,100471,2384681,Amgen,,i,G,181.9,3.7
