twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-10-17,682412,323.28,,324.56,,2017-07-20,,0.4,0,2,2017-10-17T13:42:31-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:27:25-05:00,2500,48.16,324.58,322.74,1.04,,BCR,,324.56,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,325,10000,.,100,8173,437130,C.R. Bard,,i,G,323.28,1.28
2016-10-17,682412,323.28,,324.56,,2017-07-20,,0.4,0,2,2017-10-17T13:42:31-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:27:25-05:00,2500,48.16,324.58,322.74,1.04,,BCR,,324.56,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,325,10000,.,100,8173,437130,C.R. Bard,,i,G,323.28,1.28
2016-10-17,682412,323.28,,324.56,,2017-07-20,,0.4,0,2,2017-10-17T13:44:08-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:27:25-05:00,700,48.16,324.58,322.74,1.04,,BCR,,324.56,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,324.6,10000,.,100,8173,437130,C.R. Bard,,i,G,323.28,1.28
2016-10-17,682412,323.28,,324.56,,2017-07-20,,0.4,0,2,2017-10-17T13:44:26-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:27:25-05:00,4600,48.16,324.58,322.74,1.04,,BCR,,324.56,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,324.6,10000,.,100,8173,437130,C.R. Bard,,i,G,323.28,1.28
2016-10-17,682412,323.28,,324.56,,2017-07-20,,0.4,0,2,2017-10-17T13:45:26-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:27:25-05:00,2500,48.16,324.58,322.74,1.04,,BCR,,324.56,BATS,2017-09-11,324.29,0,2017-10-16,203.63,,72670,325,30000,.,100,8173,437130,C.R. Bard,,i,G,323.28,1.28
2016-10-17,682412,323.28,,324.56,,2017-07-20,,0.4,0,2,2017-10-17T13:45:57-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:27:25-05:00,2500,48.16,324.58,322.74,1.04,,BCR,,324.56,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,325,10000,.,100,8173,437130,C.R. Bard,,i,G,323.28,1.28
2016-10-17,682412,323.28,,324.56,,2017-07-20,,0.4,0,2,2017-10-17T13:45:57-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:27:25-05:00,2500,48.16,324.58,322.74,1.04,,BCR,,324.56,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,325,10000,.,100,8173,437130,C.R. Bard,,i,G,323.28,1.28
2016-10-17,682412,323.28,,324.56,,2017-07-20,,0.4,0,2,2017-10-17T13:45:57-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:27:25-05:00,2500,48.16,324.58,322.74,1.04,,BCR,,324.56,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,325,10000,.,100,8173,437130,C.R. Bard,,i,G,323.28,1.28
2016-10-17,682412,323.28,,324.56,,2017-07-20,,0.4,0,2,2017-10-17T13:45:57-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:27:25-05:00,2500,48.16,324.58,322.74,1.04,,BCR,,324.56,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,325,10000,.,100,8173,437130,C.R. Bard,,i,G,323.28,1.28
2016-10-17,682412,323.28,,324.56,,2017-07-20,,0.4,0,2,2017-10-17T13:45:57-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:27:25-05:00,2500,48.16,324.58,322.74,1.04,,BCR,,324.56,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,325,10000,.,100,8173,437130,C.R. Bard,,i,G,323.28,1.28
2016-10-17,682466,323.28,,324.56,,2017-07-20,,0.4,0,2,2017-10-17T13:45:57-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:27:25-05:00,2500,48.14,324.58,322.74,1.04,,BCR,,324.56,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,325,10000,.,100,8173,437670,C.R. Bard,,i,G,323.28,1.28
2016-10-17,682466,323.28,,324.56,,2017-07-20,,0.4,0,2,2017-10-17T13:49:39-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:27:25-05:00,10000,48.14,324.58,322.74,1.04,,BCR,,324.56,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,324.51,10000,.,100,8173,437670,C.R. Bard,,i,G,323.28,1.28
2016-10-17,682466,323.28,,324.56,,2017-07-20,,0.4,0,2,2017-10-17T13:49:39-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:27:25-05:00,10000,48.14,324.58,322.74,1.04,,BCR,,324.56,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,324.51,10000,.,100,8173,437670,C.R. Bard,,i,G,323.28,1.28
2016-10-17,682466,323.28,,324.56,,2017-07-20,,0.4,0,2,2017-10-17T13:51:36-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:27:25-05:00,10000,48.14,324.58,322.74,1.04,,BCR,,324.56,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,324.51,10000,.,100,8173,437670,C.R. Bard,,i,G,323.28,1.28
2016-10-17,682466,323.28,,324.56,,2017-07-20,,0.4,0,2,2017-10-17T13:51:36-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:27:25-05:00,10000,48.14,324.58,322.74,1.04,,BCR,,324.56,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,324.51,10000,.,100,8173,437670,C.R. Bard,,i,G,323.28,1.28
2016-10-17,682466,323.28,,324.56,,2017-07-20,,0.4,0,2,2017-10-17T13:51:36-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:27:25-05:00,10000,48.14,324.58,322.74,1.04,,BCR,,324.56,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,324.51,10000,.,100,8173,437670,C.R. Bard,,i,G,323.28,1.28
2016-10-17,682466,323.28,,324.56,,2017-07-20,,0.37,0,2,2017-10-17T13:53:30-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:38:30-05:00,10000,48.14,324.58,322.74,1.04,,BCR,,324.49,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,324.51,10000,-,100,8273,437670,C.R. Bard,,i,G,323.28,1.21
2016-10-17,682466,323.28,,324.56,,2017-07-20,,0.37,0,2,2017-10-17T13:54:17-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:38:30-05:00,10000,48.14,324.58,322.74,1.04,,BCR,,324.49,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,324.51,10000,.,100,8273,437670,C.R. Bard,,i,G,323.28,1.21
2016-10-17,682466,323.28,,324.56,,2017-07-20,,0.38,0,2,2017-10-17T13:55:54-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:40:35-05:00,2500,48.14,324.58,322.74,1.04,,BCR,,324.51,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,325,20000,+,100,8373,437670,C.R. Bard,,i,G,323.28,1.23
2016-10-17,682466,323.28,,324.56,,2017-07-20,,0.38,0,2,2017-10-17T13:56:09-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:40:35-05:00,2500,48.14,324.58,322.74,1.04,,BCR,,324.51,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,325,20000,+,100,8373,437670,C.R. Bard,,i,G,323.28,1.23
2016-10-17,682466,323.28,,324.56,,2017-07-20,,0.38,0,2,2017-10-17T13:56:53-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:40:35-05:00,2500,48.14,324.58,322.74,1.04,,BCR,,324.51,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,325,20000,+,100,8373,437670,C.R. Bard,,i,G,323.28,1.23
2016-10-17,682466,323.28,,324.56,,2017-07-20,,0.38,0,2,2017-10-17T13:57:52-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:40:35-05:00,2500,48.14,324.58,322.74,1.04,,BCR,,324.51,BATS,2017-09-11,324.49,0,2017-10-16,203.63,,72670,325,10000,+,100,8373,437670,C.R. Bard,,i,G,323.28,1.23
2016-10-17,682466,323.28,,324.56,,2017-07-20,,0.38,0,2,2017-10-17T13:58:00-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:40:35-05:00,2500,48.14,324.58,322.74,1.04,,BCR,,324.51,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,325,20000,+,100,8373,437670,C.R. Bard,,i,G,323.28,1.23
2016-10-17,682466,323.28,,324.56,,2017-07-20,,0.38,0,2,2017-10-17T13:58:00-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:40:35-05:00,2500,48.14,324.58,322.74,1.04,,BCR,,324.51,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,325,20000,+,100,8373,437670,C.R. Bard,,i,G,323.28,1.23
2016-10-17,682466,323.28,,324.56,,2017-07-20,,0.38,0,2,2017-10-17T14:00:19-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:40:35-05:00,2500,48.14,324.58,322.74,1.04,,BCR,,324.51,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,325,20000,+,100,8373,437670,C.R. Bard,,i,G,323.28,1.23
2016-10-17,682466,323.28,,324.56,,2017-07-20,,0.38,0,2,2017-10-17T14:01:17-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:40:35-05:00,2500,48.14,324.58,322.74,1.04,,BCR,,324.51,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,325,20000,+,100,8373,437670,C.R. Bard,,i,G,323.28,1.23
2016-10-17,682466,323.28,,324.56,,2017-07-20,,0.38,0,2,2017-10-17T14:02:17-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:40:35-05:00,2500,48.14,324.58,322.74,1.04,,BCR,,324.51,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,325,20000,+,100,8373,437670,C.R. Bard,,i,G,323.28,1.23
2016-10-17,682466,323.28,,324.56,,2017-07-20,,0.38,0,2,2017-10-17T14:03:17-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:40:35-05:00,2500,48.14,324.58,322.74,1.04,,BCR,,324.51,BATS,2017-09-11,323.6,0,2017-10-16,203.63,,72670,325,20000,+,100,8373,437670,C.R. Bard,,i,G,323.28,1.23
2016-10-17,682494,323.28,,324.56,,2017-07-20,,0.38,0,2,2017-10-17T14:03:38-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:40:35-05:00,10000,48.24,324.71,322.74,1.04,,BCR,,324.51,BATS,2017-10-17,323.6,0,2017-10-16,203.63,,72670,324.64,20000,+,100,8373,437946,C.R. Bard,,i,G,323.28,1.23
2016-10-17,682494,323.28,,324.69,,2017-07-20,,0.44,0,2,2017-10-17T14:04:55-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:49:54-05:00,10000,48.24,324.71,322.74,1.04,,BCR,,324.69,BATS,2017-10-17,323.6,0,2017-10-16,203.63,,72670,324.69,20000,.,100,8700,437946,C.R. Bard,,i,G,323.28,1.41
2016-10-17,682494,323.28,,324.69,,2017-07-20,,0.44,0,2,2017-10-17T14:05:17-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:50:01-05:00,10000,48.24,324.71,322.74,1.04,,BCR,,324.69,BATS,2017-10-17,323.6,0,2017-10-16,203.63,,72670,324.73,20000,.,100,8800,437946,C.R. Bard,,i,G,323.28,1.41
2016-10-17,682494,323.28,,324.69,,2017-07-20,,0.44,0,2,2017-10-17T14:05:17-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:50:01-05:00,10000,48.24,324.71,322.74,1.04,,BCR,,324.69,BATS,2017-10-17,323.6,0,2017-10-16,203.63,,72670,324.73,20000,.,100,8800,437946,C.R. Bard,,i,G,323.28,1.41
2016-10-17,682494,323.28,,324.69,,2017-07-20,,0.44,0,2,2017-10-17T14:06:35-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:50:01-05:00,10000,48.24,324.71,322.74,1.04,,BCR,,324.69,BATS,2017-10-17,324.64,0,2017-10-16,203.63,,72670,324.69,40000,.,100,8800,437946,C.R. Bard,,i,G,323.28,1.41
2016-10-17,682494,323.28,,324.69,,2017-07-20,,0.44,0,2,2017-10-17T14:07:19-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:52:09-05:00,10000,48.24,324.71,322.74,1.04,,BCR,,324.69,BATS,2017-10-17,324.66,0,2017-10-16,203.63,,72670,324.69,20000,.,100,8900,437946,C.R. Bard,,i,G,323.28,1.41
2016-10-17,682494,323.28,,324.69,,2017-07-20,,0.44,0,2,2017-10-17T14:08:07-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:52:26-05:00,2500,48.24,324.71,322.74,1.04,,BCR,,324.69,BATS,2017-10-17,323.6,0,2017-10-16,203.63,,72670,325,20000,.,50,9000,437946,C.R. Bard,,i,G,323.28,1.41
2016-10-17,682494,323.28,,324.69,,2017-07-20,,0.44,0,2,2017-10-17T14:08:39-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:52:26-05:00,2500,48.24,324.71,322.74,1.04,,BCR,,324.69,BATS,2017-10-17,324.68,0,2017-10-16,203.63,,72670,325,10000,.,50,9000,437946,C.R. Bard,,i,G,323.28,1.41
2016-10-17,682494,323.28,,324.69,,2017-07-20,,0.44,0,2,2017-10-17T14:08:39-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:52:26-05:00,2500,48.24,324.71,322.74,1.04,,BCR,,324.69,BATS,2017-10-17,324.68,0,2017-10-16,203.63,,72670,325,10000,.,50,9000,437946,C.R. Bard,,i,G,323.28,1.41
2016-10-17,682494,323.28,,324.69,,2017-07-20,,0.44,0,2,2017-10-17T14:10:21-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:52:26-05:00,2500,48.24,324.71,322.74,1.04,,BCR,,324.69,BATS,2017-10-17,323.6,0,2017-10-16,203.63,,72670,325,20000,.,50,9000,437946,C.R. Bard,,i,G,323.28,1.41
2016-10-17,682494,323.28,,324.69,,2017-07-20,,0.44,0,2,2017-10-17T14:10:40-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:52:26-05:00,10000,48.24,324.71,322.74,1.04,,BCR,,324.69,BATS,2017-10-17,323.6,0,2017-10-16,203.63,,72670,324.76,20000,.,50,9000,437946,C.R. Bard,,i,G,323.28,1.41
2016-10-17,682494,323.28,,324.69,,2017-07-20,,0.44,0,2,2017-10-17T14:11:05-05:00,0,323.1,0.32,2016-11-14,2017-10-17T14:52:26-05:00,10000,48.24,324.71,322.74,1.04,,BCR,,324.69,BATS,2017-10-17,324.53,0,2017-10-16,203.63,,72670,324.76,40000,.,50,9000,437946,C.R. Bard,,i,G,323.28,1.41
