twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-10-17,3551906,34.5,,34.52,,2017-07-27,,-0.9,0,2,2017-10-17T13:42:56-05:00,0,34.52,2.48,2017-08-30,2017-10-17T14:27:00-05:00,110000,-7.53,41.68,34.13,0.85,,CAG,,34.19,BATS,2017-03-01,34.19,0,2017-10-16,32.16,,408500,34.2,80000,.,100,155671,3837401,Conagra Brands Inc,,i,G,34.5,-0.31
2016-10-17,3551906,34.5,,34.52,,2017-07-27,,-0.9,0,2,2017-10-17T13:43:38-05:00,0,34.52,2.48,2017-08-30,2017-10-17T14:28:10-05:00,80000,-7.53,41.68,34.13,0.85,,CAG,,34.19,BATS,2017-03-01,34.18,0,2017-10-16,32.16,,408500,34.19,50000,.,100,156671,3837401,Conagra Brands Inc,,i,G,34.5,-0.31
2016-10-17,3551906,34.5,,34.52,,2017-07-27,,-0.93,0,2,2017-10-17T13:44:22-05:00,0,34.52,2.48,2017-08-30,2017-10-17T14:29:21-05:00,120000,-7.53,41.68,34.13,0.85,,CAG,,34.18,BATS,2017-03-01,34.18,0,2017-10-16,32.16,,408500,34.19,39500,-,5,156676,3837401,Conagra Brands Inc,,i,G,34.5,-0.32
2016-10-17,3551906,34.5,,34.52,,2017-07-27,,-0.93,0,2,2017-10-17T13:45:03-05:00,0,34.52,2.48,2017-08-30,2017-10-17T14:29:21-05:00,100000,-7.53,41.68,34.13,0.85,,CAG,,34.18,BATS,2017-03-01,34.18,0,2017-10-16,32.16,,408500,34.19,69500,-,5,156676,3837401,Conagra Brands Inc,,i,G,34.5,-0.32
2016-10-17,3551906,34.5,,34.52,,2017-07-27,,-0.87,0,2,2017-10-17T13:45:55-05:00,0,34.52,2.48,2017-08-30,2017-10-17T14:30:42-05:00,60000,-7.53,41.68,34.13,0.85,,CAG,,34.2,BATS,2017-03-01,34.2,0,2017-10-16,32.16,,408500,34.21,99600,.,100,158576,3837401,Conagra Brands Inc,,i,G,34.5,-0.3
2016-10-17,3551906,34.5,,34.52,,2017-07-27,,-0.87,0,2,2017-10-17T13:46:50-05:00,0,34.52,2.48,2017-08-30,2017-10-17T14:30:42-05:00,50000,-7.53,41.68,34.13,0.85,,CAG,,34.2,BATS,2017-03-01,34.2,0,2017-10-16,32.16,,408500,34.21,119600,.,100,158576,3837401,Conagra Brands Inc,,i,G,34.5,-0.3
2016-10-17,3551906,34.5,,34.52,,2017-07-27,,-0.87,0,2,2017-10-17T13:47:38-05:00,0,34.52,2.48,2017-08-30,2017-10-17T14:30:42-05:00,60000,-7.53,41.68,34.13,0.85,,CAG,,34.2,BATS,2017-03-01,34.2,0,2017-10-16,32.16,,408500,34.21,100000,.,100,158576,3837401,Conagra Brands Inc,,i,G,34.5,-0.3
2016-10-17,3551906,34.5,,34.52,,2017-07-27,,-0.87,0,2,2017-10-17T13:48:03-05:00,0,34.52,2.48,2017-08-30,2017-10-17T14:30:42-05:00,60000,-7.53,41.68,34.13,0.85,,CAG,,34.2,BATS,2017-03-01,34.2,0,2017-10-16,32.16,,408500,34.21,90000,.,100,158576,3837401,Conagra Brands Inc,,i,G,34.5,-0.3
2016-10-17,3551906,34.5,,34.52,,2017-07-27,,-0.84,0,2,2017-10-17T13:48:24-05:00,0,34.52,2.48,2017-08-30,2017-10-17T14:33:11-05:00,80000,-7.53,41.68,34.13,0.85,,CAG,,34.21,BATS,2017-03-01,34.21,0,2017-10-16,32.16,,408500,34.22,100000,.,339,159076,3837401,Conagra Brands Inc,,i,G,34.5,-0.29
2016-10-17,3551906,34.5,,34.52,,2017-07-27,,-0.84,0,2,2017-10-17T13:49:01-05:00,0,34.52,2.48,2017-08-30,2017-10-17T14:33:11-05:00,50000,-7.53,41.68,34.13,0.85,,CAG,,34.21,BATS,2017-03-01,34.21,0,2017-10-16,32.16,,408500,34.22,100000,.,339,159076,3837401,Conagra Brands Inc,,i,G,34.5,-0.29
2016-10-17,3552236,34.5,,34.52,,2017-07-27,,-0.84,0,2,2017-10-17T13:49:32-05:00,0,34.52,2.48,2017-08-30,2017-10-17T14:33:11-05:00,60100,-7.37,41.68,34.13,0.85,,CAG,,34.21,BATS,2017-03-01,34.21,0,2017-10-16,32.16,,408500,34.22,110000,.,339,159076,3840709,Conagra Brands Inc,,i,G,34.5,-0.29
2016-10-17,3552236,34.5,,34.52,,2017-07-27,,-0.81,0,2,2017-10-17T13:50:07-05:00,0,34.52,2.48,2017-08-30,2017-10-17T14:34:43-05:00,66400,-7.37,41.68,34.13,0.85,,CAG,,34.22,BATS,2017-03-01,34.21,0,2017-10-16,32.16,,408500,34.22,100000,+,70,159146,3840709,Conagra Brands Inc,,i,G,34.5,-0.28
