twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-10-17,3697246,51.81,,51.75,,2017-10-06,,-0.39,0,2,2017-10-17T13:43:02-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:28:02-05:00,20000,-16.46,64.06,51.31,1.96,,GIS,,51.61,BATS,2016-12-14,51.62,0,2017-10-16,50.13,,568340,51.63,20000,+,100,82426,4409682,General Mills,,i,G,51.81,-0.2
2016-10-17,3697246,51.81,,51.75,,2017-10-06,,-0.37,0,2,2017-10-17T13:43:44-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:28:27-05:00,20000,-16.46,64.06,51.31,1.96,,GIS,,51.62,BATS,2016-12-14,51.63,0,2017-10-16,50.13,,568340,51.64,30000,+,100,82526,4409682,General Mills,,i,G,51.81,-0.19
2016-10-17,3697246,51.81,,51.75,,2017-10-06,,-0.35,0,2,2017-10-17T13:44:22-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:29:20-05:00,20000,-16.46,64.06,51.31,1.96,,GIS,,51.63,BATS,2016-12-14,51.62,0,2017-10-16,50.13,,568340,51.63,10000,.,100,82726,4409682,General Mills,,i,G,51.81,-0.18
2016-10-17,3697246,51.81,,51.75,,2017-10-06,,-0.35,0,2,2017-10-17T13:45:15-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:29:20-05:00,20000,-16.46,64.06,51.31,1.96,,GIS,,51.63,BATS,2016-12-14,51.62,0,2017-10-16,50.13,,568340,51.63,20000,.,100,82726,4409682,General Mills,,i,G,51.81,-0.18
2016-10-17,3697246,51.81,,51.75,,2017-10-06,,-0.35,0,2,2017-10-17T13:45:54-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:29:20-05:00,20000,-16.46,64.06,51.31,1.96,,GIS,,51.63,BATS,2016-12-14,51.62,0,2017-10-16,50.13,,568340,51.63,20000,.,100,82726,4409682,General Mills,,i,G,51.81,-0.18
2016-10-17,3697246,51.81,,51.75,,2017-10-06,,-0.25,0,2,2017-10-17T13:47:05-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:31:47-05:00,20000,-16.46,64.06,51.31,1.96,,GIS,,51.68,BATS,2016-12-14,51.67,0,2017-10-16,50.13,,568340,51.68,10000,+,50,83557,4409682,General Mills,,i,G,51.81,-0.13
2016-10-17,3697246,51.81,,51.75,,2017-10-06,,-0.25,0,2,2017-10-17T13:47:36-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:31:47-05:00,10000,-16.46,64.06,51.31,1.96,,GIS,,51.68,BATS,2016-12-14,51.67,0,2017-10-16,50.13,,568340,51.68,10000,+,50,83557,4409682,General Mills,,i,G,51.81,-0.13
2016-10-17,3697246,51.81,,51.75,,2017-10-06,,-0.27,0,2,2017-10-17T13:48:05-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:32:54-05:00,80000,-16.46,64.06,51.31,1.96,,GIS,,51.67,BATS,2016-12-14,51.67,0,2017-10-16,50.13,,568340,51.68,30000,-,100,83657,4409682,General Mills,,i,G,51.81,-0.14
2016-10-17,3697246,51.81,,51.75,,2017-10-06,,-0.27,0,2,2017-10-17T13:48:30-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:32:54-05:00,60000,-16.46,64.06,51.31,1.96,,GIS,,51.67,BATS,2016-12-14,51.67,0,2017-10-16,50.13,,568340,51.68,30000,-,100,83657,4409682,General Mills,,i,G,51.81,-0.14
2016-10-17,3697246,51.81,,51.75,,2017-10-06,,-0.27,0,2,2017-10-17T13:49:07-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:32:54-05:00,60000,-16.46,64.06,51.31,1.96,,GIS,,51.67,BATS,2016-12-14,51.67,0,2017-10-16,50.13,,568340,51.68,20000,-,100,83657,4409682,General Mills,,i,G,51.81,-0.14
2016-10-17,3697709,51.81,,51.75,,2017-10-06,,-0.27,0,2,2017-10-17T13:49:12-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:32:54-05:00,60000,-16.32,64.06,51.31,1.96,,GIS,,51.67,BATS,2016-12-14,51.67,0,2017-10-16,50.13,,568340,51.68,20000,-,100,83657,4414315,General Mills,,i,G,51.81,-0.14
2016-10-17,3697709,51.81,,51.75,,2017-10-06,,-0.23,0,2,2017-10-17T13:50:22-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:35:22-05:00,40000,-16.32,64.06,51.31,1.96,,GIS,,51.69,BATS,2016-12-14,51.69,0,2017-10-16,50.13,,568340,51.7,2500,+,40,85326,4414315,General Mills,,i,G,51.81,-0.12
2016-10-17,3697709,51.81,,51.75,,2017-10-06,,-0.27,0,2,2017-10-17T13:51:10-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:35:28-05:00,40000,-16.32,64.06,51.31,1.96,,GIS,,51.67,BATS,2016-12-14,51.66,0,2017-10-16,50.13,,568340,51.69,20000,-,20,85446,4414315,General Mills,,i,G,51.81,-0.14
2016-10-17,3697709,51.81,,51.75,,2017-10-06,,-0.27,0,2,2017-10-17T13:51:49-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:35:28-05:00,40000,-16.32,64.06,51.31,1.96,,GIS,,51.67,BATS,2016-12-14,51.67,0,2017-10-16,50.13,,568340,51.69,30000,-,20,85446,4414315,General Mills,,i,G,51.81,-0.14
2016-10-17,3697709,51.81,,51.75,,2017-10-06,,-0.27,0,2,2017-10-17T13:52:21-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:35:28-05:00,20000,-16.32,64.06,51.31,1.96,,GIS,,51.67,BATS,2016-12-14,51.67,0,2017-10-16,50.13,,568340,51.68,20000,-,20,85446,4414315,General Mills,,i,G,51.81,-0.14
2016-10-17,3697709,51.81,,51.75,,2017-10-06,,-0.27,0,2,2017-10-17T13:53:21-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:38:19-05:00,32300,-16.32,64.06,51.31,1.96,,GIS,,51.67,BATS,2016-12-14,51.65,0,2017-10-16,50.13,,568340,51.66,30000,-,100,85776,4414315,General Mills,,i,G,51.81,-0.14
2016-10-17,3697709,51.81,,51.75,,2017-10-06,,-0.27,0,2,2017-10-17T13:53:53-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:38:19-05:00,2300,-16.32,64.06,51.31,1.96,,GIS,,51.67,BATS,2016-12-14,51.65,0,2017-10-16,50.13,,568340,51.66,40000,-,100,85776,4414315,General Mills,,i,G,51.81,-0.14
2016-10-17,3697709,51.81,,51.75,,2017-10-06,,-0.25,0,2,2017-10-17T13:55:13-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:40:00-05:00,30000,-16.32,64.06,51.31,1.96,,GIS,,51.68,BATS,2016-12-14,51.66,0,2017-10-16,50.13,,568340,51.67,10000,+,100,88111,4414315,General Mills,,i,G,51.81,-0.13
2016-10-17,3697709,51.81,,51.75,,2017-10-06,,-0.27,0,2,2017-10-17T13:55:58-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:40:35-05:00,40000,-16.32,64.06,51.31,1.96,,GIS,,51.67,BATS,2016-12-14,51.68,0,2017-10-16,50.13,,568340,51.69,20000,+,100,88511,4414315,General Mills,,i,G,51.81,-0.14
2016-10-17,3697709,51.81,,51.75,,2017-10-06,,-0.21,0,2,2017-10-17T13:56:38-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:41:37-05:00,20000,-16.32,64.06,51.31,1.96,,GIS,,51.7,BATS,2016-12-14,51.69,0,2017-10-16,50.13,,568340,51.7,30000,.,30,89846,4414315,General Mills,,i,G,51.81,-0.11
2016-10-17,3697709,51.81,,51.75,,2017-10-06,,-0.21,0,2,2017-10-17T13:57:17-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:41:37-05:00,20000,-16.32,64.06,51.31,1.96,,GIS,,51.7,BATS,2016-12-14,51.69,0,2017-10-16,50.13,,568340,51.7,30000,.,30,89846,4414315,General Mills,,i,G,51.81,-0.11
2016-10-17,3697709,51.81,,51.75,,2017-10-06,,-0.23,0,2,2017-10-17T13:57:49-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:42:43-05:00,10000,-16.32,64.06,51.31,1.96,,GIS,,51.69,BATS,2016-12-14,51.69,0,2017-10-16,50.13,,568340,51.7,20000,-,100,89946,4414315,General Mills,,i,G,51.81,-0.12
2016-10-17,3697709,51.81,,51.75,,2017-10-06,,-0.27,0,2,2017-10-17T13:59:12-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:44:01-05:00,40000,-16.32,64.06,51.31,1.96,,GIS,,51.67,BATS,2016-12-14,51.67,0,2017-10-16,50.13,,568340,51.68,20000,-,31,90377,4414315,General Mills,,i,G,51.81,-0.14
2016-10-17,3697709,51.81,,51.75,,2017-10-06,,-0.23,0,2,2017-10-17T14:00:28-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:45:26-05:00,40000,-16.32,64.06,51.31,1.96,,GIS,,51.69,BATS,2016-12-14,51.69,0,2017-10-16,50.13,,568340,51.7,30000,+,100,91154,4414315,General Mills,,i,G,51.81,-0.12
2016-10-17,3697709,51.81,,51.75,,2017-10-06,,-0.23,0,2,2017-10-17T14:01:03-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:45:26-05:00,20000,-16.32,64.06,51.31,1.96,,GIS,,51.69,BATS,2016-12-14,51.69,0,2017-10-16,50.13,,568340,51.71,30000,+,100,91154,4414315,General Mills,,i,G,51.81,-0.12
2016-10-17,3697709,51.81,,51.75,,2017-10-06,,-0.23,0,2,2017-10-17T14:02:00-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:45:26-05:00,20000,-16.32,64.06,51.31,1.96,,GIS,,51.69,BATS,2016-12-14,51.69,0,2017-10-16,50.13,,568340,51.7,30000,+,100,91154,4414315,General Mills,,i,G,51.81,-0.12
2016-10-17,3697709,51.81,,51.75,,2017-10-06,,-0.23,0,2,2017-10-17T14:03:10-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:48:00-05:00,10000,-16.32,64.06,51.31,1.96,,GIS,,51.69,BATS,2016-12-14,51.69,0,2017-10-16,50.13,,568340,51.7,20000,+,12,91166,4414315,General Mills,,i,G,51.81,-0.12
2016-10-17,3697709,51.81,,51.75,,2017-10-06,,-0.23,0,2,2017-10-17T14:03:21-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:48:00-05:00,10000,-16.32,64.06,51.31,1.96,,GIS,,51.69,BATS,2016-12-14,51.69,0,2017-10-16,50.13,,568340,51.7,30000,+,12,91166,4414315,General Mills,,i,G,51.81,-0.12
2016-10-17,3698216,51.81,,51.75,,2017-10-06,,-0.21,0,2,2017-10-17T14:04:38-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:49:16-05:00,32200,-16.3,64.06,51.31,1.96,,GIS,,51.7,BATS,2016-12-14,51.69,0,2017-10-16,50.13,,568340,51.7,40000,+,39,91544,4419375,General Mills,,i,G,51.81,-0.11
2016-10-17,3698216,51.81,,51.75,,2017-10-06,,-0.21,0,2,2017-10-17T14:05:08-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:49:16-05:00,32200,-16.3,64.06,51.31,1.96,,GIS,,51.7,BATS,2016-12-14,51.69,0,2017-10-16,50.13,,568340,51.7,50000,+,39,91544,4419375,General Mills,,i,G,51.81,-0.11
2016-10-17,3698216,51.81,,51.75,,2017-10-06,,-0.21,0,2,2017-10-17T14:05:18-05:00,0,51.75,3.8,2017-10-09,2017-10-17T14:49:16-05:00,32200,-16.3,64.06,51.31,1.96,,GIS,,51.7,BATS,2016-12-14,51.69,0,2017-10-16,50.13,,568340,51.7,40000,+,39,91544,4419375,General Mills,,i,G,51.81,-0.11
