twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-10-17,1691105,91.3,,91.13,,2017-09-07,,-0.39,0,2,2017-10-17T13:43:04-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:27:34-05:00,10000,39.21,94.39,90.22,1.8,,IR,,90.94,BATS,2017-07-10,90.93,0,2017-10-16,63.87,,253670,90.99,10000,-,100,57759,1400282,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.36
2016-10-17,1691105,91.3,,91.13,,2017-09-07,,-0.39,0,2,2017-10-17T13:43:34-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:27:34-05:00,10000,39.21,94.39,90.22,1.8,,IR,,90.94,BATS,2017-07-10,90.95,0,2017-10-16,63.87,,253670,90.99,10000,-,100,57759,1400282,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.36
2016-10-17,1691105,91.3,,91.13,,2017-09-07,,-0.39,0,2,2017-10-17T13:44:34-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:27:34-05:00,20000,39.21,94.39,90.22,1.8,,IR,,90.94,BATS,2017-07-10,90.97,0,2017-10-16,63.87,,253670,90.99,10000,-,100,57759,1400282,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.36
2016-10-17,1691105,91.3,,91.13,,2017-09-07,,-0.34,0,2,2017-10-17T13:45:10-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:29:38-05:00,10000,39.21,94.39,90.22,1.8,,IR,,90.99,BATS,2017-07-10,90.98,0,2017-10-16,63.87,,253670,91.04,10000,.,100,58059,1400282,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.31
2016-10-17,1691105,91.3,,91.13,,2017-09-07,,-0.36,0,2,2017-10-17T13:45:52-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:30:39-05:00,10000,39.21,94.39,90.22,1.8,,IR,,90.97,BATS,2017-07-10,90.76,0,2017-10-16,63.87,,253670,90.96,500,-,100,58259,1400282,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.33
2016-10-17,1691105,91.3,,91.13,,2017-09-07,,-0.36,0,2,2017-10-17T13:46:59-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:31:54-05:00,10000,39.21,94.39,90.22,1.8,,IR,,90.97,BATS,2017-07-10,90.76,0,2017-10-16,63.87,,253670,90.99,500,.,100,58570,1400282,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.33
2016-10-17,1691105,91.3,,91.13,,2017-09-07,,-0.36,0,2,2017-10-17T13:47:32-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:31:54-05:00,10000,39.21,94.39,90.22,1.8,,IR,,90.97,BATS,2017-07-10,90.85,0,2017-10-16,63.87,,253670,90.98,10000,.,100,58570,1400282,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.33
2016-10-17,1691105,91.3,,91.13,,2017-09-07,,-0.36,0,2,2017-10-17T13:47:32-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:31:54-05:00,10000,39.21,94.39,90.22,1.8,,IR,,90.97,BATS,2017-07-10,90.85,0,2017-10-16,63.87,,253670,90.98,10000,.,100,58570,1400282,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.33
2016-10-17,1691105,91.3,,91.13,,2017-09-07,,-0.44,0,2,2017-10-17T13:48:15-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:33:12-05:00,10000,39.21,94.39,90.22,1.8,,IR,,90.9,BATS,2017-07-10,90.85,0,2017-10-16,63.87,,253670,90.92,10000,-,25,58595,1400282,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.4
2016-10-17,1691105,91.3,,91.13,,2017-09-07,,-0.44,0,2,2017-10-17T13:48:57-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:33:12-05:00,10000,39.21,94.39,90.22,1.8,,IR,,90.9,BATS,2017-07-10,90.85,0,2017-10-16,63.87,,253670,90.92,10000,-,25,58595,1400282,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.4
2016-10-17,1691105,91.3,,91.13,,2017-09-07,,-0.44,0,2,2017-10-17T13:48:57-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:33:12-05:00,10000,39.16,94.39,90.22,1.8,,IR,,90.9,BATS,2017-07-10,90.85,0,2017-10-16,63.87,,253670,90.92,10000,-,25,58595,1400282,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.4
2016-10-17,1691293,91.3,,91.13,,2017-09-07,,-0.47,0,2,2017-10-17T13:50:17-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:35:13-05:00,10000,39.16,94.39,90.22,1.8,,IR,,90.87,BATS,2017-07-10,90.76,0,2017-10-16,63.87,,253670,91,500,-,100,58695,1402163,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.43
2016-10-17,1691293,91.3,,91.13,,2017-09-07,,-0.47,0,2,2017-10-17T13:51:09-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:35:13-05:00,10000,39.16,94.39,90.22,1.8,,IR,,90.87,BATS,2017-07-10,90.88,0,2017-10-16,63.87,,253670,91,10000,-,100,58695,1402163,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.43
2016-10-17,1691293,91.3,,91.13,,2017-09-07,,-0.47,0,2,2017-10-17T13:51:50-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:35:13-05:00,10000,39.16,94.39,90.22,1.8,,IR,,90.87,BATS,2017-07-10,90.88,0,2017-10-16,63.87,,253670,90.96,20000,-,100,58695,1402163,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.43
2016-10-17,1691293,91.3,,91.13,,2017-09-07,,-0.46,0,2,2017-10-17T13:52:18-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:36:53-05:00,10000,39.16,94.39,90.22,1.8,,IR,,90.88,BATS,2017-07-10,90.87,0,2017-10-16,63.87,,253670,91,10000,+,100,58795,1402163,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.42
2016-10-17,1691293,91.3,,91.13,,2017-09-07,,-0.46,0,2,2017-10-17T13:53:12-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:38:11-05:00,10000,39.16,94.39,90.22,1.8,,IR,,90.88,BATS,2017-07-10,90.86,0,2017-10-16,63.87,,253670,90.9,10000,+,100,59295,1402163,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.42
2016-10-17,1691293,91.3,,91.13,,2017-09-07,,-0.5,0,2,2017-10-17T13:53:59-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:38:34-05:00,10000,39.16,94.39,90.22,1.8,,IR,,90.84,BATS,2017-07-10,90.79,0,2017-10-16,63.87,,253670,90.83,10000,.,50,59495,1402163,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.46
2016-10-17,1691293,91.3,,91.13,,2017-09-07,,-0.51,0,2,2017-10-17T13:55:05-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:39:42-05:00,10000,39.16,94.39,90.22,1.8,,IR,,90.83,BATS,2017-07-10,90.76,0,2017-10-16,63.87,,253670,90.87,500,+,100,59695,1402163,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.47
2016-10-17,1691293,91.3,,91.13,,2017-09-07,,-0.51,0,2,2017-10-17T13:55:57-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:40:18-05:00,20000,39.16,94.39,90.22,1.8,,IR,,90.83,BATS,2017-07-10,90.79,0,2017-10-16,63.87,,253670,90.84,10000,.,100,59795,1402163,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.47
2016-10-17,1691293,91.3,,91.13,,2017-09-07,,-0.51,0,2,2017-10-17T13:56:38-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:40:18-05:00,10000,39.16,94.39,90.22,1.8,,IR,,90.83,BATS,2017-07-10,90.77,0,2017-10-16,63.87,,253670,90.84,12500,.,100,59795,1402163,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.47
2016-10-17,1691293,91.3,,91.13,,2017-09-07,,-0.51,0,2,2017-10-17T13:56:53-05:00,0,90.45,1.97,2016-10-26,2017-10-17T14:40:18-05:00,10000,39.16,94.39,90.22,1.8,,IR,,90.83,BATS,2017-07-10,90.77,0,2017-10-16,63.87,,253670,90.92,10000,.,100,59795,1402163,Ingersoll-Rand Plc [Ireland],,i,G,91.3,-0.47
