twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-10-17,4455106,19.26,,19.34,,2017-10-03,,0.21,0,2,2017-10-17T13:42:59-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:27:03-05:00,50000,-30.95,28.38,19.17,1.08,,KIM,,19.3,BATS,2016-10-24,19.29,0,2017-10-16,17.02,,425640,19.3,190000,.,90,160943,2945867,Kimco Realty Corp,,i,G,19.26,0.04
2016-10-17,4455106,19.26,,19.34,,2017-10-03,,0.21,0,2,2017-10-17T13:43:33-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:27:03-05:00,50000,-30.95,28.38,19.17,1.08,,KIM,,19.3,BATS,2016-10-24,19.29,0,2017-10-16,17.02,,425640,19.3,180000,.,90,160943,2945867,Kimco Realty Corp,,i,G,19.26,0.04
2016-10-17,4455106,19.26,,19.34,,2017-10-03,,0.21,0,2,2017-10-17T13:43:33-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:27:03-05:00,50000,-30.95,28.38,19.17,1.08,,KIM,,19.3,BATS,2016-10-24,19.29,0,2017-10-16,17.02,,425640,19.3,180000,.,90,160943,2945867,Kimco Realty Corp,,i,G,19.26,0.04
2016-10-17,4455106,19.26,,19.34,,2017-10-03,,0.16,0,2,2017-10-17T13:45:14-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:29:49-05:00,33900,-30.95,28.38,19.17,1.08,,KIM,,19.29,BATS,2016-10-24,19.29,0,2017-10-16,17.02,,425640,19.3,160000,.,300,166604,2945867,Kimco Realty Corp,,i,G,19.26,0.03
2016-10-17,4455106,19.26,,19.34,,2017-10-03,,0.16,0,2,2017-10-17T13:45:46-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:29:49-05:00,33900,-30.95,28.38,19.17,1.08,,KIM,,19.29,BATS,2016-10-24,19.29,0,2017-10-16,17.02,,425640,19.3,160000,.,300,166604,2945867,Kimco Realty Corp,,i,G,19.26,0.03
2016-10-17,4455106,19.26,,19.34,,2017-10-03,,0.16,0,2,2017-10-17T13:47:02-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:29:49-05:00,33900,-30.95,28.38,19.17,1.08,,KIM,,19.29,BATS,2016-10-24,19.29,0,2017-10-16,17.02,,425640,19.3,70000,.,300,166604,2945867,Kimco Realty Corp,,i,G,19.26,0.03
2016-10-17,4455106,19.26,,19.34,,2017-10-03,,0.16,0,2,2017-10-17T13:47:38-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:29:49-05:00,63900,-30.95,28.38,19.17,1.08,,KIM,,19.29,BATS,2016-10-24,19.29,0,2017-10-16,17.02,,425640,19.3,70000,.,300,166604,2945867,Kimco Realty Corp,,i,G,19.26,0.03
2016-10-17,4455106,19.26,,19.34,,2017-10-03,,0.16,0,2,2017-10-17T13:48:08-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:29:49-05:00,53900,-30.95,28.38,19.17,1.08,,KIM,,19.29,BATS,2016-10-24,19.29,0,2017-10-16,17.02,,425640,19.3,70000,.,300,166604,2945867,Kimco Realty Corp,,i,G,19.26,0.03
2016-10-17,4455106,19.26,,19.34,,2017-10-03,,0.16,0,2,2017-10-17T13:48:10-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:29:49-05:00,53900,-30.95,28.38,19.17,1.08,,KIM,,19.29,BATS,2016-10-24,19.29,0,2017-10-16,17.02,,425640,19.3,70000,.,300,166604,2945867,Kimco Realty Corp,,i,G,19.26,0.03
2016-10-17,4455106,19.26,,19.34,,2017-10-03,,0.16,0,2,2017-10-17T13:49:00-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:29:49-05:00,53900,-30.95,28.38,19.17,1.08,,KIM,,19.29,BATS,2016-10-24,19.29,0,2017-10-16,17.02,,425640,19.3,70000,.,300,166604,2945867,Kimco Realty Corp,,i,G,19.26,0.03
2016-10-17,4455106,19.26,,19.34,,2017-10-03,,0.16,0,2,2017-10-17T13:49:32-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:29:49-05:00,33900,-30.99,28.38,19.17,1.08,,KIM,,19.29,BATS,2016-10-24,19.29,0,2017-10-16,17.02,,425640,19.3,70000,.,300,166604,2945867,Kimco Realty Corp,,i,G,19.26,0.03
2016-10-17,4455679,19.26,,19.34,,2017-10-03,,0.16,0,2,2017-10-17T13:50:15-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:29:49-05:00,54600,-30.99,28.38,19.17,1.08,,KIM,,19.29,BATS,2016-10-24,19.29,0,2017-10-16,17.02,,425640,19.3,60000,.,300,166604,2951597,Kimco Realty Corp,,i,G,19.26,0.03
2016-10-17,4455679,19.26,,19.34,,2017-10-03,,0.1,0,2,2017-10-17T13:51:15-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:36:00-05:00,83900,-30.99,28.38,19.17,1.08,,KIM,,19.28,BATS,2016-10-24,19.28,0,2017-10-16,17.02,,425640,19.29,40000,-,10,167414,2951597,Kimco Realty Corp,,i,G,19.26,0.02
2016-10-17,4455679,19.26,,19.34,,2017-10-03,,0.1,0,2,2017-10-17T13:51:50-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:36:00-05:00,93900,-30.99,28.38,19.17,1.08,,KIM,,19.28,BATS,2016-10-24,19.28,0,2017-10-16,17.02,,425640,19.29,60000,-,10,167414,2951597,Kimco Realty Corp,,i,G,19.26,0.02
2016-10-17,4455679,19.26,,19.34,,2017-10-03,,0.1,0,2,2017-10-17T13:52:12-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:37:02-05:00,66500,-30.99,28.38,19.17,1.08,,KIM,,19.28,BATS,2016-10-24,19.27,0,2017-10-16,17.02,,425640,19.28,90000,.,100,168014,2951597,Kimco Realty Corp,,i,G,19.26,0.02
2016-10-17,4455679,19.26,,19.34,,2017-10-03,,0.1,0,2,2017-10-17T13:52:59-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:37:02-05:00,66500,-30.99,28.38,19.17,1.08,,KIM,,19.28,BATS,2016-10-24,19.27,0,2017-10-16,17.02,,425640,19.28,50000,.,100,168014,2951597,Kimco Realty Corp,,i,G,19.26,0.02
2016-10-17,4455679,19.26,,19.34,,2017-10-03,,0.05,0,2,2017-10-17T13:53:53-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:38:50-05:00,80200,-30.99,28.38,19.17,1.08,,KIM,,19.27,BATS,2016-10-24,19.26,0,2017-10-16,17.02,,425640,19.27,60000,.,200,168414,2951597,Kimco Realty Corp,,i,G,19.26,0.01
2016-10-17,4455679,19.26,,19.34,,2017-10-03,,0.1,0,2,2017-10-17T13:55:08-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:39:48-05:00,120000,-30.99,28.38,19.17,1.08,,KIM,,19.28,BATS,2016-10-24,19.27,0,2017-10-16,17.02,,425640,19.28,230800,.,100,170204,2951597,Kimco Realty Corp,,i,G,19.26,0.02
2016-10-17,4455679,19.26,,19.34,,2017-10-03,,0.1,0,2,2017-10-17T13:55:59-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:39:48-05:00,100000,-30.99,28.38,19.17,1.08,,KIM,,19.28,BATS,2016-10-24,19.27,0,2017-10-16,17.02,,425640,19.28,240800,.,100,170204,2951597,Kimco Realty Corp,,i,G,19.26,0.02
2016-10-17,4455679,19.26,,19.34,,2017-10-03,,0.1,0,2,2017-10-17T13:56:36-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:39:48-05:00,100000,-30.99,28.38,19.17,1.08,,KIM,,19.28,BATS,2016-10-24,19.27,0,2017-10-16,17.02,,425640,19.28,230800,.,100,170204,2951597,Kimco Realty Corp,,i,G,19.26,0.02
2016-10-17,4455679,19.26,,19.34,,2017-10-03,,0.05,0,2,2017-10-17T13:57:15-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:42:01-05:00,120000,-30.99,28.38,19.17,1.08,,KIM,,19.27,BATS,2016-10-24,19.27,0,2017-10-16,17.02,,425640,19.28,200000,-,14,170218,2951597,Kimco Realty Corp,,i,G,19.26,0.01
2016-10-17,4455679,19.26,,19.34,,2017-10-03,,0.05,0,2,2017-10-17T13:58:04-05:00,0,19.17,5.55,2017-06-06,2017-10-17T14:42:01-05:00,100000,-30.99,28.38,19.17,1.08,,KIM,,19.27,BATS,2016-10-24,19.27,0,2017-10-16,17.02,,425640,19.28,252800,-,14,170218,2951597,Kimco Realty Corp,,i,G,19.26,0.01
