twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-10-17,22327932,77.65,,77.59,,2017-08-15,,-0.37,0,2,2017-10-17T13:43:10-05:00,0,77.45,2.01,2016-10-20,2017-10-17T14:27:55-05:00,120000,35.21,77.87,77.26,1.56,,MSFT,,77.36,BATS,2017-10-13,77.35,0,2017-10-16,56.66,,7702240,77.36,20000,.,200,590076,15817445,Microsoft Corp,,i,G,77.65,-0.29
2016-10-17,22327932,77.65,,77.59,,2017-08-15,,-0.4,0,2,2017-10-17T13:43:48-05:00,0,77.45,2.01,2016-10-20,2017-10-17T14:28:29-05:00,10000,35.21,77.87,77.26,1.56,,MSFT,,77.34,BATS,2017-10-13,77.33,0,2017-10-16,56.66,,7702240,77.34,250000,.,5,591482,15817445,Microsoft Corp,,i,G,77.65,-0.31
2016-10-17,22327932,77.65,,77.59,,2017-08-15,,-0.39,0,2,2017-10-17T13:44:40-05:00,0,77.45,2.01,2016-10-20,2017-10-17T14:29:38-05:00,55100,35.21,77.87,77.26,1.56,,MSFT,,77.35,BATS,2017-10-13,77.34,0,2017-10-16,56.66,,7702240,77.35,50000,+,49,591831,15817445,Microsoft Corp,,i,G,77.65,-0.3
2016-10-17,22327932,77.65,,77.59,,2017-08-15,,-0.4,0,2,2017-10-17T13:45:20-05:00,0,77.45,2.01,2016-10-20,2017-10-17T14:29:43-05:00,95100,35.21,77.87,77.26,1.56,,MSFT,,77.34,BATS,2017-10-13,77.34,0,2017-10-16,56.66,,7702240,77.35,70000,.,100,592031,15817445,Microsoft Corp,,i,G,77.65,-0.31
2016-10-17,22327932,77.65,,77.59,,2017-08-15,,-0.4,0,2,2017-10-17T13:46:12-05:00,0,77.45,2.01,2016-10-20,2017-10-17T14:29:43-05:00,65100,35.21,77.87,77.26,1.56,,MSFT,,77.34,BATS,2017-10-13,77.34,0,2017-10-16,56.66,,7702240,77.35,80000,.,100,592031,15817445,Microsoft Corp,,i,G,77.65,-0.31
2016-10-17,22327932,77.65,,77.59,,2017-08-15,,-0.4,0,2,2017-10-17T13:47:11-05:00,0,77.45,2.01,2016-10-20,2017-10-17T14:32:02-05:00,65100,35.21,77.87,77.26,1.56,,MSFT,,77.34,BATS,2017-10-13,77.34,0,2017-10-16,56.66,,7702240,77.35,110200,.,100,592331,15817445,Microsoft Corp,,i,G,77.65,-0.31
2016-10-17,22327932,77.65,,77.59,,2017-08-15,,-0.37,0,2,2017-10-17T13:47:50-05:00,0,77.45,2.01,2016-10-20,2017-10-17T14:32:33-05:00,40000,35.21,77.87,77.26,1.56,,MSFT,,77.36,BATS,2017-10-13,77.36,0,2017-10-16,56.66,,7702240,77.37,80000,.,200,593582,15817445,Microsoft Corp,,i,G,77.65,-0.29
2016-10-17,22327932,77.65,,77.59,,2017-08-15,,-0.39,0,2,2017-10-17T13:48:12-05:00,0,77.45,2.01,2016-10-20,2017-10-17T14:33:12-05:00,50000,35.21,77.87,77.26,1.56,,MSFT,,77.35,BATS,2017-10-13,77.34,0,2017-10-16,56.66,,7702240,77.35,69400,.,100,594782,15817445,Microsoft Corp,,i,G,77.65,-0.3
2016-10-17,22327932,77.65,,77.59,,2017-08-15,,-0.39,0,2,2017-10-17T13:48:41-05:00,0,77.45,2.01,2016-10-20,2017-10-17T14:33:40-05:00,10000,35.21,77.87,77.26,1.56,,MSFT,,77.35,BATS,2017-10-13,77.34,0,2017-10-16,56.66,,7702240,77.35,59400,.,100,595082,15817445,Microsoft Corp,,i,G,77.65,-0.3
2016-10-17,22327932,77.65,,77.59,,2017-08-15,,-0.4,0,2,2017-10-17T13:49:14-05:00,0,77.45,2.01,2016-10-20,2017-10-17T14:34:10-05:00,40000,35.21,77.87,77.26,1.56,,MSFT,,77.34,BATS,2017-10-13,77.34,0,2017-10-16,56.66,,7702240,77.35,340000,.,47,595501,15817445,Microsoft Corp,,i,G,77.65,-0.31
