twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-10-17,5553392,37.99,,38.46,,2017-09-13,,1.08,0,2,2017-10-17T13:43:10-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:28:05-05:00,60000,9.72,39.63,37.61,0.3,,NEM,,38.4,BATS,2017-09-07,38.39,0,2017-10-16,30.19,,533270,38.41,50000,.,100,192323,3704919,Newmont Mining Corp,,i,G,37.99,0.41
2016-10-17,5553392,37.99,,38.46,,2017-09-13,,1.08,0,2,2017-10-17T13:43:50-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:28:34-05:00,30000,9.72,39.63,37.61,0.3,,NEM,,38.4,BATS,2017-09-07,38.39,0,2017-10-16,30.19,,533270,38.4,40000,-,100,192823,3704919,Newmont Mining Corp,,i,G,37.99,0.41
2016-10-17,5553392,37.99,,38.46,,2017-09-13,,1.05,0,2,2017-10-17T13:44:40-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:29:21-05:00,20000,9.72,39.63,37.61,0.3,,NEM,,38.39,BATS,2017-09-07,38.39,0,2017-10-16,30.19,,533270,38.4,60000,-,5,193128,3704919,Newmont Mining Corp,,i,G,37.99,0.4
2016-10-17,5553392,37.99,,38.46,,2017-09-13,,1.05,0,2,2017-10-17T13:45:19-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:30:04-05:00,30000,9.72,39.63,37.61,0.3,,NEM,,38.39,BATS,2017-09-07,38.39,0,2017-10-16,30.19,,533270,38.4,40000,.,100,193228,3704919,Newmont Mining Corp,,i,G,37.99,0.4
2016-10-17,5553392,37.99,,38.46,,2017-09-13,,1.05,0,2,2017-10-17T13:46:08-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:30:04-05:00,60000,9.72,39.63,37.61,0.3,,NEM,,38.39,BATS,2017-09-07,38.39,0,2017-10-16,30.19,,533270,38.4,10000,.,100,193228,3704919,Newmont Mining Corp,,i,G,37.99,0.4
2016-10-17,5553392,37.99,,38.46,,2017-09-13,,1.05,0,2,2017-10-17T13:47:08-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:31:41-05:00,30000,9.72,39.63,37.61,0.3,,NEM,,38.39,BATS,2017-09-07,38.38,0,2017-10-16,30.19,,533270,38.39,40000,.,100,193328,3704919,Newmont Mining Corp,,i,G,37.99,0.4
2016-10-17,5553392,37.99,,38.46,,2017-09-13,,0.95,0,2,2017-10-17T13:47:51-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:32:48-05:00,80000,9.72,39.63,37.61,0.3,,NEM,,38.35,BATS,2017-09-07,38.35,0,2017-10-16,30.19,,533270,38.36,30000,.,20,193863,3704919,Newmont Mining Corp,,i,G,37.99,0.36
2016-10-17,5553392,37.99,,38.46,,2017-09-13,,0.95,0,2,2017-10-17T13:48:12-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:33:02-05:00,40000,9.72,39.63,37.61,0.3,,NEM,,38.35,BATS,2017-09-07,38.35,0,2017-10-16,30.19,,533270,38.36,30000,.,100,193963,3704919,Newmont Mining Corp,,i,G,37.99,0.36
2016-10-17,5553392,37.99,,38.46,,2017-09-13,,1,0,2,2017-10-17T13:48:38-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:33:15-05:00,80000,9.72,39.63,37.61,0.3,,NEM,,38.37,BATS,2017-09-07,38.36,0,2017-10-16,30.19,,533270,38.38,80000,.,100,194663,3704919,Newmont Mining Corp,,i,G,37.99,0.38
2016-10-17,5553392,37.99,,38.46,,2017-09-13,,1,0,2,2017-10-17T13:49:04-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:33:15-05:00,40000,9.72,39.63,37.61,0.3,,NEM,,38.37,BATS,2017-09-07,38.36,0,2017-10-16,30.19,,533270,38.37,90000,.,100,194663,3704919,Newmont Mining Corp,,i,G,37.99,0.38
2016-10-17,5553392,37.99,,38.46,,2017-09-13,,0.97,0,2,2017-10-17T13:49:38-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:34:19-05:00,50000,9.72,39.63,37.61,0.3,,NEM,,38.36,BATS,2017-09-07,38.35,0,2017-10-16,30.19,,533270,38.36,40000,.,200,194963,3704919,Newmont Mining Corp,,i,G,37.99,0.37
2016-10-17,5553847,37.99,,38.46,,2017-09-13,,0.97,0,2,2017-10-17T13:50:28-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:34:19-05:00,50000,9.53,39.63,37.61,0.3,,NEM,,38.36,BATS,2017-09-07,38.35,0,2017-10-16,30.19,,533270,38.36,50000,.,200,194963,3709467,Newmont Mining Corp,,i,G,37.99,0.37
2016-10-17,5553847,37.99,,38.46,,2017-09-13,,1,0,2,2017-10-17T13:51:04-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:35:35-05:00,50000,9.53,39.63,37.61,0.3,,NEM,,38.37,BATS,2017-09-07,38.37,0,2017-10-16,30.19,,533270,38.38,60000,.,100,195663,3709467,Newmont Mining Corp,,i,G,37.99,0.38
2016-10-17,5553847,37.99,,38.46,,2017-09-13,,1,0,2,2017-10-17T13:51:58-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:35:35-05:00,50900,9.53,39.63,37.61,0.3,,NEM,,38.37,BATS,2017-09-07,38.36,0,2017-10-16,30.19,,533270,38.37,70000,.,100,195663,3709467,Newmont Mining Corp,,i,G,37.99,0.38
2016-10-17,5553847,37.99,,38.46,,2017-09-13,,0.95,0,2,2017-10-17T13:52:39-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:37:34-05:00,70000,9.53,39.63,37.61,0.3,,NEM,,38.35,BATS,2017-09-07,38.34,0,2017-10-16,30.19,,533270,38.35,50000,.,50,195938,3709467,Newmont Mining Corp,,i,G,37.99,0.36
2016-10-17,5553847,37.99,,38.46,,2017-09-13,,0.97,0,2,2017-10-17T13:53:29-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:38:16-05:00,50000,9.53,39.63,37.61,0.3,,NEM,,38.36,BATS,2017-09-07,38.36,0,2017-10-16,30.19,,533270,38.37,70000,.,100,196373,3709467,Newmont Mining Corp,,i,G,37.99,0.37
2016-10-17,5553847,37.99,,38.46,,2017-09-13,,0.97,0,2,2017-10-17T13:54:21-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:38:41-05:00,60000,9.53,39.63,37.61,0.3,,NEM,,38.36,BATS,2017-09-07,38.36,0,2017-10-16,30.19,,533270,38.37,20000,.,100,196573,3709467,Newmont Mining Corp,,i,G,37.99,0.37
2016-10-17,5553847,37.99,,38.46,,2017-09-13,,0.97,0,2,2017-10-17T13:55:18-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:39:27-05:00,60000,9.53,39.63,37.61,0.3,,NEM,,38.36,BATS,2017-09-07,38.35,0,2017-10-16,30.19,,533270,38.37,110000,.,200,197073,3709467,Newmont Mining Corp,,i,G,37.99,0.37
2016-10-17,5553847,37.99,,38.46,,2017-09-13,,0.97,0,2,2017-10-17T13:55:42-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:40:32-05:00,40000,9.53,39.63,37.61,0.3,,NEM,,38.36,BATS,2017-09-07,38.36,0,2017-10-16,30.19,,533270,38.37,60000,.,153,197326,3709467,Newmont Mining Corp,,i,G,37.99,0.37
2016-10-17,5553847,37.99,,38.46,,2017-09-13,,0.97,0,2,2017-10-17T13:56:38-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:40:32-05:00,40000,9.53,39.63,37.61,0.3,,NEM,,38.36,BATS,2017-09-07,38.36,0,2017-10-16,30.19,,533270,38.37,60000,.,153,197326,3709467,Newmont Mining Corp,,i,G,37.99,0.37
2016-10-17,5553847,37.99,,38.46,,2017-09-13,,0.97,0,2,2017-10-17T13:57:22-05:00,0,37.67,0.78,2016-11-14,2017-10-17T14:40:32-05:00,40000,9.53,39.63,37.61,0.3,,NEM,,38.36,BATS,2017-09-07,38.36,0,2017-10-16,30.19,,533270,38.37,70000,.,153,197326,3709467,Newmont Mining Corp,,i,G,37.99,0.37
