twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-10-17,3370865,56.25,,56.43,,2017-08-03,,-0.02,0,2,2017-10-17T13:43:08-05:00,0,56.43,5.28,2016-11-02,2017-10-17T14:28:01-05:00,10000,13.77,59.47,56.08,2.98,,OKE,,56.24,BATS,2016-12-27,56.22,0,2017-10-16,45.41,,380010,56.23,10000,.,100,44358,2373464,Oneok Inc,,i,G,56.25,-0.01
2016-10-17,3370865,56.25,,56.43,,2017-08-03,,-0.02,0,2,2017-10-17T13:43:51-05:00,0,56.43,5.28,2016-11-02,2017-10-17T14:28:25-05:00,30000,13.77,59.47,56.08,2.98,,OKE,,56.24,BATS,2016-12-27,56.23,0,2017-10-16,45.41,,380010,56.26,10000,+,100,44558,2373464,Oneok Inc,,i,G,56.25,-0.01
2016-10-17,3370865,56.25,,56.43,,2017-08-03,,-0.02,0,2,2017-10-17T13:44:32-05:00,0,56.43,5.28,2016-11-02,2017-10-17T14:28:25-05:00,20000,13.77,59.47,56.08,2.98,,OKE,,56.24,BATS,2016-12-27,56.23,0,2017-10-16,45.41,,380010,56.26,20000,+,100,44558,2373464,Oneok Inc,,i,G,56.25,-0.01
2016-10-17,3370865,56.25,,56.43,,2017-08-03,,0.02,0,2,2017-10-17T13:45:20-05:00,0,56.43,5.28,2016-11-02,2017-10-17T14:30:16-05:00,30000,13.77,59.47,56.08,2.98,,OKE,,56.26,BATS,2016-12-27,56.24,0,2017-10-16,45.41,,380010,56.27,10000,+,5,44563,2373464,Oneok Inc,,i,G,56.25,0.01
2016-10-17,3370865,56.25,,56.43,,2017-08-03,,0,0,2,2017-10-17T13:46:01-05:00,0,56.43,5.28,2016-11-02,2017-10-17T14:30:57-05:00,10000,13.77,59.47,56.08,2.98,,OKE,,56.25,BATS,2016-12-27,56.24,0,2017-10-16,45.41,,380010,56.25,800,.,46,44663,2373464,Oneok Inc,,i,G,56.25,0
2016-10-17,3370865,56.25,,56.43,,2017-08-03,,0,0,2,2017-10-17T13:46:36-05:00,0,56.43,5.28,2016-11-02,2017-10-17T14:30:57-05:00,10000,13.77,59.47,56.08,2.98,,OKE,,56.25,BATS,2016-12-27,56.24,0,2017-10-16,45.41,,380010,56.25,800,.,46,44663,2373464,Oneok Inc,,i,G,56.25,0
2016-10-17,3370865,56.25,,56.43,,2017-08-03,,0.04,0,2,2017-10-17T13:47:50-05:00,0,56.43,5.28,2016-11-02,2017-10-17T14:32:44-05:00,20000,13.77,59.47,56.08,2.98,,OKE,,56.27,BATS,2016-12-27,56.25,0,2017-10-16,45.41,,380010,56.27,20000,+,8,44771,2373464,Oneok Inc,,i,G,56.25,0.02
2016-10-17,3370865,56.25,,56.43,,2017-08-03,,0.04,0,2,2017-10-17T13:48:11-05:00,0,56.43,5.28,2016-11-02,2017-10-17T14:32:44-05:00,10000,13.77,59.47,56.08,2.98,,OKE,,56.27,BATS,2016-12-27,56.24,0,2017-10-16,45.41,,380010,56.26,10000,+,8,44771,2373464,Oneok Inc,,i,G,56.25,0.02
2016-10-17,3370865,56.25,,56.43,,2017-08-03,,0.02,0,2,2017-10-17T13:48:40-05:00,0,56.43,5.28,2016-11-02,2017-10-17T14:33:16-05:00,10000,13.77,59.47,56.08,2.98,,OKE,,56.26,BATS,2016-12-27,56.26,0,2017-10-16,45.41,,380010,56.28,10000,-,100,44871,2373464,Oneok Inc,,i,G,56.25,0.01
2016-10-17,3370865,56.25,,56.43,,2017-08-03,,0.05,0,2,2017-10-17T13:49:11-05:00,0,56.43,5.28,2016-11-02,2017-10-17T14:34:10-05:00,20000,13.77,59.47,56.08,2.98,,OKE,,56.28,BATS,2016-12-27,56.25,0,2017-10-16,45.41,,380010,56.3,20000,+,100,44971,2373464,Oneok Inc,,i,G,56.25,0.03
2016-10-17,3370865,56.25,,56.43,,2017-08-03,,0.05,0,2,2017-10-17T13:49:39-05:00,0,56.43,5.28,2016-11-02,2017-10-17T14:34:39-05:00,10000,13.77,59.47,56.08,2.98,,OKE,,56.28,BATS,2016-12-27,56.25,0,2017-10-16,45.41,,380010,56.3,20000,.,64,45141,2373464,Oneok Inc,,i,G,56.25,0.03
2016-10-17,3371071,56.25,,56.43,,2017-08-03,,0.05,0,2,2017-10-17T13:50:23-05:00,0,56.43,5.28,2016-11-02,2017-10-17T14:35:21-05:00,40000,13.87,59.47,56.08,2.98,,OKE,,56.28,BATS,2016-12-27,56.27,0,2017-10-16,45.41,,380010,56.31,10000,+,10,45551,2375515,Oneok Inc,,i,G,56.25,0.03
2016-10-17,3371071,56.25,,56.43,,2017-08-03,,0.09,0,2,2017-10-17T13:51:23-05:00,0,56.43,5.28,2016-11-02,2017-10-17T14:36:22-05:00,20000,13.87,59.47,56.08,2.98,,OKE,,56.3,BATS,2016-12-27,56.28,0,2017-10-16,45.41,,380010,56.33,20000,+,100,45651,2375515,Oneok Inc,,i,G,56.25,0.05
2016-10-17,3371071,56.25,,56.43,,2017-08-03,,0.09,0,2,2017-10-17T13:51:58-05:00,0,56.43,5.28,2016-11-02,2017-10-17T14:36:22-05:00,10000,13.87,59.47,56.08,2.98,,OKE,,56.3,BATS,2016-12-27,56.29,0,2017-10-16,45.41,,380010,56.31,20000,+,100,45651,2375515,Oneok Inc,,i,G,56.25,0.05
