twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-10-17,1787681,73.93,,78.6,,2017-09-21,,1.62,0,2,2017-10-17T13:43:11-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:27:34-05:00,10000,-9.27,89.66,75,2.2,,OMC,,75.13,BATS,2016-12-13,75.05,0,2017-10-16,71.63,,230750,75.43,10000,+,100,300218,2123579,Omnicom Group Inc,,i,G,73.93,1.2
2016-10-17,1787681,73.93,,78.6,,2017-09-21,,1.79,0,2,2017-10-17T13:43:49-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:28:39-05:00,10000,-9.27,89.66,75,2.2,,OMC,,75.25,BATS,2016-12-13,75.22,0,2017-10-16,71.63,,230750,75.36,20000,.,74,301131,2123579,Omnicom Group Inc,,i,G,73.93,1.32
2016-10-17,1787681,73.93,,78.6,,2017-09-21,,1.79,0,2,2017-10-17T13:44:33-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:28:39-05:00,10000,-9.27,89.66,75,2.2,,OMC,,75.25,BATS,2016-12-13,75.2,0,2017-10-16,71.63,,230750,75.29,10000,.,74,301131,2123579,Omnicom Group Inc,,i,G,73.93,1.32
2016-10-17,1787681,73.93,,78.6,,2017-09-21,,1.79,0,2,2017-10-17T13:45:18-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:28:39-05:00,10000,-9.27,89.66,75,2.2,,OMC,,75.25,BATS,2016-12-13,75.25,0,2017-10-16,71.63,,230750,75.58,100,.,74,301131,2123579,Omnicom Group Inc,,i,G,73.93,1.32
2016-10-17,1787681,73.93,,78.6,,2017-09-21,,1.72,0,2,2017-10-17T13:46:10-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:31:10-05:00,10000,-9.27,89.66,75,2.2,,OMC,,75.2,BATS,2016-12-13,75.17,0,2017-10-16,71.63,,230750,75.2,10000,-,100,301432,2123579,Omnicom Group Inc,,i,G,73.93,1.27
2016-10-17,1787681,73.93,,78.6,,2017-09-21,,1.68,0,2,2017-10-17T13:47:10-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:32:01-05:00,20000,-9.27,89.66,75,2.2,,OMC,,75.17,BATS,2016-12-13,75.14,0,2017-10-16,71.63,,230750,75.18,10000,-,100,303442,2123579,Omnicom Group Inc,,i,G,73.93,1.24
2016-10-17,1787681,73.93,,78.6,,2017-09-21,,1.6,0,2,2017-10-17T13:47:50-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:32:47-05:00,20000,-9.27,89.66,75,2.2,,OMC,,75.11,BATS,2016-12-13,75.12,0,2017-10-16,71.63,,230750,75.45,10000,-,100,304742,2123579,Omnicom Group Inc,,i,G,73.93,1.18
2016-10-17,1787681,73.93,,78.6,,2017-09-21,,1.61,0,2,2017-10-17T13:48:11-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:32:54-05:00,10000,-9.27,89.66,75,2.2,,OMC,,75.12,BATS,2016-12-13,75.11,0,2017-10-16,71.63,,230750,75.17,20000,+,100,304842,2123579,Omnicom Group Inc,,i,G,73.93,1.19
2016-10-17,1787681,73.93,,78.6,,2017-09-21,,1.64,0,2,2017-10-17T13:48:40-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:33:19-05:00,10000,-9.27,89.66,75,2.2,,OMC,,75.14,BATS,2016-12-13,75.15,0,2017-10-16,71.63,,230750,75.45,20000,.,100,305042,2123579,Omnicom Group Inc,,i,G,73.93,1.21
2016-10-17,1787681,73.93,,78.6,,2017-09-21,,1.69,0,2,2017-10-17T13:49:14-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:34:02-05:00,10000,-9.27,89.66,75,2.2,,OMC,,75.18,BATS,2016-12-13,75.2,0,2017-10-16,71.63,,230750,75.45,10000,-,100,305242,2123579,Omnicom Group Inc,,i,G,73.93,1.25
2016-10-17,1787681,73.93,,78.6,,2017-09-21,,1.65,0,2,2017-10-17T13:49:43-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:34:17-05:00,10000,-9.27,89.66,75,2.2,,OMC,,75.15,BATS,2016-12-13,75.13,0,2017-10-16,71.63,,230750,75.17,10000,-,100,305542,2123579,Omnicom Group Inc,,i,G,73.93,1.22
2016-10-17,1788373,73.93,,78.6,,2017-09-21,,1.62,0,2,2017-10-17T13:50:28-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:34:59-05:00,10000,-9.31,89.66,75,2.2,,OMC,,75.13,BATS,2016-12-13,75.15,0,2017-10-16,71.63,,230750,75.17,20100,-,100,305742,2130492,Omnicom Group Inc,,i,G,73.93,1.2
2016-10-17,1788373,73.93,,78.6,,2017-09-21,,1.68,0,2,2017-10-17T13:51:21-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:36:18-05:00,10000,-9.31,89.66,75,2.2,,OMC,,75.17,BATS,2016-12-13,74.98,0,2017-10-16,71.63,,230750,75.17,20000,+,100,306243,2130492,Omnicom Group Inc,,i,G,73.93,1.24
2016-10-17,1788373,73.93,,78.6,,2017-09-21,,1.68,0,2,2017-10-17T13:51:58-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:36:18-05:00,20000,-9.31,89.66,75,2.2,,OMC,,75.17,BATS,2016-12-13,75.14,0,2017-10-16,71.63,,230750,75.16,10000,+,100,306243,2130492,Omnicom Group Inc,,i,G,73.93,1.24
2016-10-17,1788373,73.93,,78.6,,2017-09-21,,1.68,0,2,2017-10-17T13:52:23-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:36:18-05:00,20000,-9.31,89.66,75,2.2,,OMC,,75.17,BATS,2016-12-13,75.14,0,2017-10-16,71.63,,230750,75.16,10000,+,100,306243,2130492,Omnicom Group Inc,,i,G,73.93,1.24
2016-10-17,1788373,73.93,,78.6,,2017-09-21,,1.66,0,2,2017-10-17T13:52:58-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:37:55-05:00,10000,-9.31,89.66,75,2.2,,OMC,,75.16,BATS,2016-12-13,75.16,0,2017-10-16,71.63,,230750,75.19,10000,.,100,306943,2130492,Omnicom Group Inc,,i,G,73.93,1.23
2016-10-17,1788373,73.93,,78.6,,2017-09-21,,1.64,0,2,2017-10-17T13:54:08-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:39:03-05:00,10000,-9.31,89.66,75,2.2,,OMC,,75.14,BATS,2016-12-13,75.07,0,2017-10-16,71.63,,230750,75.13,10000,-,100,307343,2130492,Omnicom Group Inc,,i,G,73.93,1.21
2016-10-17,1788373,73.93,,78.6,,2017-09-21,,1.58,0,2,2017-10-17T13:55:06-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:40:06-05:00,20000,-9.31,89.66,75,2.2,,OMC,,75.1,BATS,2016-12-13,75,0,2017-10-16,71.63,,230750,75.11,20000,.,100,307743,2130492,Omnicom Group Inc,,i,G,73.93,1.17
2016-10-17,1788373,73.93,,78.6,,2017-09-21,,1.6,0,2,2017-10-17T13:56:04-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:40:31-05:00,10000,-9.31,89.66,75,2.2,,OMC,,75.11,BATS,2016-12-13,75.08,0,2017-10-16,71.63,,230750,75.14,10000,+,100,307943,2130492,Omnicom Group Inc,,i,G,73.93,1.18
2016-10-17,1788373,73.93,,78.6,,2017-09-21,,1.61,0,2,2017-10-17T13:56:41-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:41:17-05:00,10000,-9.31,89.66,75,2.2,,OMC,,75.12,BATS,2016-12-13,75.1,0,2017-10-16,71.63,,230750,75.14,10000,+,100,308043,2130492,Omnicom Group Inc,,i,G,73.93,1.19
2016-10-17,1788373,73.93,,78.6,,2017-09-21,,1.53,0,2,2017-10-17T13:57:20-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:42:15-05:00,10000,-9.31,89.66,75,2.2,,OMC,,75.06,BATS,2016-12-13,74.98,0,2017-10-16,71.63,,230750,75.05,20000,-,100,308343,2130492,Omnicom Group Inc,,i,G,73.93,1.13
2016-10-17,1788373,73.93,,78.6,,2017-09-21,,1.6,0,2,2017-10-17T13:58:37-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:43:14-05:00,10000,-9.31,89.66,75,2.2,,OMC,,75.11,BATS,2016-12-13,75.09,0,2017-10-16,71.63,,230750,75.14,10000,+,99,308742,2130492,Omnicom Group Inc,,i,G,73.93,1.18
2016-10-17,1788373,73.93,,78.6,,2017-09-21,,1.57,0,2,2017-10-17T13:59:33-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:44:18-05:00,10000,-9.31,89.66,75,2.2,,OMC,,75.09,BATS,2016-12-13,75.07,0,2017-10-16,71.63,,230750,75.42,10000,.,40,309489,2130492,Omnicom Group Inc,,i,G,73.93,1.16
2016-10-17,1788373,73.93,,78.6,,2017-09-21,,1.57,0,2,2017-10-17T14:00:31-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:44:18-05:00,10700,-9.31,89.66,75,2.2,,OMC,,75.09,BATS,2016-12-13,75.12,0,2017-10-16,71.63,,230750,75.18,14100,.,40,309489,2130492,Omnicom Group Inc,,i,G,73.93,1.16
2016-10-17,1788373,73.93,,78.6,,2017-09-21,,1.54,0,2,2017-10-17T14:01:24-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:46:16-05:00,10000,-9.31,89.66,75,2.2,,OMC,,75.07,BATS,2016-12-13,74.98,0,2017-10-16,71.63,,230750,75.12,20000,+,100,309830,2130492,Omnicom Group Inc,,i,G,73.93,1.14
2016-10-17,1788373,73.93,,78.6,,2017-09-21,,1.57,0,2,2017-10-17T14:02:20-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:46:57-05:00,14100,-9.31,89.66,75,2.2,,OMC,,75.09,BATS,2016-12-13,75.09,0,2017-10-16,71.63,,230750,75.14,10000,+,27,309857,2130492,Omnicom Group Inc,,i,G,73.93,1.16
2016-10-17,1788373,73.93,,78.6,,2017-09-21,,1.57,0,2,2017-10-17T14:03:01-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:46:57-05:00,30000,-9.31,89.66,75,2.2,,OMC,,75.09,BATS,2016-12-13,75.1,0,2017-10-16,71.63,,230750,75.13,10000,+,27,309857,2130492,Omnicom Group Inc,,i,G,73.93,1.16
2016-10-17,1788373,73.93,,78.6,,2017-09-21,,1.58,0,2,2017-10-17T14:03:40-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:48:33-05:00,800,-9.31,89.66,75,2.2,,OMC,,75.1,BATS,2016-12-13,75.03,0,2017-10-16,71.63,,230750,75.08,10000,+,100,309957,2130492,Omnicom Group Inc,,i,G,73.93,1.17
2016-10-17,1788907,73.93,,78.6,,2017-09-21,,1.58,0,2,2017-10-17T14:04:28-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:48:33-05:00,10000,-9.07,89.66,75,2.2,,OMC,,75.1,BATS,2016-12-13,75.03,0,2017-10-16,71.63,,230750,75.05,30000,+,100,309957,2135832,Omnicom Group Inc,,i,G,73.93,1.17
2016-10-17,1788907,73.93,,78.6,,2017-09-21,,1.56,0,2,2017-10-17T14:05:15-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:50:14-05:00,10000,-9.07,89.66,75,2.2,,OMC,,75.08,BATS,2016-12-13,75.07,0,2017-10-16,71.63,,230750,75.14,10000,+,100,310957,2135832,Omnicom Group Inc,,i,G,73.93,1.15
2016-10-17,1788907,73.93,,78.6,,2017-09-21,,1.57,0,2,2017-10-17T14:05:40-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:50:25-05:00,10000,-9.07,89.66,75,2.2,,OMC,,75.09,BATS,2016-12-13,75.04,0,2017-10-16,71.63,,230750,75.13,10000,+,100,311057,2135832,Omnicom Group Inc,,i,G,73.93,1.16
2016-10-17,1788907,73.93,,78.6,,2017-09-21,,1.64,0,2,2017-10-17T14:06:34-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:51:32-05:00,10000,-9.07,89.66,75,2.2,,OMC,,75.14,BATS,2016-12-13,75.12,0,2017-10-16,71.63,,230750,75.21,10000,+,100,311561,2135832,Omnicom Group Inc,,i,G,73.93,1.21
2016-10-17,1788907,73.93,,78.6,,2017-09-21,,1.7,0,2,2017-10-17T14:07:04-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:52:00-05:00,10000,-9.07,89.66,75,2.2,,OMC,,75.19,BATS,2016-12-13,75.17,0,2017-10-16,71.63,,230750,75.24,10000,-,100,311861,2135832,Omnicom Group Inc,,i,G,73.93,1.26
2016-10-17,1788907,73.93,,78.6,,2017-09-21,,1.76,0,2,2017-10-17T14:07:44-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:52:43-05:00,10000,-9.07,89.66,75,2.2,,OMC,,75.23,BATS,2016-12-13,75.24,0,2017-10-16,71.63,,230750,75.3,10000,.,10,312971,2135832,Omnicom Group Inc,,i,G,73.93,1.3
2016-10-17,1788907,73.93,,78.6,,2017-09-21,,1.74,0,2,2017-10-17T14:08:37-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:53:08-05:00,10000,-9.07,89.66,75,2.2,,OMC,,75.22,BATS,2016-12-13,75.16,0,2017-10-16,71.63,,230750,75.25,20000,-,100,313171,2135832,Omnicom Group Inc,,i,G,73.93,1.29
2016-10-17,1788907,73.93,,78.6,,2017-09-21,,1.95,0,2,2017-10-17T14:09:28-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:54:28-05:00,10000,-9.07,89.66,75,2.2,,OMC,,75.37,BATS,2016-12-13,75.35,0,2017-10-16,71.63,,230750,75.6,50000,+,100,313771,2135832,Omnicom Group Inc,,i,G,73.93,1.44
2016-10-17,1788907,73.93,,78.6,,2017-09-21,,1.89,0,2,2017-10-17T14:10:08-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:54:35-05:00,30000,-9.07,89.66,75,2.2,,OMC,,75.33,BATS,2016-12-13,75.27,0,2017-10-16,71.63,,230750,75.4,10000,-,100,314071,2135832,Omnicom Group Inc,,i,G,73.93,1.4
2016-10-17,1788907,73.93,,78.6,,2017-09-21,,1.89,0,2,2017-10-17T14:10:35-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:54:35-05:00,30000,-9.07,89.66,75,2.2,,OMC,,75.33,BATS,2016-12-13,75.3,0,2017-10-16,71.63,,230750,75.4,10000,-,100,314071,2135832,Omnicom Group Inc,,i,G,73.93,1.4
2016-10-17,1788907,73.93,,78.6,,2017-09-21,,1.89,0,2,2017-10-17T14:10:59-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:54:35-05:00,10000,-9.07,89.66,75,2.2,,OMC,,75.33,BATS,2016-12-13,75.16,0,2017-10-16,71.63,,230750,75.34,10000,-,100,314071,2135832,Omnicom Group Inc,,i,G,73.93,1.4
2016-10-17,1788907,73.93,,78.6,,2017-09-21,,1.87,0,2,2017-10-17T14:11:28-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:56:21-05:00,10000,-9.07,89.66,75,2.2,,OMC,,75.31,BATS,2016-12-13,75.24,0,2017-10-16,71.63,,230750,75.28,10000,.,135,314471,2135832,Omnicom Group Inc,,i,G,73.93,1.38
2016-10-17,1788907,73.93,,78.6,,2017-09-21,,1.83,0,2,2017-10-17T14:11:51-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:56:50-05:00,10000,-9.07,89.66,75,2.2,,OMC,,75.28,BATS,2016-12-13,75.16,0,2017-10-16,71.63,,230750,75.29,10000,-,100,314571,2135832,Omnicom Group Inc,,i,G,73.93,1.35
2016-10-17,1788907,73.93,,78.6,,2017-09-21,,1.8,0,2,2017-10-17T14:12:49-05:00,0,75.5,2.93,2017-09-05,2017-10-17T14:57:19-05:00,10000,-9.07,89.66,75,2.2,,OMC,,75.26,BATS,2016-12-13,75.16,0,2017-10-16,71.63,,230750,75.33,10000,-,100,314671,2135832,Omnicom Group Inc,,i,G,73.93,1.33
