twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-10-17,3358687,59.8,,60.09,,2017-08-29,,-0.72,0,2,2017-10-17T13:43:15-05:00,0,60.01,2.69,2016-11-02,2017-10-17T14:27:56-05:00,33400,32.74,61.69,59.28,1.6,,STI,,59.37,BATS,2017-03-01,59.37,0,2017-10-16,44.45,,481640,59.38,20000,.,49,107469,3002619,Suntrust Banks,,i,G,59.8,-0.43
2016-10-17,3358687,59.8,,60.09,,2017-08-29,,-0.69,0,2,2017-10-17T13:44:00-05:00,0,60.01,2.69,2016-11-02,2017-10-17T14:28:46-05:00,30000,32.74,61.69,59.28,1.6,,STI,,59.39,BATS,2017-03-01,59.37,0,2017-10-16,44.45,,481640,59.39,40000,-,177,107901,3002619,Suntrust Banks,,i,G,59.8,-0.41
2016-10-17,3358687,59.8,,60.09,,2017-08-29,,-0.72,0,2,2017-10-17T13:44:46-05:00,0,60.01,2.69,2016-11-02,2017-10-17T14:29:12-05:00,70000,32.74,61.69,59.28,1.6,,STI,,59.37,BATS,2017-03-01,59.36,0,2017-10-16,44.45,,481640,59.37,12500,-,100,108101,3002619,Suntrust Banks,,i,G,59.8,-0.43
2016-10-17,3358687,59.8,,60.09,,2017-08-29,,-0.72,0,2,2017-10-17T13:45:24-05:00,0,60.01,2.69,2016-11-02,2017-10-17T14:29:54-05:00,20000,32.74,61.69,59.28,1.6,,STI,,59.37,BATS,2017-03-01,59.37,0,2017-10-16,44.45,,481640,59.38,20000,.,447,108601,3002619,Suntrust Banks,,i,G,59.8,-0.43
2016-10-17,3358687,59.8,,60.09,,2017-08-29,,-0.7,0,2,2017-10-17T13:46:23-05:00,0,60.01,2.69,2016-11-02,2017-10-17T14:31:23-05:00,30000,32.74,61.69,59.28,1.6,,STI,,59.38,BATS,2017-03-01,59.37,0,2017-10-16,44.45,,481640,59.39,30000,+,100,108701,3002619,Suntrust Banks,,i,G,59.8,-0.42
2016-10-17,3358687,59.8,,60.09,,2017-08-29,,-0.7,0,2,2017-10-17T13:47:14-05:00,0,60.01,2.69,2016-11-02,2017-10-17T14:31:23-05:00,30000,32.74,61.69,59.28,1.6,,STI,,59.38,BATS,2017-03-01,59.37,0,2017-10-16,44.45,,481640,59.38,50000,+,100,108701,3002619,Suntrust Banks,,i,G,59.8,-0.42
2016-10-17,3358687,59.8,,60.09,,2017-08-29,,-0.7,0,2,2017-10-17T13:47:53-05:00,0,60.01,2.69,2016-11-02,2017-10-17T14:32:43-05:00,29500,32.74,61.69,59.28,1.6,,STI,,59.38,BATS,2017-03-01,59.37,0,2017-10-16,44.45,,481640,59.38,40000,+,5,108706,3002619,Suntrust Banks,,i,G,59.8,-0.42
2016-10-17,3358687,59.8,,60.09,,2017-08-29,,-0.72,0,2,2017-10-17T13:48:20-05:00,0,60.01,2.69,2016-11-02,2017-10-17T14:33:12-05:00,20000,32.74,61.69,59.28,1.6,,STI,,59.37,BATS,2017-03-01,59.36,0,2017-10-16,44.45,,481640,59.37,40000,.,100,108906,3002619,Suntrust Banks,,i,G,59.8,-0.43
2016-10-17,3358687,59.8,,60.09,,2017-08-29,,-0.72,0,2,2017-10-17T13:48:38-05:00,0,60.01,2.69,2016-11-02,2017-10-17T14:33:12-05:00,20000,32.74,61.69,59.28,1.6,,STI,,59.37,BATS,2017-03-01,59.36,0,2017-10-16,44.45,,481640,59.37,30000,.,100,108906,3002619,Suntrust Banks,,i,G,59.8,-0.43
2016-10-17,3358687,59.8,,60.09,,2017-08-29,,-0.72,0,2,2017-10-17T13:49:19-05:00,0,60.01,2.69,2016-11-02,2017-10-17T14:33:12-05:00,30000,32.74,61.69,59.28,1.6,,STI,,59.37,BATS,2017-03-01,59.36,0,2017-10-16,44.45,,481640,59.37,30000,.,100,108906,3002619,Suntrust Banks,,i,G,59.8,-0.43
