twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-10-17,6128530,54.26,,54.36,,2017-09-28,,-0.79,0,2,2017-10-17T13:43:10-05:00,0,54.36,2.22,2016-10-18,2017-10-17T14:27:48-05:00,30000,25.99,56.61,53.8,1.2,,USB,,53.83,BATS,2017-03-01,53.83,0,2017-10-16,42.83,,1672770,53.84,100000,.,57,215765,5537836,U.S. Bancorp,,i,G,54.26,-0.43
2016-10-17,6128530,54.26,,54.36,,2017-09-28,,-0.76,0,2,2017-10-17T13:44:03-05:00,0,54.36,2.22,2016-10-18,2017-10-17T14:28:26-05:00,50000,25.99,56.61,53.8,1.2,,USB,,53.85,BATS,2017-03-01,53.85,0,2017-10-16,42.83,,1672770,53.86,40000,+,100,216265,5537836,U.S. Bancorp,,i,G,54.26,-0.41
2016-10-17,6128530,54.26,,54.36,,2017-09-28,,-0.76,0,2,2017-10-17T13:44:38-05:00,0,54.36,2.22,2016-10-18,2017-10-17T14:29:07-05:00,50000,25.99,56.61,53.8,1.2,,USB,,53.85,BATS,2017-03-01,53.84,0,2017-10-16,42.83,,1672770,53.85,60000,.,200,216565,5537836,U.S. Bancorp,,i,G,54.26,-0.41
2016-10-17,6128530,54.26,,54.36,,2017-09-28,,-0.76,0,2,2017-10-17T13:45:19-05:00,0,54.36,2.22,2016-10-18,2017-10-17T14:29:07-05:00,60000,25.99,56.61,53.8,1.2,,USB,,53.85,BATS,2017-03-01,53.84,0,2017-10-16,42.83,,1672770,53.85,60000,.,200,216565,5537836,U.S. Bancorp,,i,G,54.26,-0.41
2016-10-17,6128530,54.26,,54.36,,2017-09-28,,-0.76,0,2,2017-10-17T13:46:23-05:00,0,54.36,2.22,2016-10-18,2017-10-17T14:30:34-05:00,60000,25.99,56.61,53.8,1.2,,USB,,53.85,BATS,2017-03-01,53.85,0,2017-10-16,42.83,,1672770,53.86,50000,.,82,217365,5537836,U.S. Bancorp,,i,G,54.26,-0.41
2016-10-17,6128530,54.26,,54.36,,2017-09-28,,-0.74,0,2,2017-10-17T13:47:11-05:00,0,54.36,2.22,2016-10-18,2017-10-17T14:31:36-05:00,46800,25.99,56.61,53.8,1.2,,USB,,53.86,BATS,2017-03-01,53.85,0,2017-10-16,42.83,,1672770,53.86,50000,.,32,217797,5537836,U.S. Bancorp,,i,G,54.26,-0.4
2016-10-17,6128530,54.26,,54.36,,2017-09-28,,-0.74,0,2,2017-10-17T13:47:43-05:00,0,54.36,2.22,2016-10-18,2017-10-17T14:32:43-05:00,46800,25.99,56.61,53.8,1.2,,USB,,53.86,BATS,2017-03-01,53.85,0,2017-10-16,42.83,,1672770,53.86,60000,.,5,217802,5537836,U.S. Bancorp,,i,G,54.26,-0.4
2016-10-17,6128530,54.26,,54.36,,2017-09-28,,-0.74,0,2,2017-10-17T13:48:20-05:00,0,54.36,2.22,2016-10-18,2017-10-17T14:32:43-05:00,106800,25.99,56.61,53.8,1.2,,USB,,53.86,BATS,2017-03-01,53.85,0,2017-10-16,42.83,,1672770,53.86,40000,.,5,217802,5537836,U.S. Bancorp,,i,G,54.26,-0.4
2016-10-17,6128530,54.26,,54.36,,2017-09-28,,-0.74,0,2,2017-10-17T13:48:49-05:00,0,54.36,2.22,2016-10-18,2017-10-17T14:33:48-05:00,130000,25.99,56.61,53.8,1.2,,USB,,53.86,BATS,2017-03-01,53.86,0,2017-10-16,42.83,,1672770,53.87,10000,.,100,218367,5537836,U.S. Bancorp,,i,G,54.26,-0.4
2016-10-17,6128530,54.26,,54.36,,2017-09-28,,-0.74,0,2,2017-10-17T13:49:19-05:00,0,54.36,2.22,2016-10-18,2017-10-17T14:33:48-05:00,110000,25.99,56.61,53.8,1.2,,USB,,53.86,BATS,2017-03-01,53.86,0,2017-10-16,42.83,,1672770,53.87,54700,.,100,218367,5537836,U.S. Bancorp,,i,G,54.26,-0.4
