twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-10-17,2725076,72.66,,73.06,,2017-08-08,,-0.33,0,2,2017-10-17T13:43:16-05:00,0,72.67,1.92,2016-10-21,2017-10-17T14:28:13-05:00,10000,45.73,73.32,72.35,1.4,,XLNX,,72.42,BATS,2017-10-13,72.4,0,2017-10-16,48.97,,248600,72.43,10000,.,48,117400,1960897,Xilinx Inc,,i,G,72.66,-0.24
2016-10-17,2725076,72.66,,73.06,,2017-08-08,,-0.37,0,2,2017-10-17T13:44:02-05:00,0,72.67,1.92,2016-10-21,2017-10-17T14:29:01-05:00,10000,45.73,73.32,72.35,1.4,,XLNX,,72.39,BATS,2017-10-13,72.36,0,2017-10-16,48.97,,248600,72.38,20000,.,100,118050,1960897,Xilinx Inc,,i,G,72.66,-0.27
2016-10-17,2725076,72.66,,73.06,,2017-08-08,,-0.4,0,2,2017-10-17T13:44:46-05:00,0,72.67,1.92,2016-10-21,2017-10-17T14:29:30-05:00,10000,45.73,73.32,72.35,1.4,,XLNX,,72.37,BATS,2017-10-13,72.37,0,2017-10-16,48.97,,248600,72.39,10000,-,100,118350,1960897,Xilinx Inc,,i,G,72.66,-0.29
2016-10-17,2725076,72.66,,73.06,,2017-08-08,,-0.39,0,2,2017-10-17T13:45:23-05:00,0,72.67,1.92,2016-10-21,2017-10-17T14:30:23-05:00,10000,45.73,73.32,72.35,1.4,,XLNX,,72.38,BATS,2017-10-13,72.37,0,2017-10-16,48.97,,248600,72.39,20000,+,100,118450,1960897,Xilinx Inc,,i,G,72.66,-0.28
2016-10-17,2725076,72.66,,73.06,,2017-08-08,,-0.4,0,2,2017-10-17T13:46:13-05:00,0,72.67,1.92,2016-10-21,2017-10-17T14:31:09-05:00,10000,45.73,73.32,72.35,1.4,,XLNX,,72.37,BATS,2017-10-13,72.37,0,2017-10-16,48.97,,248600,72.38,10200,-,100,118650,1960897,Xilinx Inc,,i,G,72.66,-0.29
2016-10-17,2725076,72.66,,73.06,,2017-08-08,,-0.4,0,2,2017-10-17T13:47:14-05:00,0,72.67,1.92,2016-10-21,2017-10-17T14:32:11-05:00,20000,45.73,73.32,72.35,1.4,,XLNX,,72.37,BATS,2017-10-13,72.36,0,2017-10-16,48.97,,248600,72.38,20000,.,200,120030,1960897,Xilinx Inc,,i,G,72.66,-0.29
2016-10-17,2725076,72.66,,73.06,,2017-08-08,,-0.37,0,2,2017-10-17T13:47:53-05:00,0,72.67,1.92,2016-10-21,2017-10-17T14:32:30-05:00,10000,45.73,73.32,72.35,1.4,,XLNX,,72.39,BATS,2017-10-13,72.4,0,2017-10-16,48.97,,248600,72.41,10000,.,100,120430,1960897,Xilinx Inc,,i,G,72.66,-0.27
2016-10-17,2725076,72.66,,73.06,,2017-08-08,,-0.36,0,2,2017-10-17T13:48:18-05:00,0,72.67,1.92,2016-10-21,2017-10-17T14:33:12-05:00,10000,45.73,73.32,72.35,1.4,,XLNX,,72.4,BATS,2017-10-13,72.39,0,2017-10-16,48.97,,248600,72.41,30000,+,100,120530,1960897,Xilinx Inc,,i,G,72.66,-0.26
2016-10-17,2725076,72.66,,73.06,,2017-08-08,,-0.36,0,2,2017-10-17T13:48:42-05:00,0,72.67,1.92,2016-10-21,2017-10-17T14:33:12-05:00,10000,45.73,73.32,72.35,1.4,,XLNX,,72.4,BATS,2017-10-13,72.39,0,2017-10-16,48.97,,248600,72.4,30000,+,100,120530,1960897,Xilinx Inc,,i,G,72.66,-0.26
2016-10-17,2725076,72.66,,73.06,,2017-08-08,,-0.37,0,2,2017-10-17T13:49:19-05:00,0,72.67,1.92,2016-10-21,2017-10-17T14:34:19-05:00,10000,45.73,73.32,72.35,1.4,,XLNX,,72.39,BATS,2017-10-13,72.38,0,2017-10-16,48.97,,248600,72.39,10000,-,100,120830,1960897,Xilinx Inc,,i,G,72.66,-0.27
2016-10-17,2725076,72.66,,73.06,,2017-08-08,,-0.39,0,2,2017-10-17T13:49:45-05:00,0,72.67,1.92,2016-10-21,2017-10-17T14:34:44-05:00,10000,45.73,73.32,72.35,1.4,,XLNX,,72.38,BATS,2017-10-13,72.37,0,2017-10-16,48.97,,248600,72.38,10000,.,100,121030,1960897,Xilinx Inc,,i,G,72.66,-0.28
