twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,683966,187.16,,188.66,,2017-09-28,,0.44,0,2,2017-11-13T12:16:49-06:00,0,187.51,3.03,2016-11-23,2017-11-13T12:57:23-06:00,10000,12.11,199.52,186.77,5.68,,AVB,,187.98,BATS,2017-06-05,187.6,0,2017-11-10,158.32,,138090,188.6,20000,-,10,7242,561756,Avalonbay Communities,,i,C,187.16,0.82
2016-11-11,683966,187.16,,188.66,,2017-09-28,,0.44,0,2,2017-11-13T12:17:46-06:00,0,187.51,3.03,2016-11-23,2017-11-13T12:57:23-06:00,20000,12.11,199.52,186.77,5.68,,AVB,,187.98,BATS,2017-06-05,187.6,0,2017-11-10,158.32,,138090,188.6,20000,-,10,7242,561756,Avalonbay Communities,,i,C,187.16,0.82
2016-11-11,683966,187.16,,188.66,,2017-09-28,,0.44,0,2,2017-11-13T12:18:14-06:00,0,187.51,3.03,2016-11-23,2017-11-13T12:57:23-06:00,10000,12.19,199.52,186.77,5.68,,AVB,,187.98,BATS,2017-06-05,187.6,0,2017-11-10,158.32,,138090,188.6,10000,-,10,7242,561756,Avalonbay Communities,,i,C,187.16,0.82
2016-11-11,683984,187.16,,188.66,,2017-09-28,,0.44,0,2,2017-11-13T12:18:35-06:00,0,187.51,3.03,2016-11-23,2017-11-13T12:57:23-06:00,10000,12.19,199.52,186.77,5.68,,AVB,,187.98,BATS,2017-06-05,187.6,0,2017-11-10,158.32,,138090,188.6,20000,-,10,7242,561952,Avalonbay Communities,,i,C,187.16,0.82
2016-11-11,683984,187.16,,188.66,,2017-09-28,,0.44,0,2,2017-11-13T12:19:19-06:00,0,187.51,3.03,2016-11-23,2017-11-13T12:57:23-06:00,10000,12.19,199.52,186.77,5.68,,AVB,,187.98,BATS,2017-06-05,188,0,2017-11-10,158.32,,138090,188.6,10000,-,10,7242,561952,Avalonbay Communities,,i,C,187.16,0.82
2016-11-11,683984,187.16,,188.66,,2017-09-28,,0.44,0,2,2017-11-13T12:20:12-06:00,0,187.51,3.03,2016-11-23,2017-11-13T12:57:23-06:00,10000,12.19,199.52,186.77,5.68,,AVB,,187.98,BATS,2017-06-05,187.6,0,2017-11-10,158.32,,138090,188.6,20000,-,10,7242,561952,Avalonbay Communities,,i,C,187.16,0.82
2016-11-11,683984,187.16,,188.66,,2017-09-28,,0.44,0,2,2017-11-13T12:20:36-06:00,0,187.51,3.03,2016-11-23,2017-11-13T12:57:23-06:00,10000,12.19,199.52,186.77,5.68,,AVB,,187.98,BATS,2017-06-05,187.6,0,2017-11-10,158.32,,138090,188.6,20000,-,10,7242,561952,Avalonbay Communities,,i,C,187.16,0.82
2016-11-11,683984,187.16,,188.66,,2017-09-28,,0.44,0,2,2017-11-13T12:21:12-06:00,0,187.51,3.03,2016-11-23,2017-11-13T12:57:23-06:00,10000,12.19,199.52,186.77,5.68,,AVB,,187.98,BATS,2017-06-05,188.09,0,2017-11-10,158.32,,138090,188.6,7800,-,10,7242,561952,Avalonbay Communities,,i,C,187.16,0.82
2016-11-11,683984,187.16,,188.66,,2017-09-28,,0.44,0,2,2017-11-13T12:21:30-06:00,0,187.51,3.03,2016-11-23,2017-11-13T12:57:23-06:00,10000,12.19,199.52,186.77,5.68,,AVB,,187.98,BATS,2017-06-05,188.09,0,2017-11-10,158.32,,138090,188.6,7800,-,10,7242,561952,Avalonbay Communities,,i,C,187.16,0.82
2016-11-11,683984,187.16,,188.66,,2017-09-28,,0.44,0,2,2017-11-13T12:21:54-06:00,0,187.51,3.03,2016-11-23,2017-11-13T12:57:23-06:00,10000,12.19,199.52,186.77,5.68,,AVB,,187.98,BATS,2017-06-05,188.12,0,2017-11-10,158.32,,138090,188.6,10000,-,10,7242,561952,Avalonbay Communities,,i,C,187.16,0.82
2016-11-11,683984,187.16,,188.66,,2017-09-28,,0.44,0,2,2017-11-13T12:22:33-06:00,0,187.51,3.03,2016-11-23,2017-11-13T12:57:23-06:00,10000,12.19,199.52,186.77,5.68,,AVB,,187.98,BATS,2017-06-05,188.14,0,2017-11-10,158.32,,138090,188.6,1000,-,10,7242,561952,Avalonbay Communities,,i,C,187.16,0.82
2016-11-11,683984,187.16,,188.66,,2017-09-28,,0.44,0,2,2017-11-13T12:23:02-06:00,0,187.51,3.03,2016-11-23,2017-11-13T12:57:23-06:00,10000,12.19,199.52,186.77,5.68,,AVB,,187.98,BATS,2017-06-05,188.09,0,2017-11-10,158.32,,138090,188.6,7800,-,10,7242,561952,Avalonbay Communities,,i,C,187.16,0.82
