twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,4552635,50.93,,50.94,,2017-10-30,,-0.16,0,2,2017-11-13T12:17:41-06:00,0,50.61,1.89,2017-01-23,2017-11-13T13:01:09-06:00,20000,8.81,55.29,50.58,0.96,,BK,,50.85,BATS,2017-10-12,50.84,0,2017-11-10,43.85,,1024020,50.86,70000,-,10,96377,4665127,Bank of New York Mellon Corp,,i,C,50.93,-0.08
2016-11-11,4552635,50.93,,50.94,,2017-10-30,,-0.16,0,2,2017-11-13T12:18:09-06:00,0,50.61,1.89,2017-01-23,2017-11-13T13:01:09-06:00,20000,8.81,55.29,50.58,0.96,,BK,,50.85,BATS,2017-10-12,50.85,0,2017-11-10,43.85,,1024020,50.86,11000,-,10,96377,4665127,Bank of New York Mellon Corp,,i,C,50.93,-0.08
2016-11-11,4552870,50.93,,50.94,,2017-10-30,,-0.18,0,2,2017-11-13T12:18:39-06:00,0,50.61,1.89,2017-01-23,2017-11-13T13:03:22-06:00,20000,8.8,55.29,50.58,0.96,,BK,,50.84,BATS,2017-10-12,50.83,0,2017-11-10,43.85,,1024020,50.84,40000,.,10,96397,4667691,Bank of New York Mellon Corp,,i,C,50.93,-0.09
2016-11-11,4552870,50.93,,50.94,,2017-10-30,,-0.18,0,2,2017-11-13T12:19:15-06:00,0,50.61,1.89,2017-01-23,2017-11-13T13:03:22-06:00,20000,8.8,55.29,50.58,0.96,,BK,,50.84,BATS,2017-10-12,50.83,0,2017-11-10,43.85,,1024020,50.84,30000,.,10,96397,4667691,Bank of New York Mellon Corp,,i,C,50.93,-0.09
2016-11-11,4552870,50.93,,50.94,,2017-10-30,,-0.18,0,2,2017-11-13T12:20:09-06:00,0,50.61,1.89,2017-01-23,2017-11-13T13:03:22-06:00,36900,8.8,55.29,50.58,0.96,,BK,,50.84,BATS,2017-10-12,50.83,0,2017-11-10,43.85,,1024020,50.84,20000,.,10,96397,4667691,Bank of New York Mellon Corp,,i,C,50.93,-0.09
2016-11-11,4552870,50.93,,50.94,,2017-10-30,,-0.16,0,2,2017-11-13T12:20:33-06:00,0,50.61,1.89,2017-01-23,2017-11-13T13:05:32-06:00,30000,8.8,55.29,50.58,0.96,,BK,,50.85,BATS,2017-10-12,50.84,0,2017-11-10,43.85,,1024020,50.85,40000,.,100,96707,4667691,Bank of New York Mellon Corp,,i,C,50.93,-0.08
2016-11-11,4552870,50.93,,50.94,,2017-10-30,,-0.16,0,2,2017-11-13T12:21:09-06:00,0,50.61,1.89,2017-01-23,2017-11-13T13:05:51-06:00,1000,8.8,55.29,50.58,0.96,,BK,,50.85,BATS,2017-10-12,50.84,0,2017-11-10,43.85,,1024020,50.85,40000,.,100,96807,4667691,Bank of New York Mellon Corp,,i,C,50.93,-0.08
2016-11-11,4552870,50.93,,50.94,,2017-10-30,,-0.16,0,2,2017-11-13T12:21:38-06:00,0,50.61,1.89,2017-01-23,2017-11-13T13:06:38-06:00,30000,8.8,55.29,50.58,0.96,,BK,,50.85,BATS,2017-10-12,50.85,0,2017-11-10,43.85,,1024020,50.86,110100,.,100,97317,4667691,Bank of New York Mellon Corp,,i,C,50.93,-0.08
2016-11-11,4552870,50.93,,50.94,,2017-10-30,,-0.14,0,2,2017-11-13T12:22:03-06:00,0,50.61,1.89,2017-01-23,2017-11-13T13:06:59-06:00,55900,8.8,55.29,50.58,0.96,,BK,,50.86,BATS,2017-10-12,50.84,0,2017-11-10,43.85,,1024020,50.86,40000,.,300,97817,4667691,Bank of New York Mellon Corp,,i,C,50.93,-0.07
2016-11-11,4552870,50.93,,50.94,,2017-10-30,,-0.14,0,2,2017-11-13T12:22:34-06:00,0,50.61,1.89,2017-01-23,2017-11-13T13:07:34-06:00,20000,8.8,55.29,50.58,0.96,,BK,,50.86,BATS,2017-10-12,50.86,0,2017-11-10,43.85,,1024020,50.87,20000,.,100,98117,4667691,Bank of New York Mellon Corp,,i,C,50.93,-0.07
