twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,19613004,36.85,,36.96,,2017-10-03,,-0.03,0,2,2017-11-13T12:17:30-06:00,0,36.67,1.72,2016-11-14,2017-11-13T13:02:18-06:00,88100,10.88,42.18,36.62,0.63,,CMCSA,,36.84,BATS,2017-06-05,36.84,0,2017-11-10,33.09,,4673770,36.85,80000,.,88,546647,26534119,Comcast Corp A,,i,C,36.85,-0.01
2016-11-11,19613004,36.85,,36.96,,2017-10-03,,-0.03,0,2,2017-11-13T12:17:53-06:00,0,36.67,1.72,2016-11-14,2017-11-13T13:02:18-06:00,88100,10.88,42.18,36.62,0.63,,CMCSA,,36.84,BATS,2017-06-05,36.84,0,2017-11-10,33.09,,4673770,36.85,80000,.,88,546647,26534119,Comcast Corp A,,i,C,36.85,-0.01
2016-11-11,19613004,36.85,,36.96,,2017-10-03,,0.03,0,2,2017-11-13T12:18:23-06:00,0,36.67,1.72,2016-11-14,2017-11-13T13:03:22-06:00,98100,10.88,42.18,36.62,0.63,,CMCSA,,36.86,BATS,2017-06-05,36.86,0,2017-11-10,33.09,,4673770,36.87,90000,+,100,548028,26534119,Comcast Corp A,,i,C,36.85,0.01
2016-11-11,19614430,36.85,,36.96,,2017-10-03,,0.03,0,2,2017-11-13T12:18:55-06:00,0,36.67,1.72,2016-11-14,2017-11-13T13:03:22-06:00,78100,10.91,42.18,36.62,0.63,,CMCSA,,36.86,BATS,2017-06-05,36.86,0,2017-11-10,33.09,,4673770,36.87,90000,+,100,548028,26549736,Comcast Corp A,,i,C,36.85,0.01
2016-11-11,19614430,36.85,,36.96,,2017-10-03,,0.03,0,2,2017-11-13T12:19:29-06:00,0,36.67,1.72,2016-11-14,2017-11-13T13:03:22-06:00,78100,10.91,42.18,36.62,0.63,,CMCSA,,36.86,BATS,2017-06-05,36.86,0,2017-11-10,33.09,,4673770,36.87,110000,+,100,548028,26549736,Comcast Corp A,,i,C,36.85,0.01
2016-11-11,19614430,36.85,,36.96,,2017-10-03,,0.08,0,2,2017-11-13T12:20:22-06:00,0,36.67,1.72,2016-11-14,2017-11-13T13:05:20-06:00,70000,10.91,42.18,36.62,0.63,,CMCSA,,36.88,BATS,2017-06-05,36.88,0,2017-11-10,33.09,,4673770,36.89,190000,+,100,550010,26549736,Comcast Corp A,,i,C,36.85,0.03
2016-11-11,19614430,36.85,,36.96,,2017-10-03,,0.08,0,2,2017-11-13T12:20:51-06:00,0,36.67,1.72,2016-11-14,2017-11-13T13:05:38-06:00,70000,10.91,42.18,36.62,0.63,,CMCSA,,36.88,BATS,2017-06-05,36.87,0,2017-11-10,33.09,,4673770,36.88,100000,.,100,551210,26549736,Comcast Corp A,,i,C,36.85,0.03
2016-11-11,19614430,36.85,,36.96,,2017-10-03,,0.08,0,2,2017-11-13T12:21:20-06:00,0,36.67,1.72,2016-11-14,2017-11-13T13:05:38-06:00,78100,10.91,42.18,36.62,0.63,,CMCSA,,36.88,BATS,2017-06-05,36.87,0,2017-11-10,33.09,,4673770,36.88,150000,.,100,551210,26549736,Comcast Corp A,,i,C,36.85,0.03
2016-11-11,19614430,36.85,,36.96,,2017-10-03,,0.08,0,2,2017-11-13T12:21:47-06:00,0,36.67,1.72,2016-11-14,2017-11-13T13:05:38-06:00,108100,10.91,42.18,36.62,0.63,,CMCSA,,36.88,BATS,2017-06-05,36.87,0,2017-11-10,33.09,,4673770,36.88,350000,.,100,551210,26549736,Comcast Corp A,,i,C,36.85,0.03
2016-11-11,19614430,36.85,,36.96,,2017-10-03,,0.03,0,2,2017-11-13T12:22:18-06:00,0,36.67,1.72,2016-11-14,2017-11-13T13:07:08-06:00,468100,10.91,42.18,36.62,0.63,,CMCSA,,36.86,BATS,2017-06-05,36.85,0,2017-11-10,33.09,,4673770,36.86,95100,.,400,559643,26549736,Comcast Corp A,,i,C,36.85,0.01
2016-11-11,19614430,36.85,,36.96,,2017-10-03,,0.03,0,2,2017-11-13T12:22:44-06:00,0,36.67,1.72,2016-11-14,2017-11-13T13:07:08-06:00,458100,10.91,42.18,36.62,0.63,,CMCSA,,36.86,BATS,2017-06-05,36.85,0,2017-11-10,33.09,,4673770,36.86,115100,.,400,559643,26549736,Comcast Corp A,,i,C,36.85,0.01
2016-11-11,19614430,36.85,,36.96,,2017-10-03,,0.03,0,2,2017-11-13T12:23:05-06:00,0,36.67,1.72,2016-11-14,2017-11-13T13:07:08-06:00,458100,10.91,42.18,36.62,0.63,,CMCSA,,36.86,BATS,2017-06-05,36.85,0,2017-11-10,33.09,,4673770,36.86,135100,.,400,559643,26549736,Comcast Corp A,,i,C,36.85,0.01
2016-11-11,19614430,36.85,,36.96,,2017-10-03,,0,0,2,2017-11-13T12:23:39-06:00,0,36.67,1.72,2016-11-14,2017-11-13T13:08:32-06:00,118100,10.91,42.18,36.62,0.63,,CMCSA,,36.85,BATS,2017-06-05,36.85,0,2017-11-10,33.09,,4673770,36.86,160000,.,500,565269,26549736,Comcast Corp A,,i,C,36.85,0
2016-11-11,19614430,36.85,,36.96,,2017-10-03,,0,0,2,2017-11-13T12:24:03-06:00,0,36.67,1.72,2016-11-14,2017-11-13T13:08:32-06:00,128100,10.91,42.18,36.62,0.63,,CMCSA,,36.85,BATS,2017-06-05,36.85,0,2017-11-10,33.09,,4673770,36.86,170000,.,500,565269,26549736,Comcast Corp A,,i,C,36.85,0
