twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,2341388,80.81,,81.82,,2017-08-30,,1.18,0,2,2017-11-13T12:17:26-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:02:12-06:00,10000,15.55,82.13,80.99,3.02,,D,,81.76,BATS,2017-10-31,81.66,0,2017-11-10,69.51,,643530,81.76,10000,.,100,46605,2093195,Dominion Resources,,i,C,80.81,0.95
2016-11-11,2341388,80.81,,81.82,,2017-08-30,,1.18,0,2,2017-11-13T12:17:52-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:02:12-06:00,10000,15.55,82.13,80.99,3.02,,D,,81.76,BATS,2017-10-31,81.67,0,2017-11-10,69.51,,643530,81.76,10000,.,100,46605,2093195,Dominion Resources,,i,C,80.81,0.95
2016-11-11,2341388,80.81,,81.82,,2017-08-30,,1.19,0,2,2017-11-13T12:18:23-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:02:57-06:00,10000,15.55,82.13,80.99,3.02,,D,,81.77,BATS,2017-10-31,81.75,0,2017-11-10,69.51,,643530,81.77,10000,.,30,46875,2093195,Dominion Resources,,i,C,80.81,0.96
2016-11-11,2341523,80.81,,81.82,,2017-08-30,,1.16,0,2,2017-11-13T12:18:56-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:03:25-06:00,20000,15.58,82.13,80.99,3.02,,D,,81.75,BATS,2017-10-31,81.68,0,2017-11-10,69.51,,643530,81.76,30000,-,100,46975,2094676,Dominion Resources,,i,C,80.81,0.94
2016-11-11,2341523,80.81,,81.82,,2017-08-30,,1.16,0,2,2017-11-13T12:19:22-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:03:25-06:00,10000,15.58,82.13,80.99,3.02,,D,,81.75,BATS,2017-10-31,81.68,0,2017-11-10,69.51,,643530,81.77,10000,-,100,46975,2094676,Dominion Resources,,i,C,80.81,0.94
2016-11-11,2341523,80.81,,81.82,,2017-08-30,,1.16,0,2,2017-11-13T12:20:23-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:05:18-06:00,10000,15.58,82.13,80.99,3.02,,D,,81.75,BATS,2017-10-31,81.75,0,2017-11-10,69.51,,643530,81.77,10000,.,10,47075,2094676,Dominion Resources,,i,C,80.81,0.94
2016-11-11,2341523,80.81,,81.82,,2017-08-30,,1.24,0,2,2017-11-13T12:20:39-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:05:27-06:00,2000,15.58,82.13,80.99,3.02,,D,,81.81,BATS,2017-10-31,81.79,0,2017-11-10,69.51,,643530,81.81,10000,.,30,47625,2094676,Dominion Resources,,i,C,80.81,1
2016-11-11,2341523,80.81,,81.82,,2017-08-30,,1.24,0,2,2017-11-13T12:21:19-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:05:27-06:00,2000,15.58,82.13,80.99,3.02,,D,,81.81,BATS,2017-10-31,81.79,0,2017-11-10,69.51,,643530,81.8,10000,.,30,47625,2094676,Dominion Resources,,i,C,80.81,1
2016-11-11,2341523,80.81,,81.82,,2017-08-30,,1.24,0,2,2017-11-13T12:21:19-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:05:27-06:00,2000,15.58,82.13,80.99,3.02,,D,,81.81,BATS,2017-10-31,81.79,0,2017-11-10,69.51,,643530,81.8,10000,.,30,47625,2094676,Dominion Resources,,i,C,80.81,1
2016-11-11,2341523,80.81,,81.82,,2017-08-30,,1.21,0,2,2017-11-13T12:22:18-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:07:15-06:00,10000,15.58,82.13,80.99,3.02,,D,,81.79,BATS,2017-10-31,81.77,0,2017-11-10,69.51,,643530,81.78,10000,-,100,47745,2094676,Dominion Resources,,i,C,80.81,0.98
2016-11-11,2341523,80.81,,81.82,,2017-08-30,,1.21,0,2,2017-11-13T12:22:40-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:07:15-06:00,10000,15.58,82.13,80.99,3.02,,D,,81.79,BATS,2017-10-31,81.72,0,2017-11-10,69.51,,643530,81.8,10000,-,100,47745,2094676,Dominion Resources,,i,C,80.81,0.98
2016-11-11,2341523,80.81,,81.82,,2017-08-30,,1.21,0,2,2017-11-13T12:23:08-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:07:15-06:00,30000,15.58,82.13,80.99,3.02,,D,,81.79,BATS,2017-10-31,81.68,0,2017-11-10,69.51,,643530,81.78,10000,-,100,47745,2094676,Dominion Resources,,i,C,80.81,0.98
2016-11-11,2341523,80.81,,81.82,,2017-08-30,,1.21,0,2,2017-11-13T12:23:37-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:07:15-06:00,10000,15.58,82.13,80.99,3.02,,D,,81.79,BATS,2017-10-31,81.74,0,2017-11-10,69.51,,643530,81.77,10000,-,100,47745,2094676,Dominion Resources,,i,C,80.81,0.98
2016-11-11,2341523,80.81,,81.82,,2017-08-30,,1.19,0,2,2017-11-13T12:24:04-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:09:00-06:00,10000,15.58,82.13,80.99,3.02,,D,,81.77,BATS,2017-10-31,81.77,0,2017-11-10,69.51,,643530,81.8,10000,.,100,47945,2094676,Dominion Resources,,i,C,80.81,0.96
2016-11-11,2341523,80.81,,81.82,,2017-08-30,,1.19,0,2,2017-11-13T12:24:23-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:09:00-06:00,10000,15.58,82.13,80.99,3.02,,D,,81.77,BATS,2017-10-31,81.77,0,2017-11-10,69.51,,643530,81.79,10000,.,100,47945,2094676,Dominion Resources,,i,C,80.81,0.96
2016-11-11,2341523,80.81,,81.82,,2017-08-30,,1.19,0,2,2017-11-13T12:25:04-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:09:00-06:00,10000,15.58,82.13,80.99,3.02,,D,,81.77,BATS,2017-10-31,81.76,0,2017-11-10,69.51,,643530,81.78,20000,.,100,47945,2094676,Dominion Resources,,i,C,80.81,0.96
2016-11-11,2341523,80.81,,81.82,,2017-08-30,,1.19,0,2,2017-11-13T12:25:32-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:10:25-06:00,10000,15.58,82.13,80.99,3.02,,D,,81.77,BATS,2017-10-31,81.76,0,2017-11-10,69.51,,643530,81.78,10000,.,100,48045,2094676,Dominion Resources,,i,C,80.81,0.96
2016-11-11,2341523,80.81,,81.82,,2017-08-30,,1.19,0,2,2017-11-13T12:26:08-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:11:02-06:00,10000,15.58,82.13,80.99,3.02,,D,,81.77,BATS,2017-10-31,81.76,0,2017-11-10,69.51,,643530,81.78,10000,.,1,48046,2094676,Dominion Resources,,i,C,80.81,0.96
2016-11-11,2341523,80.81,,81.82,,2017-08-30,,1.18,0,2,2017-11-13T12:26:50-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:11:38-06:00,20000,15.58,82.13,80.99,3.02,,D,,81.76,BATS,2017-10-31,81.63,0,2017-11-10,69.51,,643530,81.76,10000,-,100,48146,2094676,Dominion Resources,,i,C,80.81,0.95
2016-11-11,2341523,80.81,,81.82,,2017-08-30,,1.18,0,2,2017-11-13T12:27:04-06:00,0,80.99,3.72,2016-11-14,2017-11-13T13:11:38-06:00,30000,15.58,82.13,80.99,3.02,,D,,81.76,BATS,2017-10-31,81.73,0,2017-11-10,69.51,,643530,81.74,10000,-,100,48146,2094676,Dominion Resources,,i,C,80.81,0.95
