twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,21458207,14.41,,14.63,,2015-10-13,,0.07,0,2,2017-11-13T12:17:31-06:00,0,14.35,0,2017-06-02,2017-11-13T12:59:52-06:00,450400,3.48,17.06,14.32,0,,FCX,,14.42,BATS,2017-01-24,14.42,0,2017-11-10,11.05,,1447590,14.43,90000,-,100,282974,15947416,Freeport-Mcmoran Inc,,i,C,14.41,0.01
2016-11-11,21458207,14.41,,14.63,,2015-10-13,,0.07,0,2,2017-11-13T12:17:53-06:00,0,14.35,0,2017-06-02,2017-11-13T12:59:52-06:00,460400,3.48,17.06,14.32,0,,FCX,,14.42,BATS,2017-01-24,14.42,0,2017-11-10,11.05,,1447590,14.43,110000,-,100,282974,15947416,Freeport-Mcmoran Inc,,i,C,14.41,0.01
2016-11-11,21458207,14.41,,14.63,,2015-10-13,,0.07,0,2,2017-11-13T12:18:30-06:00,0,14.35,0,2017-06-02,2017-11-13T12:59:52-06:00,452000,3.33,17.06,14.32,0,,FCX,,14.42,BATS,2017-01-24,14.42,0,2017-11-10,11.05,,1447590,14.43,110000,-,100,282974,15947416,Freeport-Mcmoran Inc,,i,C,14.41,0.01
2016-11-11,21458998,14.41,,14.63,,2015-10-13,,0.07,0,2,2017-11-13T12:19:01-06:00,0,14.35,0,2017-06-02,2017-11-13T13:04:01-06:00,452000,3.33,17.06,14.32,0,,FCX,,14.42,BATS,2017-01-24,14.42,0,2017-11-10,11.05,,1447590,14.43,130000,+,18,282992,15956089,Freeport-Mcmoran Inc,,i,C,14.41,0.01
2016-11-11,21458998,14.41,,14.63,,2015-10-13,,0.07,0,2,2017-11-13T12:19:29-06:00,0,14.35,0,2017-06-02,2017-11-13T13:04:01-06:00,222000,3.33,17.06,14.32,0,,FCX,,14.42,BATS,2017-01-24,14.42,0,2017-11-10,11.05,,1447590,14.43,150000,+,18,282992,15956089,Freeport-Mcmoran Inc,,i,C,14.41,0.01
2016-11-11,21458998,14.41,,14.63,,2015-10-13,,0.07,0,2,2017-11-13T12:20:29-06:00,0,14.35,0,2017-06-02,2017-11-13T13:04:01-06:00,512000,3.33,17.06,14.32,0,,FCX,,14.42,BATS,2017-01-24,14.42,0,2017-11-10,11.05,,1447590,14.43,120000,+,18,282992,15956089,Freeport-Mcmoran Inc,,i,C,14.41,0.01
2016-11-11,21458998,14.41,,14.63,,2015-10-13,,0.07,0,2,2017-11-13T12:20:53-06:00,0,14.35,0,2017-06-02,2017-11-13T13:04:01-06:00,252000,3.33,17.06,14.32,0,,FCX,,14.42,BATS,2017-01-24,14.42,0,2017-11-10,11.05,,1447590,14.43,150000,+,18,282992,15956089,Freeport-Mcmoran Inc,,i,C,14.41,0.01
2016-11-11,21458998,14.41,,14.63,,2015-10-13,,0.07,0,2,2017-11-13T12:21:28-06:00,0,14.35,0,2017-06-02,2017-11-13T13:06:14-06:00,792000,3.33,17.06,14.32,0,,FCX,,14.42,BATS,2017-01-24,14.42,0,2017-11-10,11.05,,1447590,14.43,120000,.,100,283126,15956089,Freeport-Mcmoran Inc,,i,C,14.41,0.01
2016-11-11,21458998,14.41,,14.63,,2015-10-13,,0.07,0,2,2017-11-13T12:21:54-06:00,0,14.35,0,2017-06-02,2017-11-13T13:06:14-06:00,752000,3.33,17.06,14.32,0,,FCX,,14.42,BATS,2017-01-24,14.42,0,2017-11-10,11.05,,1447590,14.43,140000,.,100,283126,15956089,Freeport-Mcmoran Inc,,i,C,14.41,0.01
2016-11-11,21458998,14.41,,14.63,,2015-10-13,,0.07,0,2,2017-11-13T12:22:13-06:00,0,14.35,0,2017-06-02,2017-11-13T13:07:05-06:00,530700,3.33,17.06,14.32,0,,FCX,,14.42,BATS,2017-01-24,14.41,0,2017-11-10,11.05,,1447590,14.42,231100,.,100,285526,15956089,Freeport-Mcmoran Inc,,i,C,14.41,0.01
2016-11-11,21458998,14.41,,14.63,,2015-10-13,,0,0,2,2017-11-13T12:22:49-06:00,0,14.35,0,2017-06-02,2017-11-13T13:07:49-06:00,1780000,3.33,17.06,14.32,0,,FCX,,14.41,BATS,2017-01-24,14.4,0,2017-11-10,11.05,,1447590,14.41,210000,.,100,286726,15956089,Freeport-Mcmoran Inc,,i,C,14.41,0
