twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,4131303,28.92,,28.5,,2008-08-01,,-1.83,0,2,2017-11-13T12:17:26-06:00,0,28.11,0,2017-10-20,2017-11-13T13:01:35-06:00,20100,-15.91,37.09,28.09,0,,FTI,,28.39,BATS,2017-01-12,28.39,0,2017-11-10,24.53,,466590,28.4,40000,.,100,173389,4280373,Technipfmc Plc,,i,C,28.92,-0.53
2016-11-11,4131303,28.92,,28.5,,2008-08-01,,-1.83,0,2,2017-11-13T12:17:49-06:00,0,28.11,0,2017-10-20,2017-11-13T13:02:49-06:00,20000,-15.91,37.09,28.09,0,,FTI,,28.39,BATS,2017-01-12,28.38,0,2017-11-10,24.53,,466590,28.39,30000,.,100,173789,4280373,Technipfmc Plc,,i,C,28.92,-0.53
2016-11-11,4131303,28.92,,28.5,,2008-08-01,,-1.83,0,2,2017-11-13T12:18:22-06:00,0,28.11,0,2017-10-20,2017-11-13T13:02:54-06:00,30000,-15.91,37.09,28.09,0,,FTI,,28.39,BATS,2017-01-12,28.38,0,2017-11-10,24.53,,466590,28.39,30000,.,100,173989,4280373,Technipfmc Plc,,i,C,28.92,-0.53
2016-11-11,4131626,28.92,,28.5,,2008-08-01,,-1.87,0,2,2017-11-13T12:18:42-06:00,0,28.11,0,2017-10-20,2017-11-13T13:03:28-06:00,30000,-15.92,37.09,28.09,0,,FTI,,28.38,BATS,2017-01-12,28.38,0,2017-11-10,24.53,,466590,28.39,50000,.,100,174889,4283922,Technipfmc Plc,,i,C,28.92,-0.54
2016-11-11,4131626,28.92,,28.5,,2008-08-01,,-1.87,0,2,2017-11-13T12:19:25-06:00,0,28.11,0,2017-10-20,2017-11-13T13:03:28-06:00,30000,-15.92,37.09,28.09,0,,FTI,,28.38,BATS,2017-01-12,28.38,0,2017-11-10,24.53,,466590,28.39,100000,.,100,174889,4283922,Technipfmc Plc,,i,C,28.92,-0.54
2016-11-11,4131626,28.92,,28.5,,2008-08-01,,-1.87,0,2,2017-11-13T12:20:22-06:00,0,28.11,0,2017-10-20,2017-11-13T13:03:28-06:00,50100,-15.92,37.09,28.09,0,,FTI,,28.38,BATS,2017-01-12,28.38,0,2017-11-10,24.53,,466590,28.39,30000,.,100,174889,4283922,Technipfmc Plc,,i,C,28.92,-0.54
2016-11-11,4131626,28.92,,28.5,,2008-08-01,,-1.87,0,2,2017-11-13T12:20:50-06:00,0,28.11,0,2017-10-20,2017-11-13T13:03:28-06:00,30000,-15.92,37.09,28.09,0,,FTI,,28.38,BATS,2017-01-12,28.38,0,2017-11-10,24.53,,466590,28.39,40000,.,100,174889,4283922,Technipfmc Plc,,i,C,28.92,-0.54
2016-11-11,4131626,28.92,,28.5,,2008-08-01,,-1.9,0,2,2017-11-13T12:21:11-06:00,0,28.11,0,2017-10-20,2017-11-13T13:06:10-06:00,30000,-15.92,37.09,28.09,0,,FTI,,28.37,BATS,2017-01-12,28.37,0,2017-11-10,24.53,,466590,28.38,39900,-,59,175848,4283922,Technipfmc Plc,,i,C,28.92,-0.55
2016-11-11,4131626,28.92,,28.5,,2008-08-01,,-1.9,0,2,2017-11-13T12:21:40-06:00,0,28.11,0,2017-10-20,2017-11-13T13:06:10-06:00,30000,-15.92,37.09,28.09,0,,FTI,,28.37,BATS,2017-01-12,28.37,0,2017-11-10,24.53,,466590,28.38,39900,-,59,175848,4283922,Technipfmc Plc,,i,C,28.92,-0.55
2016-11-11,4131626,28.92,,28.5,,2008-08-01,,-1.87,0,2,2017-11-13T12:22:17-06:00,0,28.11,0,2017-10-20,2017-11-13T13:07:17-06:00,20000,-15.92,37.09,28.09,0,,FTI,,28.38,BATS,2017-01-12,28.38,0,2017-11-10,24.53,,466590,28.39,80200,.,100,179792,4283922,Technipfmc Plc,,i,C,28.92,-0.54
2016-11-11,4131626,28.92,,28.5,,2008-08-01,,-1.87,0,2,2017-11-13T12:22:37-06:00,0,28.11,0,2017-10-20,2017-11-13T13:07:37-06:00,20000,-15.92,37.09,28.09,0,,FTI,,28.38,BATS,2017-01-12,28.38,0,2017-11-10,24.53,,466590,28.39,60200,+,100,179892,4283922,Technipfmc Plc,,i,C,28.92,-0.54
2016-11-11,4131626,28.92,,28.5,,2008-08-01,,-1.87,0,2,2017-11-13T12:22:56-06:00,0,28.11,0,2017-10-20,2017-11-13T13:07:37-06:00,20000,-15.92,37.09,28.09,0,,FTI,,28.38,BATS,2017-01-12,28.38,0,2017-11-10,24.53,,466590,28.39,40000,+,100,179892,4283922,Technipfmc Plc,,i,C,28.92,-0.54
2016-11-11,4131626,28.92,,28.5,,2008-08-01,,-1.87,0,2,2017-11-13T12:23:35-06:00,0,28.11,0,2017-10-20,2017-11-13T13:07:37-06:00,30000,-15.92,37.09,28.09,0,,FTI,,28.38,BATS,2017-01-12,28.38,0,2017-11-10,24.53,,466590,28.39,40000,+,100,179892,4283922,Technipfmc Plc,,i,C,28.92,-0.54
2016-11-11,4131626,28.92,,28.5,,2008-08-01,,-1.87,0,2,2017-11-13T12:23:50-06:00,0,28.11,0,2017-10-20,2017-11-13T13:07:37-06:00,20000,-15.92,37.09,28.09,0,,FTI,,28.38,BATS,2017-01-12,28.38,0,2017-11-10,24.53,,466590,28.39,50500,+,100,179892,4283922,Technipfmc Plc,,i,C,28.92,-0.54
2016-11-11,4131626,28.92,,28.5,,2008-08-01,,-1.87,0,2,2017-11-13T12:24:13-06:00,0,28.11,0,2017-10-20,2017-11-13T13:07:37-06:00,20000,-15.92,37.09,28.09,0,,FTI,,28.38,BATS,2017-01-12,28.38,0,2017-11-10,24.53,,466590,28.39,50500,+,100,179892,4283922,Technipfmc Plc,,i,C,28.92,-0.54
2016-11-11,4131626,28.92,,28.5,,2008-08-01,,-1.83,0,2,2017-11-13T12:25:04-06:00,0,28.11,0,2017-10-20,2017-11-13T13:09:54-06:00,10000,-15.92,37.09,28.09,0,,FTI,,28.39,BATS,2017-01-12,28.39,0,2017-11-10,24.53,,466590,28.4,60500,+,100,180092,4283922,Technipfmc Plc,,i,C,28.92,-0.53
2016-11-11,4131626,28.92,,28.5,,2008-08-01,,-1.83,0,2,2017-11-13T12:25:26-06:00,0,28.11,0,2017-10-20,2017-11-13T13:09:54-06:00,30000,-15.92,37.09,28.09,0,,FTI,,28.39,BATS,2017-01-12,28.4,0,2017-11-10,24.53,,466590,28.41,60500,+,100,180092,4283922,Technipfmc Plc,,i,C,28.92,-0.53
2016-11-11,4131626,28.92,,28.5,,2008-08-01,,-1.83,0,2,2017-11-13T12:26:07-06:00,0,28.11,0,2017-10-20,2017-11-13T13:10:51-06:00,50000,-15.92,37.09,28.09,0,,FTI,,28.39,BATS,2017-01-12,28.38,0,2017-11-10,24.53,,466590,28.39,20000,-,100,180897,4283922,Technipfmc Plc,,i,C,28.92,-0.53
2016-11-11,4131626,28.92,,28.5,,2008-08-01,,-1.83,0,2,2017-11-13T12:26:35-06:00,0,28.11,0,2017-10-20,2017-11-13T13:10:51-06:00,30100,-15.92,37.09,28.09,0,,FTI,,28.39,BATS,2017-01-12,28.38,0,2017-11-10,24.53,,466590,28.39,30000,-,100,180897,4283922,Technipfmc Plc,,i,C,28.92,-0.53
2016-11-11,4131626,28.92,,28.5,,2008-08-01,,-1.83,0,2,2017-11-13T12:26:52-06:00,0,28.11,0,2017-10-20,2017-11-13T13:10:51-06:00,20100,-15.92,37.09,28.09,0,,FTI,,28.39,BATS,2017-01-12,28.38,0,2017-11-10,24.53,,466590,28.39,30000,-,100,180897,4283922,Technipfmc Plc,,i,C,28.92,-0.53
2016-11-11,4131626,28.92,,28.5,,2008-08-01,,-1.83,0,2,2017-11-13T12:27:27-06:00,0,28.11,0,2017-10-20,2017-11-13T13:10:51-06:00,20100,-15.92,37.09,28.09,0,,FTI,,28.39,BATS,2017-01-12,28.38,0,2017-11-10,24.53,,466590,28.39,30000,-,100,180897,4283922,Technipfmc Plc,,i,C,28.92,-0.53
