twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,472284,146.77,,148.82,,2017-09-22,,1.38,0,2,2017-11-13T12:17:01-06:00,0,146.69,1.88,2017-01-06,2017-11-13T12:42:17-06:00,10000,25.71,153.97,146.69,2.76,,IFF,,148.79,BATS,2017-11-07,148.4,0,2017-11-10,113.16,,78980,149.2,10000,+,3,2455,276437,International Flavors & Fragrances,,i,C,146.77,2.02
2016-11-11,472284,146.77,,148.82,,2017-09-22,,1.38,0,2,2017-11-13T12:17:01-06:00,0,146.69,1.88,2017-01-06,2017-11-13T12:42:17-06:00,10000,25.71,153.97,146.69,2.76,,IFF,,148.79,BATS,2017-11-07,148.4,0,2017-11-10,113.16,,78980,149.2,10000,+,3,2455,276437,International Flavors & Fragrances,,i,C,146.77,2.02
2016-11-11,472284,146.77,,148.82,,2017-09-22,,1.38,0,2,2017-11-13T12:18:13-06:00,0,146.69,1.88,2017-01-06,2017-11-13T12:42:17-06:00,10000,25.66,153.97,146.69,2.76,,IFF,,148.79,BATS,2017-11-07,148.82,0,2017-11-10,113.16,,78980,149.2,10000,+,3,2455,276437,International Flavors & Fragrances,,i,C,146.77,2.02
2016-11-11,472298,146.77,,148.82,,2017-09-22,,1.38,0,2,2017-11-13T12:18:39-06:00,0,146.69,1.88,2017-01-06,2017-11-13T12:42:17-06:00,10000,25.66,153.97,146.69,2.76,,IFF,,148.79,BATS,2017-11-07,148.82,0,2017-11-10,113.16,,78980,149.2,10000,+,3,2455,276589,International Flavors & Fragrances,,i,C,146.77,2.02
2016-11-11,472298,146.77,,148.82,,2017-09-22,,1.38,0,2,2017-11-13T12:18:39-06:00,0,146.69,1.88,2017-01-06,2017-11-13T12:42:17-06:00,10000,25.66,153.97,146.69,2.76,,IFF,,148.79,BATS,2017-11-07,148.82,0,2017-11-10,113.16,,78980,149.2,10000,+,3,2455,276589,International Flavors & Fragrances,,i,C,146.77,2.02
2016-11-11,472298,146.77,,148.82,,2017-09-22,,1.38,0,2,2017-11-13T12:18:39-06:00,0,146.69,1.88,2017-01-06,2017-11-13T12:42:17-06:00,10000,25.66,153.97,146.69,2.76,,IFF,,148.79,BATS,2017-11-07,148.82,0,2017-11-10,113.16,,78980,149.2,10000,+,3,2455,276589,International Flavors & Fragrances,,i,C,146.77,2.02
2016-11-11,472298,146.77,,148.82,,2017-09-22,,1.38,0,2,2017-11-13T12:20:57-06:00,0,146.69,1.88,2017-01-06,2017-11-13T12:42:17-06:00,5000,25.66,153.97,146.69,2.76,,IFF,,148.79,BATS,2017-11-07,148.82,0,2017-11-10,113.16,,78980,148.91,10000,+,3,2455,276589,International Flavors & Fragrances,,i,C,146.77,2.02
2016-11-11,472298,146.77,,148.82,,2017-09-22,,1.38,0,2,2017-11-13T12:20:57-06:00,0,146.69,1.88,2017-01-06,2017-11-13T12:42:17-06:00,5000,25.66,153.97,146.69,2.76,,IFF,,148.79,BATS,2017-11-07,148.82,0,2017-11-10,113.16,,78980,148.91,10000,+,3,2455,276589,International Flavors & Fragrances,,i,C,146.77,2.02
2016-11-11,472298,146.77,,148.82,,2017-09-22,,1.38,0,2,2017-11-13T12:20:57-06:00,0,146.69,1.88,2017-01-06,2017-11-13T12:42:17-06:00,5000,25.66,153.97,146.69,2.76,,IFF,,148.79,BATS,2017-11-07,148.82,0,2017-11-10,113.16,,78980,148.91,10000,+,3,2455,276589,International Flavors & Fragrances,,i,C,146.77,2.02
2016-11-11,472298,146.77,,148.82,,2017-09-22,,1.4,0,2,2017-11-13T12:22:21-06:00,0,146.69,1.88,2017-01-06,2017-11-13T13:07:21-06:00,5000,25.66,153.97,146.69,2.76,,IFF,,148.82,BATS,2017-11-07,148.77,0,2017-11-10,113.16,,78980,148.91,10000,+,100,2555,276589,International Flavors & Fragrances,,i,C,146.77,2.05
