twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,2921061,40.03,,40.19,,2017-08-24,,-3.45,0,2,2017-11-13T12:16:50-06:00,0,39.63,3.7,2017-11-08,2017-11-13T13:00:17-06:00,2600,-34.13,62.82,38.58,1.48,,JWN,,38.65,BATS,2016-11-14,38.66,0,2017-11-10,37.79,,166240,38.69,12000,-,2,75622,2685383,Nordstrom,,i,C,40.03,-1.38
2016-11-11,2921061,40.03,,40.19,,2017-08-24,,-3.45,0,2,2017-11-13T12:17:50-06:00,0,39.63,3.7,2017-11-08,2017-11-13T13:00:17-06:00,12600,-34.13,62.82,38.58,1.48,,JWN,,38.65,BATS,2016-11-14,38.66,0,2017-11-10,37.79,,166240,38.69,12000,-,2,75622,2685383,Nordstrom,,i,C,40.03,-1.38
2016-11-11,2921282,40.03,,40.19,,2017-08-24,,-3.45,0,2,2017-11-13T12:17:50-06:00,0,39.63,3.7,2017-11-08,2017-11-13T13:00:17-06:00,12600,-34.09,62.82,38.58,1.48,,JWN,,38.65,BATS,2016-11-14,38.66,0,2017-11-10,37.79,,166240,38.69,12000,-,2,75622,2687814,Nordstrom,,i,C,40.03,-1.38
2016-11-11,2921282,40.03,,40.19,,2017-08-24,,-3.35,0,2,2017-11-13T12:18:53-06:00,0,39.63,3.7,2017-11-08,2017-11-13T13:03:48-06:00,300,-34.09,62.82,38.58,1.48,,JWN,,38.69,BATS,2016-11-14,38.68,0,2017-11-10,37.79,,166240,38.72,32000,.,26,75748,2687814,Nordstrom,,i,C,40.03,-1.34
2016-11-11,2921282,40.03,,40.19,,2017-08-24,,-3.22,0,2,2017-11-13T12:19:41-06:00,0,39.63,3.7,2017-11-08,2017-11-13T13:04:39-06:00,20000,-34.09,62.82,38.58,1.48,,JWN,,38.74,BATS,2016-11-14,38.71,0,2017-11-10,37.79,,166240,38.77,12000,+,100,75951,2687814,Nordstrom,,i,C,40.03,-1.29
2016-11-11,2921282,40.03,,40.19,,2017-08-24,,-3.25,0,2,2017-11-13T12:20:32-06:00,0,39.63,3.7,2017-11-08,2017-11-13T13:05:32-06:00,10000,-34.09,62.82,38.58,1.48,,JWN,,38.73,BATS,2016-11-14,38.71,0,2017-11-10,37.79,,166240,38.74,12000,-,100,76051,2687814,Nordstrom,,i,C,40.03,-1.3
2016-11-11,2921282,40.03,,40.19,,2017-08-24,,-3.37,0,2,2017-11-13T12:20:49-06:00,0,39.63,3.7,2017-11-08,2017-11-13T13:05:37-06:00,11000,-34.09,62.82,38.58,1.48,,JWN,,38.68,BATS,2016-11-14,38.68,0,2017-11-10,37.79,,166240,38.7,20000,.,6,76475,2687814,Nordstrom,,i,C,40.03,-1.35
2016-11-11,2921282,40.03,,40.19,,2017-08-24,,-3.4,0,2,2017-11-13T12:21:32-06:00,0,39.63,3.7,2017-11-08,2017-11-13T13:06:30-06:00,30000,-34.09,62.82,38.58,1.48,,JWN,,38.67,BATS,2016-11-14,38.66,0,2017-11-10,37.79,,166240,38.68,30000,.,12,76985,2687814,Nordstrom,,i,C,40.03,-1.36
2016-11-11,2921282,40.03,,40.19,,2017-08-24,,-3.4,0,2,2017-11-13T12:21:36-06:00,0,39.63,3.7,2017-11-08,2017-11-13T13:06:30-06:00,20000,-34.09,62.82,38.58,1.48,,JWN,,38.67,BATS,2016-11-14,38.66,0,2017-11-10,37.79,,166240,38.68,30000,.,12,76985,2687814,Nordstrom,,i,C,40.03,-1.36
2016-11-11,2921282,40.03,,40.19,,2017-08-24,,-3.37,0,2,2017-11-13T12:22:20-06:00,0,39.63,3.7,2017-11-08,2017-11-13T13:07:16-06:00,10000,-34.09,62.82,38.58,1.48,,JWN,,38.68,BATS,2016-11-14,38.65,0,2017-11-10,37.79,,166240,38.7,10000,+,100,77517,2687814,Nordstrom,,i,C,40.03,-1.35
