twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,2489310,64.7,,64.9,,2017-08-30,,-1.1,0,2,2017-11-13T12:17:28-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:01:31-06:00,10000,-11.68,76.69,63.77,2.16,,K,,63.99,BATS,2017-02-09,63.98,0,2017-11-10,58.76,,345470,64.26,5000,-,100,76567,4178299,Kellogg Company,,i,C,64.7,-0.71
2016-11-11,2489310,64.7,,64.9,,2017-08-30,,-1.11,0,2,2017-11-13T12:17:53-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:02:53-06:00,10000,-11.68,76.69,63.77,2.16,,K,,63.98,BATS,2017-02-09,63.96,0,2017-11-10,58.76,,345470,64.02,10000,-,50,76617,4178299,Kellogg Company,,i,C,64.7,-0.72
2016-11-11,2489310,64.7,,64.9,,2017-08-30,,-1.11,0,2,2017-11-13T12:18:07-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:02:53-06:00,10000,-11.82,76.69,63.77,2.16,,K,,63.98,BATS,2017-02-09,63.97,0,2017-11-10,58.76,,345470,64.02,10000,-,50,76617,4178299,Kellogg Company,,i,C,64.7,-0.72
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.11,0,2,2017-11-13T12:18:07-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:02:53-06:00,10000,-11.82,76.69,63.77,2.16,,K,,63.98,BATS,2017-02-09,63.97,0,2017-11-10,58.76,,345470,64.02,10000,-,50,76617,4180432,Kellogg Company,,i,C,64.7,-0.72
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.1,0,2,2017-11-13T12:19:29-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:04:17-06:00,10000,-11.82,76.69,63.77,2.16,,K,,63.99,BATS,2017-02-09,63.85,0,2017-11-10,58.76,,345470,64.01,10000,+,100,76717,4180432,Kellogg Company,,i,C,64.7,-0.71
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.1,0,2,2017-11-13T12:20:20-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:04:17-06:00,10000,-11.82,76.69,63.77,2.16,,K,,63.99,BATS,2017-02-09,63.85,0,2017-11-10,58.76,,345470,63.98,10000,+,100,76717,4180432,Kellogg Company,,i,C,64.7,-0.71
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.1,0,2,2017-11-13T12:20:58-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:04:17-06:00,10000,-11.82,76.69,63.77,2.16,,K,,63.99,BATS,2017-02-09,63.85,0,2017-11-10,58.76,,345470,63.97,10000,+,100,76717,4180432,Kellogg Company,,i,C,64.7,-0.71
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.1,0,2,2017-11-13T12:21:25-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:04:17-06:00,10000,-11.82,76.69,63.77,2.16,,K,,63.99,BATS,2017-02-09,63.85,0,2017-11-10,58.76,,345470,64,10000,+,100,76717,4180432,Kellogg Company,,i,C,64.7,-0.71
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.1,0,2,2017-11-13T12:21:50-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:04:17-06:00,10000,-11.82,76.69,63.77,2.16,,K,,63.99,BATS,2017-02-09,63.92,0,2017-11-10,58.76,,345470,63.94,17700,+,100,76717,4180432,Kellogg Company,,i,C,64.7,-0.71
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.1,0,2,2017-11-13T12:21:50-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:04:17-06:00,10000,-11.82,76.69,63.77,2.16,,K,,63.99,BATS,2017-02-09,63.92,0,2017-11-10,58.76,,345470,63.94,17700,+,100,76717,4180432,Kellogg Company,,i,C,64.7,-0.71
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.1,0,2,2017-11-13T12:21:50-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:04:17-06:00,10000,-11.82,76.69,63.77,2.16,,K,,63.99,BATS,2017-02-09,63.92,0,2017-11-10,58.76,,345470,63.94,17700,+,100,76717,4180432,Kellogg Company,,i,C,64.7,-0.71
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.1,0,2,2017-11-13T12:23:13-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:04:17-06:00,10000,-11.82,76.69,63.77,2.16,,K,,63.99,BATS,2017-02-09,63.92,0,2017-11-10,58.76,,345470,63.94,17700,+,100,76717,4180432,Kellogg Company,,i,C,64.7,-0.71
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.21,0,2,2017-11-13T12:23:44-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:08:39-06:00,30000,-11.82,76.69,63.77,2.16,,K,,63.92,BATS,2017-02-09,63.92,0,2017-11-10,58.76,,345470,63.95,10000,-,23,76917,4180432,Kellogg Company,,i,C,64.7,-0.78
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.19,0,2,2017-11-13T12:24:12-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:09:02-06:00,10000,-11.82,76.69,63.77,2.16,,K,,63.93,BATS,2017-02-09,63.9,0,2017-11-10,58.76,,345470,64.18,10000,+,100,77527,4180432,Kellogg Company,,i,C,64.7,-0.77
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.22,0,2,2017-11-13T12:24:42-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:09:41-06:00,10000,-11.82,76.69,63.77,2.16,,K,,63.91,BATS,2017-02-09,63.66,0,2017-11-10,58.76,,345470,63.93,10000,.,8,77627,4180432,Kellogg Company,,i,C,64.7,-0.79
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.19,0,2,2017-11-13T12:25:12-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:09:55-06:00,10000,-11.82,76.69,63.77,2.16,,K,,63.93,BATS,2017-02-09,63.92,0,2017-11-10,58.76,,345470,63.95,10000,.,68,78095,4180432,Kellogg Company,,i,C,64.7,-0.77
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.19,0,2,2017-11-13T12:25:19-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:09:55-06:00,10000,-11.82,76.69,63.77,2.16,,K,,63.93,BATS,2017-02-09,63.92,0,2017-11-10,58.76,,345470,63.94,10000,.,68,78095,4180432,Kellogg Company,,i,C,64.7,-0.77
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.19,0,2,2017-11-13T12:26:21-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:09:55-06:00,10000,-11.82,76.69,63.77,2.16,,K,,63.93,BATS,2017-02-09,63.85,0,2017-11-10,58.76,,345470,63.92,10000,.,68,78095,4180432,Kellogg Company,,i,C,64.7,-0.77
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.24,0,2,2017-11-13T12:26:55-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:11:36-06:00,20000,-11.82,76.69,63.77,2.16,,K,,63.9,BATS,2017-02-09,63.88,0,2017-11-10,58.76,,345470,63.92,7200,-,100,78195,4180432,Kellogg Company,,i,C,64.7,-0.8
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.22,0,2,2017-11-13T12:27:14-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:12:04-06:00,10000,-11.82,76.69,63.77,2.16,,K,,63.91,BATS,2017-02-09,63.89,0,2017-11-10,58.76,,345470,63.94,10000,.,37,78332,4180432,Kellogg Company,,i,C,64.7,-0.79
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.17,0,2,2017-11-13T12:27:40-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:12:25-06:00,1000,-11.82,76.69,63.77,2.16,,K,,63.94,BATS,2017-02-09,63.9,0,2017-11-10,58.76,,345470,63.94,10000,+,100,78432,4180432,Kellogg Company,,i,C,64.7,-0.76
2016-11-11,2489505,64.7,,64.9,,2017-08-30,,-1.19,0,2,2017-11-13T12:28:04-06:00,0,64.6,3.41,2017-10-30,2017-11-13T13:13:01-06:00,10000,-11.82,76.69,63.77,2.16,,K,,63.93,BATS,2017-02-09,63.9,0,2017-11-10,58.76,,345470,63.98,10000,-,10,78442,4180432,Kellogg Company,,i,C,64.7,-0.77
