twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,5780305,77.49,,77.87,,2017-10-24,,0.03,0,2,2017-11-13T12:17:34-06:00,0,77.59,2.1,2016-11-16,2017-11-13T13:02:24-06:00,10000,11.13,86.25,77.23,1.64,,LOW,,77.51,BATS,2017-05-09,77.5,0,2017-11-10,65.12,,837000,77.51,10000,.,100,232117,5433756,Lowe's Companies,,i,C,77.49,0.02
2016-11-11,5780305,77.49,,77.87,,2017-10-24,,0.01,0,2,2017-11-13T12:17:56-06:00,0,77.59,2.1,2016-11-16,2017-11-13T13:02:37-06:00,30000,11.13,86.25,77.23,1.64,,LOW,,77.5,BATS,2017-05-09,77.48,0,2017-11-10,65.12,,837000,77.5,40000,.,10,232327,5433756,Lowe's Companies,,i,C,77.49,0.01
2016-11-11,5780305,77.49,,77.87,,2017-10-24,,-0.01,0,2,2017-11-13T12:18:30-06:00,0,77.59,2.1,2016-11-16,2017-11-13T13:03:27-06:00,10000,11.16,86.25,77.23,1.64,,LOW,,77.48,BATS,2017-05-09,77.47,0,2017-11-10,65.12,,837000,77.49,20000,-,100,233204,5433756,Lowe's Companies,,i,C,77.49,-0.00999999999999
2016-11-11,5780820,77.49,,77.87,,2017-10-24,,-0.01,0,2,2017-11-13T12:18:55-06:00,0,77.59,2.1,2016-11-16,2017-11-13T13:03:37-06:00,15000,11.16,86.25,77.23,1.64,,LOW,,77.48,BATS,2017-05-09,77.48,0,2017-11-10,65.12,,837000,77.51,10000,.,100,233305,5439390,Lowe's Companies,,i,C,77.49,-0.00999999999999
2016-11-11,5780820,77.49,,77.87,,2017-10-24,,-0.01,0,2,2017-11-13T12:19:34-06:00,0,77.59,2.1,2016-11-16,2017-11-13T13:03:37-06:00,30000,11.16,86.25,77.23,1.64,,LOW,,77.48,BATS,2017-05-09,77.47,0,2017-11-10,65.12,,837000,77.48,21000,.,100,233305,5439390,Lowe's Companies,,i,C,77.49,-0.00999999999999
2016-11-11,5780820,77.49,,77.87,,2017-10-24,,-0.03,0,2,2017-11-13T12:20:27-06:00,0,77.59,2.1,2016-11-16,2017-11-13T13:05:21-06:00,10000,11.16,86.25,77.23,1.64,,LOW,,77.47,BATS,2017-05-09,77.47,0,2017-11-10,65.12,,837000,77.48,40000,.,100,234505,5439390,Lowe's Companies,,i,C,77.49,-0.02
2016-11-11,5780820,77.49,,77.87,,2017-10-24,,-0.01,0,2,2017-11-13T12:20:56-06:00,0,77.59,2.1,2016-11-16,2017-11-13T13:05:39-06:00,10000,11.16,86.25,77.23,1.64,,LOW,,77.48,BATS,2017-05-09,77.47,0,2017-11-10,65.12,,837000,77.48,10000,-,100,235105,5439390,Lowe's Companies,,i,C,77.49,-0.00999999999999
2016-11-11,5780820,77.49,,77.87,,2017-10-24,,-0.01,0,2,2017-11-13T12:21:27-06:00,0,77.59,2.1,2016-11-16,2017-11-13T13:05:39-06:00,50000,11.16,86.25,77.23,1.64,,LOW,,77.48,BATS,2017-05-09,77.47,0,2017-11-10,65.12,,837000,77.48,10000,-,100,235105,5439390,Lowe's Companies,,i,C,77.49,-0.00999999999999
2016-11-11,5780820,77.49,,77.87,,2017-10-24,,0.01,0,2,2017-11-13T12:21:55-06:00,0,77.59,2.1,2016-11-16,2017-11-13T13:06:48-06:00,20000,11.16,86.25,77.23,1.64,,LOW,,77.5,BATS,2017-05-09,77.49,0,2017-11-10,65.12,,837000,77.5,20000,.,28,235705,5439390,Lowe's Companies,,i,C,77.49,0.01
2016-11-11,5780820,77.49,,77.87,,2017-10-24,,0,0,2,2017-11-13T12:22:22-06:00,0,77.59,2.1,2016-11-16,2017-11-13T13:06:58-06:00,30000,11.16,86.25,77.23,1.64,,LOW,,77.49,BATS,2017-05-09,77.49,0,2017-11-10,65.12,,837000,77.5,10000,-,100,235805,5439390,Lowe's Companies,,i,C,77.49,0
2016-11-11,5780820,77.49,,77.87,,2017-10-24,,0.03,0,2,2017-11-13T12:22:49-06:00,0,77.59,2.1,2016-11-16,2017-11-13T13:07:49-06:00,60000,11.16,86.25,77.23,1.64,,LOW,,77.51,BATS,2017-05-09,77.49,0,2017-11-10,65.12,,837000,77.51,20000,+,100,236205,5439390,Lowe's Companies,,i,C,77.49,0.02
2016-11-11,5780820,77.49,,77.87,,2017-10-24,,0.04,0,2,2017-11-13T12:23:13-06:00,0,77.59,2.1,2016-11-16,2017-11-13T13:08:12-06:00,40000,11.16,86.25,77.23,1.64,,LOW,,77.52,BATS,2017-05-09,77.51,0,2017-11-10,65.12,,837000,77.53,20000,.,10,236615,5439390,Lowe's Companies,,i,C,77.49,0.03
2016-11-11,5780820,77.49,,77.87,,2017-10-24,,0.05,0,2,2017-11-13T12:23:42-06:00,0,77.59,2.1,2016-11-16,2017-11-13T13:08:39-06:00,20000,11.16,86.25,77.23,1.64,,LOW,,77.53,BATS,2017-05-09,77.52,0,2017-11-10,65.12,,837000,77.53,10000,.,100,237015,5439390,Lowe's Companies,,i,C,77.49,0.04
2016-11-11,5780820,77.49,,77.87,,2017-10-24,,0.03,0,2,2017-11-13T12:24:10-06:00,0,77.59,2.1,2016-11-16,2017-11-13T13:08:56-06:00,20000,11.16,86.25,77.23,1.64,,LOW,,77.51,BATS,2017-05-09,77.5,0,2017-11-10,65.12,,837000,77.51,20000,-,100,237235,5439390,Lowe's Companies,,i,C,77.49,0.02
2016-11-11,5780820,77.49,,77.87,,2017-10-24,,0.03,0,2,2017-11-13T12:24:42-06:00,0,77.59,2.1,2016-11-16,2017-11-13T13:09:41-06:00,40000,11.16,86.25,77.23,1.64,,LOW,,77.51,BATS,2017-05-09,77.51,0,2017-11-10,65.12,,837000,77.52,10000,.,300,238335,5439390,Lowe's Companies,,i,C,77.49,0.02
2016-11-11,5780820,77.49,,77.87,,2017-10-24,,0.03,0,2,2017-11-13T12:25:14-06:00,0,77.59,2.1,2016-11-16,2017-11-13T13:09:53-06:00,40000,11.16,86.25,77.23,1.64,,LOW,,77.51,BATS,2017-05-09,77.49,0,2017-11-10,65.12,,837000,77.51,30000,.,100,238535,5439390,Lowe's Companies,,i,C,77.49,0.02
2016-11-11,5780820,77.49,,77.87,,2017-10-24,,0,0,2,2017-11-13T12:25:39-06:00,0,77.59,2.1,2016-11-16,2017-11-13T13:10:38-06:00,10000,11.16,86.25,77.23,1.64,,LOW,,77.49,BATS,2017-05-09,77.48,0,2017-11-10,65.12,,837000,77.49,10000,-,100,238935,5439390,Lowe's Companies,,i,C,77.49,0
