twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,13237807,49.32,,49.29,,2017-10-10,,-0.1,0,2,2017-11-13T12:17:38-06:00,0,49.06,1.54,2016-12-02,2017-11-13T13:01:55-06:00,80000,24.87,53.14,49.06,0.76,,ORCL,,49.27,BATS,2017-09-14,49.27,0,2017-11-10,37.64,,4173490,49.28,60000,.,100,118905,12472142,Oracle Corp,,i,C,49.32,-0.05
2016-11-11,13237807,49.32,,49.29,,2017-10-10,,-0.08,0,2,2017-11-13T12:17:57-06:00,0,49.06,1.54,2016-12-02,2017-11-13T13:02:57-06:00,69900,24.87,53.14,49.06,0.76,,ORCL,,49.28,BATS,2017-09-14,49.27,0,2017-11-10,37.64,,4173490,49.28,30000,.,1,119006,12472142,Oracle Corp,,i,C,49.32,-0.04
2016-11-11,13237807,49.32,,49.29,,2017-10-10,,-0.08,0,2,2017-11-13T12:18:35-06:00,0,49.06,1.54,2016-12-02,2017-11-13T13:02:57-06:00,49900,24.87,53.14,49.06,0.76,,ORCL,,49.28,BATS,2017-09-14,49.27,0,2017-11-10,37.64,,4173490,49.28,30000,.,1,119006,12472142,Oracle Corp,,i,C,49.32,-0.04
2016-11-11,13238459,49.32,,49.29,,2017-10-10,,-0.08,0,2,2017-11-13T12:19:00-06:00,0,49.06,1.54,2016-12-02,2017-11-13T13:03:58-06:00,30000,24.79,53.14,49.06,0.76,,ORCL,,49.28,BATS,2017-09-14,49.27,0,2017-11-10,37.64,,4173490,49.28,40000,.,1,119206,12479291,Oracle Corp,,i,C,49.32,-0.04
2016-11-11,13238459,49.32,,49.29,,2017-10-10,,-0.1,0,2,2017-11-13T12:19:55-06:00,0,49.06,1.54,2016-12-02,2017-11-13T13:04:35-06:00,20000,24.79,53.14,49.06,0.76,,ORCL,,49.27,BATS,2017-09-14,49.26,0,2017-11-10,37.64,,4173490,49.27,60000,.,100,119906,12479291,Oracle Corp,,i,C,49.32,-0.05
2016-11-11,13238459,49.32,,49.29,,2017-10-10,,-0.1,0,2,2017-11-13T12:20:35-06:00,0,49.06,1.54,2016-12-02,2017-11-13T13:05:35-06:00,30000,24.79,53.14,49.06,0.76,,ORCL,,49.27,BATS,2017-09-14,49.26,0,2017-11-10,37.64,,4173490,49.27,40000,.,100,120006,12479291,Oracle Corp,,i,C,49.32,-0.05
2016-11-11,13238459,49.32,,49.29,,2017-10-10,,-0.1,0,2,2017-11-13T12:21:05-06:00,0,49.06,1.54,2016-12-02,2017-11-13T13:05:35-06:00,30000,24.79,53.14,49.06,0.76,,ORCL,,49.27,BATS,2017-09-14,49.26,0,2017-11-10,37.64,,4173490,49.27,50000,.,100,120006,12479291,Oracle Corp,,i,C,49.32,-0.05
2016-11-11,13238459,49.32,,49.29,,2017-10-10,,-0.14,0,2,2017-11-13T12:21:30-06:00,0,49.06,1.54,2016-12-02,2017-11-13T13:06:26-06:00,96100,24.79,53.14,49.06,0.76,,ORCL,,49.25,BATS,2017-09-14,49.25,0,2017-11-10,37.64,,4173490,49.26,10000,.,100,120806,12479291,Oracle Corp,,i,C,49.32,-0.07
2016-11-11,13238459,49.32,,49.29,,2017-10-10,,-0.14,0,2,2017-11-13T12:22:00-06:00,0,49.06,1.54,2016-12-02,2017-11-13T13:06:59-06:00,70000,24.79,53.14,49.06,0.76,,ORCL,,49.25,BATS,2017-09-14,49.24,0,2017-11-10,37.64,,4173490,49.25,30000,-,9,121215,12479291,Oracle Corp,,i,C,49.32,-0.07
2016-11-11,13238459,49.32,,49.29,,2017-10-10,,-0.14,0,2,2017-11-13T12:22:17-06:00,0,49.06,1.54,2016-12-02,2017-11-13T13:06:59-06:00,60000,24.79,53.14,49.06,0.76,,ORCL,,49.25,BATS,2017-09-14,49.24,0,2017-11-10,37.64,,4173490,49.25,30000,-,9,121215,12479291,Oracle Corp,,i,C,49.32,-0.07
