twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,1477962,184.81,,184.77,,2017-10-11,,-0.27,0,2,2017-11-13T12:17:29-06:00,0,184.16,1.72,2016-12-12,2017-11-13T13:01:42-06:00,10000,24.21,190.25,183.96,3.19,,RTN,,184.31,BATS,2017-10-26,184.28,0,2017-11-10,137.7,,289090,184.36,10000,.,17,31155,1493023,Raytheon Company,,i,C,184.81,-0.5
2016-11-11,1477962,184.81,,184.77,,2017-10-11,,-0.27,0,2,2017-11-13T12:17:29-06:00,0,184.16,1.72,2016-12-12,2017-11-13T13:01:42-06:00,10000,24.21,190.25,183.96,3.19,,RTN,,184.31,BATS,2017-10-26,184.28,0,2017-11-10,137.7,,289090,184.36,10000,.,17,31155,1493023,Raytheon Company,,i,C,184.81,-0.5
2016-11-11,1477962,184.81,,184.77,,2017-10-11,,-0.27,0,2,2017-11-13T12:18:31-06:00,0,184.16,1.72,2016-12-12,2017-11-13T13:01:42-06:00,10000,24.21,190.25,183.96,3.19,,RTN,,184.31,BATS,2017-10-26,184.29,0,2017-11-10,137.7,,289090,184.35,10000,.,17,31155,1493023,Raytheon Company,,i,C,184.81,-0.5
2016-11-11,1478026,184.81,,184.77,,2017-10-11,,-0.27,0,2,2017-11-13T12:18:31-06:00,0,184.16,1.72,2016-12-12,2017-11-13T13:01:42-06:00,10000,24.32,190.25,183.96,3.19,,RTN,,184.31,BATS,2017-10-26,184.29,0,2017-11-10,137.7,,289090,184.35,10000,.,17,31155,1493730,Raytheon Company,,i,C,184.81,-0.5
2016-11-11,1478026,184.81,,184.77,,2017-10-11,,-0.28,0,2,2017-11-13T12:19:53-06:00,0,184.16,1.72,2016-12-12,2017-11-13T13:04:53-06:00,20000,24.32,190.25,183.96,3.19,,RTN,,184.3,BATS,2017-10-26,184.27,0,2017-11-10,137.7,,289090,184.34,10000,-,100,31555,1493730,Raytheon Company,,i,C,184.81,-0.51
2016-11-11,1478026,184.81,,184.77,,2017-10-11,,-0.25,0,2,2017-11-13T12:20:28-06:00,0,184.16,1.72,2016-12-12,2017-11-13T13:05:12-06:00,10000,24.32,190.25,183.96,3.19,,RTN,,184.34,BATS,2017-10-26,184.31,0,2017-11-10,137.7,,289090,184.8,10000,+,200,31755,1493730,Raytheon Company,,i,C,184.81,-0.47
2016-11-11,1478026,184.81,,184.77,,2017-10-11,,-0.25,0,2,2017-11-13T12:21:02-06:00,0,184.16,1.72,2016-12-12,2017-11-13T13:05:12-06:00,10000,24.32,190.25,183.96,3.19,,RTN,,184.34,BATS,2017-10-26,184.31,0,2017-11-10,137.7,,289090,184.8,20000,+,200,31755,1493730,Raytheon Company,,i,C,184.81,-0.47
2016-11-11,1478026,184.81,,184.77,,2017-10-11,,-0.24,0,2,2017-11-13T12:21:31-06:00,0,184.16,1.72,2016-12-12,2017-11-13T13:06:21-06:00,10000,24.32,190.25,183.96,3.19,,RTN,,184.37,BATS,2017-10-26,184.37,0,2017-11-10,137.7,,289090,184.43,2000,.,100,32055,1493730,Raytheon Company,,i,C,184.81,-0.44
2016-11-11,1478026,184.81,,184.77,,2017-10-11,,-0.25,0,2,2017-11-13T12:22:00-06:00,0,184.16,1.72,2016-12-12,2017-11-13T13:06:59-06:00,10000,24.32,190.25,183.96,3.19,,RTN,,184.35,BATS,2017-10-26,184.32,0,2017-11-10,137.7,,289090,184.37,10000,-,100,32175,1493730,Raytheon Company,,i,C,184.81,-0.46
2016-11-11,1478026,184.81,,184.77,,2017-10-11,,-0.25,0,2,2017-11-13T12:22:22-06:00,0,184.16,1.72,2016-12-12,2017-11-13T13:06:59-06:00,10000,24.32,190.25,183.96,3.19,,RTN,,184.35,BATS,2017-10-26,184.32,0,2017-11-10,137.7,,289090,184.43,10000,-,100,32175,1493730,Raytheon Company,,i,C,184.81,-0.46
