twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,2820775,6.77,,6.99,,2017-09-14,,2.36,0,2,2017-11-13T13:55:55-06:00,0,6.93,30.15,2017-11-10,2017-11-13T14:40:55-06:00,370000,-85.47,57.3,6.8,2.4,,FTR,,6.93,BATS,2017-01-06,6.93,0,2017-11-10,6.72,,78460,6.94,218000,.,367,130126,4332918,Frontier Commun Cp,,i,C,6.77,0.16
2016-11-11,2820775,6.77,,6.99,,2017-09-14,,2.36,0,2,2017-11-13T13:56:34-06:00,0,6.93,30.15,2017-11-10,2017-11-13T14:40:55-06:00,360000,-85.47,57.3,6.8,2.4,,FTR,,6.93,BATS,2017-01-06,6.93,0,2017-11-10,6.72,,78460,6.94,208000,.,367,130126,4332918,Frontier Commun Cp,,i,C,6.77,0.16
2016-11-11,2820775,6.77,,6.99,,2017-09-14,,2.36,0,2,2017-11-13T13:57:21-06:00,0,6.93,30.15,2017-11-10,2017-11-13T14:40:55-06:00,350000,-85.47,57.3,6.8,2.4,,FTR,,6.93,BATS,2017-01-06,6.93,0,2017-11-10,6.72,,78460,6.94,248000,.,367,130126,4332918,Frontier Commun Cp,,i,C,6.77,0.16
2016-11-11,2820775,6.77,,6.99,,2017-09-14,,2.36,0,2,2017-11-13T13:57:52-06:00,0,6.93,30.15,2017-11-10,2017-11-13T14:42:52-06:00,390000,-85.47,57.3,6.8,2.4,,FTR,,6.93,BATS,2017-01-06,6.93,0,2017-11-10,6.72,,78460,6.94,258000,.,200,130326,4332918,Frontier Commun Cp,,i,C,6.77,0.16
2016-11-11,2820775,6.77,,6.99,,2017-09-14,,2.36,0,2,2017-11-13T13:58:36-06:00,0,6.93,30.15,2017-11-10,2017-11-13T14:42:52-06:00,460000,-85.47,57.3,6.8,2.4,,FTR,,6.93,BATS,2017-01-06,6.93,0,2017-11-10,6.72,,78460,6.94,248000,.,200,130326,4332918,Frontier Commun Cp,,i,C,6.77,0.16
2016-11-11,2820775,6.77,,6.99,,2017-09-14,,2.36,0,2,2017-11-13T13:59:16-06:00,0,6.93,30.15,2017-11-10,2017-11-13T14:42:52-06:00,470000,-85.47,57.3,6.8,2.4,,FTR,,6.93,BATS,2017-01-06,6.93,0,2017-11-10,6.72,,78460,6.94,120000,.,200,130326,4332918,Frontier Commun Cp,,i,C,6.77,0.16
2016-11-11,2820775,6.77,,6.99,,2017-09-14,,2.36,0,2,2017-11-13T13:59:35-06:00,0,6.93,30.15,2017-11-10,2017-11-13T14:42:52-06:00,480000,-85.47,57.3,6.8,2.4,,FTR,,6.93,BATS,2017-01-06,6.93,0,2017-11-10,6.72,,78460,6.94,120000,.,200,130326,4332918,Frontier Commun Cp,,i,C,6.77,0.16
2016-11-11,2820775,6.77,,6.99,,2017-09-14,,2.36,0,2,2017-11-13T14:00:19-06:00,0,6.93,30.15,2017-11-10,2017-11-13T14:42:52-06:00,460000,-85.47,57.3,6.8,2.4,,FTR,,6.93,BATS,2017-01-06,6.93,0,2017-11-10,6.72,,78460,6.94,120000,.,200,130326,4332918,Frontier Commun Cp,,i,C,6.77,0.16
2016-11-11,2820775,6.77,,6.99,,2017-09-14,,2.36,0,2,2017-11-13T14:00:19-06:00,0,6.93,30.15,2017-11-10,2017-11-13T14:42:52-06:00,460000,-85.47,57.3,6.8,2.4,,FTR,,6.93,BATS,2017-01-06,6.93,0,2017-11-10,6.72,,78460,6.94,120000,.,200,130326,4332918,Frontier Commun Cp,,i,C,6.77,0.16
2016-11-11,2820775,6.77,,6.99,,2017-09-14,,2.36,0,2,2017-11-13T14:00:19-06:00,0,6.93,30.15,2017-11-10,2017-11-13T14:42:52-06:00,460000,-85.47,57.3,6.8,2.4,,FTR,,6.93,BATS,2017-01-06,6.93,0,2017-11-10,6.72,,78460,6.94,120000,.,200,130326,4332918,Frontier Commun Cp,,i,C,6.77,0.16
2016-11-11,2820775,6.77,,6.99,,2017-09-14,,2.36,0,2,2017-11-13T14:01:32-06:00,0,6.93,30.15,2017-11-10,2017-11-13T14:42:52-06:00,490000,-85.47,57.3,6.8,2.4,,FTR,,6.93,BATS,2017-01-06,6.93,0,2017-11-10,6.72,,78460,6.94,120000,.,200,130326,4332918,Frontier Commun Cp,,i,C,6.77,0.16
2016-11-11,2820775,6.77,,6.99,,2017-09-14,,2.36,0,2,2017-11-13T14:01:39-06:00,0,6.93,30.15,2017-11-10,2017-11-13T14:42:52-06:00,500000,-85.47,57.3,6.8,2.4,,FTR,,6.93,BATS,2017-01-06,6.93,0,2017-11-10,6.72,,78460,6.94,120000,.,200,130326,4332918,Frontier Commun Cp,,i,C,6.77,0.16
2016-11-11,2820775,6.77,,6.99,,2017-09-14,,2.36,0,2,2017-11-13T14:01:38-06:00,0,6.93,30.15,2017-11-10,2017-11-13T14:42:52-06:00,500000,-85.47,57.3,6.8,2.4,,FTR,,6.93,BATS,2017-01-06,6.93,0,2017-11-10,6.72,,78460,6.94,120000,.,200,130326,4332918,Frontier Commun Cp,,i,C,6.77,0.16
2016-11-11,2820775,6.77,,6.99,,2017-09-14,,2.36,0,2,2017-11-13T14:03:13-06:00,0,6.93,30.15,2017-11-10,2017-11-13T14:42:52-06:00,510000,-85.47,57.3,6.8,2.4,,FTR,,6.93,BATS,2017-01-06,6.93,0,2017-11-10,6.72,,78460,6.94,120000,.,200,130326,4332918,Frontier Commun Cp,,i,C,6.77,0.16
2016-11-11,2820775,6.77,,6.99,,2017-09-14,,2.36,0,2,2017-11-13T14:04:27-06:00,0,6.93,30.15,2017-11-10,2017-11-13T14:48:25-06:00,480000,-85.47,57.3,6.8,2.4,,FTR,,6.93,BATS,2017-01-06,6.93,0,2017-11-10,6.72,,78460,6.94,150000,.,100,131026,4332918,Frontier Commun Cp,,i,C,6.77,0.16
2016-11-11,2821067,6.77,,6.99,,2017-09-14,,2.36,0,2,2017-11-13T14:04:53-06:00,0,6.93,30.15,2017-11-10,2017-11-13T14:48:25-06:00,490000,-85.47,57.3,6.8,2.4,,FTR,,6.93,BATS,2017-01-06,6.93,0,2017-11-10,6.72,,78460,6.94,160000,.,100,131026,4336116,Frontier Commun Cp,,i,C,6.77,0.16
