twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,41946883,20.49,,21.03,,2017-09-15,,-8.05,0,2,2017-11-13T13:56:08-06:00,0,20.72,4.8,2017-11-13,2017-11-13T14:41:03-06:00,124600,-38.71,32.38,18.8,0.96,,GE,,18.84,BATS,2016-12-20,18.84,0,2017-11-10,18.8,,8672080,18.85,500000,.,100,7819659,95125797,General Electric Company,,i,C,20.49,-1.65
2016-11-11,41946883,20.49,,21.03,,2017-09-15,,-8.05,0,2,2017-11-13T13:56:56-06:00,0,20.72,4.8,2017-11-13,2017-11-13T14:41:54-06:00,374600,-38.71,32.38,18.8,0.96,,GE,,18.84,BATS,2016-12-20,18.84,0,2017-11-10,18.8,,8672080,18.85,495800,.,100,7828649,95125797,General Electric Company,,i,C,20.49,-1.65
2016-11-11,41946883,20.49,,21.03,,2017-09-15,,-8.05,0,2,2017-11-13T13:57:22-06:00,0,20.72,4.8,2017-11-13,2017-11-13T14:42:20-06:00,484600,-38.71,32.38,18.8,0.96,,GE,,18.84,BATS,2016-12-20,18.84,0,2017-11-10,18.8,,8672080,18.85,505800,.,400,7830585,95125797,General Electric Company,,i,C,20.49,-1.65
2016-11-11,41946883,20.49,,21.03,,2017-09-15,,-8.1,0,2,2017-11-13T13:58:09-06:00,0,20.72,4.8,2017-11-13,2017-11-13T14:43:04-06:00,959700,-38.71,32.38,18.8,0.96,,GE,,18.83,BATS,2016-12-20,18.83,0,2017-11-10,18.8,,8672080,18.84,210000,+,100,7847064,95125797,General Electric Company,,i,C,20.49,-1.66
2016-11-11,41946883,20.49,,21.03,,2017-09-15,,-8.15,0,2,2017-11-13T13:58:42-06:00,0,20.72,4.8,2017-11-13,2017-11-13T14:43:42-06:00,734600,-38.71,32.38,18.8,0.96,,GE,,18.82,BATS,2016-12-20,18.82,0,2017-11-10,18.8,,8672080,18.83,360000,-,2000,7853264,95125797,General Electric Company,,i,C,20.49,-1.67
2016-11-11,41946883,20.49,,21.03,,2017-09-15,,-8.1,0,2,2017-11-13T13:59:27-06:00,0,20.72,4.8,2017-11-13,2017-11-13T14:44:24-06:00,369700,-38.71,32.38,18.8,0.96,,GE,,18.83,BATS,2016-12-20,18.83,0,2017-11-10,18.8,,8672080,18.84,1080000,.,100,7863481,95125797,General Electric Company,,i,C,20.49,-1.66
2016-11-11,41946883,20.49,,21.03,,2017-09-15,,-8.1,0,2,2017-11-13T13:59:53-06:00,0,20.72,4.8,2017-11-13,2017-11-13T14:44:53-06:00,469700,-38.71,32.38,18.8,0.96,,GE,,18.83,BATS,2016-12-20,18.83,0,2017-11-10,18.8,,8672080,18.84,690200,.,1100,7874507,95125797,General Electric Company,,i,C,20.49,-1.66
2016-11-11,41946883,20.49,,21.03,,2017-09-15,,-8.05,0,2,2017-11-13T14:00:21-06:00,0,20.72,4.8,2017-11-13,2017-11-13T14:45:09-06:00,230000,-38.71,32.38,18.8,0.96,,GE,,18.84,BATS,2016-12-20,18.83,0,2017-11-10,18.8,,8672080,18.84,2920000,.,100,7879153,95125797,General Electric Company,,i,C,20.49,-1.65
2016-11-11,41946883,20.49,,21.03,,2017-09-15,,-8.05,0,2,2017-11-13T14:00:45-06:00,0,20.72,4.8,2017-11-13,2017-11-13T14:45:30-06:00,324600,-38.71,32.38,18.8,0.96,,GE,,18.84,BATS,2016-12-20,18.83,0,2017-11-10,18.8,,8672080,18.84,866200,.,100,7898099,95125797,General Electric Company,,i,C,20.49,-1.65
2016-11-11,41946883,20.49,,21.03,,2017-09-15,,-8,0,2,2017-11-13T14:01:12-06:00,0,20.72,4.8,2017-11-13,2017-11-13T14:46:11-06:00,650000,-38.71,32.38,18.8,0.96,,GE,,18.85,BATS,2016-12-20,18.84,0,2017-11-10,18.8,,8672080,18.85,1100000,.,400,7923655,95125797,General Electric Company,,i,C,20.49,-1.64
