twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,5922362,139.56,,139.89,,2017-08-25,,0.22,0,2,2017-11-13T13:56:08-06:00,0,139.5,2.39,2016-12-07,2017-11-13T14:41:00-06:00,10000,18.07,144.35,138.45,3.36,,JNJ,,139.87,BATS,2017-10-23,139.86,0,2017-11-10,109.32,,2686520,139.87,20000,-,100,119357,5452813,Johnson & Johnson,,i,C,139.56,0.31
2016-11-11,5922362,139.56,,139.89,,2017-08-25,,0.21,0,2,2017-11-13T13:56:45-06:00,0,139.5,2.39,2016-12-07,2017-11-13T14:41:33-06:00,10000,18.07,144.35,138.45,3.36,,JNJ,,139.85,BATS,2017-10-23,139.84,0,2017-11-10,109.32,,2686520,139.85,10000,-,100,119657,5452813,Johnson & Johnson,,i,C,139.56,0.29
2016-11-11,5922362,139.56,,139.89,,2017-08-25,,0.21,0,2,2017-11-13T13:57:17-06:00,0,139.5,2.39,2016-12-07,2017-11-13T14:42:16-06:00,10000,18.07,144.35,138.45,3.36,,JNJ,,139.85,BATS,2017-10-23,139.85,0,2017-11-10,109.32,,2686520,139.89,10000,.,100,119757,5452813,Johnson & Johnson,,i,C,139.56,0.29
2016-11-11,5922362,139.56,,139.89,,2017-08-25,,0.21,0,2,2017-11-13T13:57:50-06:00,0,139.5,2.39,2016-12-07,2017-11-13T14:42:16-06:00,10000,18.07,144.35,138.45,3.36,,JNJ,,139.85,BATS,2017-10-23,139.87,0,2017-11-10,109.32,,2686520,139.88,30000,.,100,119757,5452813,Johnson & Johnson,,i,C,139.56,0.29
2016-11-11,5922362,139.56,,139.89,,2017-08-25,,0.22,0,2,2017-11-13T13:58:43-06:00,0,139.5,2.39,2016-12-07,2017-11-13T14:43:39-06:00,10000,18.07,144.35,138.45,3.36,,JNJ,,139.87,BATS,2017-10-23,139.87,0,2017-11-10,109.32,,2686520,139.88,20000,.,100,120157,5452813,Johnson & Johnson,,i,C,139.56,0.31
2016-11-11,5922362,139.56,,139.89,,2017-08-25,,0.22,0,2,2017-11-13T13:59:29-06:00,0,139.5,2.39,2016-12-07,2017-11-13T14:44:00-06:00,10000,18.07,144.35,138.45,3.36,,JNJ,,139.87,BATS,2017-10-23,139.86,0,2017-11-10,109.32,,2686520,139.87,20000,.,200,120357,5452813,Johnson & Johnson,,i,C,139.56,0.31
2016-11-11,5922362,139.56,,139.89,,2017-08-25,,0.22,0,2,2017-11-13T13:59:52-06:00,0,139.5,2.39,2016-12-07,2017-11-13T14:44:52-06:00,9500,18.07,144.35,138.45,3.36,,JNJ,,139.87,BATS,2017-10-23,139.86,0,2017-11-10,109.32,,2686520,139.87,20000,.,5,120362,5452813,Johnson & Johnson,,i,C,139.56,0.31
2016-11-11,5922362,139.56,,139.89,,2017-08-25,,0.22,0,2,2017-11-13T14:00:12-06:00,0,139.5,2.39,2016-12-07,2017-11-13T14:44:52-06:00,19500,18.07,144.35,138.45,3.36,,JNJ,,139.87,BATS,2017-10-23,139.86,0,2017-11-10,109.32,,2686520,139.87,30000,.,5,120362,5452813,Johnson & Johnson,,i,C,139.56,0.31
2016-11-11,5922362,139.56,,139.89,,2017-08-25,,0.22,0,2,2017-11-13T14:00:48-06:00,0,139.5,2.39,2016-12-07,2017-11-13T14:45:22-06:00,19500,18.07,144.35,138.45,3.36,,JNJ,,139.87,BATS,2017-10-23,139.86,0,2017-11-10,109.32,,2686520,139.87,30000,.,5,120462,5452813,Johnson & Johnson,,i,C,139.56,0.31
2016-11-11,5922362,139.56,,139.89,,2017-08-25,,0.22,0,2,2017-11-13T14:01:09-06:00,0,139.5,2.39,2016-12-07,2017-11-13T14:45:22-06:00,29500,18.07,144.35,138.45,3.36,,JNJ,,139.87,BATS,2017-10-23,139.86,0,2017-11-10,109.32,,2686520,139.87,30000,.,5,120462,5452813,Johnson & Johnson,,i,C,139.56,0.31
2016-11-11,5922362,139.56,,139.89,,2017-08-25,,0.21,0,2,2017-11-13T14:01:37-06:00,0,139.5,2.39,2016-12-07,2017-11-13T14:46:34-06:00,20000,18.07,144.35,138.45,3.36,,JNJ,,139.85,BATS,2017-10-23,139.84,0,2017-11-10,109.32,,2686520,139.85,20000,-,100,120862,5452813,Johnson & Johnson,,i,C,139.56,0.29
