twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,4911091,25,,25.5,,2017-08-30,,1.44,0,2,2017-11-13T13:55:59-06:00,0,24.89,1.58,2017-10-25,2017-11-13T14:40:27-06:00,70000,-0.18,30.96,24.87,0.4,,JNPR,,25.36,BATS,2017-05-02,25.35,0,2017-11-10,23.87,,374930,25.36,70000,-,200,254753,6406150,Juniper Networks,,i,C,25,0.36
2016-11-11,4911091,25,,25.5,,2017-08-30,,1.44,0,2,2017-11-13T13:56:55-06:00,0,24.89,1.58,2017-10-25,2017-11-13T14:41:41-06:00,30000,-0.18,30.96,24.87,0.4,,JNPR,,25.36,BATS,2017-05-02,25.36,0,2017-11-10,23.87,,374930,25.37,60000,.,100,256953,6406150,Juniper Networks,,i,C,25,0.36
2016-11-11,4911091,25,,25.5,,2017-08-30,,1.48,0,2,2017-11-13T13:57:16-06:00,0,24.89,1.58,2017-10-25,2017-11-13T14:42:04-06:00,19800,-0.18,30.96,24.87,0.4,,JNPR,,25.37,BATS,2017-05-02,25.37,0,2017-11-10,23.87,,374930,25.38,80000,-,100,257853,6406150,Juniper Networks,,i,C,25,0.37
2016-11-11,4911091,25,,25.5,,2017-08-30,,1.52,0,2,2017-11-13T13:58:08-06:00,0,24.89,1.58,2017-10-25,2017-11-13T14:43:08-06:00,30000,-0.18,30.96,24.87,0.4,,JNPR,,25.38,BATS,2017-05-02,25.37,0,2017-11-10,23.87,,374930,25.38,90000,.,100,258553,6406150,Juniper Networks,,i,C,25,0.38
2016-11-11,4911091,25,,25.5,,2017-08-30,,1.52,0,2,2017-11-13T13:58:41-06:00,0,24.89,1.58,2017-10-25,2017-11-13T14:43:37-06:00,90000,-0.18,30.96,24.87,0.4,,JNPR,,25.38,BATS,2017-05-02,25.37,0,2017-11-10,23.87,,374930,25.39,100000,.,49,258753,6406150,Juniper Networks,,i,C,25,0.38
2016-11-11,4911091,25,,25.5,,2017-08-30,,1.52,0,2,2017-11-13T13:59:27-06:00,0,24.89,1.58,2017-10-25,2017-11-13T14:43:45-06:00,50000,-0.18,30.96,24.87,0.4,,JNPR,,25.38,BATS,2017-05-02,25.37,0,2017-11-10,23.87,,374930,25.38,50000,.,100,258853,6406150,Juniper Networks,,i,C,25,0.38
2016-11-11,4911091,25,,25.5,,2017-08-30,,1.52,0,2,2017-11-13T13:59:51-06:00,0,24.89,1.58,2017-10-25,2017-11-13T14:43:45-06:00,70000,-0.18,30.96,24.87,0.4,,JNPR,,25.38,BATS,2017-05-02,25.37,0,2017-11-10,23.87,,374930,25.38,50000,.,100,258853,6406150,Juniper Networks,,i,C,25,0.38
2016-11-11,4911091,25,,25.5,,2017-08-30,,1.52,0,2,2017-11-13T14:00:17-06:00,0,24.89,1.58,2017-10-25,2017-11-13T14:43:45-06:00,50000,-0.18,30.96,24.87,0.4,,JNPR,,25.38,BATS,2017-05-02,25.37,0,2017-11-10,23.87,,374930,25.38,50000,.,100,258853,6406150,Juniper Networks,,i,C,25,0.38
2016-11-11,4911091,25,,25.5,,2017-08-30,,1.52,0,2,2017-11-13T14:00:24-06:00,0,24.89,1.58,2017-10-25,2017-11-13T14:43:45-06:00,130000,-0.18,30.96,24.87,0.4,,JNPR,,25.38,BATS,2017-05-02,25.37,0,2017-11-10,23.87,,374930,25.38,50000,.,100,258853,6406150,Juniper Networks,,i,C,25,0.38
2016-11-11,4911091,25,,25.5,,2017-08-30,,1.48,0,2,2017-11-13T14:01:06-06:00,0,24.89,1.58,2017-10-25,2017-11-13T14:45:57-06:00,140000,-0.18,30.96,24.87,0.4,,JNPR,,25.37,BATS,2017-05-02,25.36,0,2017-11-10,23.87,,374930,25.37,60000,-,100,259253,6406150,Juniper Networks,,i,C,25,0.37
