twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,4506253,43.04,,43.26,,2017-09-01,,-4.37,0,2,2017-11-13T13:55:39-06:00,0,42.81,5.34,2017-06-06,2017-11-13T14:40:23-06:00,10000,-22.64,59.67,40.92,2.2,,KSS,,41.16,BATS,2016-12-08,41.16,0,2017-11-10,35.16,,168580,41.17,10000,-,100,135396,5064045,Kohl's Corp,,i,C,43.04,-1.88
2016-11-11,4506253,43.04,,43.26,,2017-09-01,,-4.34,0,2,2017-11-13T13:56:55-06:00,0,42.81,5.34,2017-06-06,2017-11-13T14:41:54-06:00,10000,-22.64,59.67,40.92,2.2,,KSS,,41.17,BATS,2016-12-08,41.16,0,2017-11-10,35.16,,168580,41.18,10000,.,10,135596,5064045,Kohl's Corp,,i,C,43.04,-1.87
2016-11-11,4506253,43.04,,43.26,,2017-09-01,,-4.34,0,2,2017-11-13T13:57:04-06:00,0,42.81,5.34,2017-06-06,2017-11-13T14:41:54-06:00,20000,-22.64,59.67,40.92,2.2,,KSS,,41.17,BATS,2016-12-08,41.16,0,2017-11-10,35.16,,168580,41.17,10000,.,10,135596,5064045,Kohl's Corp,,i,C,43.04,-1.87
2016-11-11,4506253,43.04,,43.26,,2017-09-01,,-4.34,0,2,2017-11-13T13:57:51-06:00,0,42.81,5.34,2017-06-06,2017-11-13T14:41:54-06:00,20000,-22.64,59.67,40.92,2.2,,KSS,,41.17,BATS,2016-12-08,41.16,0,2017-11-10,35.16,,168580,41.17,40000,.,10,135596,5064045,Kohl's Corp,,i,C,43.04,-1.87
2016-11-11,4506253,43.04,,43.26,,2017-09-01,,-4.39,0,2,2017-11-13T13:58:38-06:00,0,42.81,5.34,2017-06-06,2017-11-13T14:43:27-06:00,10000,-22.64,59.67,40.92,2.2,,KSS,,41.15,BATS,2016-12-08,41.14,0,2017-11-10,35.16,,168580,41.15,10000,-,100,136301,5064045,Kohl's Corp,,i,C,43.04,-1.89
2016-11-11,4506253,43.04,,43.26,,2017-09-01,,-4.41,0,2,2017-11-13T13:59:29-06:00,0,42.81,5.34,2017-06-06,2017-11-13T14:44:27-06:00,10000,-22.64,59.67,40.92,2.2,,KSS,,41.14,BATS,2016-12-08,41.14,0,2017-11-10,35.16,,168580,41.18,12000,.,84,137421,5064045,Kohl's Corp,,i,C,43.04,-1.9
2016-11-11,4506253,43.04,,43.26,,2017-09-01,,-4.41,0,2,2017-11-13T13:59:53-06:00,0,42.81,5.34,2017-06-06,2017-11-13T14:44:27-06:00,10000,-22.64,59.67,40.92,2.2,,KSS,,41.14,BATS,2016-12-08,41.14,0,2017-11-10,35.16,,168580,41.17,10000,.,84,137421,5064045,Kohl's Corp,,i,C,43.04,-1.9
2016-11-11,4506253,43.04,,43.26,,2017-09-01,,-4.34,0,2,2017-11-13T14:00:22-06:00,0,42.81,5.34,2017-06-06,2017-11-13T14:45:22-06:00,10000,-22.64,59.67,40.92,2.2,,KSS,,41.17,BATS,2016-12-08,41.17,0,2017-11-10,35.16,,168580,41.18,2000,+,100,137521,5064045,Kohl's Corp,,i,C,43.04,-1.87
2016-11-11,4506253,43.04,,43.26,,2017-09-01,,-4.34,0,2,2017-11-13T14:00:47-06:00,0,42.81,5.34,2017-06-06,2017-11-13T14:45:22-06:00,10000,-22.64,59.67,40.92,2.2,,KSS,,41.17,BATS,2016-12-08,41.16,0,2017-11-10,35.16,,168580,41.17,10000,+,100,137521,5064045,Kohl's Corp,,i,C,43.04,-1.87
2016-11-11,4506253,43.04,,43.26,,2017-09-01,,-4.37,0,2,2017-11-13T14:01:02-06:00,0,42.81,5.34,2017-06-06,2017-11-13T14:45:51-06:00,10000,-22.64,59.67,40.92,2.2,,KSS,,41.16,BATS,2016-12-08,41.15,0,2017-11-10,35.16,,168580,41.16,10000,.,5,137626,5064045,Kohl's Corp,,i,C,43.04,-1.88
2016-11-11,4506253,43.04,,43.26,,2017-09-01,,-4.41,0,2,2017-11-13T14:01:37-06:00,0,42.81,5.34,2017-06-06,2017-11-13T14:46:34-06:00,10000,-22.64,59.67,40.92,2.2,,KSS,,41.14,BATS,2016-12-08,41.11,0,2017-11-10,35.16,,168580,41.14,160000,.,100,138246,5064045,Kohl's Corp,,i,C,43.04,-1.9
2016-11-11,4506253,43.04,,43.26,,2017-09-01,,-4.41,0,2,2017-11-13T14:02:00-06:00,0,42.81,5.34,2017-06-06,2017-11-13T14:46:34-06:00,10000,-22.64,59.67,40.92,2.2,,KSS,,41.14,BATS,2016-12-08,41.13,0,2017-11-10,35.16,,168580,41.15,10000,.,100,138246,5064045,Kohl's Corp,,i,C,43.04,-1.9
2016-11-11,4506253,43.04,,43.26,,2017-09-01,,-4.44,0,2,2017-11-13T14:02:40-06:00,0,42.81,5.34,2017-06-06,2017-11-13T14:47:39-06:00,30000,-22.64,59.67,40.92,2.2,,KSS,,41.13,BATS,2016-12-08,41.11,0,2017-11-10,35.16,,168580,41.14,170000,.,100,138741,5064045,Kohl's Corp,,i,C,43.04,-1.91
2016-11-11,4506253,43.04,,43.26,,2017-09-01,,-4.44,0,2,2017-11-13T14:03:13-06:00,0,42.81,5.34,2017-06-06,2017-11-13T14:47:39-06:00,20000,-22.64,59.67,40.92,2.2,,KSS,,41.13,BATS,2016-12-08,41.12,0,2017-11-10,35.16,,168580,41.14,10000,.,100,138741,5064045,Kohl's Corp,,i,C,43.04,-1.91
2016-11-11,4506253,43.04,,43.26,,2017-09-01,,-4.51,0,2,2017-11-13T14:04:27-06:00,0,42.81,5.34,2017-06-06,2017-11-13T14:49:00-06:00,40000,-22.64,59.67,40.92,2.2,,KSS,,41.1,BATS,2016-12-08,41.07,0,2017-11-10,35.16,,168580,41.09,10000,-,100,140079,5064045,Kohl's Corp,,i,C,43.04,-1.94
2016-11-11,4507026,43.04,,43.26,,2017-09-01,,-4.55,0,2,2017-11-13T14:04:55-06:00,0,42.81,5.34,2017-06-06,2017-11-13T14:49:55-06:00,29500,-22.9,59.67,40.92,2.2,,KSS,,41.08,BATS,2016-12-08,41.06,0,2017-11-10,35.16,,168580,41.08,30000,+,5,140284,5072514,Kohl's Corp,,i,C,43.04,-1.96
2016-11-11,4507026,43.04,,43.26,,2017-09-01,,-4.51,0,2,2017-11-13T14:05:20-06:00,0,42.81,5.34,2017-06-06,2017-11-13T14:50:19-06:00,10000,-22.9,59.67,40.92,2.2,,KSS,,41.1,BATS,2016-12-08,41.09,0,2017-11-10,35.16,,168580,41.11,10000,.,100,141079,5072514,Kohl's Corp,,i,C,43.04,-1.94
