twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,1567240,35.84,,36.62,,,,2.06,0,2,2017-11-13T13:56:14-06:00,0,35.74,0,2017-05-31,2017-11-13T14:41:14-06:00,10000,16.56,38.82,35.73,0,,PWR,,36.58,BATS,2017-02-22,36.57,0,2017-11-10,30.23,,154720,36.59,20000,-,100,76569,1260503,Quanta Services,,i,C,35.84,0.74
2016-11-11,1567240,35.84,,36.62,,,,2.01,0,2,2017-11-13T13:56:59-06:00,0,35.74,0,2017-05-31,2017-11-13T14:41:59-06:00,10000,16.56,38.82,35.73,0,,PWR,,36.56,BATS,2017-02-22,36.55,0,2017-11-10,30.23,,154720,36.56,10000,-,100,76669,1260503,Quanta Services,,i,C,35.84,0.72
2016-11-11,1567240,35.84,,36.62,,,,2.01,0,2,2017-11-13T13:57:24-06:00,0,35.74,0,2017-05-31,2017-11-13T14:41:59-06:00,10000,16.56,38.82,35.73,0,,PWR,,36.56,BATS,2017-02-22,36.55,0,2017-11-10,30.23,,154720,36.57,20000,-,100,76669,1260503,Quanta Services,,i,C,35.84,0.72
2016-11-11,1567240,35.84,,36.62,,,,2.01,0,2,2017-11-13T13:58:08-06:00,0,35.74,0,2017-05-31,2017-11-13T14:43:02-06:00,10000,16.56,38.82,35.73,0,,PWR,,36.56,BATS,2017-02-22,36.55,0,2017-11-10,30.23,,154720,36.57,20000,.,30,76699,1260503,Quanta Services,,i,C,35.84,0.72
2016-11-11,1567240,35.84,,36.62,,,,1.93,0,2,2017-11-13T13:58:47-06:00,0,35.74,0,2017-05-31,2017-11-13T14:43:39-06:00,20000,16.56,38.82,35.73,0,,PWR,,36.53,BATS,2017-02-22,36.51,0,2017-11-10,30.23,,154720,36.52,10000,-,100,77529,1260503,Quanta Services,,i,C,35.84,0.69
2016-11-11,1567240,35.84,,36.62,,,,1.93,0,2,2017-11-13T13:59:35-06:00,0,35.74,0,2017-05-31,2017-11-13T14:44:27-06:00,10000,16.56,38.82,35.73,0,,PWR,,36.53,BATS,2017-02-22,36.52,0,2017-11-10,30.23,,154720,36.55,10000,.,100,78189,1260503,Quanta Services,,i,C,35.84,0.69
2016-11-11,1567240,35.84,,36.62,,,,1.93,0,2,2017-11-13T13:59:44-06:00,0,35.74,0,2017-05-31,2017-11-13T14:44:27-06:00,10000,16.56,38.82,35.73,0,,PWR,,36.53,BATS,2017-02-22,36.53,0,2017-11-10,30.23,,154720,36.55,10000,.,100,78189,1260503,Quanta Services,,i,C,35.84,0.69
2016-11-11,1567240,35.84,,36.62,,,,1.93,0,2,2017-11-13T14:00:06-06:00,0,35.74,0,2017-05-31,2017-11-13T14:44:27-06:00,20000,16.56,38.82,35.73,0,,PWR,,36.53,BATS,2017-02-22,36.53,0,2017-11-10,30.23,,154720,36.55,10000,.,100,78189,1260503,Quanta Services,,i,C,35.84,0.69
2016-11-11,1567240,35.84,,36.62,,,,2.04,0,2,2017-11-13T14:00:50-06:00,0,35.74,0,2017-05-31,2017-11-13T14:45:50-06:00,10000,16.56,38.82,35.73,0,,PWR,,36.57,BATS,2017-02-22,36.56,0,2017-11-10,30.23,,154720,36.57,10000,.,10,78609,1260503,Quanta Services,,i,C,35.84,0.73
2016-11-11,1567240,35.84,,36.62,,,,1.98,0,2,2017-11-13T14:01:16-06:00,0,35.74,0,2017-05-31,2017-11-13T14:46:14-06:00,20000,16.56,38.82,35.73,0,,PWR,,36.55,BATS,2017-02-22,36.52,0,2017-11-10,30.23,,154720,36.55,10000,-,1,79210,1260503,Quanta Services,,i,C,35.84,0.71
