twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-11,1644268,67.92,,68.23,,2017-11-13,,0.28,0,2,2017-11-13T13:55:55-06:00,0,67.56,3.05,2016-11-14,2017-11-13T14:39:41-06:00,20000,23.93,68.67,67.53,2.08,,WEC,,68.11,BATS,2017-11-03,68.09,0,2017-11-10,54.24,,315580,68.12,10000,-,5,45832,1550599,Wisconsin Energy Corp,,i,C,67.92,0.19
2016-11-11,1644268,67.92,,68.23,,2017-11-13,,0.25,0,2,2017-11-13T13:57:01-06:00,0,67.56,3.05,2016-11-14,2017-11-13T14:41:44-06:00,10000,23.93,68.67,67.53,2.08,,WEC,,68.09,BATS,2017-11-03,68.06,0,2017-11-10,54.24,,315580,68.12,20000,-,100,45932,1550599,Wisconsin Energy Corp,,i,C,67.92,0.17
2016-11-11,1644268,67.92,,68.23,,2017-11-13,,0.25,0,2,2017-11-13T13:57:51-06:00,0,67.56,3.05,2016-11-14,2017-11-13T14:41:44-06:00,10000,23.93,68.67,67.53,2.08,,WEC,,68.09,BATS,2017-11-03,68.04,0,2017-11-10,54.24,,315580,68.17,10000,-,100,45932,1550599,Wisconsin Energy Corp,,i,C,67.92,0.17
2016-11-11,1644268,67.92,,68.23,,2017-11-13,,0.25,0,2,2017-11-13T13:58:19-06:00,0,67.56,3.05,2016-11-14,2017-11-13T14:41:44-06:00,10000,23.93,68.67,67.53,2.08,,WEC,,68.09,BATS,2017-11-03,68.06,0,2017-11-10,54.24,,315580,68.08,10000,-,100,45932,1550599,Wisconsin Energy Corp,,i,C,67.92,0.17
2016-11-11,1644268,67.92,,68.23,,2017-11-13,,0.25,0,2,2017-11-13T13:59:01-06:00,0,67.56,3.05,2016-11-14,2017-11-13T14:41:44-06:00,10000,23.93,68.67,67.53,2.08,,WEC,,68.09,BATS,2017-11-03,68.07,0,2017-11-10,54.24,,315580,68.17,10000,-,100,45932,1550599,Wisconsin Energy Corp,,i,C,67.92,0.17
2016-11-11,1644268,67.92,,68.23,,2017-11-13,,0.25,0,2,2017-11-13T13:59:38-06:00,0,67.56,3.05,2016-11-14,2017-11-13T14:41:44-06:00,17400,23.93,68.67,67.53,2.08,,WEC,,68.09,BATS,2017-11-03,68.1,0,2017-11-10,54.24,,315580,68.12,10000,-,100,45932,1550599,Wisconsin Energy Corp,,i,C,67.92,0.17
2016-11-11,1644268,67.92,,68.23,,2017-11-13,,0.25,0,2,2017-11-13T13:59:38-06:00,0,67.56,3.05,2016-11-14,2017-11-13T14:41:44-06:00,17400,23.93,68.67,67.53,2.08,,WEC,,68.09,BATS,2017-11-03,68.1,0,2017-11-10,54.24,,315580,68.12,10000,-,100,45932,1550599,Wisconsin Energy Corp,,i,C,67.92,0.17
2016-11-11,1644268,67.92,,68.23,,2017-11-13,,0.25,0,2,2017-11-13T14:00:05-06:00,0,67.56,3.05,2016-11-14,2017-11-13T14:41:44-06:00,17400,23.93,68.67,67.53,2.08,,WEC,,68.09,BATS,2017-11-03,68.1,0,2017-11-10,54.24,,315580,68.12,10100,-,100,45932,1550599,Wisconsin Energy Corp,,i,C,67.92,0.17
2016-11-11,1644268,67.92,,68.23,,2017-11-13,,0.27,0,2,2017-11-13T14:00:55-06:00,0,67.56,3.05,2016-11-14,2017-11-13T14:45:36-06:00,27400,23.93,68.67,67.53,2.08,,WEC,,68.1,BATS,2017-11-03,68.09,0,2017-11-10,54.24,,315580,68.11,10000,.,1,46033,1550599,Wisconsin Energy Corp,,i,C,67.92,0.18
2016-11-11,1644268,67.92,,68.23,,2017-11-13,,0.27,0,2,2017-11-13T14:01:19-06:00,0,67.56,3.05,2016-11-14,2017-11-13T14:45:36-06:00,7400,23.93,68.67,67.53,2.08,,WEC,,68.1,BATS,2017-11-03,68.08,0,2017-11-10,54.24,,315580,68.1,10000,.,1,46033,1550599,Wisconsin Energy Corp,,i,C,67.92,0.18
