Symbol,priceChange,priceChange%,priceAvg,variance,volatility,previousCloseChange,previousCloseChange%,openChange,openChange%,highChange,highChange%,lowChange,lowChange%,yearHighChange,yearHighChange%,yearLowChange,yearLowChange%,matchedYearHigh,matchedYearLow,bidAvg,bidVar,bidVolatility,bidChange,bidChange%,askAvg,askVar,askVolatility,askChange,askChange%,tradeSizeAvg,tradeSizeAvg$,bidSizeAvg,bidSizeAvg$,askSizeAvg,askSizeAvg$,maxTradeSize,maxAskSize,maxBidSize,maxTradeSize$,maxAskSize$,maxBidSize$,Consumer_Discretionary,Consumer_Staples,Energy,Financials,Health_Care,Industrials,Information Technology,Materials,Real_Estate,Telecommunications_Services,Utilities,matchedDayHigh,matchedDayLow,sampleTo20DaysVolume,sampleToYearVolume,sharesOutstanding,maxTradeSizeToSharesOutstanding,dividendYieldAnnual,dividendRateAnnual
MMM,0.05000000000001137,0.0002179408944294803,229.51859999999996,0.0071860400000006326,0.084770513741516465,1.25,0.0054771711506441155,1.460000000000008,0.006403227928599658,-0.47999999999998977,-0.0020874103065883446,2.6599999999999966,0.011727877959525578,-9.430000000000007,-0.03947258267057349,58.75,0.344130740393627,0,0,229.47790000000003,0.0063445900000003493,0.079652934660314617,0.060000000000002274,0.00026154047338826673,229.55270000000002,0.0052817099999996064,0.072675374096041689,0.09000000000000341,0.0003921739509346961,80.489999999999995,18473.952113999996,11370.0,2609163.7230000002,11676.0,2680257.3252000003,200.0,30000.0,40000.0,45903.719999999994,6886581.0000000009,9179116.0000000019,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0038887383124064233,0.004385843028340425,595610.0,0.0003357901982841121,2.07,4.7
ABT,-0.03999999999999915,-0.0007275372862859067,54.9313,0.0017693100000000014,0.042063166785205337,-0.35999999999999943,-0.00650994575045207,-0.12000000000000455,-0.0021794406102434534,-0.240000000000002,-0.004349401957230917,0.1699999999999946,0.003103888990323071,-1.75,-0.03086964191215382,17.559999999999995,0.4697699304440876,0,0,54.923600000000008,0.0017410399999999771,0.041725771412880759,-0.03999999999999915,-0.0007276696379843396,54.940599999999989,0.001839640000000028,0.042891024702145182,-0.05000000000000426,-0.0009092562284052421,80.189999999999998,4404.9409470000001,23583.0,1295263.2588000002,23583.0,1295664.1697999998,200.0,60000.0,80000.0,10986.26,3296435.9999999995,4393888.0000000009,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0014850046750147176,0.0012029973671774793,1740600.0,0.0001149029070435482,1.93,1.06
ABBV,0.01999999999999602,0.00021301523058894474,93.826599999999999,0.014230439999999813,0.11929140790517904,-1.210000000000008,-0.012720773759461816,-0.9099999999999966,-0.009597131406876151,-0.9099999999999966,-0.009597131406876151,0.6599999999999966,0.0070777479892761026,-4.3500000000000085,-0.04427030327702024,35.309999999999995,0.6025597269624572,0,0,93.764700000000005,0.016918910000000134,0.13007271043535662,0.12999999999999545,0.0013865187713310095,93.88779999999997,0.01954116000000021,0.1397896991913217,0.06999999999999318,0.0007455533070613822,89.840000000000003,8429.3817440000003,11173.0,1047632.9931000001,13194.0,1238755.6331999996,143.0,40000.0,30000.0,13417.203799999999,3755511.9999999986,2812941.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0013357401634497541,0.001443043163438452,1596430.0,8.957486391511059e-05,2.68,2.56
ACN,0.18999999999999773,0.0013099834528405802,145.20109999999997,0.0039757900000001222,0.063053865860866309,1.3100000000000023,0.009102279043913301,1.7399999999999807,0.01212628057704356,-0.14000000000001478,-0.0009630597784963526,2.369999999999976,0.0165896682066357,-0.1599999999999966,-0.0011004883417016068,32.91999999999999,0.29311726471373867,0,0,145.16970000000001,0.0063649100000000205,0.079780386060735634,0.22999999999998977,0.0015859881395668856,145.24639999999997,0.011465040000000282,0.10707492703709998,0.21000000000000796,0.0014475770317778174,77.180000000000007,11206.620897999999,14939.0,2168690.1483,11450.0,1663071.2799999996,128.0,46400.0,40000.0,18585.740799999996,6739432.9599999981,5806788.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.004908623162366799,0.0036141960450823893,659960.0,0.00019395114855445784,1.85,2.66
ATVI,0.3199999999999932,0.005014887948597292,64.0655,0.014900749999999968,0.12206862823838059,0.509999999999998,0.008016347060672713,0.9499999999999957,0.015036403925292747,-0.2600000000000051,-0.004037894082932212,1.289999999999992,0.020528325907065437,-2.9000000000000057,-0.043264210055199245,29.009999999999998,0.8260250569476082,0,0,64.0548,0.014484960000000048,0.12035347938468605,0.30999999999999517,0.004859695877096648,64.078100000000006,0.014629389999999902,0.12095201527878691,0.30000000000000426,0.004700720777185902,80.290000000000006,5143.8189950000005,18087.0,1158559.1676,16650.0,1066900.365,200.0,80000.0,80000.0,12813.1,5126248.0000000009,5124384.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0012012845021432059,0.0011765404084994018,756100.0,0.00026451527575717496,0.48,0.3
AYI,0.13999999999998636,0.0008504951096530366,164.62600000000003,0.039931999999999912,0.19982992768852195,1.2199999999999989,0.007460404818687695,1.6399999999999864,0.010054564404389591,-0.539999999999992,-0.0032669852985661085,2.569999999999993,0.015846590208410366,-96.68,-0.3698121868186513,11.469999999999999,0.074830375782881,0,0,164.2159,0.086452189999998361,0.29402753272440041,-0.03999999999999204,-0.00024344227375078839,164.84829999999999,0.058302110000000136,0.24145829867701821,-0.009999999999990905,-6.0606060606005487e-05,79.519999999999996,13091.059520000003,10259.0,1684690.9181000001,12920.0,2129840.0359999998,200.0,50000.0,20000.0,32925.200000000004,8242415.0,3284318.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.012921823940148815,0.010865243381725022,42080.0,0.004752851711026616,0.32,0.52
ADBE,0.4099999999999966,0.0022669468096870315,181.14589999999993,0.030192190000000948,0.17375899976692127,-0.5799999999999841,-0.003189441847676569,-0.28000000000000114,-0.0015422748554117386,-0.549999999999983,-0.0030249697503024033,0.8600000000000136,0.00476691979380308,-3.1699999999999875,-0.01718716113641286,83.27000000000001,0.8496938775510205,0,0,181.06659999999997,0.048372440000000072,0.21993735471720141,0.37999999999999545,0.002101653669597895,181.2287,0.036515310000000502,0.19108979564592271,0.36000000000001364,0.001989499861840363,71.049999999999997,12870.416194999994,10228.0,1851949.1847999997,10246.0,1856869.2602000001,100.0,20000.0,30000.0,18114.589999999993,3624574.0,5431997.9999999991,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002236456923415909,0.0029362986436821227,492940.0,0.00020286444597719804,0.0,0.0
AAP,-0.09000000000000341,-0.0009302325581395702,96.883399999999995,0.26861844000000046,0.51828413056932432,14.379999999999995,0.17476908118619341,6.659999999999997,0.07399999999999997,-6.1000000000000085,-0.05936161930712348,6.659999999999997,0.07399999999999997,-81.17000000000002,-0.4564471686442108,17.849999999999994,0.22649409973353626,0,0,96.761899999999969,0.2858833900000009,0.53468064300103557,-0.2600000000000051,-0.00268789413832322,97.068000000000012,0.25670599999999999,0.50666162278191151,-0.28999999999999204,-0.0029881504379185167,92.849999999999994,8995.6236899999985,12395.0,1199363.7504999996,11934.0,1158409.5120000001,734.0,40000.0,30000.0,71112.415599999993,3882720.0000000005,2902856.9999999991,1,0,0,0,0,0,0,0,0,0,0,0,0,0.004161710115488016,0.005568052273126607,73860.0,0.009937720010831302,0.3,0.24
AES,0.009999999999999787,0.0009182736455463532,10.907900000000001,0.00036458999999998453,0.019094239969163072,0.08000000000000007,0.0073937153419593405,0.08000000000000007,0.0073937153419593405,-0.049999999999998934,-0.004566210045662003,0.16000000000000014,0.014897579143389213,-1.5700000000000003,-0.12590216519647154,0.9000000000000004,0.09000000000000004,0,0,10.905800000000005,0.00031235999999998669,0.017673709288091921,0.0,0.0,10.915799999999999,0.00031235999999998674,0.017673709288091925,0.0,0.0,156.93000000000001,1711.7767470000003,306873.0,3346695.5634000013,400042.0,4366778.4635999994,1100.0,1260000.0,656200.0,11998.690000000002,13753907.999999998,7156385.9600000028,0,0,0,0,0,0,0,0,0,0,1,1,0,0.002417366963175243,0.002959498267638368,660390.0,0.001665682399794061,4.69,0.48
AET,-0.07999999999998408,-0.0004666900011666322,171.29350000000005,0.0056567500000003689,0.075211368821477845,-1.6800000000000068,-0.009709860131776712,-0.8499999999999943,-0.004936407456878996,-1.1699999999999875,-0.006782215523737682,0.3400000000000034,0.0019883040935672713,-13.639999999999986,-0.07373770137312134,55.3,0.4765598069631161,0,0,171.17180000000005,0.016914760000000317,0.13005675684100507,0.13999999999998636,0.000817852552868246,171.44670000000002,0.025032110000000333,0.15821539116027977,0.3300000000000125,0.001924534904064924,87.450000000000003,14979.616575000005,6786.0,1161571.8348000003,8492.0,1455925.3764000002,200.0,30000.0,21300.0,34258.700000000012,5143401.0000000009,3645959.3400000008,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0028347850328536836,0.0035872596289924417,326100.0,0.0006133088009812941,1.14,2.0
