twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,27180234,173.97,,173.75,,2017-11-10,,-1.14,0,2,2017-11-14T12:32:29-06:00,0,173.75,1.44,2016-11-15,2017-11-14T13:17:26-06:00,10000,62.23,176.24,171.48,2.52,,AAPL,,171.99,BATS,2017-11-08,171.97,0,2017-11-13,106.16,,5134310,171.99,10000,-,100,977711,29302691,Apple Inc,,i,D,173.97,-1.98
2016-11-14,27199646,173.97,,173.75,,2017-11-10,,-1.12,0,2,2017-11-14T12:32:57-06:00,0,173.75,1.44,2016-11-15,2017-11-14T13:17:57-06:00,50000,62.79,176.24,171.48,2.52,,AAPL,,172.02,BATS,2017-11-08,172.02,0,2017-11-13,106.16,,5134310,172.04,40000,.,100,978511,29516227,Apple Inc,,i,D,173.97,-1.95
2016-11-14,27199646,173.97,,173.75,,2017-11-10,,-1.11,0,2,2017-11-14T12:33:20-06:00,0,173.75,1.44,2016-11-15,2017-11-14T13:18:20-06:00,10000,62.79,176.24,171.48,2.52,,AAPL,,172.04,BATS,2017-11-08,172.03,0,2017-11-13,106.16,,5134310,172.06,20000,-,100,980032,29516227,Apple Inc,,i,D,173.97,-1.93
2016-11-14,27199646,173.97,,173.75,,2017-11-10,,-1.12,0,2,2017-11-14T12:34:03-06:00,0,173.75,1.44,2016-11-15,2017-11-14T13:18:56-06:00,10000,62.79,176.24,171.48,2.52,,AAPL,,172.03,BATS,2017-11-08,172,0,2017-11-13,106.16,,5134310,172.02,40000,+,100,982277,29516227,Apple Inc,,i,D,173.97,-1.94
2016-11-14,27199646,173.97,,173.75,,2017-11-10,,-1.12,0,2,2017-11-14T12:34:31-06:00,0,173.75,1.44,2016-11-15,2017-11-14T13:19:31-06:00,19500,62.79,176.24,171.48,2.52,,AAPL,,172.03,BATS,2017-11-08,172.02,0,2017-11-13,106.16,,5134310,172.03,20000,+,5,983316,29516227,Apple Inc,,i,D,173.97,-1.94
2016-11-14,27199646,173.97,,173.75,,2017-11-10,,-1.12,0,2,2017-11-14T12:34:58-06:00,0,173.75,1.44,2016-11-15,2017-11-14T13:19:58-06:00,30000,62.79,176.24,171.48,2.52,,AAPL,,172.03,BATS,2017-11-08,172.01,0,2017-11-13,106.16,,5134310,172.03,10000,+,100,984716,29516227,Apple Inc,,i,D,173.97,-1.94
2016-11-14,27199646,173.97,,173.75,,2017-11-10,,-1.13,0,2,2017-11-14T12:35:25-06:00,0,173.75,1.44,2016-11-15,2017-11-14T13:20:22-06:00,60000,62.79,176.24,171.48,2.52,,AAPL,,172,BATS,2017-11-08,171.98,0,2017-11-13,106.16,,5134310,172.01,14800,.,1,985017,29516227,Apple Inc,,i,D,173.97,-1.97
2016-11-14,27199646,173.97,,173.75,,2017-11-10,,-1.12,0,2,2017-11-14T12:36:05-06:00,0,173.75,1.44,2016-11-15,2017-11-14T13:21:01-06:00,30000,62.79,176.24,171.48,2.52,,AAPL,,172.03,BATS,2017-11-08,172.03,0,2017-11-13,106.16,,5134310,172.05,10000,+,100,986573,29516227,Apple Inc,,i,D,173.97,-1.94
2016-11-14,27199646,173.97,,173.75,,2017-11-10,,-1.11,0,2,2017-11-14T12:36:31-06:00,0,173.75,1.44,2016-11-15,2017-11-14T13:21:21-06:00,30000,62.79,176.24,171.48,2.52,,AAPL,,172.04,BATS,2017-11-08,171.96,0,2017-11-13,106.16,,5134310,171.98,30000,+,100,986869,29516227,Apple Inc,,i,D,173.97,-1.93
2016-11-14,27199646,173.97,,173.75,,2017-11-10,,-1.13,0,2,2017-11-14T12:36:54-06:00,0,173.75,1.44,2016-11-15,2017-11-14T13:21:51-06:00,10000,62.79,176.24,171.48,2.52,,AAPL,,172.01,BATS,2017-11-08,171.98,0,2017-11-13,106.16,,5134310,172,10000,.,100,987792,29516227,Apple Inc,,i,D,173.97,-1.96
2016-11-14,27199646,173.97,,173.75,,2017-11-10,,-1.14,0,2,2017-11-14T12:37:20-06:00,0,173.75,1.44,2016-11-15,2017-11-14T13:22:17-06:00,40000,62.79,176.24,171.48,2.52,,AAPL,,171.99,BATS,2017-11-08,171.98,0,2017-11-13,106.16,,5134310,172,30000,-,100,988533,29516227,Apple Inc,,i,D,173.97,-1.98
2016-11-14,27199646,173.97,,173.75,,2017-11-10,,-1.13,0,2,2017-11-14T12:37:48-06:00,0,173.75,1.44,2016-11-15,2017-11-14T13:22:42-06:00,10000,62.79,176.24,171.48,2.52,,AAPL,,172.01,BATS,2017-11-08,172.01,0,2017-11-13,106.16,,5134310,172.03,10000,.,500,989609,29516227,Apple Inc,,i,D,173.97,-1.96
2016-11-14,27199646,173.97,,173.75,,2017-11-10,,-1.1,0,2,2017-11-14T12:38:15-06:00,0,173.75,1.44,2016-11-15,2017-11-14T13:23:14-06:00,12000,62.79,176.24,171.48,2.52,,AAPL,,172.05,BATS,2017-11-08,172.04,0,2017-11-13,106.16,,5134310,172.06,20000,.,100,991539,29516227,Apple Inc,,i,D,173.97,-1.92
2016-11-14,27199646,173.97,,173.75,,2017-11-10,,-1.07,0,2,2017-11-14T12:38:36-06:00,0,173.75,1.44,2016-11-15,2017-11-14T13:23:34-06:00,20000,62.79,176.24,171.48,2.52,,AAPL,,172.1,BATS,2017-11-08,172.09,0,2017-11-13,106.16,,5134310,172.11,10000,.,100,992324,29516227,Apple Inc,,i,D,173.97,-1.87
2016-11-14,27199646,173.97,,173.75,,2017-11-10,,-1.06,0,2,2017-11-14T12:39:04-06:00,0,173.75,1.44,2016-11-15,2017-11-14T13:23:58-06:00,10000,62.79,176.24,171.48,2.52,,AAPL,,172.13,BATS,2017-11-08,172.12,0,2017-11-13,106.16,,5134310,172.14,20000,-,58,992953,29516227,Apple Inc,,i,D,173.97,-1.84
2016-11-14,27199646,173.97,,173.75,,2017-11-10,,-1.09,0,2,2017-11-14T12:39:25-06:00,0,173.75,1.44,2016-11-15,2017-11-14T13:24:18-06:00,20000,62.79,176.24,171.48,2.52,,AAPL,,172.07,BATS,2017-11-08,172.06,0,2017-11-13,106.16,,5134310,172.08,30000,.,100,993874,29516227,Apple Inc,,i,D,173.97,-1.9
