twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,2909379,174.41,,175.08,,2017-08-16,,-1.66,0,2,2017-11-14T12:32:29-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:17:22-06:00,10000,-14.97,256.8,171.52,2.8,,AGN,,171.52,BATS,2017-07-25,171.51,0,2017-11-13,169.61,,332580,171.57,10000,.,28,103024,5264218,Allergan Plc,,i,D,174.41,-2.89
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.66,0,2,2017-11-14T12:32:57-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:17:55-06:00,10000,-15.22,256.8,171.51,2.8,,AGN,,171.51,BATS,2017-07-25,171.45,0,2017-11-13,169.61,,332580,171.52,10000,.,100,103124,5266510,Allergan Plc,,i,D,174.41,-2.9
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.65,0,2,2017-11-14T12:33:21-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:18:20-06:00,10000,-15.22,256.8,171.51,2.8,,AGN,,171.54,BATS,2017-07-25,171.48,0,2017-11-13,169.61,,332580,171.78,2000,+,13,103237,5266510,Allergan Plc,,i,D,174.41,-2.87
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.65,0,2,2017-11-14T12:33:46-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:18:20-06:00,10000,-15.22,256.8,171.51,2.8,,AGN,,171.54,BATS,2017-07-25,171.48,0,2017-11-13,169.61,,332580,171.54,20000,+,13,103237,5266510,Allergan Plc,,i,D,174.41,-2.87
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.7,0,2,2017-11-14T12:34:19-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:19:17-06:00,10000,-15.22,256.8,171.45,2.8,,AGN,,171.45,BATS,2017-07-25,171.43,0,2017-11-13,169.61,,332580,171.57,20000,-,18,103352,5266510,Allergan Plc,,i,D,174.41,-2.96
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.67,0,2,2017-11-14T12:34:52-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:19:45-06:00,10000,-15.22,256.8,171.45,2.8,,AGN,,171.49,BATS,2017-07-25,171.45,0,2017-11-13,169.61,,332580,171.56,5200,.,95,103920,5266510,Allergan Plc,,i,D,174.41,-2.92
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.67,0,2,2017-11-14T12:35:17-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:19:45-06:00,10000,-15.22,256.8,171.45,2.8,,AGN,,171.49,BATS,2017-07-25,171.46,0,2017-11-13,169.61,,332580,171.61,10000,.,95,103920,5266510,Allergan Plc,,i,D,174.41,-2.92
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.67,0,2,2017-11-14T12:36:05-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:19:45-06:00,10000,-15.22,256.8,171.45,2.8,,AGN,,171.49,BATS,2017-07-25,171.48,0,2017-11-13,169.61,,332580,171.56,10000,.,95,103920,5266510,Allergan Plc,,i,D,174.41,-2.92
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.69,0,2,2017-11-14T12:36:31-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:21:14-06:00,10000,-15.22,256.8,171.45,2.8,,AGN,,171.47,BATS,2017-07-25,171.41,0,2017-11-13,169.61,,332580,171.5,10000,-,85,104105,5266510,Allergan Plc,,i,D,174.41,-2.94
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.66,0,2,2017-11-14T12:36:38-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:21:35-06:00,10000,-15.22,256.8,171.45,2.8,,AGN,,171.51,BATS,2017-07-25,171.44,0,2017-11-13,169.61,,332580,171.51,4000,+,50,104255,5266510,Allergan Plc,,i,D,174.41,-2.9
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.66,0,2,2017-11-14T12:37:17-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:22:14-06:00,10000,-15.22,256.8,171.45,2.8,,AGN,,171.51,BATS,2017-07-25,171.47,0,2017-11-13,169.61,,332580,171.52,20000,.,100,104355,5266510,Allergan Plc,,i,D,174.41,-2.9
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.66,0,2,2017-11-14T12:37:46-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:22:14-06:00,10000,-15.22,256.8,171.45,2.8,,AGN,,171.51,BATS,2017-07-25,171.42,0,2017-11-13,169.61,,332580,171.5,15700,.,100,104355,5266510,Allergan Plc,,i,D,174.41,-2.9
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.71,0,2,2017-11-14T12:38:15-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:23:12-06:00,10000,-15.22,256.8,171.42,2.8,,AGN,,171.42,BATS,2017-07-25,171,0,2017-11-13,169.61,,332580,171.46,10000,.,57,104462,5266510,Allergan Plc,,i,D,174.41,-2.99
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.7,0,2,2017-11-14T12:38:32-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:23:31-06:00,10000,-15.22,256.8,171.42,2.8,,AGN,,171.44,BATS,2017-07-25,171.13,0,2017-11-13,169.61,,332580,171.46,100,.,100,104662,5266510,Allergan Plc,,i,D,174.41,-2.97
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.7,0,2,2017-11-14T12:39:03-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:23:31-06:00,10000,-15.22,256.8,171.42,2.8,,AGN,,171.44,BATS,2017-07-25,171.22,0,2017-11-13,169.61,,332580,171.44,10000,.,100,104662,5266510,Allergan Plc,,i,D,174.41,-2.97
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.7,0,2,2017-11-14T12:39:28-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:23:31-06:00,10000,-15.22,256.8,171.42,2.8,,AGN,,171.44,BATS,2017-07-25,171.35,0,2017-11-13,169.61,,332580,171.4,10000,.,100,104662,5266510,Allergan Plc,,i,D,174.41,-2.97
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.76,0,2,2017-11-14T12:39:43-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:24:43-06:00,10000,-15.22,256.8,171.34,2.8,,AGN,,171.34,BATS,2017-07-25,171.05,0,2017-11-13,169.61,,332580,171.37,100,-,13,104874,5266510,Allergan Plc,,i,D,174.41,-3.07
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.76,0,2,2017-11-14T12:40:14-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:24:43-06:00,10000,-15.22,256.8,171.34,2.8,,AGN,,171.34,BATS,2017-07-25,171.31,0,2017-11-13,169.61,,332580,171.37,10000,-,13,104874,5266510,Allergan Plc,,i,D,174.41,-3.07
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.76,0,2,2017-11-14T12:40:36-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:24:43-06:00,10000,-15.22,256.8,171.34,2.8,,AGN,,171.34,BATS,2017-07-25,171.32,0,2017-11-13,169.61,,332580,171.37,700,-,13,104874,5266510,Allergan Plc,,i,D,174.41,-3.07
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.75,0,2,2017-11-14T12:41:06-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:26:06-06:00,10000,-15.22,256.8,171.34,2.8,,AGN,,171.36,BATS,2017-07-25,171.05,0,2017-11-13,169.61,,332580,171.37,100,+,8,104977,5266510,Allergan Plc,,i,D,174.41,-3.05
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.75,0,2,2017-11-14T12:41:27-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:26:06-06:00,30000,-15.22,256.8,171.34,2.8,,AGN,,171.36,BATS,2017-07-25,171.32,0,2017-11-13,169.61,,332580,171.37,10000,+,8,104977,5266510,Allergan Plc,,i,D,174.41,-3.05
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.75,0,2,2017-11-14T12:41:59-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:26:06-06:00,10000,-15.22,256.8,171.34,2.8,,AGN,,171.36,BATS,2017-07-25,171.33,0,2017-11-13,169.61,,332580,171.37,30000,+,8,104977,5266510,Allergan Plc,,i,D,174.41,-3.05
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.75,0,2,2017-11-14T12:42:22-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:26:06-06:00,10000,-15.22,256.8,171.34,2.8,,AGN,,171.36,BATS,2017-07-25,171,0,2017-11-13,169.61,,332580,171.36,10000,+,8,104977,5266510,Allergan Plc,,i,D,174.41,-3.05
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.74,0,2,2017-11-14T12:42:46-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:27:42-06:00,10000,-15.22,256.8,171.34,2.8,,AGN,,171.37,BATS,2017-07-25,171.33,0,2017-11-13,169.61,,332580,171.4,10700,+,100,105614,5266510,Allergan Plc,,i,D,174.41,-3.04
2016-11-14,2909587,174.41,,175.08,,2017-08-16,,-1.72,0,2,2017-11-14T12:43:37-06:00,0,174.82,1.63,2017-11-13,2017-11-14T13:27:53-06:00,10000,-15.22,256.8,171.34,2.8,,AGN,,171.41,BATS,2017-07-25,171.45,0,2017-11-13,169.61,,332580,171.59,10000,+,100,105814,5266510,Allergan Plc,,i,D,174.41,-3
