twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,1451102,61.72,,61.93,,2017-08-18,,-0.32,0,2,2017-11-14T12:32:00-06:00,0,61.52,1.92,2017-11-08,2017-11-14T13:16:43-06:00,10000,-20.92,101.43,61.45,1.2,,ALK,,61.52,BATS,2017-03-01,61.47,0,2017-11-13,61.36,,123040,61.55,20000,.,100,39882,2304885,Alaska Air Group,,i,D,61.72,-0.2
2016-11-14,1451212,61.72,,61.93,,2017-08-18,,-0.32,0,2,2017-11-14T12:32:46-06:00,0,61.52,1.92,2017-11-08,2017-11-14T13:16:43-06:00,10000,-20.98,101.43,61.45,1.2,,ALK,,61.52,BATS,2017-03-01,61.48,0,2017-11-13,61.36,,123040,61.52,10000,.,100,39882,2306096,Alaska Air Group,,i,D,61.72,-0.2
2016-11-14,1451212,61.72,,61.93,,2017-08-18,,-0.36,0,2,2017-11-14T12:33:21-06:00,0,61.52,1.92,2017-11-08,2017-11-14T13:18:15-06:00,10000,-20.98,101.43,61.45,1.2,,ALK,,61.5,BATS,2017-03-01,61.52,0,2017-11-13,61.36,,123040,61.56,10000,-,100,39982,2306096,Alaska Air Group,,i,D,61.72,-0.22
2016-11-14,1451212,61.72,,61.93,,2017-08-18,,-0.36,0,2,2017-11-14T12:33:46-06:00,0,61.52,1.92,2017-11-08,2017-11-14T13:18:15-06:00,10000,-20.98,101.43,61.45,1.2,,ALK,,61.5,BATS,2017-03-01,61.53,0,2017-11-13,61.36,,123040,61.57,10000,-,100,39982,2306096,Alaska Air Group,,i,D,61.72,-0.22
2016-11-14,1451212,61.72,,61.93,,2017-08-18,,-0.31,0,2,2017-11-14T12:34:26-06:00,0,61.52,1.92,2017-11-08,2017-11-14T13:19:22-06:00,10000,-20.98,101.43,61.45,1.2,,ALK,,61.53,BATS,2017-03-01,61.49,0,2017-11-13,61.36,,123040,61.53,10000,+,100,40082,2306096,Alaska Air Group,,i,D,61.72,-0.19
2016-11-14,1451212,61.72,,61.93,,2017-08-18,,-0.31,0,2,2017-11-14T12:34:58-06:00,0,61.52,1.92,2017-11-08,2017-11-14T13:19:22-06:00,10000,-20.98,101.43,61.45,1.2,,ALK,,61.53,BATS,2017-03-01,61.48,0,2017-11-13,61.36,,123040,61.52,10000,+,100,40082,2306096,Alaska Air Group,,i,D,61.72,-0.19
2016-11-14,1451212,61.72,,61.93,,2017-08-18,,-0.34,0,2,2017-11-14T12:35:14-06:00,0,61.52,1.92,2017-11-08,2017-11-14T13:20:09-06:00,10000,-20.98,101.43,61.45,1.2,,ALK,,61.51,BATS,2017-03-01,61.49,0,2017-11-13,61.36,,123040,61.53,10000,-,100,40182,2306096,Alaska Air Group,,i,D,61.72,-0.21
2016-11-14,1451212,61.72,,61.93,,2017-08-18,,-0.34,0,2,2017-11-14T12:35:44-06:00,0,61.52,1.92,2017-11-08,2017-11-14T13:20:09-06:00,10000,-20.98,101.43,61.45,1.2,,ALK,,61.51,BATS,2017-03-01,61.5,0,2017-11-13,61.36,,123040,61.54,10000,-,100,40182,2306096,Alaska Air Group,,i,D,61.72,-0.21
2016-11-14,1451212,61.72,,61.93,,2017-08-18,,-0.36,0,2,2017-11-14T12:36:27-06:00,0,61.52,1.92,2017-11-08,2017-11-14T13:21:14-06:00,10000,-20.98,101.43,61.45,1.2,,ALK,,61.5,BATS,2017-03-01,61.49,0,2017-11-13,61.36,,123040,61.53,20000,-,100,40282,2306096,Alaska Air Group,,i,D,61.72,-0.22
2016-11-14,1451212,61.72,,61.93,,2017-08-18,,-0.34,0,2,2017-11-14T12:36:54-06:00,0,61.52,1.92,2017-11-08,2017-11-14T13:21:51-06:00,10000,-20.98,101.43,61.45,1.2,,ALK,,61.51,BATS,2017-03-01,61.49,0,2017-11-13,61.36,,123040,61.52,20000,.,100,40482,2306096,Alaska Air Group,,i,D,61.72,-0.21
