twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,1338187,52.73,,53.91,,2000-07-03,,0.4,0,2,2017-11-14T12:32:24-06:00,0,52.57,0,2017-05-26,2017-11-14T13:16:23-06:00,10000,15.54,55.77,52.57,0,,AN,,52.94,BATS,2017-11-02,52.87,0,2017-11-13,38.2,,91240,52.96,10000,+,3,40508,1297017,Autonation Inc,,i,D,52.73,0.21
2016-11-14,1338221,52.73,,53.91,,2000-07-03,,0.4,0,2,2017-11-14T12:32:42-06:00,0,52.57,0,2017-05-26,2017-11-14T13:16:23-06:00,10000,15.21,55.77,52.57,0,,AN,,52.94,BATS,2017-11-02,52.91,0,2017-11-13,38.2,,91240,52.96,10000,+,3,40508,1297392,Autonation Inc,,i,D,52.73,0.21
2016-11-14,1338221,52.73,,53.91,,2000-07-03,,0.34,0,2,2017-11-14T12:33:21-06:00,0,52.57,0,2017-05-26,2017-11-14T13:18:20-06:00,10000,15.21,55.77,52.57,0,,AN,,52.91,BATS,2017-11-02,52.91,0,2017-11-13,38.2,,91240,52.96,10000,-,100,40608,1297392,Autonation Inc,,i,D,52.73,0.18
2016-11-14,1338221,52.73,,53.91,,2000-07-03,,0.34,0,2,2017-11-14T12:33:21-06:00,0,52.57,0,2017-05-26,2017-11-14T13:18:20-06:00,10000,15.21,55.77,52.57,0,,AN,,52.91,BATS,2017-11-02,52.91,0,2017-11-13,38.2,,91240,52.96,10000,-,100,40608,1297392,Autonation Inc,,i,D,52.73,0.18
2016-11-14,1338221,52.73,,53.91,,2000-07-03,,0.34,0,2,2017-11-14T12:34:21-06:00,0,52.57,0,2017-05-26,2017-11-14T13:19:20-06:00,10000,15.21,55.77,52.57,0,,AN,,52.91,BATS,2017-11-02,52.86,0,2017-11-13,38.2,,91240,52.96,20000,.,100,40708,1297392,Autonation Inc,,i,D,52.73,0.18
2016-11-14,1338221,52.73,,53.91,,2000-07-03,,0.34,0,2,2017-11-14T12:34:55-06:00,0,52.57,0,2017-05-26,2017-11-14T13:19:20-06:00,20000,15.21,55.77,52.57,0,,AN,,52.91,BATS,2017-11-02,52.88,0,2017-11-13,38.2,,91240,52.94,10000,.,100,40708,1297392,Autonation Inc,,i,D,52.73,0.18
2016-11-14,1338221,52.73,,53.91,,2000-07-03,,0.34,0,2,2017-11-14T12:35:00-06:00,0,52.57,0,2017-05-26,2017-11-14T13:19:20-06:00,20000,15.21,55.77,52.57,0,,AN,,52.91,BATS,2017-11-02,52.86,0,2017-11-13,38.2,,91240,52.94,20000,.,100,40708,1297392,Autonation Inc,,i,D,52.73,0.18
2016-11-14,1338221,52.73,,53.91,,2000-07-03,,0.34,0,2,2017-11-14T12:35:51-06:00,0,52.57,0,2017-05-26,2017-11-14T13:19:20-06:00,20000,15.21,55.77,52.57,0,,AN,,52.91,BATS,2017-11-02,52.86,0,2017-11-13,38.2,,91240,52.94,20000,.,100,40708,1297392,Autonation Inc,,i,D,52.73,0.18
2016-11-14,1338221,52.73,,53.91,,2000-07-03,,0.34,0,2,2017-11-14T12:36:31-06:00,0,52.57,0,2017-05-26,2017-11-14T13:19:20-06:00,20000,15.21,55.77,52.57,0,,AN,,52.91,BATS,2017-11-02,52.88,0,2017-11-13,38.2,,91240,52.94,10000,.,100,40708,1297392,Autonation Inc,,i,D,52.73,0.18
2016-11-14,1338221,52.73,,53.91,,2000-07-03,,0.34,0,2,2017-11-14T12:36:31-06:00,0,52.57,0,2017-05-26,2017-11-14T13:19:20-06:00,20000,15.21,55.77,52.57,0,,AN,,52.91,BATS,2017-11-02,52.88,0,2017-11-13,38.2,,91240,52.94,10000,.,100,40708,1297392,Autonation Inc,,i,D,52.73,0.18
