twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,1359459,140.15,,140.98,,2017-09-07,,0.42,0,2,2017-11-14T12:31:59-06:00,0,139.32,1.91,2016-11-28,2017-11-14T13:16:58-06:00,10000,21.41,141.07,138.92,2.64,,CME,,140.74,BATS,2017-11-03,140.73,0,2017-11-13,111.19,,339110,141.17,10000,.,100,37208,1184713,CME Group Inc,,i,D,140.15,0.59
2016-11-14,1359523,140.15,,140.98,,2017-09-07,,0.46,0,2,2017-11-14T12:33:00-06:00,0,139.32,1.91,2016-11-28,2017-11-14T13:17:51-06:00,10000,21.51,141.07,138.92,2.64,,CME,,140.79,BATS,2017-11-03,140.76,0,2017-11-13,111.19,,339110,141.2,10000,+,5,37213,1185416,CME Group Inc,,i,D,140.15,0.64
2016-11-14,1359523,140.15,,140.98,,2017-09-07,,0.44,0,2,2017-11-14T12:33:17-06:00,0,139.32,1.91,2016-11-28,2017-11-14T13:18:14-06:00,10000,21.51,141.07,138.92,2.64,,CME,,140.77,BATS,2017-11-03,140.7,0,2017-11-13,111.19,,339110,141.2,10000,.,55,37368,1185416,CME Group Inc,,i,D,140.15,0.62
2016-11-14,1359523,140.15,,140.98,,2017-09-07,,0.44,0,2,2017-11-14T12:33:43-06:00,0,139.32,1.91,2016-11-28,2017-11-14T13:18:14-06:00,10500,21.51,141.07,138.92,2.64,,CME,,140.77,BATS,2017-11-03,140.7,0,2017-11-13,111.19,,339110,140.8,10000,.,55,37368,1185416,CME Group Inc,,i,D,140.15,0.62
2016-11-14,1359523,140.15,,140.98,,2017-09-07,,0.41,0,2,2017-11-14T12:34:35-06:00,0,139.32,1.91,2016-11-28,2017-11-14T13:19:34-06:00,20000,21.51,141.07,138.92,2.64,,CME,,140.73,BATS,2017-11-03,140.71,0,2017-11-13,111.19,,339110,141.2,15500,.,18,37709,1185416,CME Group Inc,,i,D,140.15,0.58
2016-11-14,1359523,140.15,,140.98,,2017-09-07,,0.4,0,2,2017-11-14T12:34:46-06:00,0,139.32,1.91,2016-11-28,2017-11-14T13:19:46-06:00,10000,21.51,141.07,138.92,2.64,,CME,,140.71,BATS,2017-11-03,140.69,0,2017-11-13,111.19,,339110,140.76,5500,-,100,37809,1185416,CME Group Inc,,i,D,140.15,0.56
2016-11-14,1359523,140.15,,140.98,,2017-09-07,,0.4,0,2,2017-11-14T12:35:20-06:00,0,139.32,1.91,2016-11-28,2017-11-14T13:19:46-06:00,10000,21.51,141.07,138.92,2.64,,CME,,140.71,BATS,2017-11-03,140.7,0,2017-11-13,111.19,,339110,140.76,10000,-,100,37809,1185416,CME Group Inc,,i,D,140.15,0.56
2016-11-14,1359523,140.15,,140.98,,2017-09-07,,0.44,0,2,2017-11-14T12:36:03-06:00,0,139.32,1.91,2016-11-28,2017-11-14T13:21:01-06:00,10000,21.51,141.07,138.92,2.64,,CME,,140.76,BATS,2017-11-03,140.74,0,2017-11-13,111.19,,339110,141.2,25500,.,16,38064,1185416,CME Group Inc,,i,D,140.15,0.61
2016-11-14,1359523,140.15,,140.98,,2017-09-07,,0.44,0,2,2017-11-14T12:36:35-06:00,0,139.32,1.91,2016-11-28,2017-11-14T13:21:01-06:00,10000,21.51,141.07,138.92,2.64,,CME,,140.76,BATS,2017-11-03,140.76,0,2017-11-13,111.19,,339110,141.2,10000,.,16,38064,1185416,CME Group Inc,,i,D,140.15,0.61
2016-11-14,1359523,140.15,,140.98,,2017-09-07,,0.44,0,2,2017-11-14T12:36:59-06:00,0,139.32,1.91,2016-11-28,2017-11-14T13:21:55-06:00,10000,21.51,141.07,138.92,2.64,,CME,,140.76,BATS,2017-11-03,140.7,0,2017-11-13,111.19,,339110,141.2,400,.,100,38164,1185416,CME Group Inc,,i,D,140.15,0.61
