twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,1602680,82.84,,83.52,,2017-10-06,,0.16,0,2,2017-11-14T12:32:28-06:00,0,83.07,3.05,2016-11-17,2017-11-14T13:15:33-06:00,10000,14.45,95.22,82.66,2.52,,DRI,,82.97,BATS,2017-06-27,82.92,0,2017-11-13,70.97,,123670,83.02,20000,.,100,37010,1318455,Darden Restaurants,,i,D,82.84,0.13
2016-11-14,1603007,82.84,,83.52,,2017-10-06,,0.16,0,2,2017-11-14T12:32:28-06:00,0,83.07,3.05,2016-11-17,2017-11-14T13:15:33-06:00,10000,14.33,95.22,82.66,2.52,,DRI,,82.97,BATS,2017-06-27,82.92,0,2017-11-13,70.97,,123670,83.02,20000,.,100,37010,1322048,Darden Restaurants,,i,D,82.84,0.13
2016-11-14,1603007,82.84,,83.52,,2017-10-06,,0.16,0,2,2017-11-14T12:32:28-06:00,0,83.07,3.05,2016-11-17,2017-11-14T13:15:33-06:00,10000,14.33,95.22,82.66,2.52,,DRI,,82.97,BATS,2017-06-27,82.92,0,2017-11-13,70.97,,123670,83.02,20000,.,100,37010,1322048,Darden Restaurants,,i,D,82.84,0.13
2016-11-14,1603007,82.84,,83.52,,2017-10-06,,0.16,0,2,2017-11-14T12:33:27-06:00,0,83.07,3.05,2016-11-17,2017-11-14T13:15:33-06:00,10000,14.33,95.22,82.66,2.52,,DRI,,82.97,BATS,2017-06-27,82.97,0,2017-11-13,70.97,,123670,83.02,3800,.,100,37010,1322048,Darden Restaurants,,i,D,82.84,0.13
2016-11-14,1603007,82.84,,83.52,,2017-10-06,,0.16,0,2,2017-11-14T12:34:20-06:00,0,83.07,3.05,2016-11-17,2017-11-14T13:19:20-06:00,10000,14.33,95.22,82.66,2.52,,DRI,,82.97,BATS,2017-06-27,82.97,0,2017-11-13,70.97,,123670,83.02,100,.,37,37047,1322048,Darden Restaurants,,i,D,82.84,0.13
2016-11-14,1603007,82.84,,83.52,,2017-10-06,,0.14,0,2,2017-11-14T12:34:59-06:00,0,83.07,3.05,2016-11-17,2017-11-14T13:19:50-06:00,10000,14.33,95.22,82.66,2.52,,DRI,,82.96,BATS,2017-06-27,82.68,0,2017-11-13,70.97,,123670,83,10000,-,100,37148,1322048,Darden Restaurants,,i,D,82.84,0.12
2016-11-14,1603007,82.84,,83.52,,2017-10-06,,0.14,0,2,2017-11-14T12:35:26-06:00,0,83.07,3.05,2016-11-17,2017-11-14T13:19:50-06:00,10000,14.33,95.22,82.66,2.52,,DRI,,82.96,BATS,2017-06-27,82.9,0,2017-11-13,70.97,,123670,83,10000,-,100,37148,1322048,Darden Restaurants,,i,D,82.84,0.12
2016-11-14,1603007,82.84,,83.52,,2017-10-06,,0.17,0,2,2017-11-14T12:35:54-06:00,0,83.07,3.05,2016-11-17,2017-11-14T13:20:50-06:00,20000,14.33,95.22,82.66,2.52,,DRI,,82.98,BATS,2017-06-27,82.95,0,2017-11-13,70.97,,123670,83.05,10000,+,100,37248,1322048,Darden Restaurants,,i,D,82.84,0.14
2016-11-14,1603007,82.84,,83.52,,2017-10-06,,0.17,0,2,2017-11-14T12:35:54-06:00,0,83.07,3.05,2016-11-17,2017-11-14T13:20:50-06:00,20000,14.33,95.22,82.66,2.52,,DRI,,82.98,BATS,2017-06-27,82.95,0,2017-11-13,70.97,,123670,83.05,10000,+,100,37248,1322048,Darden Restaurants,,i,D,82.84,0.14
2016-11-14,1603007,82.84,,83.52,,2017-10-06,,0.17,0,2,2017-11-14T12:36:55-06:00,0,83.07,3.05,2016-11-17,2017-11-14T13:20:50-06:00,20000,14.33,95.22,82.66,2.52,,DRI,,82.98,BATS,2017-06-27,82.97,0,2017-11-13,70.97,,123670,83.05,10000,+,100,37248,1322048,Darden Restaurants,,i,D,82.84,0.14
2016-11-14,1603007,82.84,,83.52,,2017-10-06,,0.17,0,2,2017-11-14T12:36:55-06:00,0,83.07,3.05,2016-11-17,2017-11-14T13:20:50-06:00,20000,14.33,95.22,82.66,2.52,,DRI,,82.98,BATS,2017-06-27,82.97,0,2017-11-13,70.97,,123670,83.05,10000,+,100,37248,1322048,Darden Restaurants,,i,D,82.84,0.14
2016-11-14,1603007,82.84,,83.52,,2017-10-06,,0.18,0,2,2017-11-14T12:37:44-06:00,0,83.07,3.05,2016-11-17,2017-11-14T13:22:43-06:00,10000,14.33,95.22,82.66,2.52,,DRI,,82.99,BATS,2017-06-27,82.97,0,2017-11-13,70.97,,123670,83,10000,+,16,37264,1322048,Darden Restaurants,,i,D,82.84,0.15
2016-11-14,1603007,82.84,,83.52,,2017-10-06,,0.18,0,2,2017-11-14T12:38:19-06:00,0,83.07,3.05,2016-11-17,2017-11-14T13:22:43-06:00,20000,14.33,95.22,82.66,2.52,,DRI,,82.99,BATS,2017-06-27,82.97,0,2017-11-13,70.97,,123670,83.05,10000,+,16,37264,1322048,Darden Restaurants,,i,D,82.84,0.15
2016-11-14,1603007,82.84,,83.52,,2017-10-06,,0.16,0,2,2017-11-14T12:38:39-06:00,0,83.07,3.05,2016-11-17,2017-11-14T13:23:38-06:00,10000,14.33,95.22,82.66,2.52,,DRI,,82.97,BATS,2017-06-27,82.93,0,2017-11-13,70.97,,123670,83.28,10000,-,100,37364,1322048,Darden Restaurants,,i,D,82.84,0.13
2016-11-14,1603007,82.84,,83.52,,2017-10-06,,0.16,0,2,2017-11-14T12:39:05-06:00,0,83.07,3.05,2016-11-17,2017-11-14T13:23:38-06:00,10000,14.33,95.22,82.66,2.52,,DRI,,82.97,BATS,2017-06-27,82.67,0,2017-11-13,70.97,,123670,82.98,10000,-,100,37364,1322048,Darden Restaurants,,i,D,82.84,0.13
2016-11-14,1603007,82.84,,83.52,,2017-10-06,,0.16,0,2,2017-11-14T12:39:21-06:00,0,83.07,3.05,2016-11-17,2017-11-14T13:23:38-06:00,10000,14.33,95.22,82.66,2.52,,DRI,,82.97,BATS,2017-06-27,82.67,0,2017-11-13,70.97,,123670,82.98,10000,-,100,37364,1322048,Darden Restaurants,,i,D,82.84,0.13
2016-11-14,1603007,82.84,,83.52,,2017-10-06,,0.16,0,2,2017-11-14T12:39:56-06:00,0,83.07,3.05,2016-11-17,2017-11-14T13:23:38-06:00,10000,14.33,95.22,82.66,2.52,,DRI,,82.97,BATS,2017-06-27,82.67,0,2017-11-13,70.97,,123670,82.9,10000,-,100,37364,1322048,Darden Restaurants,,i,D,82.84,0.13
2016-11-14,1603007,82.84,,83.52,,2017-10-06,,0.16,0,2,2017-11-14T12:40:06-06:00,0,83.07,3.05,2016-11-17,2017-11-14T13:23:38-06:00,10000,14.33,95.22,82.66,2.52,,DRI,,82.97,BATS,2017-06-27,82.67,0,2017-11-13,70.97,,123670,82.91,10000,-,100,37364,1322048,Darden Restaurants,,i,D,82.84,0.13
